states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'011100011001000011',0.0020666666666666663,0.000402768199119819,0.3125,0.004466666666666667,0.000492160768674447,0.3125,,,
'010000011001000001',0.0025666666666666667,0.000339934634239519,0.3125,0.0041,0.00029439202887759474,0.3125,,,
'100011100110011100',0.0019333333333333336,0.00020548046676563265,0.28125,0.0042,0.0004898979485566355,0.28125,,,
'010001011001100001',0.0022,0.0006377042156569664,0.3125,0.0036333333333333335,0.0002624669291337271,0.3125,,,
'101011100110111100',0.0074333333333333335,0.00041096093353126546,0.28125,0.007366666666666667,0.001102522360569415,0.28125,,,
'100111100110111110',0.0045000000000000005,0.0006164414002968976,0.28125,0.0042,0.0001632993161855453,0.28125,,,
'101111100110111110',0.0021,0.000496655480858378,0.3125,0.0037333333333333333,0.0002624669291337272,0.3125,,,
'100010100110011100',0.0016333333333333332,0.00033993463423951894,0.3125,0.0034999999999999996,0.0007348469228349536,0.3125,,,
'101111100111011010',0.004900000000000001,0.0012832251036613439,0.25,0.006666666666666667,0.0002494438257849294,0.25,,,
'100011100110111100',0.0021,0.000496655480858378,0.3125,0.004233333333333334,0.0007363574011458175,0.3125,,,
'010000011001100101',0.0013666666666666664,0.00032998316455372216,0.3125,0.002433333333333333,0.00023570226039551585,0.3125,,,
'101110100110011110',0.0017333333333333333,4.714045207910318e-5,0.3125,0.004733333333333333,0.0002494438257849293,0.3125,,,
'010000011001100001',0.0019,8.164965809277264e-5,0.28125,0.0044,0.00035590260840104353,0.28125,,,
'010000011000100101',0.006366666666666666,0.0002624669291337269,0.25,0.006200000000000001,0.00045460605656619496,0.25,,,
'011000011001000001',0.0040999999999999995,0.00028284271247461896,0.28125,0.004866666666666667,0.00038586123009300773,0.28125,,,
'011100011001100011',0.002,0.00021602468994692865,0.28125,0.005333333333333333,0.0003771236166328255,0.28125,,,
'100011100110011000',0.0013333333333333333,0.00012472191289246477,0.3125,0.0022333333333333333,0.0006342099196813482,0.3125,,,
'011101011001100011',0.0017666666666666666,0.00012472191289246467,0.3125,0.0036000000000000003,0.00014142135623730948,0.3125,,,
'101111100110011010',0.0012,0.0003559026084010437,0.3125,0.0031333333333333335,0.0001699673171197596,0.3125,,,
'011100011001100111',0.0009666666666666668,0.00012472191289246472,0.3125,0.0028000000000000004,0.0005715476066494082,0.3125,,,
'100111100110111100',0.0028333333333333335,0.0003299831645537222,0.3125,,,,,,
'101011100110111110',0.0018999999999999998,0.00029439202887759485,0.3125,,,,,,
'011000011001000011',0.0026666666666666666,0.00026246692913372703,0.3125,,,,,,
'010100011001000001',0.0023,0.0003559026084010437,0.3125,,,,,,
