"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"VIM",-1,1,0.576991146504263,1,1,1,1,0.576991146504263,1,1,1,0.576991146504263,0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.00309038000214979,-1,-1,0.00227756747415574
"ZEB1",-0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,1,1,-0.576991146504263,-1,-1,-1,-1,-0.426086219068063,-0.576991146504263,-0.576991146504263,-0.01140759316661
"ZEB2",-0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,1,1,-0.576991146504263,-1,-1,-1,-1,-0.426086219068063,-0.576991146504263,-0.576991146504263,-0.01140759316661
"miR101",1,-1,-0.576991146504263,-1,-1,-1,-1,-0.576991146504263,-1,-1,-1,-0.576991146504263,-0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,0.00309038000214979,1,1,-0.00227756747415574
"miR141",0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-1,0.576991146504263,1,1,1,1,0.426086219068063,0.576991146504263,0.576991146504263,0.01140759316661
"miR200a",0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-1,0.576991146504263,1,1,1,1,0.426086219068063,0.576991146504263,0.576991146504263,0.01140759316661
"miR200b",0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-1,0.576991146504263,1,1,1,1,0.426086219068063,0.576991146504263,0.576991146504263,0.01140759316661
"miR200c",0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-0.576991146504263,-0.576991146504263,-0.576991146504263,-1,-1,0.576991146504263,1,1,1,1,0.426086219068063,0.576991146504263,0.576991146504263,0.01140759316661
"miR205",0.00309038000214979,-0.00309038000214979,-0.426086219068063,-0.00309038000214979,-0.00309038000214979,-0.00309038000214979,-0.00309038000214979,-0.426086219068063,-0.00309038000214979,-0.00309038000214979,-0.00309038000214979,-0.426086219068063,-0.426086219068063,0.00309038000214979,0.426086219068063,0.426086219068063,0.426086219068063,0.426086219068063,1,0.00309038000214979,0.00309038000214979,-0.00218211878662371
"miR30c",1,-1,-0.576991146504263,-1,-1,-1,-1,-0.576991146504263,-1,-1,-1,-0.576991146504263,-0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,0.00309038000214979,1,1,-0.00227756747415574
"miR34a",1,-1,-0.576991146504263,-1,-1,-1,-1,-0.576991146504263,-1,-1,-1,-0.576991146504263,-0.576991146504263,1,0.576991146504263,0.576991146504263,0.576991146504263,0.576991146504263,0.00309038000214979,1,1,-0.00227756747415574
"miR9",-0.00227756747415574,0.00227756747415574,-0.01140759316661,0.00227756747415574,0.00227756747415574,0.00227756747415574,0.00227756747415574,-0.01140759316661,0.00227756747415574,0.00227756747415574,0.00227756747415574,-0.01140759316661,-0.01140759316661,-0.00227756747415574,0.01140759316661,0.01140759316661,0.01140759316661,0.01140759316661,-0.00218211878662371,-0.00227756747415574,-0.00227756747415574,1
