"","KLF8","SNAI1","ZEB2","TWIST1","OVOL2","miR200b","CDH1","miR200a","NP63","miR205","GSC","TGFbeta","miR200c","GRHL2","miR141","CLDN7","ZEB1","miR34a","FOXC2","TCF3","TWIST2","SNAI2","miR101"
"miR200b",0.0852836591567023,0.12647245565641,-0.000759746217590359,0.136298548415355,0.0736900874194449,0.0300444965093996,0.048581022261608,0.0061507888121513,0,0,-0.0922135113063924,-0.0922169200874123,0.00558914585634183,-0.00906668888344873,-0.0102842869265513,-0.0102842869265513,-0.0103077222817978,0.00378420835918625,-0.0672922591785221,-0.136217207924058,-0.0499805753152789,-0.0648653563351445,-0.0854223429216964
"miR200c",-0.0852836591567023,-0.12647245565641,0.000759746217590359,-0.136298548415355,-0.0736900874194449,-0.0300444965093996,-0.048581022261608,-0.0061507888121513,0,0,0.0922135113063924,0.0922169200874123,-0.00558914585634183,0.00906668888344873,0.0102842869265513,0.0102842869265513,0.0103077222817978,-0.00378420835918625,0.0672922591785221,0.136217207924058,0.0499805753152789,0.0648653563351445,0.0854223429216964
"ZEB1",-0.0430989480562655,-0.0873108202251131,0.0023930869893108,-0.0893493060124786,-0.0811983537870864,-0.0133323135940765,-0.139491100345058,-0.0146150532920305,0,0,-0.00862031275049631,-0.00855742441502478,-0.0126877779750799,0.0163304032735148,0.0204691492385584,0.0204691492385584,-0.0795923826230395,-0.0127317179797128,0.110444909906689,0.0892777945976943,0.100729674136341,0.0288222232092941,0.0430563307668721
"miR205",-0.0074905519149749,-0.0645296379518023,0.00272395271020758,-0.0677363402564389,-0.0744187857550568,-0.00475019673097133,-0.052834231905741,-0.00810815213181078,0,0,-0.0112008000824882,-0.0113563309506043,-0.00593770009156112,0.0102468152765567,0.0120235931638569,0.0120235931638569,0.0121478152232102,-0.0137391989789567,0.0971034162156902,0.0676663266655654,0.082815931981672,-0.00160085112733712,0.00772460911505
"miR141",0.116272522638721,0.156812749015659,0.00496698044550988,0.170223685364081,0.0811757297668535,0.0691146014786037,0.11714148975218,0.00685965094882,0,0,-0.110202973854672,-0.11027114947507,0.0125692727081045,-0.0148547280663519,-0.0173799948321774,-0.0173799948321774,-0.0173342400909819,0.000716473667074282,-0.0823357246126435,-0.170373056084462,-0.07214591430614,-0.09507903764478,-0.116274323726578
"OVOL2",-0.101178568762555,-0.135934676664541,0.00767469538732071,-0.107223685542533,0.200263911048076,0.0205745480832088,0.194835127417606,0.102195684311913,0.186889225233431,0.186890305625397,0.23761363850626,0.23756747999656,0.106988247337235,-0.137919901918909,-0.107432603829837,-0.107432603829837,-0.107441706979391,0.148569591956749,0.0381581494940941,0.107250662019046,0.0464157689762649,0.0664867567962217,0.1011226372841
"TWIST1",-0.00143544454079766,-0.00379110643890006,0.0146326028975276,0.000360311782523384,0.0728982335695951,-0.0166074257108602,0.156712185271258,0.00899831208923319,0,0,0.0275733570144472,0.027588711306912,0.0411164287059271,-0.0589632674794227,-0.05824642718817,-0.05824642718817,-0.05830060017399,-0.00472377729254732,-0.18454895419393,-0.100490206314699,0.0819962816854497,0.0667840188104231,0.00142548586928444
"SNAI2",-0.0448477409754044,-0.0851559888087618,0.0172642817935582,-0.137415209321174,-0.0344766974032159,-0.0231417869106686,-0.0230117986224789,-0.0273464271587667,0,0,0.00383155644362926,0.00411723995111606,-0.0096683042369141,0.0383765030006046,0.0377560169070513,0.0377560169070513,0.0377781268086879,0.00992975577940004,0.0960056996386965,0.136905144032817,0.0192060461214786,-0.0814089500124326,0.0449691380826847
"TCF3",-0.0450278264454293,-0.0849904543280026,0.0173983242673686,-0.137377919597226,-0.0348175238125825,-0.0231558989001128,-0.123010553257131,-0.0274345198745811,0,0,0.00365157978320684,0.00455786943337903,-0.0101993451995141,0.038849865920374,0.0382894409409071,0.0382894409409071,0.0376421088997997,0.00953949480130176,0.096327908498309,0.137571530439433,0.018774957623329,0.0186591285167658,0.0448639164469193
"KLF8",-0.0450278264454293,-0.0849904543280026,0.0173983242673686,-0.137377919597226,-0.0348175238125825,-0.0231558989001128,-0.123010553257131,-0.0274345198745811,0,0,0.00365157978320684,0.00455786943337903,-0.0101993451995141,0.038849865920374,0.0382894409409071,0.0382894409409071,0.0376421088997997,0.00953949480130176,0.096327908498309,0.137571530439433,0.018774957623329,0.0186591285167658,0.0448639164469193
"CLDN7",-0.0450278264454293,-0.0849904543280026,0.0173983242673686,-0.137377919597226,-0.0348175238125825,-0.0231558989001128,-0.123010553257131,-0.0274345198745811,0,0,0.00365157978320684,0.00455786943337903,-0.0101993451995141,0.038849865920374,0.0382894409409071,0.0382894409409071,0.0376421088997997,0.00953949480130176,0.096327908498309,0.137571530439433,0.018774957623329,0.0186591285167658,0.0448639164469193
"TWIST2",-0.0963445920244012,-0.145603430812309,0.0573970522083635,-0.252666219843987,-0.117097981886267,-0.0817438003774326,-0.200070101257565,-0.0940994761051157,0,0,0.0131009591465648,0.0129784332019007,-0.0351895557757618,0.130186207998695,0.129832160467256,0.129832160467256,0.129839155634134,-0.00584642055444389,0.178187402916745,0.252962587910328,0.0836865805527998,0.0716870597741137,0.0962211920956603
"miR101",-0.107766039030491,-0.0176383361128232,0.0795986196145239,0.0140278509929871,0.0682441073258308,-0.00484109392431915,0.00239456327256933,-0.0285629893004931,0,0,0.0321993305938093,0.0321850770996072,0.0546375675773076,-0.0197993629539646,-0.0222868533089811,-0.0222868533089811,-0.0223461789739229,0.0217792375933167,0.0875881084666271,-0.0136884906490438,-0.0832213735037228,-0.0975390936271521,0.00747627642315927
