"","SNAI2","KLF8","ZEB2","TWIST1","NP63","OVOL2","CLDN7","SNAI1","GSC","miR200c","TGFbeta","miR200b","miR200a","CDH1","FOXC2","ZEB1","miR141","miR205","GRHL2","miR34a","TCF3","miR101","TWIST2"
"miR205",0.140588583222214,0.0638584688978322,-0.000476739701526801,0.0802486853672199,-0.178826809386309,-0.145536884983522,-0.23087026707561,0.17469364324959,-0.09078487509596,-0.118362881063033,-0.0908293124868503,-0.143588722952403,0.118362881063033,-0.144622325272481,-0.145490700767868,0.23085101265641,0.23087026707561,0.178935817413263,0.252467687562169,0.194470886172352,-0.0795938523702263,-0.0638772435395494,0.0104029519209709
"miR200a",-0.00680255167987591,-0.0642966953442328,0.00721013955435479,0.104436958990955,0.178510920413531,0.1476463379391,0.230016138352835,0.0832335009605107,-0.0211260712849526,0.120735380429297,-0.0209613135356571,0.0688503373032941,-0.120735380429297,0.0985721565667639,-0.0386017379604099,-0.230060553930874,-0.230016138352835,-0.178400737367503,-0.247986658492911,-0.213333464100751,-0.10524592714985,0.0643885508249432,-0.0513112431687836
"miR141",-0.00680255167987591,-0.0642966953442328,0.00721013955435479,0.104436958990955,0.178510920413531,0.1476463379391,0.230016138352835,0.0832335009605107,-0.0211260712849526,0.120735380429297,-0.0209613135356571,0.0688503373032941,-0.120735380429297,0.0985721565667639,-0.0386017379604099,-0.230060553930874,-0.230016138352835,-0.178400737367503,-0.247986658492911,-0.213333464100751,-0.10524592714985,0.0643885508249432,-0.0513112431687836
"ZEB1",0.148962214701246,0.0556393675925701,0.0122820743324981,0.0949048239453277,-0.195935711546854,-0.156101006295259,-0.252905549208665,0.192461973392257,-0.134221691158051,-0.230456760696401,-0.134308362718573,-0.263849176648184,0.230456760696401,-0.191720635797232,-0.158338453401987,0.152883099622528,0.252905549208665,0.195912720398446,0.278458673495339,0.205549840324016,-0.0945472668714065,-0.0555475199861187,0.0173797064141105
"FOXC2",0.148939569041125,0.0556102694634086,0.0123244783366476,0.0945472668714065,-0.195912720398446,-0.156165906501177,-0.252962938139828,0.192417592738445,-0.134183697649513,-0.230478517886164,-0.134221691158051,-0.263892437008869,0.230478517886164,-0.191730970814992,-0.158310752009485,0.252905549208665,0.252962938139828,0.196088919910509,0.278529306434462,0.205645847172912,-0.0937304574978148,-0.0556393675925701,0.0174051517067313
"GRHL2",-0.198355763811533,-0.156891413498401,0.0164453968035739,-0.0540089135052814,0.200897969781313,0.316280033485934,0.289107163141155,-0.0476956266979876,0.0137453448550787,0.265501065903989,0.014447684694433,0.266975165933786,-0.265501065903989,0.0888547030290548,-0.00011483068330254,-0.289236648453416,-0.289107163141155,-0.200073560318828,-0.207395936024952,-0.256071403024238,0.0522284637683024,0.156973283299009,0.0750987085876949
"OVOL2",-0.132302362855013,-0.133531427743268,0.0487169192383646,0.0378553198596084,0.410037732818781,0.263584015512136,0.265838710535372,0.0985423729063944,-0.096490366287894,0.258079935460773,-0.0963305338363949,0.146750434750915,-0.258079935460773,-0.0439059108018092,-0.0843077672625184,-0.265820640104168,-0.265838710535372,-0.409950221069518,-0.286985854557478,-0.246488846686596,-0.0385710957030729,0.133652064265427,0.0774784965357195
"TWIST2",-0.0816352864162758,0.019622174320779,0.0757494924969561,-0.245548235849484,0.130536290158797,0.119843785224645,0.135722988651028,-0.121683350002518,0.0605890307457057,0.105220071247665,0.0604517689413269,0.0407075894124727,-0.105220071247665,-0.00546555774473981,-0.0231426514973621,-0.135681125267713,-0.135722988651028,-0.130787903393311,-0.146254488414596,-0.0156511413610625,0.245553935235375,-0.0196074010898734,0.0868387090662505
"miR34a",0.11167381788494,-0.00413834731725139,0.0770237526377399,0.0651660620390789,-0.141661200070735,-0.128359399324991,-0.149522993265698,0.136532348158092,-0.0790447068910074,-0.0989385641269591,-0.0790151405507772,-0.138779629526497,0.0989385641269591,-0.102553185037724,-0.117374706734867,0.149495150905808,0.149522993265698,0.141776627625752,0.161189364447432,0.0206630745357732,-0.0650015119536545,0.00409705198842533,-0.00802512873526356
"miR101",-0.227028927133779,-0.364827555528739,0.109716160295985,0.141216205747429,0.140592454851344,0.128059384315174,0.148246487520366,0.141055608128237,0.083452601874701,0.132255864981324,0.0838592456798809,0.0721955204572706,-0.132255864981324,0.0860503893839361,-0.0426446778800793,-0.148359865457811,-0.148246487520366,-0.140127936690521,-0.158246205596881,-0.15372514173495,-0.142264840122122,0.265086746851811,0.0473426905867207
"SNAI1",-0.205487816500273,-0.262066119053992,0.115642506119287,0.173410131024937,-0.0436998184846938,-0.0507298041175453,-0.0298096619170058,0.0968045246155521,0.0250960249109503,0.0479230753747959,0.0255037022818313,0.0240780587564415,-0.0479230753747959,-0.0748717549680653,-0.0809847533824057,0.0296970113076192,0.0298096619170058,0.0442523791315941,0.0336392790814776,-0.145798752178644,-0.174193396829483,0.262214306950005,0.0605811116521415
"CLDN7",-0.431649900162264,-0.325011530872717,0.127502992619456,-0.234039126308137,0.174868476166541,0.157034853882088,0.19445345163136,-0.0520476851459816,0.296258729894927,0.162114902035942,0.300083272218654,0.298617297039793,-0.162114902035942,0.324801633008616,-0.0101442626704456,-0.195649370147982,-0.19445345163136,-0.169492753623188,-0.206014528925011,-0.107514932749092,0.22711753869923,0.326158900862286,0.359283777103326
"CDH1",-0.432717351791725,-0.326158900862286,0.127647723309042,-0.236955460969491,0.176743155159864,0.157559097224197,0.195649370147982,-0.0533702300180397,0.300083272218654,0.1631827745706,0.301546127958572,0.299695587749335,-0.1631827745706,0.226208695800569,-0.00949308876519444,-0.196024785270474,-0.195649370147982,-0.174868476166541,-0.207679951124148,-0.107668575133198,0.234039126308137,0.327158545001913,0.361185798439654
