"","OVOL2","ZEB2","miR101","SNAI1","FOXC2","CDH1","GRHL2","CLDN7","miR200c","miR200a","TCF3","GSC","TGFbeta","miR200b","TWIST1","SNAI2","miR141","ZEB1","NP63","miR205","KLF8","miR34a","TWIST2"
"TWIST1",-0.110147796058693,-0.00634569056746696,0.0287230639520192,-0.0223210283928899,-0.202415804376679,0.141479715653586,-0.0624946699420012,-0.0597455655934399,-0.013044845001461,-0.013044845001461,-0.127125242110274,-0.0124639482994994,-0.0120581562843582,0.0117344805762059,0.0274985867719357,-0.11260667233668,0.0597455655934399,0.0604414231493374,0.0218453515746249,0.0221478105266243,-0.0290686298535279,0.0484971869637126,-0.0757273057596452
"OVOL2",0.0755603040240644,-0.00393181789815398,-0.120399186990283,-0.141585913813037,-0.148989799517258,0.0495079704026031,0.00918242947690231,-0.127961674974086,-0.116116442978837,-0.116116442978837,-0.0586600981224158,0.17882997174979,0.17886441839882,-0.113673300221113,0.0588183601179557,0.0833488542605602,0.127961674974086,0.127927028658619,-0.185760534694986,-0.185832920956722,0.12031254803346,0.16539449458778,0.118746016784578
"TGFbeta",-0.0781434028151993,-0.00259050243052785,0.0738379740326484,0.00599858151148746,-0.0235435025453598,0.0847197517272368,-0.0558504277998882,-0.05566774724952,-0.023489933801543,-0.023489933801543,0.10334885832207,0.198244938496695,0.0985781226863013,0.102649887433589,-0.10321725847636,-0.154172488379963,0.05566774724952,0.0565575457025367,0.00661824861392399,0.00719878827050616,-0.074182130641217,0.0743267508743099,-0.109099629519121
"miR200c",0.134144129661039,-0.000323179689443187,-0.0528580020279411,0.0496556718257497,0.0548032913420738,0.0603414142678005,0.00108661649931967,-0.00359906278129423,-0.00163044690978018,-0.00163044690978018,-0.030306901370953,-0.0810151814228883,-0.0810856295639664,-0.012408199107087,0.0301516149784777,0.153404654578609,0.00359906278129423,0.00371311484349389,-0.0491007261815157,-0.0489087944239184,0.0528057704800862,-0.086896237525347,0.0441945563574083
"miR205",0.126966708669907,0.000305592651944144,-0.0305705523898886,0.0667323617714921,0.073900707668796,0.0852720851275817,0.00553615206197745,-0.00129160312907658,-0.000360058489303806,-0.000360058489303806,0.0856919591497853,0.0254423687821089,0.0251487645922978,-0.0133374219370274,-0.0861120406950264,0.0503616523705429,0.00129160312907658,0.000801547104927809,-0.0459225597006526,-0.0460117480863428,0.030782080019903,0.00622491035352035,-0.0390956114707133
"miR200b",-0.134144129661039,0.000323179689443187,0.0528580020279411,-0.0496556718257497,-0.0548032913420738,-0.0603414142678005,-0.00108661649931967,0.00359906278129423,0.00163044690978018,0.00163044690978018,0.030306901370953,0.0810151814228883,0.0810856295639664,0.012408199107087,-0.0301516149784777,-0.153404654578609,-0.00359906278129423,-0.00371311484349389,0.0491007261815157,0.0489087944239184,-0.0528057704800862,0.086896237525347,-0.0441945563574083
"miR101",0.151115903539721,0.00562072244723792,0.00304335252682523,0.0631568220370406,0.150040196173301,0.0304327508032992,0.100519957791447,0.0960943257818761,0.0450327619811416,0.0450327619811416,0.0557009111153359,0.024324330038148,0.0237114297874542,0.0322005929608854,-0.0561995853184938,0.127578086189332,-0.0960943257818761,-0.0972188767195512,-0.0355066756670144,-0.0360341793411694,-0.102583454076656,-0.0736478831100418,-0.00799174860820882
"ZEB1",-0.154549994779833,0.0163578353665617,0.022770689311187,-0.0812899845098112,-0.091686220099473,-0.12490899007651,-0.0170303694465389,-0.0105212697019367,-0.0126318745752837,-0.0126318745752837,-0.0829193893988502,-0.0295974908197652,-0.0296494022821363,0.0155242552617615,0.0825197667868206,-0.057420813194867,0.0105212697019367,-0.0896038844685511,0.053530780883701,0.0535365286708029,-0.0224326901194459,0.0170543536529668,0.0408775807534255
"miR141",-0.161213451657883,0.0164484999919803,-0.0302578448806664,-0.00181718647863721,0.0225065410531541,-0.0642803524141096,-0.0224482509722173,-0.0200401585286133,-0.0182995017159756,-0.0182995017159756,-0.0929440013547586,-0.118474057531637,-0.118432015899058,-0.0303308301154411,0.0936405717438619,0.0930645616209103,0.0200401585286133,0.0203207132099929,0.0548968622310896,0.0550177081525397,0.0296274641306934,0.0356851666094007,0.0840803987652134
"FOXC2",-0.154486697048136,0.0165337615028249,0.0224326901194459,-0.0809014177216485,-0.0920220150280912,-0.124904094541782,-0.016881926959504,-0.0103627062106492,-0.0124573225756002,-0.0124573225756002,-0.0821082131933522,-0.0297049581724861,-0.0295974908197652,0.01549057031688,0.0829193893988502,-0.0574791647106285,0.0103627062106492,0.0105212697019367,0.0535365286708029,0.0534687596277018,-0.0229821312642006,0.0171491374846796,0.0408775807534255
"TCF3",0.0681774356613679,0.0195963474117079,0.181691163459792,0.115719269204514,0.127578191283269,0.0813288831455096,0.0607479336959122,0.0589235201480348,0.019600386998315,0.019600386998315,0.205303205870993,0.204382841209167,0.205597269340397,0.190089634110331,-0.204286748949405,-0.0976790666540867,-0.0589235201480348,-0.0575081670412067,-0.0124629303845187,-0.0121739130434783,-0.182242497091143,-0.0775906134873675,-0.143966986069466
"KLF8",0.0681774356613679,0.0195963474117079,0.181691163459792,0.115719269204514,0.127578191283269,0.0813288831455096,0.0607479336959122,0.0589235201480348,0.019600386998315,0.019600386998315,0.205303205870993,0.204382841209167,0.205597269340397,0.190089634110331,-0.204286748949405,-0.0976790666540867,-0.0589235201480348,-0.0575081670412067,-0.0124629303845187,-0.0121739130434783,-0.182242497091143,-0.0775906134873675,-0.143966986069466
"NP63",-0.144779437320762,0.0544907720093811,-0.162282127704446,-0.091659207750664,-0.0992033854495222,-0.120724644005661,-0.0909899047167364,-0.00666228929456102,-0.0190435101505691,-0.0190435101505691,-0.185174847861573,-0.0977787680203616,-0.0974963450020298,-0.0863439255836908,0.185266848310356,0.110633542822403,0.00666228929456102,0.00717358912254442,0.0298761049377218,0.130112562375383,0.162284869082811,0.0294101069155063,0.143121938326136
