"","miR101","miR34a","ZEB2","GRHL2","miR141","CLDN7","SNAI1","NP63","TCF3","TGFbeta","CDH1","GSC","FOXC2","TWIST1","miR200c","miR200a","OVOL2","miR200b","miR205","ZEB1","KLF8","SNAI2","TWIST2"
"GRHL2",0.0935028583285564,-0.0754013635445626,-0.0170865185390339,-0.0096891163030877,-0.0688436367411169,-0.0688436367411169,-0.00834595719711551,0.00625463215183806,-0.0046376620801983,-0.0880054978771739,-0.100792177195896,0.0879118156097305,0.0374956816040254,0.00449314505609286,0.0823192163843546,0.0728433871913223,0.0867894586256129,0.0423770068000624,-0.00612446223670885,0.0689132924149974,-0.093611137742263,-0.0895625507220437,-0.0310762531474661
"miR34a",0.0073180458350232,-0.000851984416017258,-0.0107419796946744,-0.118454286429697,-0.108582836813322,-0.108582836813322,0.106549522160169,-0.0869128294782503,-0.0328776294539142,0.00554420005831356,-0.106967075684417,-0.00558462750311803,-0.0978610305999713,0.032872118207034,0.109861504561026,0.101046172930412,0.0678033755612358,-0.0020337010418449,0.0869714893832591,0.108590451817736,-0.00740639863158128,-0.117794941986185,-0.209732778159277
"miR200c",0.032569542869156,0.18413920606718,0.0107347403574141,0.185957197067981,0.170884711844664,0.170884711844664,0.0943353047322568,0.0873760382616228,0.0438873351331933,-0.0932199485721183,0.0312767051127457,0.0930870061123419,-0.0257955756230875,-0.0439834648047256,-0.0880361072425489,-0.078245437102522,-0.0529376092497277,-0.105461273144544,-0.0870170547890797,-0.170846099306972,-0.0322795677241684,-0.148899545539949,-0.155202197680305
"miR200b",0.032569542869156,0.18413920606718,0.0107347403574141,0.185957197067981,0.170884711844664,0.170884711844664,0.0943353047322568,0.0873760382616228,0.0438873351331933,-0.0932199485721183,0.0312767051127457,0.0930870061123419,-0.0257955756230875,-0.0439834648047256,-0.0880361072425489,-0.078245437102522,-0.0529376092497277,-0.105461273144544,-0.0870170547890797,-0.170846099306972,-0.0322795677241684,-0.148899545539949,-0.155202197680305
"OVOL2",0.0751776337550231,0.107324736517047,0.0109275302114946,0.00936709006867989,0.0713495639879785,0.0713495639879785,0.0765696515097555,-0.00716170585783297,0.0144704747410192,0.00893447022517798,-0.0905403907585604,-0.00887384412288522,-0.00270794106620652,-0.0143535766761318,-0.0856077173594365,-0.0781541680876133,-0.085472420203682,-0.0778803731709839,0.00710876665148891,-0.0714078513187041,-0.0750251930588407,-0.0830853281805142,-0.101572018964407
"TWIST1",0.183946372379404,0.00557573339443039,0.0123644381618185,0.0999584546455567,0.0905580936357756,0.0905580936357756,-0.049872473758685,0.0748280084569309,-0.266253126926082,0.042818928535981,0.0549434877434866,-0.0426086687350855,0.245024849270526,0.166245774405393,-0.0600850448877415,-0.0300357607084875,-0.0601297243872337,-0.118904330703082,-0.0751579636772939,-0.0906105390092916,-0.183812926181127,-0.226029466584438,-0.176500777994221
"TWIST2",-0.0341390115756237,-0.0805020790312352,0.0142125806006066,-0.123850623714611,-0.115321213932368,-0.115321213932368,-0.0552357042144155,-0.0913351512333574,0.0885003404986936,-0.0123565433600025,0.110756225254039,0.0124135765948239,-0.0150166611856316,-0.088724041394922,0.050463756617037,0.0622685440195184,0.0714402104702563,0.0700031718498305,0.0916826171286384,0.115340262309866,0.0340634073939304,0.128579601875417,0.150741329505182
"KLF8",-0.241885696348886,0.032732437966809,0.032075933940423,0.0354864966147007,0.0325475618420009,0.0325475618420009,0.0383110108675453,0.0256590851972857,0.176146418278516,-0.192387122926947,0.094135525486932,0.192423374512954,-0.0668222426278399,-0.176194820989067,-0.0310190979656427,-9.35562293695911e-05,-0.021106471676369,0.193932745952416,-0.0255434782608696,-0.0326024204895524,0.241125749992158,0.245432752755768,0.232838475304819
"CLDN7",-0.241885696348886,0.032732437966809,0.032075933940423,0.0354864966147007,0.0325475618420009,0.0325475618420009,0.0383110108675453,0.0256590851972857,0.176146418278516,-0.192387122926947,0.094135525486932,0.192423374512954,-0.0668222426278399,-0.176194820989067,-0.0310190979656427,-9.35562293695911e-05,-0.021106471676369,0.193932745952416,-0.0255434782608696,-0.0326024204895524,0.241125749992158,0.245432752755768,0.232838475304819
"SNAI2",-0.242124380172532,0.032775963910207,0.0322469710807192,0.0354825761573518,0.0324323606477401,0.0324323606477401,0.0384170654600638,0.0263128467632971,0.176911952463171,-0.192523572974747,0.194004108838319,0.192479190770718,-0.0671650028810146,-0.17684167680122,-0.0310768354937581,9.81748312407123e-05,-0.0207983115968372,0.193931053242883,-0.0264295012219391,-0.0324003098600963,0.242154209176035,0.145357055769494,0.232694948546025
"GSC",0.0596096106285352,-0.00279599685667227,0.0341033891950144,0.0757598715929608,0.0686992899339303,0.0686992899339303,-0.0535262486228907,0.0645753111634699,0.065877536954605,0.0230141614813727,0.00661736031840849,-0.0227861817000622,0.085589959797795,-0.0661171229500049,-0.0516721775743458,-0.0105161391797591,-0.0575785585071975,-0.0597810012010663,-0.064638530765378,-0.0687299385010494,-0.0596544309574775,0.0125011733770297,0.00857203063990168
"NP63",0.249469675905943,-0.012646158804006,0.0577086741405719,0.114655700095887,-0.00907144131126959,-0.00907144131126959,-0.02108960536957,0.0162830750357949,-0.163629733564424,0.0260210813784418,-0.166465938938034,-0.0261049524566131,0.0557366947124173,0.164305151493292,-0.0111553422837744,0.0219533177846194,0.0826020854013207,-0.155468341454577,-0.116455044081367,0.00902767377456762,-0.249069434664647,-0.260581510125535,-0.239776306502363
"SNAI1",-0.167559979502358,0.0357218624513132,0.0682816044541634,-0.0973372334308252,-0.0917295919124489,-0.0917295919124489,-0.0380092954231323,-0.0843888951350372,0.0639285986975252,0.00243652132106816,-0.110267697695795,-0.00243827770993266,-0.1592444715175,-0.0640067719970005,0.00752790852237882,0.0828602146690085,0.0747239962567182,0.0559441964048054,0.0846731391928661,0.0917347650384454,0.167574018355664,0.15972100537822,0.0576158229238899
