"","miR200a","TGFbeta","GSC","miR200b","CDH1","miR101","SNAI1","TWIST2","OVOL2","miR141","NP63","miR205","TWIST1","TCF3","FOXC2","ZEB1","CLDN7","GRHL2","miR34a","SNAI2","KLF8","ZEB2","miR200c"
"SNAI2",0.0227927745013128,0.0161069564138907,0.0155291259711459,0.0192365262976702,0.0101665366935203,-0.0378444383980712,-0.0556359290799685,-0.047536224086275,-0.00451263468636987,0.0166105019353522,0,0,0.0251852180281873,0.0211182974623548,0.0395458243400722,-0.0161688180863782,-0.0166105019353522,-0.0171376230937128,0.00818860760155814,-0.069716125424771,0.0415897125821092,-0.031213864934469,-0.006827305462235
"FOXC2",0.00441517600268897,0.0182966105917956,0.0181782879509211,0.000691663416520949,-0.0581888688587497,0.00891248424795237,0.0966761497889931,-0.089964494346616,0.0586661562871007,-0.00736497355257954,0,0,0.0804500725459463,0.0809063591615389,-0.0911406915664961,0.00735689659189733,0.00736497355257954,0.00546139896159798,-0.000871177635775616,0.0188946789038598,-0.00943796222751521,-0.0266847942439898,-0.0148041477950034
"OVOL2",0.0048553720295645,-0.00211754251126786,-0.00160290957475992,-0.00167573071073586,-0.0691841843104786,-0.0661413479461165,0.0584838224719188,-0.074279939264132,-0.0907153999873112,0.00158644628100027,-0.0240834337367673,-0.0241428552949085,0.00372789023106275,0.00698125329846797,0.0110631025012102,-0.00196782748693662,-0.00158644628100027,0.00548355305249111,0.00774436717688727,0.0672768575069076,0.0631714961096996,-0.0102285159010402,-0.00248457656594399
"GRHL2",0.0833151820193002,-0.0629698100174818,-0.0625390933204192,0.0489399122138879,0.00863243289413227,0.0765588073892124,0.0230535128129032,0.00533274700897504,-0.0314119429609838,0.0870512365119457,-0.0255409753580788,-0.0256364332958402,0.0078183635821181,0.0110815579864189,-0.0370627972100411,-0.0873986414559701,-0.0870512365119457,-0.0158720447327876,-0.0945691091434498,-0.0685875995556279,-0.0796284847517724,0.0249066244711913,0.097967589124468
"ZEB1",-0.00438254021804559,-0.0183864837403058,-0.0182966105917956,-0.000586846811382028,0.0581994214558309,-0.00922770523329349,-0.0964736040391489,0.0897132220819849,-0.058671230788798,0.00735689659189733,0,0,-0.080853300775528,-0.0804500725459463,0.0912805498164437,-0.107390434637584,-0.00735689659189733,-0.00545422235281003,0.000992256336931367,-0.0190493643388662,0.00891248424795237,0.0267590012512514,0.0147621168602354
"CDH1",-0.0228058290881352,-0.0155291259711459,-0.0162063361108844,-0.0202989728607701,-0.0105083801846355,0.0415897125821092,0.0530859150542235,0.0508385039280298,0.00498747136674732,-0.0158548586759788,0,0,-0.0211182974623548,-0.0280186958687293,-0.0404076628440122,0.0166105019353522,0.0158548586759788,0.0164659078667415,-0.00996299095142778,-0.0282996479667343,-0.0352068715222923,0.0305430720191839,0.00771874724810248
"KLF8",-0.0226975557297503,-0.0162063361108844,-0.0147743984636124,-0.0184663223955816,0.0901103484370115,0.0352068715222923,0.0574683851737454,0.0451815696214605,0.00417431169387517,-0.0171312365423432,0,0,-0.0280186958687293,-0.0165956561785067,-0.0390037558005807,0.0158548586759788,0.0171312365423432,0.0175989143920799,-0.006959017441494,-0.0317198928835066,-0.0460100305149909,0.0316229856260954,0.00612861498476469
"miR34a",0.0625836755340553,0.0371594174284768,0.0375739495863972,0.0532921195509571,-0.0676810877131035,-0.0376457180712903,-0.0107192165393055,0.010000109265192,0.102147585749563,0.109349461979606,0,0,-0.0196064188456651,-0.0165224825556791,0.0963784993815016,-0.109674051542767,-0.109349461979606,-0.11156378592896,-0.0398513735349919,0.0511526794921762,0.0348001818082294,0.108442989716477,0.14915563741593
"miR101",-0.109214709131741,-0.0749006369060554,-0.0750305952355459,-0.085610991475072,-0.0458190204296559,-0.00539736640620347,-0.0233543829774076,-0.0202732949350013,-0.096785465967163,-0.0964210231030298,0,0,0.0152472424318149,0.0135307992774005,-0.0939664558187475,0.0965947154664984,0.0964210231030298,0.0968423422115145,0.0384374234605816,0.0980172709292177,-0.0930607775180861,0.126964724417772,0.0133912077901411
"TWIST2",-0.0756023653819787,-0.0439382362023051,-0.0441486315326749,-0.0420316674983445,-0.163214224540316,0.0426306826918008,0.105637988358995,0.0244441096459753,0.0375988730658533,-0.00341361838854714,0,0,0.012835029453712,0.0108445189312208,-0.0492649711755101,0.00364144559285875,0.00341361838854714,0.00326674895046586,-0.0373784679463436,-0.00986411428763102,-0.0409100357980899,0.149592514573688,0.0717032831894144
"miR200b",-0.113590206814604,0.0110811023178362,0.011419707899147,-0.131752475541041,-0.0447125963943446,0.0549250680087558,0.0529953364879002,0.0452471742256681,-0.0674697700792626,-0.00395156415293075,0,0,-0.0369013229781364,-0.0361012283273829,0.010936403361078,0.00383349460126026,0.00395156415293075,0.00379139081068468,0.0111273514379084,-0.0560727454149305,-0.0556887292601517,0.22694185822699,0.108697159172893
"ZEB2",-0.285417485175138,-0.249960764400439,-0.249506915925481,-0.237392322857908,-0.235573679993234,-0.203916123090777,-0.170572563341575,-0.11620202246141,-0.031132701127765,-0.0297000898582902,0,0,0.00072691218998638,0.00150142629198843,0.0192407090269456,0.0296050829966835,0.0297000898582902,0.0300623197338249,0.0822979493275856,0.165924019441451,0.202940654000519,0.242080529218484,0.260983530946427
"miR200c",-0.131865115647282,-0.184664459547589,-0.184696274837108,-0.0876980665240403,-0.0443132322697411,-0.118848051647993,-0.174813856663198,0.0134491227604556,-0.0633209490721288,0.00290653886517701,0,0,-0.0231405162943369,-0.0248752871359892,0.0282474508887368,-0.00272954613460102,-0.00290653886517701,-0.00232421032537446,0.116846222930423,0.0921667692374911,0.120416799171497,0.278250365643943,0.134960826801664
