"","miR200a","CDH1","TGFbeta","GSC","miR101","KLF8","TWIST2","FOXC2","SNAI1","OVOL2","miR141","ZEB1","NP63","miR205","TCF3","miR34a","TWIST1","CLDN7","GRHL2","SNAI2","miR200b","ZEB2","miR200c"
"KLF8",0.025197681441695,0.139063416107137,0.00506435087293753,0.0048468413568962,0.0315984972516547,0.0300339018113328,0.0568518932026097,-0.0378119601834992,-0.00126606527708382,-0.126601063510204,-0.0810437449267273,-0.0833807233124202,-0.0242690793331658,-0.0271014492753623,0.0816938526903765,-0.0451126598582201,-0.086195304771693,0.0810437449267273,0.0859472976522239,-0.0562107663913398,-0.00247332941451339,-0.13184326639588,-0.102380661693203
"OVOL2",-0.182529982141391,-0.170406166044265,0.140579920890504,0.141726305370222,0.0725506847739178,0.0727930545138913,0.0342289056588024,0.0810258936911213,0.0597249964171837,0.0448996809321074,-0.205401300429185,-0.205127526603049,0.180238399991799,0.180397217610831,-0.0131649105889074,-0.193964345161236,0.0135227985106396,0.205401300429185,0.0382047802491372,-0.0560267248563923,0.0943332833957391,-0.0598872667193873,-0.226350390883146
"ZEB1",0.144504657241859,0.101343721188345,0.0960479020672059,0.0965823385762859,0.107959759598092,0.107266861255022,0.174864730724135,0.113243938687831,0.109646341508826,0.143798553545204,0.0866616912817584,-0.0140818717311396,0.0486896689371087,0.0478275008718138,0.0988484381773308,0.0960987306323176,-0.0993838723838245,-0.0866616912817584,-0.117415366993811,-0.10683433702996,-0.136843989449555,-0.0528958401699198,0.104825361857527
"NP63",-0.0377452468952216,-0.115196497861335,0.0743405049023375,0.0745784248995988,-0.0246247562134044,-0.0237776702986064,-0.042622642211291,0.0354214811363836,-0.0116200454732678,0.058807142319531,-0.0671202506926307,-0.0666863074411438,0.00936589809723821,0.109763576515123,-0.096139242413319,-0.0719831964249627,0.096258169822721,0.0671202506926307,-0.0441817372763406,0.0302933757235117,-0.0576045393213536,-0.0404618348421932,-0.0565289302071214
"GSC",-0.00485769065730949,0.000561036010414672,-0.00794767683036619,-0.00821049534501374,-0.115705543466985,-0.115292416956735,0.00332059332204554,0.114178848556132,-0.12670788448486,-0.105775275394805,-0.0655181565850139,-0.0651045215925554,-0.0165200506147359,-0.0161886266410965,-0.214214111358787,0.0324969877198597,0.214338696076395,0.0655181565850139,0.0701749588866292,0.0100426386526093,0.00157569108712461,-0.0383565940991784,-0.0536092977753216
"GRHL2",0.1672650953244,0.106449959937427,-0.0255475233292228,-0.0261478659069818,-0.0440172315506841,-0.0445551073374705,0.0233567779971495,-0.0158991576868216,0.0186182718487097,-0.0523629151586467,0.146838083610783,0.146155283321679,-0.00892093235982084,-0.00914135341610631,0.017003723646654,0.15197359975036,-0.0170730918182246,-0.146838083610783,-0.0868430573908991,0.0367940175143505,-0.157121315331392,-0.0113339346636453,0.16038355845228
"FOXC2",-0.145489664560186,-0.101866673086997,-0.0965823385762859,-0.0956520403815203,-0.107266861255022,-0.105457642283042,-0.174633337594364,-0.112770312440424,-0.109826696931764,-0.14499319807636,-0.0886277935530848,-0.0866616912817584,-0.0478275008718138,-0.0462145976460074,-0.0975922416924277,-0.0976519624552247,0.0988484381773308,0.0886277935530848,0.118982511723347,0.106990939557886,0.137769897959877,0.0522824965384712,-0.106127331872164
"TCF3",-0.025197681441695,-0.139063416107137,-0.00506435087293753,-0.0048468413568962,-0.0315984972516547,-0.0300339018113328,-0.0568518932026097,0.0378119601834992,0.00126606527708382,0.126601063510204,0.0810437449267273,0.0833807233124202,0.0242690793331658,0.0271014492753623,-0.0816938526903765,0.0451126598582201,0.086195304771693,-0.0810437449267273,-0.0859472976522239,0.0562107663913398,0.00247332941451339,0.13184326639588,0.102380661693203
"CLDN7",-0.025197681441695,-0.139063416107137,-0.00506435087293753,-0.0048468413568962,-0.0315984972516547,-0.0300339018113328,-0.0568518932026097,0.0378119601834992,0.00126606527708382,0.126601063510204,0.0810437449267273,0.0833807233124202,0.0242690793331658,0.0271014492753623,-0.0816938526903765,0.0451126598582201,0.086195304771693,-0.0810437449267273,-0.0859472976522239,0.0562107663913398,0.00247332941451339,0.13184326639588,0.102380661693203
"SNAI2",-0.024826722834521,-0.0392673202471782,-0.0032769414540058,-0.0038306417664048,-0.0318653047955265,-0.0326887240317653,-0.0560562836688187,0.0380867926166512,0.00187317452116321,0.129562397129794,0.083812290269472,0.0833901454033398,0.0243584439135247,0.0239352323891493,-0.0851381998580144,0.0469522478652291,0.0852288781315001,-0.083812290269472,-0.0880501738041762,-0.0451067987946144,0.00200755549786203,0.133169140487609,0.105224575188903
"TWIST1",-0.0604871705125469,-0.112002794330664,-0.019766037860022,-0.0200295676551832,-0.0560210492236788,-0.0565339208066096,-0.0442890107688301,0.0809323373137198,-0.0175576917663501,0.153278377841051,0.107208065194854,0.106598094650644,0.0287552361625519,0.0281542462968908,-0.185142722030098,0.0857741576495893,0.0845079544105992,-0.107208065194854,-0.112541456109737,0.0664850450599915,0.0203517658946172,0.26083964529372,0.170255037907972
"ZEB2",-0.294737145095333,-0.273586839420128,-0.256994588183177,-0.255796846956863,-0.188724465194043,-0.187619729047991,-0.157334464490034,-0.114896546768071,-0.0935942983111826,-0.0405191878556601,-0.0300087290980759,-0.0294620100262463,-0.00888320050634132,-0.00832540688997937,-0.0070004957472561,0.00393086577000259,0.00735609027207465,0.0300087290980759,0.0345147917111815,0.185353659888816,0.239287351261293,0.269536871906396,0.275947879228109
"miR200c",-0.201492878675447,-0.133689803041962,-0.235466970938016,-0.234910203371432,-0.133284888742654,-0.132427570922691,-0.122782793950996,-0.114362809110378,-0.0894011211358894,-0.154733600881063,-0.125506350514228,-0.124338823435233,-0.0483665463480118,-0.0474566476453283,-0.0152617495928256,-0.0424636663315526,0.0162748084389738,0.125506350514228,0.138624526126406,0.15590369672849,0.119179556631279,0.305151525973267,0.0871172147764175
