"","miR101","ZEB2","CDH1","miR34a","NP63","miR205","FOXC2","CLDN7","TCF3","TGFbeta","TWIST1","miR200c","SNAI1","GSC","miR200b","miR200a","miR141","ZEB1","GRHL2","OVOL2","SNAI2","KLF8","TWIST2"
"TWIST1",0.0444802252367836,-0.0230127776695942,-0.0910688762943845,0.0744110952507708,0.0666970140903427,0.0692816633165192,-0.0546222310379926,0.0810500599794455,0.253863767874879,0.041510505625736,0.156817030351698,-0.0185220202104375,-0.0552980698318205,-0.0427730044898317,-0.0625487987966566,-0.0583592511341618,-0.0810500599794455,-0.0802954636052101,-0.0859191937816121,-0.0578092112429692,-0.153157793607073,-0.0453755098058221,-0.173653917940698
"miR34a",0.0195863049965489,-0.0120980384458648,-0.0169150271981123,0.104897046734936,0.0662484654601548,0.0679193266254055,0.074391475114852,0.0795295887483106,0.189595124914059,0.0605072929937578,0.191241413089286,-0.0823632214465998,-0.151097092673188,-0.061334547125503,-0.11102965146031,-0.0927299866956534,-0.0795295887483106,-0.0791226619499202,-0.0848256521243783,-0.0568396879873122,-0.164084553074407,-0.0200107825626214,-0.286005023236538
"miR205",-0.0106668102222502,-0.00932961887655153,-0.0232232423734856,0.00263915676837792,-0.0103641896752925,-0.01114706550524,-0.0923303242522546,-0.00155382988034418,-0.089211534463157,0.0128805325373902,-0.0889314800996629,0.00570975937453116,0.0861434890032868,-0.0124520291252334,0.00425819429545822,-0.00280716902159347,0.00155382988034418,0.00162090979239496,0.00460973907109009,0.0161579740834951,0.0298475875211586,0.0102550197472517,0.103915439826231
"miR200a",0.0116186660394085,-0.00165957966807627,-0.108682356142102,-0.0234698515869298,-0.0217300067027961,-0.025508218894017,-0.0940208274875705,-0.0165923492948216,0.0670037761418479,-0.0929597732000219,0.06279625436478,0.00863771318074805,-0.0303694235259295,0.094831193979951,-0.0257139311386122,0.00920456478000042,0.0165923492948216,0.0154462488263376,0.0207402649171562,0.0275497093040053,-0.085315126756675,-0.0103561034516055,-0.0033928608957243
"FOXC2",-0.0392697702905944,0.00180950332170883,-0.119708827396871,-0.0107197418033361,-0.0197562296317162,-0.0224534375471404,-0.0972176385911423,-0.0121880068015814,-0.083855100741026,0.00201626902550217,-0.0859055739271458,0.00721960878697222,0.0766373487539571,-0.000621364497761477,0.0142331248679985,0.00910634829096058,0.0121880068015814,0.011582234750416,0.0161597761664937,0.0263322375622301,0.0753100508451607,0.0396480459696934,0.137106624843852
"ZEB1",-0.039468895901381,0.00218710088246897,-0.119687613413048,-0.00976578840029077,-0.021463322401,-0.0197562296317162,-0.0958062188609944,-0.011582234750416,-0.0859055739271458,0.00119140274897186,-0.0845913263293886,0.00711972350670006,0.0779003088491395,-0.00201626902550217,0.013966894110737,0.00850159731188704,0.011582234750416,-0.0881417353180143,0.015320868370808,0.025317070143736,0.0756777732309349,0.0392697702905944,0.137143202451995
"GRHL2",0.12108922591668,0.0052328917644205,0.110848890738478,0.0203945578542449,-0.0172408079194761,-0.0166454975076185,0.032296008063117,0.0237654396657416,0.0286072882756509,0.120603735999631,0.0295726619966753,-0.0178702676223248,0.00400070179543048,-0.120975693404688,-0.119716012493039,-0.016968086037363,-0.0237654396657416,-0.0233189009413357,0.0193519495604299,-0.0859087799901288,-0.123404310799511,-0.121558436709408,-0.107318297073246
"OVOL2",-0.0817133132572901,0.00949915252645015,-0.0658234455955753,0.0749802346032787,-0.0185198391634361,-0.0190762410260318,-0.0128183537801072,0.0182755959328673,0.0354694414810332,-0.00325356757839461,0.0349317103825511,-0.0147390460717953,-0.0787753175338578,0.00346231427151631,-0.00119787572734618,-0.00830484215626947,-0.0182755959328673,-0.0182692101413892,0.0207198299071085,-0.0834618739334892,0.06238780418139,0.0817747282140255,0.0551025628499171
"miR200c",-0.0353944464055497,0.0240063298960562,0.0170170479314265,0.00302259919200323,0.00739943715966794,0.0094715892833573,0.085822996730863,-0.0049370262527143,-0.0671914084270796,0.0758602792700061,-0.0655394569947475,-0.0074138491083908,0.0283296434247921,-0.0768851860966582,0.00113055888051901,0.0128863539904485,0.0049370262527143,0.00535060447435027,-0.000870890431440605,-0.0149636921760992,0.119702412465869,0.0351224821391327,0.0369682788264578
"TGFbeta",-0.0873102030551792,0.0328735438681136,0.0118511275895025,-0.0451748747550551,0.060234139292866,0.0569307868807646,0.0717790641857061,0.0578368096126569,-0.122859466257197,-0.0979650332842098,-0.126850571922797,-0.0410123988521953,0.0422970314875787,-0.000402928905683458,0.111756180430512,-0.0113580012859007,-0.0578368096126569,-0.0589153064073583,-0.0597371736695825,-0.0565100054447206,0.217529910768621,0.0886321245154557,0.200088908297045
"TCF3",-0.211834634738963,0.0447879501451598,-0.179362882614863,0.00811033438729105,0.0145754796012398,0.0156159420289855,0.0279308646951434,0.015645783299114,-0.127009388834418,-0.203756701469977,-0.127009388834418,-0.0298820875251124,0.00124441899408946,0.203394185609908,0.188028916071745,0.015015677849657,-0.015645783299114,-0.0159127620505312,-0.017474549267804,-0.0137178375665183,0.221585930011725,0.212356166552404,0.22100673270273
"SNAI2",-0.211928238536294,0.0448071513264903,-0.0792895931835681,0.00821735849677199,0.0149474909917178,0.0148579654769461,0.0280190030459597,0.0157972497051493,-0.127078445939331,-0.203576306513682,-0.127019505061566,-0.029916595921277,0.001187399045784,0.203648266009535,0.188049371753806,0.0148745029700297,-0.0157972497051493,-0.0158227874985125,-0.0175233600891767,-0.0136795513974781,0.121526731806157,0.211902571719326,0.22109631877569
"TWIST2",0.0996394517764387,0.0677157400441012,0.123352767368158,-0.108570511879624,-0.0723956677458082,-0.0739447152099918,-0.00556584887032007,-0.0890580501365197,-0.209904287555706,-0.0234599436380375,-0.211745189198554,0.0122376052120599,0.146068640384759,0.0242472205876054,-0.0178622441440287,0.0802416294009054,0.0890580501365197,0.0885151175688522,0.0937282001263016,0.0611458341617483,-0.0762919683836245,-0.0990337493093092,-0.0442470356947378
