"","TWIST2","ZEB2","miR101","CDH1","OVOL2","TCF3","miR200a","GRHL2","miR34a","miR141","CLDN7","GSC","TGFbeta","miR200b","ZEB1","miR200c","NP63","miR205","TWIST1","FOXC2","SNAI1","KLF8","SNAI2"
"OVOL2",-0.241310166630984,-0.0131131541970177,-0.264066722762066,0.0568036182062327,0.196454877574748,-0.0744927311844736,0.111441222219807,0.163326160842622,0.0677052053502946,0.109960811482112,0.109960811482112,0.303022126413627,0.303402417418918,-0.195775759022782,-0.110046815865211,-0.111441222219807,-0.322139326136721,-0.321779555611975,0.0748506191062058,-0.155325184226615,-0.119105441789424,0.263143305019724,0.29308215950273
"TGFbeta",-0.230951634067676,-0.00567110182014638,-0.155563355789283,-0.129299857109798,0.0255136284124621,-0.0163604940590864,0.0212578985217553,0.0365945621484607,-0.0396843054490141,0.0335005615860999,0.0335005615860999,0.229307497981628,0.129600717444449,-0.169038853929981,-0.0336208138929372,-0.0212578985217553,-0.0302927258847435,-0.0301864298912848,0.0168642038133577,-0.0822037064204814,-0.0268923787554304,0.155036387622038,0.270825654425301
"miR200a",-0.0983637481203213,-0.00536935839163492,-0.163164964054574,-0.0526270751352257,0.0730023613592791,-0.00430805815349185,0.0104313598308711,0.0228733661183037,0.0124250544364495,0.0143169978640111,0.0143169978640111,0.12783060511081,0.128099898811383,-0.0668800131183042,-0.0143806081139659,-0.0104313598308711,-0.0640217085041922,-0.0636485078644197,0.00427995871104394,-0.0976788545782707,-0.0784591528045794,0.162640847488168,0.205827737025831
"miR200b",0.0942129439115466,-0.00210195161441789,0.0702636461894395,0.0307416339070741,0.0606457747332539,-0.013828110583364,-0.00504875100429061,-0.000785055010075558,0.0790358618350594,-0.00983139067043331,-0.00983139067043331,-0.10555716101354,-0.105533299546401,0.0356817358101124,0.00973787244330677,0.00504875100429061,-0.0474613369809606,-0.0475075427744562,0.0136432458304173,0.0410954812797968,0.00949187481584708,-0.0700619243494481,-0.100299442720209
"miR200c",-0.0942129439115466,0.00210195161441789,-0.0702636461894395,-0.0307416339070741,-0.0606457747332539,0.013828110583364,0.00504875100429061,0.000785055010075558,-0.0790358618350594,0.00983139067043331,0.00983139067043331,0.10555716101354,0.105533299546401,-0.0356817358101124,-0.00973787244330677,-0.00504875100429061,0.0474613369809606,0.0475075427744562,-0.0136432458304173,-0.0410954812797968,-0.00949187481584708,0.0700619243494481,0.100299442720209
"miR141",-0.0942129439115466,0.00210195161441789,-0.0702636461894395,-0.0307416339070741,-0.0606457747332539,0.013828110583364,0.00504875100429061,0.000785055010075558,-0.0790358618350594,0.00983139067043331,0.00983139067043331,0.10555716101354,0.105533299546401,-0.0356817358101124,-0.00973787244330677,-0.00504875100429061,0.0474613369809606,0.0475075427744562,-0.0136432458304173,-0.0410954812797968,-0.00949187481584708,0.0700619243494481,0.100299442720209
"FOXC2",-0.0213282169420179,0.0179451342160751,0.0815110751232241,-0.0528866578745051,-0.0696959098799441,0.0115314439604948,-0.00924498403654098,-0.0170381689301834,0.00741365151545809,-0.00492446894496133,-0.00492446894496133,-0.0258927137388325,-0.0262346553156716,0.0304457517578818,0.00512979378756688,0.00924498403654098,0.0608775137475835,0.0604708994889768,-0.0111540216982145,0.125352859301632,0.112465475380927,-0.0812183821769529,-0.0737236562254856
"ZEB1",-0.0212630133796769,0.0179781992431203,0.0816859529659075,-0.0528715361116774,-0.0698259773708167,0.0111540216982145,-0.00938690025158113,-0.0172659318301377,0.00736534233671412,-0.00512979378756688,-0.00512979378756688,-0.0262346553156716,-0.0261969223143887,0.0305697191946284,-0.0949139238275418,0.00938690025158113,0.0606476022635049,0.0608775137475835,-0.0115632592903831,0.125475150814871,0.112389461707909,-0.0815110751232241,-0.0739358544481009
"GRHL2",0.0355387937432284,0.0224813376223827,0.0905761949501566,-0.101202213465713,-0.250323966827492,0.0143285372259961,-0.125349949581101,-0.0747385500391063,-0.10462364223834,-0.125859733115519,-0.125859733115519,-0.199826207251421,-0.200112797383186,0.148553703041999,0.12600494008458,0.125349949581101,0.110669110803161,0.110698615983923,-0.0145077383358868,0.131365886894266,0.115963665207423,-0.0899379626335934,-0.0923701578821729
"CDH1",0.389449064346618,0.0571093357820721,0.360658976005374,0.272750661619613,-0.0333666804299352,0.200572808983147,-0.0445516221446448,-0.0347224935277554,-0.00441320291057125,-0.0325984868760174,-0.0325984868760174,-0.240356232974811,-0.241004799785376,0.305988872354366,0.0327958204660448,0.0445516221446448,0.0340533244448609,0.0337708385691547,-0.201077457057517,0.106418955303573,0.0445118669848598,-0.358934670741876,-0.432941429077838
"SNAI1",0.0970757140928395,0.0976416362951003,0.113653042216262,0.124606234149438,0.0749155847136446,0.0462913784324333,-0.0185025280937042,0.0714642643924231,0.0927854979203614,0.0675282707640165,0.0675282707640165,-0.000363213311400127,-0.000289249824773077,0.0446311996145121,-0.0675743656329704,0.0185025280937042,-0.0735002976200412,-0.0733692023002667,-0.0460977334618377,0.120828577963174,-0.0789816450849654,-0.113562257631547,-0.100088147010985
"miR101",0.0614899877339237,0.105473380508741,0.139642361197105,0.0412670892220202,-0.064321070744708,0.0475511771216375,-0.0634198053598954,-0.0232190675261154,0.0295061617284142,-0.0191230111296923,-0.0191230111296923,-0.0339833743794168,-0.0342801824351564,0.100871497751383,0.0192854975342274,0.0634198053598954,0.0524426851183816,0.0521408795336661,-0.0476548402492086,0.148627985041723,0.0535487699026081,-0.239407095226932,-0.132694748580594
"GSC",0.0304348248906756,0.127626446952607,0.0694618005026824,0.0463817527320049,0.12121340841068,0.210489648235813,0.00815257524640665,0.149228442465061,0.118157854889688,0.13589027960353,0.13589027960353,0.0378154813156123,0.0378545984898855,-0.0171229205310721,-0.135870249437618,-0.00815257524640665,-0.132549829947406,-0.132477031617937,-0.21037624419799,0.0194043566208237,0.0842751234319919,-0.0697102610218187,0.0380675518325253
