"","miR200a","miR200b","miR101","TWIST2","TGFbeta","OVOL2","GRHL2","CLDN7","FOXC2","miR34a","TCF3","TWIST1","miR141","ZEB1","miR205","NP63","SNAI1","GSC","SNAI2","KLF8","ZEB2","miR200c","CDH1"
"KLF8",0.0231707931767437,0.0541062882990494,0.118390630486136,0.113887268614182,0.0174737168319753,0.0110346352317238,-0.0183706335823033,-0.017978769185095,-0.103151395332664,0.0683779659367698,-0.0157616543363936,-0.0161488760208079,0.017978769185095,0.0157441936081648,-0.000434782608695652,-0.0039029907011812,-0.171740255624081,-0.0181081195870958,-0.0917244232722879,-0.115961782326398,-0.0688632079755059,-0.0409175139046671,-0.103269063949326
"TGFbeta",-0.0119964871988936,0.167335536999784,0.211381568734422,0.211316307846417,0.117378988424343,-0.107592767165618,-0.0871517800032362,-0.0820795967817561,-0.0529385770451981,0.198397540616327,-0.147766773223771,-0.14956152284372,0.0820795967817561,0.0829381742364213,0.0972322889158765,0.0990093398834426,-0.2808267534653,-0.216606192240106,-0.171098904728214,-0.209504287917864,-0.0665361228075768,-0.0679927706005007,0.0167637947668946
"ZEB1",0.00528278934424573,0.0311797333798993,0.0733419461123604,0.123298011236296,-0.0211317445530412,-0.177655439784127,-0.035344288935341,-0.0121965861335253,-0.122516999082062,0.0453756857035609,-0.0199597128299902,-0.0209362342503632,0.0121965861335253,-0.086840444776919,0.143797130689805,0.145492727884885,-0.153733130430918,0.0216794447837843,-0.043050468423978,-0.072726934539562,-0.0360322360097596,-0.0214888142753585,0.0938280774734559
"OVOL2",-0.121419140099141,0.0643716557164214,0.00660922224122374,0.00113080764425605,0.234374855602433,0.0685609103238317,0.00512499696873013,-0.132766461595385,0.000877702812041436,0.180943914715302,-0.109356053662014,-0.109530501543461,0.132766461595385,0.131983998337463,-0.180219429777706,-0.181320349191269,-0.175062996540455,-0.234609781748818,0.016242505156477,-0.00570554502068922,0.00294646725640125,-0.120231614633342,-0.0823484591682556
"FOXC2",-0.00412372450782024,-0.0315550554814978,-0.072726934539562,-0.122376414544184,0.0216794447837843,0.178047778889038,0.0370957591958519,0.0138243062625867,0.121928513402331,-0.0462715457903951,0.0207483563631133,0.0199597128299902,-0.0138243062625867,-0.0121965861335253,-0.14653500003109,-0.143797130689805,0.153513587834933,-0.0210183577352286,0.0430501089690555,0.0725506341099367,0.0358871032574621,0.0222231194298346,-0.0943777916286226
"GRHL2",-0.0102996841206781,-0.0537316422734971,0.0234275350304673,0.00232758641283912,0.140957282446348,0.25375603062352,0.0963477148876764,0.00135971536210572,0.0336622105391424,-0.000358675146466689,-0.0359305294570092,-0.0372629764192614,-0.00135971536210572,-7.94921145791529e-05,-0.338017398420146,-0.335519871648533,-0.0201880149706923,-0.140276007258844,-0.0226728462709859,-0.022535770428152,0.0398450122217899,0.0162937935303867,-0.0992484700736972
"CLDN7",-0.0231707931767437,-0.0541062882990494,-0.118390630486136,-0.113887268614182,-0.0174737168319753,-0.0110346352317238,0.0183706335823033,0.017978769185095,0.103151395332664,-0.0683779659367698,0.0157616543363936,0.0161488760208079,-0.017978769185095,-0.0157441936081648,0.000434782608695652,0.0039029907011812,0.171740255624081,0.0181081195870958,0.0917244232722879,0.115961782326398,0.0688632079755059,0.0409175139046671,0.103269063949326
"CDH1",-0.0251642967752406,-0.0540486019647941,-0.12047726631157,-0.116034938462581,-0.0185764850051447,-0.0113678210002645,0.0159974881094598,0.0157441936081648,0.105057124468216,-0.0678216745460413,0.0161488760208079,0.0184702571629062,-0.0157441936081648,-0.0172522714506509,0.0039029907011812,0.000898368205033281,0.173469421435064,0.0174737168319753,0.0921989626129611,0.118390630486136,0.0697204589830541,0.0403167029159827,0.00395601379724927
"SNAI2",-0.0246467756547841,-0.0550497473292943,-0.121375604905445,-0.116217355830516,-0.0183580211464783,-0.0108607236537043,0.0176717846624625,0.0172522714506509,0.105661811749415,-0.0693918538302887,0.0184702571629062,0.0186516137098776,-0.0172522714506509,-0.0164866518335122,0.000898368205033281,0.00208390305216168,0.174776264662855,0.0185764850051447,-0.00737560364138996,0.12047726631157,0.0703241726068106,0.0415522263116672,0.00347948602374881
"miR101",-0.041296738803492,-0.0279716418200343,0.251942467889139,0.0705675819550333,0.00386311154474915,0.0942939429158396,0.0042347089343673,-0.00337810347220738,-0.170848569864647,0.136628602632066,-0.251674823004908,-0.252911142200046,0.00337810347220738,0.00397795186217475,-0.0675529123523028,-0.0662354653651099,-0.339337262977992,-0.00335250107597688,-0.109223126989231,-0.350650498832595,0.0736703372575793,0.0372837347928089,0.0702246236563439
"ZEB2",-0.282320491416956,-0.26043277930235,-0.154106355432542,-0.121843737732684,-0.0886083887175743,-0.0631520989090147,-0.0448908114246192,-0.0394367186099392,0.00629690275937362,0.0172607346400788,0.03604530591588,0.0363879106863673,0.0394367186099392,0.0396736220245398,0.0569718746552976,0.0574676912031749,0.0720089101336922,0.0885412659444801,0.14485686553672,0.153417262588966,0.222985189843325,0.247192394717486,0.266888057357591
"SNAI1",-0.0540622785139065,-0.181587572237637,-0.39045432622199,-0.234946731108652,-0.0505360110074501,0.148978901915435,0.12514072546694,0.115967205214578,0.269286004021609,-0.315984622552901,0.325525942369646,0.327095028661728,-0.115967205214578,-0.116051442236402,-0.138025316128815,-0.138471285254029,0.434564649840662,0.0501131115997435,0.204419704549007,0.38826145733552,0.25448524847624,0.172596530876923,-0.10003052114207
"TWIST1",-0.158042553266584,-0.115198417955042,-0.23183126901529,-0.172536005431188,-0.0450828739969536,-0.137123356171594,-0.0862014274434024,-0.0759044832295484,0.0857983835541339,-0.0842213177984034,0.267139660041129,0.168566866001572,0.0759044832295484,0.0753475750632484,0.119728966226042,0.118601619223135,0.358007389799985,0.0445285527036835,0.178042335936612,0.230230910503116,0.27847813480549,0.0871268237512332,0.134516356822506
