"","miR200a","miR200b","KLF8","TWIST2","SNAI2","TGFbeta","ZEB1","GRHL2","TCF3","NP63","miR205","FOXC2","miR34a","TWIST1","OVOL2","miR141","CLDN7","SNAI1","GSC","miR101","CDH1","miR200c","ZEB2"
"ZEB1",-0.00776615446846212,0.00243545187260479,-0.027890555963662,0.0951540895659288,0.0217964385461564,-0.0135349410496302,-0.108481800894099,-0.00662958344837464,-0.0213910432413276,0,0,0.117184057643753,-0.0192249425555784,0.0214625546561118,-0.0560048422376232,0.0084478992923614,0.0084478992923614,0.166116575524674,0.0135827361845886,0.0280198773935456,0.0035297686195517,-0.00277065945312427,0.00624525799927334
"GRHL2",-0.00600662905063155,0.0933592245928452,-0.0571046934421692,-0.074114640295379,-0.0813501795974263,0.108342481887011,-0.00477493449506122,-0.00512339965413077,-0.010822685622142,0.00853631481530386,-0.00853457921643547,-0.0509121294837413,0.0270508242638871,0.0107359754076787,-0.0353288664637852,0.00467645578371302,0.00467645578371302,-0.134447846280807,-0.108615768028133,0.0571073344034791,0.0143644019341585,-0.000696723838292436,0.0111219707705131
"OVOL2",-0.0190353638127806,-0.0134639848775124,0.0621880187320645,0.0783399760989119,0.0773097800788151,-0.00750695725220539,-0.0159029125680436,-0.0145870302436221,0.00992547862725124,0.00906664885944927,-0.00906556846748307,0.0189486105745039,0.00888512442255289,-0.00982116958473631,-0.0268832087946652,0.0158095713181404,0.0158095713181404,0.107338728223416,0.00736021452733766,-0.0620695756012178,-0.0350925111629845,-0.000211326299361545,0.0248987673835542
"TCF3",-0.0137620607519927,-0.0208660998283368,0.0146314228230623,0.0340380860662801,0.0307849718022822,-0.00770186065869178,0.00102472094091686,0.000754940716389873,0.0803427221677511,0,0,0.0257819175635125,-0.00324517249605806,-0.0802459167466475,-0.0135394591473131,-0.000779685648520266,-0.000779685648520266,0.0104561202095705,0.00851752134384676,-0.0148847382753049,-0.0821378391977507,0.014664375515372,0.0294779435245921
"CLDN7",-0.0137620607519927,-0.0208660998283368,0.0146314228230623,0.0340380860662801,0.0307849718022822,-0.00770186065869178,0.00102472094091686,0.000754940716389873,0.0803427221677511,0,0,0.0257819175635125,-0.00324517249605806,-0.0802459167466475,-0.0135394591473131,-0.000779685648520266,-0.000779685648520266,0.0104561202095705,0.00851752134384676,-0.0148847382753049,-0.0821378391977507,0.014664375515372,0.0294779435245921
"SNAI2",-0.0138289748880082,-0.0209222911532941,0.014700337900034,0.0340107263378168,-0.0692394672032478,-0.00793373318877575,0.000876936472368871,0.000836968034781346,0.0802406046616542,0,0,0.0257862191877684,-0.00336496524654249,-0.0801612611723542,-0.0135997933120112,-0.000872308818537945,-0.000872308818537945,0.0104241436604824,0.00784712325664174,-0.0146788332696015,0.0179322674174916,0.0148386032004374,0.0296603901965142
"NP63",-0.0595847133336623,0.0475435249737396,0.00183447908140177,0.000922772303572956,0.0067138872468335,-0.00276995886064825,-0.0226931919242908,-0.100165101582875,-0.0698325798476705,-0.00418403674447556,-0.0958159632555245,-0.0209300361481063,0.0144513994047842,0.0699694585641521,0.078308313377374,0.0227654592523336,0.0227654592523336,0.0104470052270496,0.002732302458204,-0.00184544459486194,-0.0552545149576404,0.0321644122951973,0.130774384571409
"SNAI1",-0.182557594432997,0.0200292941524017,-0.297749523252261,0.00095713266087376,-0.1184820630787,0.0410876641597033,-0.148339392295549,-0.146853423618401,-0.336700044590164,0,0,0.198484481587633,-0.140965287889793,0.337102151692694,0.134626127688639,0.148252221261966,0.148252221261966,0.314790964670858,-0.041073417894469,0.298098622737815,0.213893552292946,0.0252237704330279,0.231406146977796
"miR141",-0.120781242057931,-0.0669170127976957,0.0584012964075969,-0.100613774821683,-0.0925363986423433,0.0838362584527354,0.0175031870772947,0.0149118252880874,0.0501375045349142,0,0,-0.0827337270928998,0.121165795480232,-0.050363778992521,0.0514944007016903,-0.0175703684290014,-0.0175703684290014,-0.258221683941032,-0.0839851085572713,-0.05843011381331,0.0420359209858898,0.140402646594265,0.271738595375188
"miR200c",-0.155853233436861,-0.10740100153476,-0.0616121898665008,-0.0256134220077898,0.034590552705992,-0.116990860775969,-0.0242887653745551,-0.0215713120046061,-0.0394067438144569,0,0,0.027024218107704,0.00517107989754594,0.0396862593209124,0.0815231653392904,0.0241711422106036,0.0241711422106036,0.154384739953394,0.116896551167751,0.0618949606600602,0.126013412966361,0.127892043774888,0.299275212741162
"TWIST1",-0.121494040759056,-0.0892909150070138,-0.149292853537728,0.0828051122952376,-0.00271668295782794,-0.0362177161507692,0.0329325922135685,0.0361577757068329,-0.28126577616127,0,0,0.0728961950812084,-0.113459205916885,0.181753493366986,-0.0565986701383611,-0.0330186026261347,-0.0330186026261347,0.343607360135196,0.0361566123338174,0.149664311985171,0.221938527544352,0.142313839226488,0.300728996511426
"ZEB2",-0.379902021024764,-0.289636212111417,-0.128587733504784,-0.119613138931509,-0.109045900702344,-0.0817124258524691,-0.0488561054977526,-0.0470891252360274,-0.029801979353858,0,0,0.00363641165199326,0.0261219876687172,0.0302095328960016,0.0437032811645454,0.0487385130256348,0.0487385130256348,0.0628862896826608,0.0815824909430848,0.129006359893162,0.30276356049238,0.334137850054719,0.405933736461318
