"","miR141","CLDN7","GRHL2","miR34a","ZEB2","miR205","NP63","OVOL2","miR200c","TGFbeta","TCF3","TWIST1","TWIST2","GSC","FOXC2","SNAI1","SNAI2","KLF8","miR200b","miR101","CDH1","miR200a","ZEB1"
"SNAI2",-0.0095001377320299,-0.0095001377320299,-0.00762263816796773,-0.0267407324480255,-0.0109620063566716,-0.0101187984478863,-0.0097362803393163,-0.0124608488624694,-0.000262403418497371,0.00557017010928339,0.0476718509522006,-0.0467877377857153,0.0630171742213162,-0.00566625973548181,-0.0342116062820947,-0.0588659790825053,-0.0372379308934323,0.0601186649465723,-0.0116247497615776,0.0611182834128066,-0.0129665188241703,0.000262403418497371,0.0093186308651058
"miR34a",0.158690316192992,0.158690316192992,0.145914046355592,0.0230451430562388,0.00399566855599965,0.112174980833045,0.112112536418036,0.0922940752150156,0.13316990576876,0.0846422594500687,0.0276792160926396,-0.0277603101538774,0.245545261965629,-0.0845957980582785,-0.137791391012608,-0.148889214303497,0.160215184270528,0.154732479654391,-0.144505390661927,0.154706550029314,-0.071752218416314,-0.13316990576876,-0.158702214637389
"miR101",0.256625144759144,0.256625144759144,0.233856271907851,0.120550366197697,0.0109400194033509,0.158488471472627,0.15827851976152,0.119123498151434,0.128605730186727,0.0833557683254983,-0.0151349778968588,0.0148589066202746,0.0690403184324812,-0.0833566067663337,-0.167635005778844,-0.0882231809905317,0.111972007147981,0.237231115994979,-0.132038713958105,0.137491636504323,-0.0638709308789822,-0.128605730186727,-0.25669040299058
"TCF3",0.00956578211077865,0.00956578211077865,0.00788098990410898,0.0265107995411367,0.0110282153426087,0.00833333333333333,0.0100674373795761,0.012381993298083,0.000532390158855334,-0.00532049383331924,-0.0462452090204118,0.0469228469681369,-0.0639230678787469,0.00640804141352587,0.0337740095193626,0.0590941456164536,-0.0618880427150449,-0.0596848875366501,0.0122530149933232,-0.0618753211531007,0.113282920133393,-0.000532390158855334,-0.00917445709157812
"KLF8",0.00956578211077865,0.00956578211077865,0.00788098990410898,0.0265107995411367,0.0110282153426087,0.00833333333333333,0.0100674373795761,0.012381993298083,0.000532390158855334,-0.00532049383331924,-0.0462452090204118,0.0469228469681369,-0.0639230678787469,0.00640804141352587,0.0337740095193626,0.0590941456164536,-0.0618880427150449,-0.0596848875366501,0.0122530149933232,-0.0618753211531007,0.113282920133393,-0.000532390158855334,-0.00917445709157812
"CDH1",0.00917445709157812,0.00917445709157812,0.00733883491920491,0.0264419253689513,0.0112174785520674,0.0100674373795761,0.0101187984478863,0.0121140467010048,0.0001523719009949,-0.00566625973548181,-0.0469228469681369,0.0476718509522006,-0.06199999095567,0.00532049383331924,0.0344012871345128,0.0593241534202898,-0.0632802342906622,-0.0618753211531007,0.0113818034323901,-0.0601186649465723,0.0126850368864412,-0.0001523719009949,-0.0095001377320299
"miR200c",0.225133619672658,0.225133619672658,0.208132336182484,0.116224408221422,0.0149122967441307,0.109355058664636,0.109834888058629,0.0789354939772143,0.108064124042448,0.14559890135533,0.0306585439024779,-0.0300980339715433,0.0766387915225567,-0.145372785547676,-0.098305856006984,-0.0931027898534645,-0.00584466525306359,0.0612602828542764,-0.0994565080431516,0.0612530785028482,-0.12587744309869,-0.108064124042448,-0.225187855780514
"miR200b",0.300419856680008,0.300419856680008,0.268849680509508,0.243423394310137,0.0275996177843178,0.153283603519763,0.153443546651094,0.112060833837267,0.145765493818592,-0.00866281741946982,-0.00821205604248933,0.00835551109077601,0.164696277507642,0.00881962134638556,-0.00452522094947224,-0.0433510645791809,0.137737284121842,0.0726873402097364,-0.163299786773622,0.0732907046418534,-0.0854955428259558,-0.145765493818592,-0.300553549801843
"miR141",0.300419856680008,0.300419856680008,0.268849680509508,0.243423394310137,0.0275996177843178,0.153283603519763,0.153443546651094,0.112060833837267,0.145765493818592,-0.00866281741946982,-0.00821205604248933,0.00835551109077601,0.164696277507642,0.00881962134638556,-0.00452522094947224,-0.0433510645791809,0.137737284121842,0.0726873402097364,-0.163299786773622,0.0732907046418534,-0.0854955428259558,-0.145765493818592,-0.300553549801843
"GRHL2",0.254782756985664,0.254782756985664,0.124086310432272,0.224543905967005,0.0344005650592954,0.0995146471743892,0.0997211834397275,0.0106152116722274,0.224599521191581,0.0115294826429736,0.0117945041303585,-0.0115546058703435,0.111722884295753,-0.0113482157704646,-0.0204515618941106,-0.0632660919564413,0.0668007431807423,0.0713426164928772,-0.202249770137762,0.0715723801268399,-0.153345611823796,-0.224599521191581,-0.254915735999436
"FOXC2",0.313286071367345,0.313286071367345,0.266231559526548,0.256287465532645,0.0526125068034419,0.149619552564739,0.150229473952649,0.109342511927266,0.256179426882699,0.115175733340206,0.0226222873752517,-0.0219519403720971,0.238335569892489,-0.114809910129429,-0.164740496421856,-0.176603208956958,0.128773067567078,0.142297731355089,-0.293637418126925,0.14286428904641,-0.208094438172784,-0.256179426882699,-0.313465039811935
"TWIST1",-0.207020154776375,-0.207020154776375,-0.186783509745727,-0.141629134131567,0.0798247145984825,-0.14064736190542,-0.141322984499496,-0.113293659339858,-0.154539033856487,-0.0811207027139527,-0.211861240026579,0.111250980809378,-0.172602233485369,0.0808170637466385,-0.159598518473633,0.0451686727945141,-0.1181302301236,-0.0488712405700587,0.0836550663362519,-0.0493791328172329,0.123325737208533,0.154539033856487,0.207153057522908
"GSC",0.148009477314865,0.148009477314865,0.138225494756145,0.0215308573372945,0.137914911493417,0.112530311428501,0.112195055963837,0.0951135294774634,0.0112224682080362,0.0343235382988491,-0.213157651037441,0.212858967163176,0.0245102668537187,-0.0344072735000275,-0.0727839377747632,-0.143864857792976,0.0252286293136277,0.131675471936331,-0.140543632936216,0.131369524473552,-0.0794734815948103,-0.0112224682080362,-0.147957591945332
