"","miR200a","CDH1","miR200c","TWIST2","miR101","KLF8","NP63","miR205","TCF3","miR141","CLDN7","miR34a","SNAI1","FOXC2","ZEB1","GRHL2","TWIST1","TGFbeta","GSC","OVOL2","miR200b","SNAI2","ZEB2"
"FOXC2",0.0133049560296613,-0.064830585337897,0.0233083017419358,-0.176948081066756,-0.118629967826343,-0.118922660772614,-0.127912608436097,-0.128495422206766,-0.111883195640403,-0.00695802096594797,-0.00695802096594797,-0.0204823219389626,0.0986874164542855,-0.126134189849701,0.00681731180880008,0.0292318179918078,0.111708567429497,-0.0507063228444773,-0.0506270792409559,0.156389930394012,-0.0480303443340755,0.126944933014859,-0.0484867942412336
"GRHL2",0.0092743447063981,0.0207947691403145,0.0157574013480717,-0.150598818487863,-0.178366884862554,-0.178667074131448,-0.335644255988538,-0.335996582558821,-0.0679671489252848,-0.00298665447694324,-0.00298665447694324,-0.0153328476486738,0.0878976751342981,-0.119924725465987,0.00291481523961828,0.0982302788197826,0.0677792767939478,-0.173044281566092,-0.172977207279934,0.25140970638692,-0.138914437763153,0.181268357041942,-0.0280592583340815
"OVOL2",0.11739526942745,0.15417184445031,-0.100427046332021,-0.0891440286412506,-0.113904827491371,-0.114024367317874,-0.200763216037568,-0.200785904268858,-0.00493249299931722,0.114636635987937,0.114636635987937,0.0853998073919628,0.0672955215772843,-0.0955144943009418,-0.114625358951922,0.0210241338860966,0.00485516043331478,-0.218026092084958,-0.218107386176669,0.0912385767879741,-0.0089946230416649,0.105296860457963,-0.0224993030210937
"NP63",-0.0112874037312776,0.104776652659988,-0.00629575026645867,0.297821036621178,0.299082546347629,0.299471822075465,0.254130578094033,0.354796958145624,0.15879736672055,-0.00426687316956879,-0.00426687316956879,-0.00165698051034471,-0.00758438870707231,0.0699377651985588,0.00444635399836987,-0.151805649184573,-0.158476487106503,0.13232588285869,0.132248858399145,-0.155259991796173,0.171389600143049,-0.335954121261562,0.00420321881166175
"miR101",-0.106045038802203,-0.0133716555022945,-0.0166879430597001,-0.053215725755957,-0.0343729261595889,0.0657932221244316,-0.135708011404297,-0.135676518647631,-0.0322994097414479,-0.0908879451509703,-0.0908879451509703,-0.0648041695598262,0.0236544224359281,-0.109657400210995,0.0909060724374803,0.106014904673032,0.0324139847771844,-0.00645440572165024,-0.0063931995406644,0.150437930655893,0.0209915135954243,-0.0602868891513914,0.127350819565016
"miR34a",-0.144828455229773,-0.0530996024725691,-0.0215934125497056,0.20382301878821,0.0936823176154733,0.0941183194593577,-0.0825349276520906,-0.0822870422470534,0.119101570691103,-0.0367451202755838,-0.0367451202755838,0.0278468475528465,-0.078660048020294,0.139051661093678,0.0367094249423917,0.0414174078187721,-0.118770108557305,0.0173806398340024,0.0175218341934688,0.104880652102126,0.0813034434667987,-0.104967189850134,0.20415968536313
"miR200b",-0.140650238319521,-0.0934830657354312,-0.119382058349909,-0.0182587324906544,-0.0205458662214586,-0.0201370192779047,0.0958548330526549,0.0964199654500247,-0.02603509729336,-0.0179076514418684,-0.0179076514418684,0.0874938564398112,-0.0787287023486817,0.0903096821033521,0.0179467103672793,0.00345497029309376,0.0262732030951554,0.136884614472185,0.137106185238479,-0.126008672480766,0.0761589003466816,0.121275277839185,0.269962044064375
"TCF3",-0.125933927801775,0.181642062046982,-0.138116288584664,0.322714011843188,0.278138987921642,0.280299619720182,0.0285264304264053,0.0301449275362319,0.157670172623823,0.0134403942113285,0.0134403942113285,0.00803787574343505,-0.00307960808144786,0.0710039289487117,-0.0131148995691898,-0.0167343464855054,-0.156218091307269,0.24544567450006,0.244775020158932,-0.0326555498580082,0.335070237994467,-0.324709952617915,0.28038845389225
"KLF8",-0.125933927801775,0.181642062046982,-0.138116288584664,0.322714011843188,0.278138987921642,0.280299619720182,0.0285264304264053,0.0301449275362319,0.157670172623823,0.0134403942113285,0.0134403942113285,0.00803787574343505,-0.00307960808144786,0.0710039289487117,-0.0131148995691898,-0.0167343464855054,-0.156218091307269,0.24544567450006,0.244775020158932,-0.0326555498580082,0.335070237994467,-0.324709952617915,0.28038845389225
"CLDN7",-0.125933927801775,0.181642062046982,-0.138116288584664,0.322714011843188,0.278138987921642,0.280299619720182,0.0285264304264053,0.0301449275362319,0.157670172623823,0.0134403942113285,0.0134403942113285,0.00803787574343505,-0.00307960808144786,0.0710039289487117,-0.0131148995691898,-0.0167343464855054,-0.156218091307269,0.24544567450006,0.244775020158932,-0.0326555498580082,0.335070237994467,-0.324709952617915,0.28038845389225
"CDH1",-0.127349973488886,0.0806670670214468,-0.139154439020942,0.320727768159864,0.276544086430264,0.278138987921642,0.0268571957063231,0.0285264304264053,0.156218091307269,0.0131148995691898,0.0131148995691898,0.00778357110767346,-0.00305496438817969,0.0708426289905302,-0.0127571321661319,-0.0162636131153791,-0.155022872183763,0.24541907712297,0.24544567450006,-0.031842390185136,0.335074675404794,-0.323185769967409,0.281372622581435
"TWIST2",-0.119030248334202,-0.123617546488671,-0.161868493006409,0.0870299662152846,0.0451374495515244,0.0455111253920778,0.0812246302682722,0.0816953352988252,0.172330497809588,0.0460104092808493,0.0460104092808493,0.0317209794376346,-0.0269862159139123,0.0847325696866642,-0.0459965265650457,-0.0538014045194486,-0.17203555458972,0.0447833783064033,0.0449757631415663,-0.096889103546494,0.120603931427883,-0.0535712649404934,0.294985781704466
"ZEB2",-0.362450932725422,-0.342147437488272,-0.311872395765509,-0.225347144077556,-0.194494822509141,-0.193588958756618,-0.0704733608841405,-0.0699465558020209,-0.0626924087230598,-0.0531613414658177,-0.0531613414658177,-0.039327517194451,-0.0218947929314245,0.0174706148289324,0.0531007040115106,0.0586688594685516,0.0633532624746632,0.0705469296348721,0.0710759063512753,0.0765381453429876,0.232060828733008,0.26109258578764,0.357427289958534
