"","CDH1","miR200c","miR200a","miR200b","TWIST2","miR101","SNAI2","TGFbeta","GSC","miR34a","ZEB1","miR205","NP63","TWIST1","FOXC2","TCF3","OVOL2","SNAI1","GRHL2","miR141","CLDN7","ZEB2","KLF8"
"FOXC2",0.0801994051605606,0.221602473452003,0.221602473452003,0.228655707790039,-0.161198952439498,-0.000598928268172155,-0.0463002326863703,0.00545391382357397,0.00554618377287978,-0.207727116880202,-0.231683663811096,-0.109594516381112,-0.109418316869049,-0.00742672828990518,-0.108366619085675,0.00741546195371771,0.0817434228159891,-0.128352052544192,0.204101168830883,0.231717246963406,0.231717246963406,-0.00148897776462185,0.000686222655656536
"ZEB1",-0.0801962502604024,-0.221565881814675,-0.221565881814675,-0.228655194821335,0.161264156001839,0.000646689023526871,0.0462639277391922,-0.00548661575801917,-0.00545391382357397,0.207698375976392,0.131699205832267,0.109418316869049,0.109458551378763,0.00740809926588576,0.108340268980613,-0.00742672828990518,-0.0817073671460346,0.128342137717276,-0.204090970492079,-0.231683663811096,-0.231683663811096,0.00151169419541624,-0.000598928268172155
"OVOL2",-0.022154149898778,0.0980171415389432,0.0980171415389432,0.10957194748242,-0.117972966989224,-0.090877395443464,-0.109752970978509,-9.05918347633871e-05,-6.54201113023014e-06,-0.0659119298786829,-0.0999997902568109,-0.0376994650661925,-0.0375925062615382,-0.035422144666224,-0.00109739958919375,0.035350207395524,-0.0286952727393331,-0.103442297583259,0.0248341656567227,0.100041229967467,0.100041229967467,0.00555868660299542,0.0909892584003748
"NP63",-0.0564053930996017,0.0119546399128807,0.0119546399128807,-0.0766218159357498,0.0069440228849318,0.0147544666071038,0.021171045598483,0.00207714804786177,0.00214047927015436,-0.0316311155096448,-0.041726707863016,0.0743088786297575,-0.0255352744226931,0.0685369092019585,-0.0244786849047008,-0.0685885192098122,-0.0542556204441221,0.00304873972561383,0.113438233749489,0.0417304399785487,0.0417304399785487,0.0492387017217234,-0.0147297942018184
"TCF3",-0.135202258119769,-0.105881811904367,-0.105881811904367,-0.0606464380376849,-0.0104762871133193,-0.0260934849078185,-0.0312091249336028,-0.0207870928950255,-0.0200258095888809,0.0654874105024529,0.118141315610423,0.0861231884057971,0.0875104716427913,-0.0707988742476095,0.0280998572710624,0.0698792227471254,-0.0743063682205748,0.0220882432827105,-0.109901572398471,-0.117823135454624,-0.117823135454624,0.0941664181578916,0.0266150167212591
"KLF8",-0.135202258119769,-0.105881811904367,-0.105881811904367,-0.0606464380376849,-0.0104762871133193,-0.0260934849078185,-0.0312091249336028,-0.0207870928950255,-0.0200258095888809,0.0654874105024529,0.118141315610423,0.0861231884057971,0.0875104716427913,-0.0707988742476095,0.0280998572710624,0.0698792227471254,-0.0743063682205748,0.0220882432827105,-0.109901572398471,-0.117823135454624,-0.117823135454624,0.0941664181578916,0.0266150167212591
"CLDN7",-0.135202258119769,-0.105881811904367,-0.105881811904367,-0.0606464380376849,-0.0104762871133193,-0.0260934849078185,-0.0312091249336028,-0.0207870928950255,-0.0200258095888809,0.0654874105024529,0.118141315610423,0.0861231884057971,0.0875104716427913,-0.0707988742476095,0.0280998572710624,0.0698792227471254,-0.0743063682205748,0.0220882432827105,-0.109901572398471,-0.117823135454624,-0.117823135454624,0.0941664181578916,0.0266150167212591
"ZEB2",-0.187819908828356,-0.173971359682087,-0.173971359682087,-0.169257180757136,-0.114912057831856,-0.106663743448593,-0.091735751927453,-0.0665775927136207,-0.0665387969823828,-0.0593188744481647,-0.0577889840449923,-0.0363970227800397,-0.0363040571773127,-0.0126547332668245,-0.00174466131836867,0.0125881607758767,0.0276943843893967,0.0308436347666088,0.0549143142409896,0.0578201620073284,0.0578201620073284,0.100044516623852,0.106658771638754
"SNAI1",-0.136109063868956,-0.138184742558783,-0.138184742558783,-0.0559934322412823,-0.0696800380942179,-0.111103764729765,-0.109143226096263,-0.0369708872958573,-0.0369535185615307,0.0272456013228257,0.151140776373549,0.120386814381713,0.12041376855961,-0.0305787934385685,0.0998318127889585,0.0305506919256852,-0.104853321249373,-0.079830008594942,-0.141229404892693,-0.151126801212275,-0.151126801212275,0.118732583858028,0.111113435939821
"miR200a",0.0140062366047989,0.0406130588960498,0.0406130588960498,0.0667491448330437,-0.114375993646573,0.0103450407813263,-0.106951536812681,0.0782070353403223,0.0783013449485398,-0.131207844094044,-0.252078503485464,-0.12594565761456,-0.125750171565155,-0.0181386811382856,-0.0253638987877214,0.0181017081876962,0.0921719712812902,-0.143847877741176,0.229086862441727,0.252103724391587,0.252103724391587,0.174723542580299,-0.0102729972670437
"TWIST1",0.0677408326762207,-0.0428062145066612,-0.0428062145066612,-0.0427211392572315,0.0389819826915839,-0.00408765481701858,0.0548269377994319,-0.00818322237778592,-0.00810895773872146,-0.0592741611796765,-0.0827752572812744,-0.0644376060702689,-0.0642490602300615,-0.0185758142487577,-0.0273290892851513,-0.0814233688044991,0.0592637739650711,-0.0113546923867555,0.075891296408214,0.0827867335630084,0.0827867335630084,0.181279205062039,0.00410856802719634
"miR205",-0.106240569874771,-0.204790442856951,-0.204790442856951,-0.209092255567591,0.125167651549489,-0.0211603060586189,0.0116412461507717,-0.0247082953464363,-0.0247749514327718,0.191113600336919,0.208512954233522,0.100001865600268,0.0999324968558418,0.00157020260065607,0.105497569514427,-0.00152489968891438,-0.0735541617231943,0.129034848493967,-0.191812887225596,-0.208534071983612,-0.208534071983612,0.199559950429639,0.0210464065655342
"miR200b",-0.141972913776166,-0.227453453326922,-0.227453453326922,-0.217747412856745,0.0843780744365744,-0.0349373006777212,0.0754094487235881,-0.121484958555144,-0.121578131903021,0.111067230104163,0.229678397839581,0.112963137075685,0.112852954029657,0.0129844596747992,0.0246052010781092,-0.0128942456753612,-0.0826023984594028,0.153360431278827,-0.210885758617105,-0.229698708480795,-0.229698708480795,0.224380249277809,0.0347932136491559
