"","ZEB2","TWIST2","KLF8","miR101","miR34a","SNAI1","FOXC2","ZEB1","CLDN7","miR205","miR200c","TWIST1","TCF3","miR200a","miR200b","GSC","TGFbeta","CDH1","GRHL2","NP63","OVOL2","miR141","SNAI2"
"miR101",-0.0120214654012415,0.0529162165731539,0.106779024728667,0.00676573286594581,-0.0458402581002193,0.00464889737024129,0.0877520104735262,-0.117180173933636,-0.117029552662089,-0.109121101439313,-0.0549394775302103,0.0330101447959009,0.0328300983111721,-0.0649678553617816,0.0866641446064951,0.0511733018582607,0.0512529537376259,0.0187114591021824,0.103642819442013,0.109155218592368,0.113948132937049,0.117029552662089,-0.112519858703948
"miR200a",-0.011001693026409,0.00393711730351715,-0.0797028859133482,-0.0794939597219286,-0.100248757967962,0.0504868013875687,0.0590165573104564,-0.184551497377819,-0.184529401185729,-0.133972321260416,-0.0865451410514123,-0.0201359413318882,-0.0200131911359316,-0.0956514391500355,0.0260593627983778,-0.0526344807348188,-0.0526537971605983,0.0953078748389332,0.170036150491327,0.133911898299691,0.127430654402228,0.184529401185729,0.0943962090556481
"miR141",-0.011001693026409,0.00393711730351715,-0.0797028859133482,-0.0794939597219286,-0.100248757967962,0.0504868013875687,0.0590165573104564,-0.184551497377819,-0.184529401185729,-0.133972321260416,-0.0865451410514123,-0.0201359413318882,-0.0200131911359316,-0.0956514391500355,0.0260593627983778,-0.0526344807348188,-0.0526537971605983,0.0953078748389332,0.170036150491327,0.133911898299691,0.127430654402228,0.184529401185729,0.0943962090556481
"miR34a",0.00806103871692202,0.0432446644724142,0.103523529844584,0.103463987742556,0.149740699364931,0.0794916704945564,0.119687164812793,0.208449137427443,0.208479121507325,0.177103241811332,0.16168720097805,0.0252229193642227,0.0249103529340148,0.168294993494191,0.014405566759536,-0.0549234738995772,-0.0548564970880355,0.0396718286521743,-0.191544914165124,-0.177018090336319,-0.169407976979909,-0.208479121507325,-0.250754629185692
"miR205",0.0229763081811847,-0.102230343890532,0.00366473814952715,0.00364846679337219,0.272662319675311,0.147087181886337,0.149697120662163,0.264753785234593,0.264456894512739,0.187968994870578,0.12757849681391,-0.0013419911351767,-0.00135846492126459,0.147875862055282,-0.109443301371856,-0.089378617408422,-0.0896388935550654,-0.0601218791291655,-0.228440814218631,-0.188414936799029,-0.180258033436834,-0.264456894512739,-0.0482621681250925
"NP63",0.027365232488598,0.19949276262367,0.171888047555604,0.171973030284921,-0.0186219766885285,0.077964699816061,0.0892000372486182,-0.0507403254192725,-0.0506198798725345,-0.159819160527377,-0.0343187218460989,0.20327612604794,0.203291833441635,-0.0260704970068935,0.147705226476601,0.13155407280704,0.131795416113614,0.0752078097641578,-0.0461415841942908,0.0604264262195527,0.165134563276797,0.0506198798725345,-0.191895178748234
"FOXC2",0.0501739633681595,-0.12190697950274,-0.0139211133257772,-0.0139947144760091,0.281247324118245,0.147848613740913,0.152889709542202,0.274195991300438,0.27382487621225,0.189950748661609,0.2304680384157,-0.00832963812440886,-0.00838596980534622,0.26404024642118,-0.212940044525681,-0.126266137554512,-0.126668868745011,-0.142792611935341,-0.227610688058375,-0.190723315752962,-0.184878200292663,-0.27382487621225,-0.0347073657218167
"ZEB1",0.0502093000382841,-0.121941171614699,-0.0139947144760091,-0.0139418102546931,0.281594049489736,0.148018110067706,0.153217396746185,0.174376224212622,0.274195991300438,0.190723315752962,0.230676709644783,-0.0083338446782197,-0.00832963812440886,0.264263257616243,-0.213015108946001,-0.126668868745011,-0.126878115388489,-0.142800771159889,-0.227854315040913,-0.191137156424304,-0.185184005789684,-0.274195991300438,-0.0348467144134607
"OVOL2",0.0553526985832834,-0.172798732777695,-0.115976758135124,-0.116184033614106,0.165342245878118,-0.124225731242201,-0.134341663763783,0.25282860872287,0.252558910933849,-0.0929279668046617,0.211034585948254,-0.0736705725683709,-0.073476341937481,0.253179154501856,-0.161719100955071,0.115310319394735,0.114953452110785,-0.257280807139057,-0.228128719510242,0.0922375963382565,0.0780269576681667,-0.252558910933849,0.153746216346213
"TCF3",0.0846690633334263,-0.299659819815516,-0.223459254346855,-0.223593362527454,0.0749494515020788,-0.0950316863848627,-0.118893546542076,0.185283836090559,0.183788023633989,0.152753623188406,0.0529591666149627,-0.24956446893884,-0.247773568648424,0.134725646447184,-0.268255470901173,-0.25935427400144,-0.26151124336885,-0.248566749573501,-0.167917778935711,-0.15685766943118,-0.154659120457611,-0.183788023633989,0.299419878384079
"KLF8",0.0846690633334263,-0.299659819815516,-0.223459254346855,-0.223593362527454,0.0749494515020788,-0.0950316863848627,-0.118893546542076,0.185283836090559,0.183788023633989,0.152753623188406,0.0529591666149627,-0.24956446893884,-0.247773568648424,0.134725646447184,-0.268255470901173,-0.25935427400144,-0.26151124336885,-0.248566749573501,-0.167917778935711,-0.15685766943118,-0.154659120457611,-0.183788023633989,0.299419878384079
"CLDN7",0.0846690633334263,-0.299659819815516,-0.223459254346855,-0.223593362527454,0.0749494515020788,-0.0950316863848627,-0.118893546542076,0.185283836090559,0.183788023633989,0.152753623188406,0.0529591666149627,-0.24956446893884,-0.247773568648424,0.134725646447184,-0.268255470901173,-0.25935427400144,-0.26151124336885,-0.248566749573501,-0.167917778935711,-0.15685766943118,-0.154659120457611,-0.183788023633989,0.299419878384079
"SNAI2",0.0849169750700952,-0.300707179262334,-0.223771292714119,-0.224012005835412,0.076807824968982,-0.0941634759778024,-0.117947155591023,0.186270355463525,0.185923967004551,0.15911755643683,0.0538310271342856,-0.250296928653843,-0.250154110373103,0.136334517124945,-0.268878991642257,-0.262564908692008,-0.26306345442076,-0.148860310202301,-0.169102608400402,-0.160124040254415,-0.156272953748625,-0.185923967004551,0.199432865743426
