"","TWIST2","miR101","ZEB2","miR34a","OVOL2","ZEB1","CLDN7","NP63","miR200b","TWIST1","TCF3","FOXC2","miR200a","GSC","TGFbeta","miR200c","CDH1","GRHL2","miR205","miR141","SNAI1","SNAI2","KLF8"
"miR141",-0.117872003703569,-0.10432051054051,-0.02847107180227,-0.187576068911919,-0.117030962300042,-0.178643823674248,-0.178597622545333,-0.125814062612037,0.0719792673013716,-0.0222080974878949,-0.0221237991605512,-0.0250737338485304,0.100926004550541,0.0660228172593741,-0.0661341707726911,-0.100926004550541,0.0134469052426384,0.16576029923982,0.125604359395403,0.178597622545333,0.123584786271625,0.0949407088098245,0.10424666593837
"miR200a",0.153527405818055,0.135616135386841,-0.01619934877493,0.203705852196161,0.128756974637635,0.194021128606824,0.194032511493658,0.137549174255827,-0.0172610573006863,0.03039842387096,0.0303910292808421,0.0286960854208198,-0.0891842610797672,-0.073366088698703,0.0733035943800047,0.0891842610797672,-0.0931268572904802,-0.177651152268484,-0.137467425544258,-0.194032511493658,-0.134085812808811,-0.136429262803548,-0.135495462500418
"OVOL2",-0.125032016958074,-0.123131194236311,0.0239356095222287,-0.111958482415275,-0.106515263053598,-0.0741097927760864,-0.0741227002269464,-0.0334301936598286,-0.0268512268256183,-0.0413126825875198,-0.0412731170886349,-0.0184904780080515,0.0749251670147185,-0.0221389936330809,0.0221631062874019,-0.0749251670147185,0.0609572023342391,0.0374745770932577,0.0335630818716719,0.0741227002269464,0.0906403484704459,0.109846846170457,0.123091713192695
"NP63",0.206508293152215,0.17777240747188,0.0433918911716212,0.105437226585334,-5.10897844306534e-05,0.107271083792522,0.107351493918091,-0.0994887881263936,0.051429387346171,0.130394975549306,0.130540829919327,0.0473817374257813,-0.0820339515306825,0.0268625751014056,-0.0270594153869096,0.0820339515306825,0.0920388956702189,-0.00473408692938522,-0.000505837840932311,-0.107351493918091,-0.00347976158092953,-0.16814497453096,-0.177629855796897
"miR200b",0.0287121193213755,-0.0646260241372832,0.0453626602170294,0.108139238600773,0.131916626050079,0.199809388190708,0.199806933058254,0.141302280473941,-0.106461658817976,-0.0158460678833687,-0.0158209262769679,0.0213338301018967,-0.11892634539133,0.114544065215487,-0.114599741972146,0.11892634539133,-0.0880949469704808,-0.182447727336373,-0.141256074680445,-0.199806933058254,0.0637209196940822,0.0650348235658151,0.0646944654758517
"GRHL2",0.0551805676820187,0.0241099591633741,0.0572886495448514,0.182999960688229,0.0116768758953284,0.162611111620497,0.162606962849953,-0.0820767521679851,-0.141270572580942,0.00380393871674769,0.00373746088565919,0.0384925381934722,-0.191665446717813,-0.055013035318634,0.0549825470067441,0.191665446717813,-0.0947966787555517,-0.140557648861903,0.0820368333940122,-0.162606962849953,-0.0928846102449748,-0.00970753005254921,-0.0239576637278356
"TWIST1",0.0959597037769957,0.0683944841329244,0.0685160643435243,-0.124186102528235,-0.129173977881568,-0.148631950050653,-0.148608874086306,-0.131013526197778,0.0924706839118143,0.128000800329297,0.227964037725851,0.0701913652331298,0.0420807472040827,0.0126793955279544,-0.012684722527381,-0.0420807472040827,-0.0199628624712671,0.135463325005403,0.130974245814402,0.148608874086306,0.0504769058584961,-0.177784205595699,-0.0684323270846746
"GSC",-0.0725118341719418,-0.0985796559970216,0.0695898854812677,-0.0759575661590562,-0.0973672943941891,-0.0969727668873965,-0.0969841092705036,-0.0939716064423347,-0.00239659198366748,-0.0935850716795599,-0.0935563213601119,0.0332971685036325,0.0113012157625251,-0.00538543715550728,0.00542638794732446,-0.0113012157625251,0.0731884507085846,0.0894340076721376,0.0938796506577412,0.0969841092705036,0.0535560108789478,0.0460524645391485,0.0985026819538382
"ZEB1",0.146520650399848,0.0458329857111017,0.0888140705609118,0.194103720418025,0.118050489375216,0.078806874941556,0.178835686758582,0.123009314548537,-0.210384762285574,0.0064553997923342,0.00644518387593646,0.106909072876323,-0.216277942351618,0.0384770658827398,-0.0385591637461372,0.216277942351618,-0.102905393949666,-0.15722334978931,-0.123046675164699,-0.178835686758582,-0.0934786286945841,-0.0300954179434,-0.045798451011076
"miR200c",-0.00694328279311094,-0.0959216489836149,0.0900330807942294,0.092009455316532,0.120190613712485,0.184432083258132,0.184372044109929,0.129567168830151,-0.161179868818662,-0.0240363942664338,-0.0240881563972589,0.0177114785296073,-0.130668088862103,0.121887336654816,-0.121769165579459,0.130668088862103,-0.00841499492263907,-0.170556874307709,-0.129393008531591,-0.184372044109929,0.0742219462312681,0.106523377559539,0.0959432620378997
"CDH1",-0.13203230397046,-0.146523177691703,0.097254482956112,0.049850674531567,0.0486154065758448,0.0603741982205398,0.0602763335945912,0.0511979872373102,-0.229131063359335,-0.123980125677305,-0.123932316912365,-0.0273049876341832,-0.0780456167452804,-0.175403712310217,0.175503963962323,0.0780456167452804,-0.181100146029766,-0.0567014736099854,-0.0507357376225182,-0.0602763335945912,-0.0376557848265112,0.135042062923566,0.14655229354043
"SNAI2",-0.131954983028496,-0.14646282598694,0.0974937800031959,0.0499406627638751,0.0486910175122107,0.0603407762762053,0.0603741982205398,0.0513851769500147,-0.22902620604594,-0.124011863073025,-0.123980125677305,-0.0272757080395147,-0.0779188007590064,-0.175503963962323,0.175400980013169,0.0779188007590064,-0.18119356271953,-0.0567371272844531,-0.0511979872373102,-0.0603741982205398,-0.0376873984105565,0.035039575006925,0.146523177691703
"SNAI1",0.0110905053367503,-0.0238578107668305,0.123641628701227,-0.0206392342082263,0.0947972913598592,0.0931376090078884,0.0931299651351473,0.0920096403468268,-0.0427334841690609,0.024357154139893,0.0243362057393801,-0.0362642108436673,-0.105977410350542,0.0328567950801819,-0.0328441100494939,0.105977410350542,0.0867686269336582,-0.0881147856722014,-0.0919814609790248,-0.0931299651351473,-0.0660406592757909,-0.0857764166032792,0.0238737214672445
