"","miR101","ZEB2","OVOL2","NP63","miR34a","ZEB1","CLDN7","CDH1","miR200b","miR200a","GRHL2","TGFbeta","FOXC2","SNAI1","GSC","miR200c","miR141","TWIST1","TCF3","miR205","SNAI2","KLF8","TWIST2"
"miR205",0.00323822461386652,-0.00389709546278607,-0.0639554450076997,-0.0449658266637185,-0.0125630566754784,-0.00363746848846906,-0.00365982845915266,0.00159639027713874,-0.00993178684450021,-0.00108295343656969,0.00423164971847548,-0.00758029926959588,0.0898378990019275,-0.112475005174122,0.00735335116612024,0.00108295343656969,0.00365982845915266,0.103568353626332,0.103078258490218,0.0446388025828544,0.0302100106949531,-0.00323446968552307,0.103808992094263
"miR101",0.0243173272128901,0.00199492767316926,0.0934205057688264,0.0913100665897424,0.0237637052287387,0.0979968022487179,0.0975831705292624,0.0410907346274208,0.0445499083802409,0.0476296470305298,0.0887949668146068,0.0103239117416162,0.0512642479952128,-0.0370446638472349,-0.0101134630919251,-0.0476296470305298,-0.0975831705292624,0.0380011186624349,0.0371750872143155,-0.0902051957100447,0.0827234720858891,-0.123874708184259,0.0182096749476915
"miR200b",0.0237493863990141,0.00994047207154558,-0.0725906409897663,-0.0523003290477286,-0.0127928790013017,-0.0100568759804203,-0.0102593128109782,0.0414408414570817,0.00389341299988898,-0.0107396621304179,2.54302961586674e-06,0.103557287858425,0.0150318812154403,0.0716993637676498,-0.103653869987323,0.0107396621304179,0.0102593128109782,0.00737815341651744,0.00669637220764985,0.0525171408479774,-0.121279425376568,-0.0235458634711657,-0.0376044015763546
"OVOL2",0.146480353542648,0.0162857436619336,-0.095097029306907,-0.0130920724298839,-0.00796686892870002,-0.00596926136838962,-0.00636042506339879,0.143808114327668,0.0770194317809196,-0.00968256471283115,0.00103689597556661,0.0336911119209478,0.0180719682774934,0.0871754721775642,-0.0335760601131877,0.00968256471283115,0.00636042506339879,-0.0566504729754766,-0.0573608535236386,0.0140633448075025,-0.175316693987079,-0.146082253019524,-0.159665470872056
"TWIST2",0.0610892654851106,0.016525597098416,-0.0898172756802702,-0.0819127009113246,-0.102956083966514,-0.078616319872744,-0.0789425098851524,-0.0366622384598037,-0.0170107906197909,-0.0475572606878776,-0.0709813844522253,-0.00494583103017378,-0.00174828306264439,-0.152222639304282,0.00502796980376821,0.0475572606878776,0.0789425098851524,0.234440019388566,0.233468274094122,0.0827668165849463,-0.0152536507220481,-0.0608989515105032,-0.00506463592038901
"miR141",-0.000141669192132254,0.0208330952921127,-0.0963975821226998,-0.0730376642809085,-0.0351469037274705,-0.0330787339544624,-0.0335530209058798,-0.0295509577351515,0.0209216553303118,-0.0280997618665968,-0.0160943722078162,0.106293902826884,0.0164019055539661,0.0715003278207158,-0.106159824106768,0.0280997618665968,0.0335530209058798,0.0207265247364097,0.0193112001878494,0.0743634151250528,-0.0856184115441327,0.00046766609426114,-0.00294477658896031
"KLF8",-0.252130201156048,0.0230475768902879,-0.0437690635639256,-0.0441641534723968,-0.0502996999766539,-0.0505882428866412,-0.0504748683483681,-0.326238007469868,-0.246768029259864,-0.0370286973752382,-0.0462038534437974,-0.214280560906887,-0.0372168358645603,-0.0548794648322928,0.21371866132378,0.0370286973752382,0.0504748683483681,0.184959348165902,0.182926434322726,0.0432971014492754,0.315349487242453,0.251161642073944,0.304460745772111
"SNAI2",-0.252744739449916,0.0230946638135847,-0.0438867715587107,-0.0446063322668509,-0.0507443643346056,-0.0507013874426642,-0.050655625088114,-0.226545498428644,-0.24723580217896,-0.0372242066210479,-0.0462242136445772,-0.214699588590981,-0.0374091793556196,-0.0555667725988615,0.214601775384044,0.0372242066210479,0.050655625088114,0.186546920979471,0.18601645307958,0.0445493614847234,0.216113660605823,0.252592819641377,0.305878513270872
"NP63",0.194365962464406,0.0414994851043711,-0.000686840468095901,-0.101936932612998,0.110984191169175,0.100038496657696,0.100081585627937,0.0989709229676579,0.187989842770537,0.0567596081300936,-0.0010020210538986,0.0297706491158578,0.023266196865651,0.0477700490465919,-0.0297073178935652,-0.0567596081300936,-0.100081585627937,-0.167160805700144,-0.166853389566407,0.00179183373079688,-0.21349692603996,-0.193927341925999,-0.241408886232967
"GRHL2",0.119812373773048,0.0456781758669524,0.00836665887344181,0.108744769553618,-0.0891235438098062,-0.085646341990495,-0.0856046359287045,0.0879738933059225,-0.0284679441307419,-0.101750638585459,-0.0986655285482244,0.0851418036145179,0.0339247198534003,-0.00618663177464976,-0.0852787238515506,0.101750638585459,0.0856046359287045,-0.0081493662800362,-0.00812335321569722,-0.109024200971428,-0.120780029132959,-0.119936498954614,-0.0540192092217627
"SNAI1",-0.0183165642105255,0.067119157901053,-0.0843388864225123,-0.0799048089573879,0.0408925458445135,-0.0804228705775582,-0.0809138542822114,-0.0920524822649086,0.040796833726331,-0.0755891272446623,-0.0754689257465097,0.0135643080503304,-0.0469958825296298,-0.0318216563196309,-0.0134146246882118,0.0755891272446623,0.0809138542822114,-0.0779231911643879,-0.079112140627649,0.0810920179747856,-0.124933448244255,0.0188360017828646,-0.104077848168951
"TGFbeta",0.055505440704507,0.0724486132615165,-0.0874840180793715,-0.0849036179695509,0.0699274061801524,-0.0858932096912553,-0.0855537242201699,0.0270443445741109,0.140372008457217,-0.0797269024844992,-0.0803524762703856,0.113221681326084,0.00526906571119575,0.13296846680538,-0.213254261266398,0.0797269024844992,0.0855537242201699,-0.0847054111650868,-0.0837411019508287,0.0841595460153399,-0.232729324682054,-0.0557249530685236,-0.215506952696467
