"","SNAI2","TWIST2","ZEB2","TWIST1","CDH1","OVOL2","miR200c","GRHL2","miR34a","miR141","CLDN7","ZEB1","miR200a","miR205","NP63","GSC","TGFbeta","FOXC2","miR200b","SNAI1","TCF3","miR101","KLF8"
"FOXC2",-0.0353399544882684,-0.102518013132432,-0.0014279209906329,-0.00689840722152892,-0.0622134850311616,0.0274469875290195,0.0133566092270684,0.0220127970572755,0.00800863399107877,0.0189868126144708,-0.0189868126144708,-0.0189379257471837,-0.0133566092270684,-0.0245058794769238,-0.0238824042803936,-0.0154662925463399,-0.0155107992277697,-0.0940666614117814,-7.64076046328604e-05,-0.0787381636409833,0.00670124633824816,0.0451615078783438,0.0452214157913232
"ZEB1",0.0353880016295833,0.102592758679506,0.00144382249218897,0.00687016321737044,0.0622588503196446,-0.0272378646432839,-0.0133511699296278,-0.0218998598979283,-0.00800985700826216,-0.0189379257471837,0.0189379257471837,-0.0811310590134555,0.0133511699296278,0.0238824042803936,0.0243623445034078,0.0155107992277697,0.0154341898009226,0.094017339420254,5.40079712344941e-05,0.0788335348332176,-0.00689840722152892,-0.0450894993548859,-0.0451615078783438
"OVOL2",-0.071347191525487,-0.0656193152471721,0.00163887792259268,0.0360600097914884,-0.0646254354059458,-0.0780497431785842,-0.00348521433469464,0.0316864390584915,-0.0656968931818782,-0.00501462071880632,0.00501462071880632,0.00499818070244782,0.00348521433469464,-0.0264481844226089,-0.0265702687147901,0.0163062943069159,0.0162773591217307,-0.0700455233518041,0.055332019295188,-0.0816821630684269,-0.0360276380196734,0.0894930820807117,0.0894459241675042
"miR200c",0.112830584960271,0.0331992377129101,0.00529330232872794,0.125712254323217,0.0404389615451884,0.0212766140673193,0.00400755685393914,0.0151666433383173,0.00242810255849208,0.0102241216503271,-0.0102241216503271,-0.0101774741336936,-0.00400755685393914,-0.0181549145738343,-0.0179167770227414,0.0744076237097607,0.0743371755686826,-0.0720712208085331,-0.0753922179654302,-0.130908076844853,-0.125772889962183,0.00193534169033988,0.00198216997462359
"miR200b",0.112830584960271,0.0331992377129101,0.00529330232872794,0.125712254323217,0.0404389615451884,0.0212766140673193,0.00400755685393914,0.0151666433383173,0.00242810255849208,0.0102241216503271,-0.0102241216503271,-0.0101774741336936,-0.00400755685393914,-0.0181549145738343,-0.0179167770227414,0.0744076237097607,0.0743371755686826,-0.0720712208085331,-0.0753922179654302,-0.130908076844853,-0.125772889962183,0.00193534169033988,0.00198216997462359
"GRHL2",-0.0441497016737469,-0.067286453396886,0.00924113955950815,-0.0428961756965076,-0.0094366079812419,-0.0528163277674102,0.0938514524255087,0.0808645469876183,0.0953231618327204,0.0949369110299128,-0.0949369110299128,-0.0950056932784154,-0.0938514524255087,-0.0588403222941671,-0.0581165775660487,-0.084499618120414,-0.0845999523831789,0.021904964593355,-0.0830832496604406,0.00495972404988582,0.0427921234391517,0.0332100847329249,0.0330912414739786
"miR200a",0.151073991275846,0.0600526947505394,0.0124669393757146,0.140772800367424,-0.0180367292756178,0.0247350359554519,0.00334560656748739,0.0204579249767046,0.00542255395953699,0.0160277629056086,-0.0160277629056086,-0.0159190674960367,-0.00334560656748739,-0.022203783392033,-0.0220651660115461,0.0776247960856775,0.0776304773873773,-0.0771105337502067,-0.0588648097889933,-0.140256893667686,-0.140993159152937,-0.0200351741865963,-0.0198982915094593
"miR141",0.186630417141855,0.162392588790032,0.0138963297570327,0.147564313263306,0.0432552303702198,-0.0155645795695927,-0.00800512665940599,-0.0082234969582348,-0.0994127989510799,-0.00233433661829432,0.00233433661829432,0.00239169744018339,0.00800512665940599,0.0120875652036267,0.0115721928915599,0.0987255323126202,0.0987778002882588,-0.0424892868345399,-0.026429272229743,-0.0907727292106157,-0.147577623525518,-0.0599679630328629,-0.0598941184307232
"TGFbeta",0.256939267772469,0.235674979419415,0.0284915185626071,0.187520114904481,0.127639966993097,0.0626832742400219,0.0196998958568159,0.0710167749883623,-0.0788390193961688,0.0680895142209248,-0.0680895142209248,-0.0682272640103546,-0.0196998958568159,-0.0667020366535516,-0.0664839935900465,-0.0131485925653882,-0.113183778900927,-0.0385142354637356,-0.179891408882146,-0.125570633109992,-0.187427087427341,-0.0718437069437425,-0.0719690436563198
"CLDN7",0.260155393919657,0.256736723223747,0.0429681493822094,0.131912583413314,0.0119225179633435,-0.0183040137008433,-0.0346548908328906,-0.0273495270312588,-0.0131040502458682,-0.0256756238448641,0.0256756238448641,0.0257963128694773,0.0346548908328906,0.0219565217391304,0.0212628801206333,-0.212299909515632,-0.212281783722628,0.0644407916181166,-0.225515527452269,0.00965371495102893,-0.132009388834418,-0.240432312718721,-0.240268402720211
"SNAI2",0.160176952022481,0.256749900688159,0.0430060605924822,0.131849176178994,0.111938543824022,-0.0181705342925154,-0.0346500530446334,-0.0273088637626203,-0.013122497512596,-0.0256695701571833,0.0256695701571833,0.0257177320359422,0.0346500530446334,0.02164808813296,0.0216236720834768,-0.212341116333058,-0.212315693517158,0.0643546001853892,-0.225496494016924,0.00976970930292856,-0.131928519668294,-0.24036002555706,-0.240299673852298
"TWIST1",0.136519297601938,0.118668780939613,0.093691788846437,0.124405062524516,0.11982791797294,0.0697775896316484,0.0118812689841159,0.124160143139636,0.0282066775936209,0.115174632741487,-0.115174632741487,-0.11529568900365,-0.0118812689841159,-0.0907261045738307,-0.0903097325100393,-0.0196711468743635,-0.0197491717483173,0.0819983811740809,-0.115748803399681,-0.0312204588655143,-0.224325818690422,-0.0416741714730136,-0.0418016424683828
"TWIST2",0.233435020105395,0.216346346124661,0.128703766662454,0.277642489967921,0.00839288911337442,-0.0318790159268139,-0.0787139458573341,-0.0252245367677554,-0.0588249610120682,-0.024356661827758,0.024356661827758,0.0242659398942508,0.0787139458573341,0.0284409985321274,0.0283263176701381,-0.0406050266868886,-0.0406418663361751,0.0571742756638067,-0.111584924221746,-0.102897309200193,-0.27750427986006,-0.0879099261619168,-0.088013338778256
