"","miR200c","miR200a","miR200b","GSC","SNAI2","miR141","CLDN7","NP63","GRHL2","FOXC2","TWIST1","TCF3","miR205","OVOL2","ZEB1","SNAI1","miR34a","miR101","KLF8","TWIST2","TGFbeta","ZEB2","CDH1"
"KLF8",-0.0513077172726619,-0.0513077172726619,-0.00121792998284126,-0.0215440695806326,0.0203058330243621,-0.056606704279822,-0.056606704279822,-0.0662260199380079,-0.0500198327817469,0.030666392278918,-0.166296988142522,-0.166442196274178,0.0642028985507246,0.0768139290497663,0.0561349199108793,0.120954940326106,0.081858421236828,-0.059510543518321,-0.0575287226272466,-0.0544945747651191,0.0232297683299529,0.0479324611058427,-0.0210712943751181
"CLDN7",-0.0513077172726619,-0.0513077172726619,-0.00121792998284126,-0.0215440695806326,0.0203058330243621,-0.056606704279822,-0.056606704279822,-0.0662260199380079,-0.0500198327817469,0.030666392278918,-0.166296988142522,-0.166442196274178,0.0642028985507246,0.0768139290497663,0.0561349199108793,0.120954940326106,0.081858421236828,-0.059510543518321,-0.0575287226272466,-0.0544945747651191,0.0232297683299529,0.0479324611058427,-0.0210712943751181
"SNAI2",-0.0515509026577607,-0.0515509026577607,-0.00140948841031767,-0.0232318142820367,-0.0795821385133694,-0.0565344001053251,-0.0565344001053251,-0.0659487529354021,-0.0497117886456652,0.0306975356673993,-0.16708936957797,-0.166939750426719,0.0663801031429385,0.0768280167125136,0.0565126329928611,0.121895137653914,0.0819101154039738,-0.0595553681393772,-0.0592161499367481,-0.0545484346286241,0.023112456315862,0.0482893141412421,0.0789512937158011
"ZEB1",-0.0321754518532798,-0.0321754518532798,-0.0220413826447503,-0.0226046566081754,0.0377144557085513,-0.0130638009505152,-0.0130638009505152,-0.0558838607675415,0.000688302352267172,-0.0832529157366694,-0.0212264967657601,-0.0210900842350372,0.0556568231770138,0.079022812973305,-0.0869730090996283,-0.0319639616713261,0.0178828158267927,-0.0236872057165964,-0.0237753794187897,-0.105657115668405,0.022670289161922,0.0711733956937815,0.145301622781149
"miR34a",-0.148623474034564,-0.148623474034564,-0.0562400516901641,-0.0349406730686783,0.136359499631855,-0.0845336532877939,-0.0845336532877939,-0.0862395831424304,-0.0748414492082269,-0.0920108052407179,-0.0628628165626036,-0.0626305568726506,0.0859122230273813,0.0938416058689366,0.0845595918965802,-0.0573414103983593,0.00498768989696495,-0.0364954954138602,-0.0363956183394902,-0.224594170235268,0.0351072100054848,0.143970764715153,0.0391177979802877
"miR200b",-0.108688032978139,-0.108688032978139,-0.101895197646746,-0.114995443393004,0.0363374425999382,-0.0283543913599216,-0.0283543913599216,0.0262334377939525,-0.0306411347459535,0.0554872108835216,-0.0652859982021449,-0.0653643808573943,-0.0261445804987685,-0.0492808572800713,0.0283255993520473,0.207575692638321,0.0429644931404528,-0.093668369846274,-0.0934414327762837,0.00916610874856717,0.115078390397822,0.18304053477005,0.0488046264147838
"GSC",-0.0262154676432739,-0.0262154676432739,-0.154481597942663,0.0283330091009303,0.0473604939547848,0.129355837098133,0.129355837098133,0.120470234538936,0.120342274280132,0.0344531581419658,0.0161401206452674,0.0158733815703888,-0.120661809090173,-0.121526371607137,-0.129421719451074,-0.111971057503469,-0.120312448393553,0.089062665099515,0.0890938444587792,0.0420542444946248,-0.0281881533149502,0.198711616056017,-0.00148522155236946
"miR205",-0.105007354933174,-0.105007354933174,-0.0918729427274472,-0.0202637489666483,-0.050752289142086,-0.00148820939288399,-0.00148820939288399,0.0459078207824153,-0.00879568479600957,0.0889572137627267,0.0171278710107348,0.0169425409172461,-0.0455213377777577,-0.0679526481150415,0.00148820939288399,0.0647491105540582,0.0008675838541347,0.0317389899278994,0.0317477514273674,0.1182887133635,0.0201240885952787,0.21034608609854,0.00672835339575541
"ZEB2",-0.278044705398508,-0.278044705398508,-0.223784983996725,-0.0956812151068391,-0.0858295207817457,-0.0409873938538073,-0.0409873938538073,-0.0373965100536113,-0.0361019873416968,0.00384131225182743,0.00416658248078998,0.00455789883001953,0.0374352457214142,0.0388089610008634,0.0410676709694285,0.0528177201233743,0.0553938516412469,0.0721425446853211,0.0721912684217356,0.0736419587942364,0.0956251768283843,0.210393335398873,0.259295074371845
"miR141",-0.0995774584813689,-0.0995774584813689,-0.0846928562726486,0.0836038093055898,-0.103729016562258,0.0236720670410649,0.0236720670410649,0.0638987136522498,0.0111215750371794,-0.0306261218113902,0.0894170922916173,0.0892292697026234,-0.0634331014254859,-0.0842986733527099,-0.0236432750331906,-0.183549711577703,-0.138895998450774,0.131110582950945,0.130896253495954,0.113544888704994,-0.0838867381302421,0.230901306475619,-0.0388021486356533
