"","miR200a","CDH1","miR200b","miR101","ZEB1","CLDN7","GSC","miR34a","TCF3","TWIST1","SNAI1","NP63","miR205","FOXC2","OVOL2","TGFbeta","miR141","GRHL2","ZEB2","TWIST2","KLF8","SNAI2","miR200c"
"CLDN7",0.0114926749994274,0.216693190512322,0.0322733603416577,0.0602708513574162,-0.00207717346930936,-0.00222712043928339,0.0122408053724324,0.0180786517934438,0.051225302314526,0.049821623708524,-0.0560962145276313,0,0,-0.0704613858379021,0.0148521104193706,-0.0117876605473463,0.00222712043928339,0.00204894319555188,-0.0258833830162337,-0.044060537344187,-0.0595407068185994,-0.0614520835137405,-0.0139990926548574
"OVOL2",0.213570246794906,-0.158709210435869,-0.0370136886026298,0.129209565474662,0.208449313940159,0.20846439527748,-0.293996385768829,0.225952330447134,-0.107151722304853,-0.106970080696335,-0.176050006041788,0.300276143134155,0.300216721576014,0.00313703274906078,0.112905740777001,0.293924047805866,-0.20846439527748,-0.222428041049825,-0.0221818137469913,-0.0510533575656345,-0.129257820083525,-0.0901632025406889,0.196939103932997
"miR34a",0.112326542137761,-0.0324368144772191,0.00530577626335943,0.0793350969956315,0.109882760413868,0.109864674778384,-0.0338270292266188,0.0775181955422232,-0.0450361482732098,-0.0449566288539378,-0.0431695841236366,0,0,-0.0433180417564885,-0.103668219724301,0.0338155647273459,-0.109864674778384,-0.111969311079768,-0.0148425104754401,0.0373100291107593,-0.079254427050948,-0.104453594228722,0.100086085111157
"FOXC2",-0.196645310005422,0.0808425725320815,0.204370589452405,-0.00841469871860399,-0.1952739403999,-0.195274365503094,0.102920124275937,-0.215607456974317,0.147658514798423,0.147557117772736,0.126308268093706,0,0,0.0633579887373534,0.131326200489729,-0.102838709614784,0.195274365503094,0.196043108282304,-0.000629891214235263,-0.154536302437491,0.00847118332227036,-0.0326777086509612,-0.19715292912131
"ZEB1",0.19663888174481,-0.0808363715214255,-0.204377258045554,0.00837722489517183,0.0952703957284044,0.1952739403999,-0.102838709614784,0.215580550596282,-0.147557117772736,-0.147459165162569,-0.126300241805251,0,0,-0.0633532592313166,-0.131325933410692,0.10282979090539,-0.1952739403999,-0.196042730566052,0.00063317247646112,0.154527555618153,-0.00841469871860399,0.0326840590212596,0.197158862900337
"TGFbeta",0.0375548168770141,-0.134899376163627,-0.11587256549874,0.0189381083619545,0.0914390627893465,0.0914038962802144,-0.225079885013861,0.139090558771335,-0.139669288697767,-0.139864419503475,-0.0945348859399836,0,0,0.0694025909831118,-0.0951042160541964,0.125105514566907,-0.0914038962802144,-0.0924776682346093,0.0171330525747823,0.111036776750485,-0.0188667841553498,0.0474235198365378,0.0524651762357547
"KLF8",-0.0114926749994274,-0.216693190512322,-0.0322733603416577,-0.0602708513574162,0.00207717346930936,0.00222712043928339,-0.0122408053724324,-0.0180786517934438,-0.051225302314526,-0.049821623708524,0.0560962145276313,0,0,0.0704613858379021,-0.0148521104193706,0.0117876605473463,-0.00222712043928339,-0.00204894319555188,0.0258833830162337,0.044060537344187,0.0595407068185994,0.0614520835137405,0.0139990926548574
"SNAI2",-0.0115130139143276,-0.116690489655453,-0.0322358002940621,-0.060161065602897,0.00212569422327082,0.00212209493695788,-0.0119124636244583,-0.0180047822276351,-0.0504643859927206,-0.0502943642299349,0.0563378079517841,0,0,0.0700541419844866,-0.0147848097154961,0.0118775611144938,-0.00212209493695788,-0.00195577139250619,0.0259054386355015,0.0440629709182321,0.0601964441884473,-0.0386513503274038,0.0138975633408204
"GRHL2",0.0858939719493219,0.00878800323007981,-0.158348073518573,-0.107667350065385,0.097669861138606,0.0976871112898177,0.0700063175677011,0.0917899209747086,-0.0278865622637755,-0.0276726770680995,0.0230631501737712,-0.306281053357567,-0.306185595419806,-0.00795465431664635,-0.25601624441728,-0.0700822611809541,-0.0976871112898177,0.0567388528484141,0.0385745168960525,0.0994613174552353,0.10751681527072,0.103295875549768,0.111356559895888
"GSC",-0.0740392463073903,0.0507334093902504,0.00953903070181736,-0.0492607301407323,-0.0818494510431974,-0.0818426938787932,0.0231287127539157,-0.0622289093865075,0.153985494895258,0.153848132257895,0.0467398233004209,0,0,-0.152412549567291,0.0879792141666669,-0.0230926516088826,0.0818426938787932,0.0835004140857703,0.0646680178474963,-0.0541019864466575,0.0492373456212842,-0.0246635558649893,-0.00423377276326967
"ZEB2",-0.220159406623332,-0.210822311582359,-0.191008395153568,-0.104449906399993,-0.061911989855927,-0.0619107623770948,-0.0515403688449086,-0.0454877720023341,-0.0330078719929816,-0.0329055776776229,-0.0144832692675581,0,0,0.0229934411642202,0.0467008342906341,0.0515643852499607,0.0619107623770948,0.06240820370169,0.0875341532783382,0.0941644076411102,0.104448912038026,0.116732235446134,0.166012443256169
"miR141",-0.0119769847906235,-0.0659755226837753,-0.128485822404255,-0.0192727286453344,0.171891144335719,0.171860566776968,0.0309845471950659,0.0912245297190596,0.0507822249073829,0.0506624325474734,0.049499051278363,0,0,-0.0441058725407448,-0.113662831734717,-0.0309913647571057,-0.171860566776968,-0.175268731284561,0.190266571895396,0.0389655548554129,0.0193573797746165,-0.0451021302262722,0.179928770645655
"miR200a",-0.0019651655273103,-0.152522024426224,-0.206422688561424,0.00378932954947963,0.199482687226582,0.199492730950259,-0.197398205007051,0.209216340425481,-0.191075119026354,-0.190902085617596,-0.141978844714715,0,0,0.04916930438156,-0.134436484210468,0.197293669055774,-0.199492730950259,-0.199315119480569,0.203680542951595,0.139092373496972,-0.00392261005090249,0.115851472116917,0.201093009196775
