"","miR101","ZEB2","TWIST1","miR34a","OVOL2","miR200b","miR200c","miR200a","miR141","CLDN7","GSC","NP63","miR205","CDH1","TGFbeta","GRHL2","ZEB1","SNAI1","TCF3","FOXC2","SNAI2","TWIST2","KLF8"
"ZEB1",0.00966973156013337,0.00127249170507813,0.00239497064623145,-0.00190693717865757,-0.0704887306836143,0.00952240124379421,-0.00773040588991478,-0.00773040588991478,-0.0104577541395543,-0.0104577541395543,0.00920063677011353,0,0,0.0587866525878372,-0.00917936907848134,0.00852794245118223,-0.089617592851974,-0.0800759283005708,-0.00267801162407493,-0.0960379563715282,0.0116600883970979,0.0847374430188161,-0.00966017940906243
"FOXC2",0.00966017940906243,0.00137875412023857,0.00267801162407493,-0.00177852037440147,-0.0704911343949446,0.00948016682051637,-0.00768343013929173,-0.00768343013929173,-0.0104615800682985,-0.0104615800682985,0.00911270893606918,0,0,0.0586749256063695,-0.00920063677011353,0.0085313418974502,0.0104577541395543,-0.0799725308198811,-0.00253718242173153,-0.0963075382156301,0.0115746579438372,0.0849036325862461,-0.00963108127990097
"miR205",-0.0353213789900331,0.0036670969308976,-0.0269137660049725,-0.00992833910414106,0.0650194096118203,-0.0135439507839874,6.07370662609459e-05,6.07370662609459e-05,0.0038385233531855,0.0038385233531855,-0.0159546080607386,0,0,0.00833696687227949,0.0160149159483755,-0.00337746665500104,-0.00391491991968778,0.1048613229276,0.0264360262084237,0.125698266021605,0.0199376450813433,-0.0630952289396036,0.0353877160574341
"miR141",-0.109618712269807,0.00515494163024032,-0.13097045835247,-0.00701088440475751,0.0631978104406806,-0.0687349334780301,-0.0080813611616741,-0.0080813611616741,-0.00920520383767358,-0.00920520383767358,-0.124663445422407,0,0,-0.000768287654864201,0.124658900381047,0.00858430222857993,0.00925095857886914,0.121177956323049,0.131158280941464,0.169668953886951,0.104980332438108,0.0299463968821948,0.109607905742665
"miR200a",0.0677190979390925,0.0176361064446123,0.0938338403542646,0.0898441305853371,0.0662098615100683,-0.0190667120036821,-0.00228535282828641,-0.00228535282828641,0.0100032307334668,0.0100032307334668,0.0854347594355757,0,0,0.0148916287134125,-0.0853438586083782,-0.0100871729741138,-0.0101587968535317,-0.0497855852541522,-0.0947078809061968,-0.095486897401857,-0.0770368130492634,-0.0804964272407078,-0.0676128337555257
"CDH1",0.00648555093166098,0.0180156918405162,-0.0727803146321768,-0.0284851654704055,-0.0686059604334165,0.0141734897984564,-0.0335680129790761,-0.0335680129790761,-0.0480260031393733,-0.0480260031393733,0.000862267038348347,0,0,-0.073264260624125,-0.000733372057068809,0.0477480781314682,0.0477821437435671,-0.0031402995408509,0.0715850955086708,0.029031785090831,-0.0101083754406653,-0.0052888984588503,-0.00655348791202396
"SNAI2",0.0065070555620935,0.0180846740906697,-0.0723926650130255,-0.0282521190226333,-0.0684527222690484,0.0141331600625355,-0.0333106511245788,-0.0333106511245788,-0.0477821437435671,-0.0477821437435671,0.000733372057068809,0,0,-0.073425430077894,-0.000698469547104358,0.0475313037907046,0.047912232234592,-0.00337851457555905,0.0727803146321768,0.0291068936162852,-0.11001541782798,-0.00507945629566558,-0.00648555093166098
"TCF3",0.00655348791202396,0.0182917934637266,-0.0715850955086708,-0.0279288740796771,-0.0684824720017195,0.0140270552576544,-0.0332644229741932,-0.0332644229741932,-0.0478321692513581,-0.0478321692513581,0.000264115869234699,0,0,0.026348204909943,-0.000862267038348347,0.0475760169685944,0.0480260031393733,-0.00293493543028286,0.0723595388774995,0.0280699594142673,-0.0101806562673903,-0.00467126791421246,-0.00680680336426654
"KLF8",0.00655348791202396,0.0182917934637266,-0.0715850955086708,-0.0279288740796771,-0.0684824720017195,0.0140270552576544,-0.0332644229741932,-0.0332644229741932,-0.0478321692513581,-0.0478321692513581,0.000264115869234699,0,0,0.026348204909943,-0.000862267038348347,0.0475760169685944,0.0480260031393733,-0.00293493543028286,0.0723595388774995,0.0280699594142673,-0.0101806562673903,-0.00467126791421246,-0.00680680336426654
"miR101",-0.0906520965271733,0.0316121950090676,-0.0162335992036096,0.00948614632568972,0.0784305121925961,-0.0741476798160345,0.0216204226546454,0.0216204226546454,0.0739832738812686,0.0739832738812686,-0.0277510576300108,0,0,-0.0325635046585864,0.0277309350499606,-0.0767374890948744,-0.0741279625863212,0.00479428610459268,0.0154621272963172,0.0927493400927588,0.0838257721969243,0.0211671755798261,-0.00930138195330101
"GRHL2",0.0832845730785317,0.0391398679061278,0.0548464232185951,0.107375777780807,-0.0177271076660871,-0.0687321291456311,0.097302747173583,0.097302747173583,0.111694330443515,0.111694330443515,0.0804877455246689,-0.0255409753580788,0.0256364332958402,-0.0556297751720223,-0.0804683438716481,-0.03485233691798,-0.111696295650615,0.00371929201614194,-0.0549707078593258,-0.0364444093307865,-0.0798230965301094,-0.0860388794959332,-0.0833083417303209
"GSC",0.0346010067200216,0.0614274846975918,0.0944230708547535,0.00836836139883214,-0.0597666293478598,-0.0197989815752126,-0.0498289833892717,-0.0498289833892717,-0.0414117352055798,-0.0414117352055798,-0.023462285591142,0,0,0.0295639932982331,0.0234366149455252,0.0418437081487204,0.0414662751754139,-0.00376281294981104,-0.0940413305020829,-0.138689269556359,0.0250526899944122,0.0136059158170015,-0.0345863913953666
"TWIST2",0.0283870191735586,0.0732007631840907,-0.112666255891605,-0.0498794229015251,-0.0896399153479324,0.0344949485762595,-0.0759908390023737,-0.0759908390023737,-0.0779406341200892,-0.0779406341200892,-0.00524133995742876,0,0,-0.0531073246474838,0.00521268689687256,0.0770979364148076,0.0778430246376562,-0.000253235008609687,0.112221703792093,0.0404767819321076,-0.0930214787820685,-0.0721782358199475,-0.0283079389375345
