"","TWIST2","miR101","SNAI2","ZEB2","OVOL2","SNAI1","FOXC2","ZEB1","TCF3","miR200c","NP63","miR205","miR200a","GSC","TGFbeta","TWIST1","GRHL2","miR141","CLDN7","miR200b","miR34a","CDH1","KLF8"
"miR205",-0.195449179482635,-0.10429173233256,-0.0970569325707573,-0.0121336871029018,-0.219355815927471,-0.138730196535171,-0.138734573032012,-0.177518423989078,-0.0275047379405411,-0.0916835947196677,0.07040565833287,0.0707425922343664,0.0813472291006951,0.0935357659263591,0.0937119284402458,0.0274223690101017,0.170670783446136,0.177377431951712,0.177377431951712,0.121323476778356,0.205041941354075,0.189625312139221,0.104385605541146
"miR200c",-0.209681179041981,-0.198307563107212,-0.215928687294144,-0.00683152854498023,-0.20947206419933,-0.16333790687154,-0.144532327776965,-0.175205242826946,-0.0483742211255658,-0.0888700237825826,0.0648455490010652,0.0650943494275802,0.0817769020587553,0.197771418635184,0.198066846323576,0.0484318989284852,0.170906021513155,0.175084941336681,0.175084941336681,0.12489732864944,0.199498600985523,0.204306524945565,0.198539903440773
"miR200b",-0.209681179041981,-0.198307563107212,-0.215928687294144,-0.00683152854498023,-0.20947206419933,-0.16333790687154,-0.144532327776965,-0.175205242826946,-0.0483742211255658,-0.0888700237825826,0.0648455490010652,0.0650943494275802,0.0817769020587553,0.197771418635184,0.198066846323576,0.0484318989284852,0.170906021513155,0.175084941336681,0.175084941336681,0.12489732864944,0.199498600985523,0.204306524945565,0.198539903440773
"SNAI1",0.118191969980938,0.158563959387943,0.169226519885586,-0.00631558226164503,-0.184261240665057,-0.0699649410797972,0.111666131916046,-0.149683960212377,0.0112610211546052,-0.0719467003064916,0.0290106549110602,0.0291687044087323,0.0869850661228003,0.0442836232492652,0.0440554878511992,-0.0120207838756492,0.145921729942263,0.149670139472775,0.149670139472775,-0.00743358440243281,0.0110896982434679,-0.0963777433607901,-0.159012890719232
"OVOL2",-0.0823812793540876,-0.0509186557581809,-0.0547774557051074,-0.00214932158176208,0.0128737643678402,0.0943088508159778,0.105440896310456,-0.183624345020059,-0.0246237009298369,-0.191663287971848,-0.224717722453329,-0.224604281296877,0.188493268723082,-0.123366235025791,-0.123408259937607,0.024472632661367,0.192502770644409,0.183577742329059,0.183577742329059,0.0998259478540226,0.123284328002563,-0.0509623698091107,0.0509625235844205
"GRHL2",0.154760689528474,0.13723868563956,0.140848481849489,0.00662677038698777,-0.020385119725606,0.0247869923413158,-0.0144360984596134,0.214267733959117,0.052927225226613,0.212799229465125,-0.0118605014004606,-0.0121885295865862,-0.210652580675912,-0.00178576457103066,-0.0018295568735634,-0.0530023740791478,-0.10764687838543,-0.214134318232656,-0.214134318232656,-0.222513857903077,-0.221420161924474,-0.115622366224642,-0.137264214932223
"miR141",0.0160550213406874,-0.0709615391267418,-0.0819407085287679,0.0158910744189914,0.22905061769394,-0.0492045417764411,-0.0531107728522925,0.196951975064668,-0.00976618456400821,0.104581949872342,-0.0691965405278779,-0.0694311237871635,-0.0914875961861036,0.0181872282980415,0.0182304061909603,0.00994217580881351,-0.189947480142862,-0.196869616530516,-0.196869616530516,-0.0423448540260325,-0.109735919235481,-0.118314343582533,0.0710587978710234
"miR34a",-0.266878301966715,-0.111878860406902,-0.162116582485962,0.0230218836095134,-0.105322300921503,-0.0333652189286796,-0.0592584782544575,-0.0528669539049121,-0.107381674756934,-0.0623539727473035,0.0226281262444177,0.0224426852543899,0.0815512468076739,0.0654145209330339,0.0652829808887447,0.106703791390665,0.052159443337157,0.0529764195933679,0.0529764195933679,0.0965798946252066,0.0411540768427874,0.119190656769812,0.111276716891229
"ZEB1",0.18476243005989,0.0964481700045473,0.083463214206213,0.0400735429560984,0.211615385264693,0.139357794258748,0.14245599423359,0.0609546855160468,0.0290736089401983,0.187707900724612,-0.0723958337405683,-0.0723642209115075,-0.16253031541822,-0.128821734030637,-0.129044701765491,-0.0291523315900868,-0.155415139168442,-0.160944051501561,-0.160944051501561,-0.219154458408821,-0.193705035227359,-0.236215544469353,-0.0965819001195405
"KLF8",-0.251751131688967,-0.242345713713567,-0.268473522866214,0.0923676331574398,0.0464636391592666,-0.00112296931304778,0.0371855499842227,0.0329761912632462,-0.161476810173218,0.0616472034606851,-0.00961778503811678,-0.0102536231884058,0.0303775826253806,0.204175201127669,0.204664597538762,0.161960837278736,-0.0328404356811363,-0.0327677284025506,-0.0327677284025506,0.181608898304989,-0.0180457539820494,0.336098977072549,0.241764578264305
"CLDN7",-0.251751131688967,-0.242345713713567,-0.268473522866214,0.0923676331574398,0.0464636391592666,-0.00112296931304778,0.0371855499842227,0.0329761912632462,-0.161476810173218,0.0616472034606851,-0.00961778503811678,-0.0102536231884058,0.0303775826253806,0.204175201127669,0.204664597538762,0.161960837278736,-0.0328404356811363,-0.0327677284025506,-0.0327677284025506,0.181608898304989,-0.0180457539820494,0.336098977072549,0.241764578264305
"CDH1",-0.252045909903453,-0.242775981255866,-0.268681984960682,0.0924322053112552,0.0465638278868698,-0.00118047126400683,0.0367852871250316,0.0330788689035857,-0.161960837278736,0.0617172626925811,-0.00928393809410034,-0.00961778503811678,0.0302056190561812,0.204664597538762,0.204723930149192,0.162146760253504,-0.0330969042069292,-0.0329761912632462,-0.0329761912632462,0.181690250827656,-0.0180775420615196,0.236192781258679,0.242345713713567
"NP63",-0.317026720408505,-0.285688414667807,-0.309361779375478,0.139577325193291,0.0111285794134285,-0.0280697647497517,0.0188207872593407,-0.13801524022283,-0.172188454375456,-0.0403580667014336,0.0174966596104094,0.117856719799575,0.138474333126877,0.0801440625762506,0.0800875779725843,0.172572163564281,-0.0224291662815194,0.137873759115816,0.137873759115816,0.190304192588613,0.136132911460735,0.238079029431631,0.28558150091157
