"","ZEB2","SNAI2","miR101","SNAI1","NP63","miR205","TCF3","miR200c","miR34a","GRHL2","miR141","miR200a","CDH1","miR200b","GSC","TGFbeta","CLDN7","ZEB1","FOXC2","TWIST1","OVOL2","KLF8","TWIST2"
"miR200a",-0.00334896215755831,0.0909533235191121,0.00924934728218086,0.057806355377655,0.0643744635698661,0.0649324873836212,0.0530156222091854,0.00788047721945744,0.0185859135476693,0.0196822740986037,0.0105607059699828,-0.0041905697751188,-0.0171624196251306,-0.0226912003004729,0.0849736911994278,0.0850555019439056,-0.0105607059699828,-0.0105814629989154,-0.0620390466495259,-0.0531827399458492,-0.0758917148036142,-0.00927096033646565,-0.0749353926863386
"FOXC2",-0.00113522277797592,-0.0706561132335554,-0.0393906861724901,-0.066243944216016,-0.0761919468802333,-0.0775202201250151,-0.0156380479842791,-0.0139102783126039,-0.0196292529393956,-0.0323949820211574,-0.0213345774222492,0.0144541000300368,-0.0775314507890415,-0.0091547996195336,0.00847344013000719,0.00815972230236746,0.0213345774222492,0.0210952443241396,0.072968106792139,0.0150352989982493,0.0859981414409876,0.0388207051718568,0.138064398583481
"miR200c",-0.00100979852851742,-0.0234935204174516,0.0249719447458429,-0.0166237677799143,0.0719051262506437,0.0727403848253727,-0.0393656024691363,0.01042481822763,0.101781220070268,0.0256116015012052,0.0168498167138363,-0.00832112998300708,0.0946532398198415,0.0652006874099925,-0.0953390262381048,-0.0950924577443315,-0.0168498167138363,-0.0165777433991174,0.0466849034313329,0.0401656971198898,-0.0840905452098735,-0.0243505694351553,-0.0608419743032564
"ZEB1",-0.000830570200544447,-0.0710839844097039,-0.0390607695701168,-0.0664653753504611,-0.0767494822291239,-0.0761919468802333,-0.0150352989982493,-0.0135245826759094,-0.0196414831112295,-0.0320342630005001,-0.0210952443241396,0.0145614025340916,-0.0776251186868445,-0.00914471123502594,0.00815972230236746,0.00829899137982988,0.0210952443241396,-0.0787745117206614,0.0726242041388861,0.015529869539152,0.0859065333313998,0.0393906861724901,0.137526071611471
"miR200b",0.00100979852851742,0.0234935204174516,-0.0249719447458429,0.0166237677799143,-0.0719051262506437,-0.0727403848253727,0.0393656024691363,-0.01042481822763,-0.101781220070268,-0.0256116015012052,-0.0168498167138363,0.00832112998300708,-0.0946532398198415,-0.0652006874099925,0.0953390262381048,0.0950924577443315,0.0168498167138363,0.0165777433991174,-0.0466849034313329,-0.0401656971198898,0.0840905452098735,0.0243505694351553,0.0608419743032564
"miR205",0.00128837871710717,-0.0731654472177998,-0.0479303281890892,-0.0810230274574853,-0.0743876446317047,-0.0753984463361938,-0.0152562072923508,-0.0114863230583741,-0.0170689507271754,-0.0272435053502689,-0.0180802213049299,0.00906435966781992,-0.0588245556461873,-0.00681822250816185,0.0025107462746727,0.00223459963128276,0.0180802213049299,0.0178075538846495,0.0853036635566765,0.0146549141001429,0.0862812639705138,0.0473408044391674,0.149994139263797
"miR141",0.00334896215755831,-0.0909533235191121,-0.00924934728218086,-0.057806355377655,-0.0643744635698661,-0.0649324873836212,-0.0530156222091854,-0.00788047721945744,-0.0185859135476693,-0.0196822740986037,-0.0105607059699828,0.0041905697751188,0.0171624196251306,0.0226912003004729,-0.0849736911994278,-0.0850555019439056,0.0105607059699828,0.0105814629989154,0.0620390466495259,0.0531827399458492,0.0758917148036142,0.00927096033646565,0.0749353926863386
"OVOL2",0.00464614615136852,-0.0685236929431876,-0.0638680248012443,-0.0691749057929733,-0.0649661680519895,-0.0658142757454607,-0.0282748745093974,-0.0137492444765845,-0.0233287116025097,-0.0297826168838083,-0.019144448021024,0.0110468300487345,0.0658516259242876,-0.0135825986191945,-0.00679433645653999,-0.00701135034542888,0.019144448021024,0.018861435177431,0.0626032989571123,0.0280248924937151,-0.0205266304620247,0.063324063755874,0.0823224283661329
"TCF3",0.00602116675682901,-0.0223524263787146,-0.0112961921926313,-0.00351949293487339,-0.0157774147608277,-0.0139855072463768,-0.063715571797843,-0.00585138178988808,-0.0042041277733431,-0.00714338318654713,-0.00642206886333554,0.00125294002854281,-0.0931049078918632,0.000441976258970793,0.00189449645756776,0.00242014445466763,0.00642206886333554,0.0071937471722263,-0.0278410263615664,0.0652160558249485,0.0189532681811582,0.0130395985404185,0.0293836013138883
"CLDN7",0.00602116675682901,-0.0223524263787146,-0.0112961921926313,-0.00351949293487339,-0.0157774147608277,-0.0139855072463768,-0.063715571797843,-0.00585138178988808,-0.0042041277733431,-0.00714338318654713,-0.00642206886333554,0.00125294002854281,-0.0931049078918632,0.000441976258970793,0.00189449645756776,0.00242014445466763,0.00642206886333554,0.0071937471722263,-0.0278410263615664,0.0652160558249485,0.0189532681811582,0.0130395985404185,0.0293836013138883
"SNAI1",0.045821117437165,-0.0731284497301384,-0.0799828626976537,-0.100707374545371,0.0962703154407031,0.0962298841738568,-0.0130117432101331,0.0169332340684994,0.00030903061391884,0.0979443871258266,0.0915983125310577,-0.0733492108817683,-0.0707826703365212,0.0358764182491706,-0.00807399579032321,-0.00811634427738936,-0.0915983125310577,-0.0917189930673641,-0.0738712034091973,0.0131553163941367,-0.0947956653168974,0.0798190760757449,0.0515829822099243
"miR34a",0.0678926927773462,0.0910869292453599,0.0280340017101566,0.0197145237289267,0.12887881256149,0.128971533056504,0.0879919771575141,0.0914396484268261,0.0518975412200235,0.14229831465144,0.130293793086058,-0.144989245142012,0.0209102037351587,0.000748861614256051,-0.0398309789376253,-0.0397772768094522,-0.130293793086058,-0.130155057224385,-0.0372606904528378,-0.0875345436664542,-0.119941313095614,-0.0277334101305622,-0.211849698635676
"NP63",0.0949051010969701,-0.0240912568240962,-0.0183835643860355,0.00479124162333042,0.215849734135177,0.315634772828212,-0.0666507083230091,-0.0313445623319028,-0.000715252157275612,0.149472461185372,-0.000120651686873141,-0.0312038963096179,0.0451818609866794,0.0593503982852276,0.08619849385114,0.0861762423406047,0.000120651686873141,9.0455479381089e-05,-0.0410149826017484,0.0667875870394906,-0.0819098118860195,0.0183068057918143,0.0175361160818058
