"","miR200c","miR200b","SNAI2","KLF8","miR34a","GRHL2","miR141","CLDN7","OVOL2","FOXC2","ZEB1","miR205","NP63","SNAI1","TCF3","TWIST1","miR101","GSC","TGFbeta","TWIST2","CDH1","miR200a","ZEB2"
"TCF3",0.0362493427978162,0.0256700529086393,0.00559062486815256,0.0263651313578499,-0.0191210979757617,-0.00302703791129737,-0.00237247722144868,-0.00237247722144868,-0.0160776390903717,0.081274997551799,0.00260288354116487,0.0103260869565217,0.0121179944709726,0.0502329280975944,0.102551623733547,0.0999862800743023,-0.0245919231921518,-0.00784137536239913,-0.0076238658463578,0.0184659895895475,0.0692460193443243,-0.0388040342408182,-0.0759812649038763
"GRHL2",-0.00867607429757645,-0.0965675649334791,-0.0707883822309763,-0.0568599188575829,-0.0388288181804043,0.0781608813567834,-0.0270865523536271,-0.0270865523536271,0.0464735137557093,0.0583501680406805,0.0270915745495495,-0.206412204656132,-0.2061119460519,0.101996057160219,0.0861231048911004,0.085582611220946,0.0571671506899699,0.0751777044262412,0.075128368794274,0.0678857218028933,-0.0172102498478276,-0.030551776706757,-0.0256284652346265
"FOXC2",-0.0144994746108339,0.000114713519557966,0.081657295222246,0.0787866597071448,-8.80208758161357e-05,-0.00904483176565425,0.00407842445956294,0.00407842445956294,-0.0681762360469289,0.0917141332532534,-0.00405334337112872,0.0561164900649542,0.0564282276632193,0.0712375609408182,0.0648411542218004,0.0644637319595201,-0.0786308991333981,0.000474503239435628,0.000547233670064909,0.0135243818500679,-0.0482690583337976,0.0200076934426779,0.0488167090849827
"ZEB1",-0.0146151833018422,5.67480560308961e-05,0.081621709184913,0.0786308991333981,-0.000140610614701967,-0.00910186691970582,0.00405334337112872,0.00405334337112872,-0.0681791739163325,0.0916742702737998,-0.104054161372243,0.0564282276632193,0.0563678758986486,0.071232839594668,0.0644637319595201,0.0646301913031775,-0.0787198076164431,0.000547233670064909,0.00054929183377125,0.0134353233258949,-0.0482028054304735,0.0200942277201414,0.0488394255157771
"KLF8",-0.0362493427978162,-0.0256700529086393,-0.00559062486815256,-0.0263651313578499,0.0191210979757617,0.00302703791129737,0.00237247722144868,0.00237247722144868,0.0160776390903717,-0.081274997551799,-0.00260288354116487,-0.0103260869565217,-0.0121179944709726,-0.0502329280975944,-0.102551623733547,-0.0999862800743023,0.0245919231921518,0.00784137536239913,0.0076238658463578,-0.0184659895895475,-0.0692460193443243,0.0388040342408182,0.0759812649038763
"CLDN7",-0.0362493427978162,-0.0256700529086393,-0.00559062486815256,-0.0263651313578499,0.0191210979757617,0.00302703791129737,0.00237247722144868,0.00237247722144868,0.0160776390903717,-0.081274997551799,-0.00260288354116487,-0.0103260869565217,-0.0121179944709726,-0.0502329280975944,-0.102551623733547,-0.0999862800743023,0.0245919231921518,0.00784137536239913,0.0076238658463578,-0.0184659895895475,-0.0692460193443243,0.0388040342408182,0.0759812649038763
"SNAI2",-0.0361479164647246,-0.0257514326188475,-0.105442955888982,-0.0251904156382066,0.0193424159114142,0.00329878472471806,0.00254191869221331,0.00254191869221331,0.0161114681504192,-0.0811122081252279,-0.0025239222606486,-0.0113989395146295,-0.0115752776497859,-0.0501279095108554,-0.10075653239834,-0.100536637585137,0.0250495949937614,0.00796963174852037,0.00785975347641006,-0.0178466843788415,0.0305863963969237,0.0388992390361124,0.076485036209268
"miR34a",-0.181756079507042,-0.141248137898384,-0.0713192173950296,-0.080826538933493,-0.0157906856223337,-0.136750537258622,-0.124766331865492,-0.124766331865492,-0.115291989465467,-0.13560150712185,0.124752767638879,0.123797122410057,0.123734677995048,-0.094804670409078,-0.0697835306089203,-0.0694662402528151,0.0806363883495962,-0.0199245321307134,-0.019851521372186,-0.0125235376803093,-0.006472592037436,-0.0481448884612499,0.164760222994551
"NP63",-0.0266365413616253,0.0667059231436523,0.0167308669934534,-0.0134238111960263,0.0966237641708935,-0.104406963780997,0.0652481515152674,0.0652481515152674,-0.0317609050230178,-0.104978525306959,-0.0651657056903172,0.266388539550006,0.167183896385775,-0.0887816160456889,-0.141010287713795,-0.141748535217441,0.0139446730853843,0.022232439309213,0.0223813532643334,-0.0380378309277002,0.123843235735911,0.118333758921482,0.197175053689707
"miR200a",-0.129585011750363,-0.143519738086972,-0.0364363057460491,0.05827872208999,-0.116866765056633,-0.0165970499398104,-0.00751177109531548,-0.00751177109531548,-0.074432324522201,0.0742949436946051,0.00754413420494161,0.0622470369692477,0.0625989118581761,0.145587064868183,0.159773417023521,0.159493901517065,-0.0581022154799976,0.11645464422092,0.116542136267098,0.0571776823502544,0.0133203857326059,0.121089496395562,0.259279057309891
"miR205",-0.146657536236577,-0.146840386155629,-0.08955050732901,-0.0799639931844117,-0.0160318356700067,-0.00495913317484961,-0.015122613034182,-0.015122613034182,0.0590623751917614,-0.0835157050352098,0.0151319296886335,-0.044938253354184,-0.0450670810224032,-0.0586949532398818,-0.0525140582789984,-0.0520116078033178,0.0797825049811449,0.0276319371908883,0.0276668522837308,-0.00298592175972833,0.102410577979055,0.129003658921989,0.29218350440178
"ZEB2",-0.370409965009827,-0.352506518857381,-0.119180984977972,-0.0848650560931562,-0.0628846318434689,-0.0476649222033211,-0.0439143954456293,-0.0439143954456293,-0.0415450945033064,0.0381391950817806,0.0439514653063595,0.0440105206097883,0.0441809575481211,0.0755976508876709,0.0835297424337835,0.0839502857302584,0.084742749571136,0.0901285015683612,0.0903446492138298,0.132773650285229,0.258485658536183,0.330159438400072,0.389687383609752
