"","miR200b","CDH1","miR34a","miR200c","GRHL2","ZEB1","miR141","SNAI1","TWIST2","KLF8","FOXC2","TWIST1","NP63","miR205","SNAI2","TCF3","ZEB2","miR101","CLDN7","OVOL2","GSC","TGFbeta","miR200a"
"ZEB1",-0.0177221698032073,-0.0706036850265756,-0.014999263319908,-0.0223265296955793,-0.00689392847082527,-0.108259018936873,-0.0083080081147181,-0.089144677382058,0.0145205794749511,-0.077120530610728,0.100014950254906,0.014270094705785,0,0,-0.0721482980108863,-0.0143872772762297,0.0831939654691251,0.0771396349128699,0.0083080081147181,-0.0620905231004727,0.0109041589312256,0.0108074252370276,0.0328799407386486
"miR141",-0.123478682211654,-0.0102908440140634,-0.120442575691972,-0.0465589718760432,-0.0226152845219505,-0.026394283172371,-0.0264221824048074,-0.0788194660534202,0.0209841571519849,0.0314096363387343,-0.030507480094778,-0.0281201237407331,0,0,0.136445889004654,0.0281659701994639,0.110016349453671,-0.0312691514858831,0.0264221824048074,0.0886952964081537,0.157549257125383,0.157578799894222,0.0760116600465317
"TCF3",-0.0337224645308039,-0.04084468534731,0.0371173028580302,-0.065363352499934,0.0106139279771329,0.00961939877123589,0.00957916909636481,0.0734727949130896,0.0150497425714555,0.0233986276469103,-0.0410845364999572,0.0135037290810394,0,0,-0.0130029561820726,-0.0140361588971091,0.120205518414224,-0.0225790776543608,-0.00957916909636481,-0.0177164225902719,0.0385930973353277,0.0386837263003449,0.0573302352709249
"KLF8",-0.0337224645308039,-0.04084468534731,0.0371173028580302,-0.065363352499934,0.0106139279771329,0.00961939877123589,0.00957916909636481,0.0734727949130896,0.0150497425714555,0.0233986276469103,-0.0410845364999572,0.0135037290810394,0,0,-0.0130029561820726,-0.0140361588971091,0.120205518414224,-0.0225790776543608,-0.00957916909636481,-0.0177164225902719,0.0385930973353277,0.0386837263003449,0.0573302352709249
"CLDN7",-0.0337224645308039,-0.04084468534731,0.0371173028580302,-0.065363352499934,0.0106139279771329,0.00961939877123589,0.00957916909636481,0.0734727949130896,0.0150497425714555,0.0233986276469103,-0.0410845364999572,0.0135037290810394,0,0,-0.0130029561820726,-0.0140361588971091,0.120205518414224,-0.0225790776543608,-0.00957916909636481,-0.0177164225902719,0.0385930973353277,0.0386837263003449,0.0573302352709249
"SNAI1",0.040981443475978,-0.111179262240139,0.188473828158838,-0.100067815304217,0.0854206118055683,0.0844671336757875,0.0844520775628126,0.0991159719317482,-0.0188742920047294,0.0647245778732515,-0.219339770633508,-0.193244679432155,0,0,-0.162422306609335,0.193176724864637,0.121610071141114,-0.0647754297196727,-0.0844520775628126,-0.0894692662360533,0.0123454605345246,0.0123132600720089,0.0180966043877069
"miR101",-0.07816925702756,-0.020195297617363,0.082445640667955,-0.0729618299806161,-0.0205908155653908,-0.0228434114768737,-0.0229291041040119,0.202874840278303,-0.0168298947936505,-0.000849386665236305,-0.236172904986279,-0.205728945643892,0,0,-0.102931944079167,0.205756225414306,0.167441475378331,-0.099064216227073,0.0229291041040119,0.0657736816905668,0.0595069434445256,0.0593635700616684,0.0998762323885019
"NP63",0.0226711397688069,0.0691352742089585,0.0238492390124336,-0.0811165606557177,-0.115013537552517,0.00894248095063383,0.0088776778536565,0.07094132225076,0.00980069144000388,0.0245267676895302,-0.043064238073495,0.00446291128729164,0.0215802590359401,0.12148890048048,0.00638824774822461,-0.00436642301173908,0.205889089999849,-0.0239976816650771,-0.0088776778536565,0.0777051342762679,0.0474096941085737,0.0469287191500813,0.0700521599512857
"miR205",-0.120980104452363,-0.0862519479588012,-0.0427804822925231,-0.0878208104456993,-0.027630836698884,-0.0326488205365686,-0.032647578315975,-0.113886549997485,0.0176217160787023,-0.0738679041422763,0.0929084873839251,0.00620974939151494,0,0,-0.0551957898532835,-0.00634565812674001,0.215453456119205,0.0736288403710766,0.032647578315975,-0.0436479355079189,0.0744988494974509,0.074346492728684,0.125763803201188
"miR200b",-0.0565495283551133,-0.0992429934000767,0.0750543239943553,-0.113363272400002,-0.016440620705804,-0.0186800567161882,-0.0186847437872375,0.0546587178847029,-0.0371172446227143,-0.0410040922508277,0.0202145544152174,0.0228541905208247,0,0,-0.13722259214072,-0.0228763742911783,0.255338528973332,0.0409320487365451,0.0186847437872375,-0.0539945980699998,-0.030231908336321,-0.030417118771736,0.134862524319292
