"","miR200c","miR200b","GSC","miR200a","miR34a","ZEB1","CLDN7","KLF8","miR101","TWIST1","NP63","miR205","TCF3","OVOL2","GRHL2","miR141","SNAI2","TWIST2","SNAI1","FOXC2","ZEB2","TGFbeta","CDH1"
"GRHL2",-0.13079307112659,-0.126019211421812,0.0655160618628568,0.100642088681113,-0.110966196870789,-0.123052970150869,-0.123298184325689,-0.028183513452694,-0.0290523897236567,-0.00983672314346728,0.306281053357567,-0.306185595419806,0.0102962872801226,-0.143699127245248,0.172918937103691,0.123298184325689,0.0188712075129543,0.0532466099893371,-0.077994191071949,-0.0833498752824554,0.0443063708652734,-0.0658913452655741,0.108678592074999
"TWIST2",-0.0605394282523949,-0.0495842327066375,-0.0449786424155837,0.00157280161506006,-0.0823434573281039,-0.0627871005497516,-0.0627622408028475,0.0366524264683832,0.0363743421219248,-0.213493436473933,0,0,0.213328154283089,0.0758612879521389,0.063064459980191,0.0627622408028475,0.0048589640423557,0.000267381068553993,0.119069611648735,-0.0166009041379798,0.0576264681589274,0.0451328231700051,0.178719179466836
"FOXC2",-0.0265793930744491,-0.0137036939771251,-0.0312002729643982,-0.0145785425252051,-0.0155077427401351,-0.00904463370800886,-0.00948461551359217,-0.0117865877284404,-0.0134931074210272,-0.00572141671255338,0,0,0.00639739688380169,0.0723918706575288,0.0077634432696403,0.00948461551359217,0.00670945031382868,0.0874280066970768,-0.0374270602935447,-0.0537084315389187,0.0625454267000182,0.0303763565935382,0.0253872554888138
"CDH1",-0.0554145172850159,-0.0507394087811017,-0.0425881802859594,-0.0422181843379311,-0.0226046231558399,-0.0111568207564006,-0.0117873256416102,-0.0105547827511954,-0.0119426382071819,-0.0859060213644071,0,0,0.08714373716786,0.0223562784420572,0.0107191682895412,0.0117873256416102,0.0391601726351854,0.0461684061646866,0.0339993678535665,0.00291442124080982,0.0983401793738721,0.0412071626293929,0.133012575565508
"SNAI2",-0.0548410479353208,-0.0501628548763766,-0.0412071626293929,-0.042377636791261,-0.0225204033999618,-0.0114925827510222,-0.0111568207564006,-0.0119426382071819,-0.0111122819933843,-0.0866019771134097,0,0,0.0859060213644071,0.0219600771355002,0.0101586925269091,0.0111568207564006,-0.0604044419526007,0.0458643772181281,0.0332571165211207,0.00433639112101809,0.0984957462414594,0.041983204857121,0.13270440314499
"TCF3",-0.0543084306238691,-0.0496167439682864,-0.0403768335395392,-0.0425684804974114,-0.0222019741492174,-0.0117873256416102,-0.0105328912342664,-0.0138180818124381,-0.0105547827511954,-0.08714373716786,0,0,0.0840459636925454,0.0215570985916413,0.00960564038641492,0.0105328912342664,0.0397436569900528,0.0454033865128056,0.0326850375459311,0.00517859472787595,0.0988344903444583,0.0425881802859594,0.232354051228534
"KLF8",-0.0543084306238691,-0.0496167439682864,-0.0403768335395392,-0.0425684804974114,-0.0222019741492174,-0.0117873256416102,-0.0105328912342664,-0.0138180818124381,-0.0105547827511954,-0.08714373716786,0,0,0.0840459636925454,0.0215570985916413,0.00960564038641492,0.0105328912342664,0.0397436569900528,0.0454033865128056,0.0326850375459311,0.00517859472787595,0.0988344903444583,0.0425881802859594,0.232354051228534
"CLDN7",-0.0543084306238691,-0.0496167439682864,-0.0403768335395392,-0.0425684804974114,-0.0222019741492174,-0.0117873256416102,-0.0105328912342664,-0.0138180818124381,-0.0105547827511954,-0.08714373716786,0,0,0.0840459636925454,0.0215570985916413,0.00960564038641492,0.0105328912342664,0.0397436569900528,0.0454033865128056,0.0326850375459311,0.00517859472787595,0.0988344903444583,0.0425881802859594,0.232354051228534
"GSC",0.00373954080787881,-1.75515855398048e-05,0.00125803152738727,-0.126019505250025,0.0875244166451324,0.127469382699535,0.127270770331511,-0.0650591953152738,-0.0653271429339503,-0.0668658614846509,0,0,0.0672987135163401,-0.117091191549028,-0.129064380733397,-0.127270770331511,0.00922600638803157,-0.0396201281593238,-0.0266531660690688,-0.139654387078707,0.125346867155905,-0.00180200473212289,0.0253651755725394
"ZEB2",-0.276693480557298,-0.263160571824867,-0.253765953564764,-0.228621368799828,-0.0898600374868994,-0.051397082073128,-0.0511223723104978,-0.0274685747736389,-0.0267317525556151,-0.0119994769371633,0,0,0.0112671795367379,0.0463655945859335,0.0490989109906762,0.0511223723104978,0.0613949239805852,0.106438960605599,0.133543346379331,0.138667880868855,0.194794555755307,0.254229654923846,0.268912566321059
"miR205",-0.109178068143967,-0.112953696002877,-0.0672627413332905,-0.100799774991979,-0.0114656955171977,-0.00749492812640684,-0.00731418503004779,0.00750621542720428,0.0083510743044807,-0.000138089987898477,0,0,-0.000162556608205473,-0.0608136055702463,0.00627662778888871,0.00731418503004779,0.0138049739101235,-0.0678276054702003,0.0911252094102326,0.106115459401691,0.212091831038986,0.0676087181623652,0.10045465689711
"TWIST1",-0.137518852262462,-0.0420631108694024,-0.0733578686057529,-0.0611996993726099,-0.0080294728168745,-0.0804164328590872,-0.080647562705194,0.0532731969621412,0.0526119411736633,0.132146675221999,0,0,-0.231704707033905,0.0906027407166777,0.0793310971329904,0.080647562705194,-0.145518404368002,-0.125784780818636,-0.0157524510468941,0.101497617720092,0.222276105905521,0.072927635063831,-0.141429653366145
"miR200a",-0.120139932126548,-0.111113496770137,0.025310414985273,-0.121410735647537,0.0971736074902435,0.00109513522412339,0.00135560245814885,-0.0744206971426062,-0.0735813902012136,-0.0116176780227412,0,0,0.0110808307801838,-0.0692680972751773,-0.000898876064142986,-0.00135560245814885,0.0777491312771107,-0.0173420268278345,-0.066692778888775,-0.0720147501193611,0.249136255431107,-0.0247741001048075,0.069092182020384
