"","ZEB2","TWIST2","miR101","KLF8","TWIST1","miR34a","OVOL2","CDH1","FOXC2","miR205","NP63","GRHL2","GSC","TGFbeta","miR200a","miR200c","miR200b","miR141","CLDN7","ZEB1","TCF3","SNAI1","SNAI2"
"CLDN7",-0.034501143493439,-0.106959691383633,-0.0498220255923287,-0.0571979755252746,0.120272003617382,0.0609991403834972,0.143650670165294,-0.20302591625446,0.0371450276445657,0.030036231884058,0.0282443243696071,0.0758413008857466,-0.00145116614038003,-0.00190431096546613,0.0564039607421165,-0.0230944875917209,0.0602941511686066,-0.0759998690323883,-0.0759998690323883,-0.0844883304301867,-0.110688266928128,-0.0137170964526457,0.0815266620204689
"miR205",-0.0115529866516313,-0.142845576571054,-0.0260985310376383,-0.0229957085831668,0.0128214131252495,0.0426530079110389,0.210476109304293,0.0290231729578855,0.108027335059139,0.0669308679386439,0.0684668901366422,0.0463479497897957,0.0244235371119367,0.0247520563945903,0.0300605537020577,-0.020799194131859,0.0350309770502248,-0.0450317875540737,-0.0450317875540737,-0.0422013879317088,-0.0150865587123341,0.0940116599171241,0.0536350327832817
"ZEB1",0.00515504272604824,0.17305353304404,0.0475776611532647,0.0495035217653372,0.00166678871766229,-0.0391528254202395,-0.220397808418272,0.0399760590744546,-0.102013526347773,-0.0707010507625988,-0.0701061547975454,-0.0553330398101891,-0.0475033333893755,-0.0475168257958949,-0.0379008587026551,0.0334688474715724,-0.0496910129735939,0.0555173603311909,0.0555173603311909,-0.041969649356669,-0.00325386137686533,-0.122068288230493,-0.108955929288621
"FOXC2",0.00527846866669778,0.174495963069485,0.0495035217653372,0.0461366970558906,0.00325386137686533,-0.0412123863570707,-0.221075922092452,0.0421156253300776,-0.103310086645596,-0.0687899637471475,-0.0707010507625988,-0.0580718603534206,-0.047235207771981,-0.0475033333893755,-0.039736868829638,0.035497210935317,-0.0520416065638789,0.0588395417907402,0.0588395417907402,0.0555173603311909,-0.00117522235027677,-0.120992765577474,-0.106294405223713
"miR101",0.0133470151467038,0.113163871963103,0.107504776475361,0.206432123153724,-0.0439564351869439,-0.110375915085796,-0.232215919443203,-0.0122297811075174,0.0121887512254469,-0.0531412250312288,-0.0539154219659338,-0.156765323090175,-0.0217520406214651,-0.0214175027281315,-0.08910220929979,0.0782813773086896,-0.114065273615675,0.157650173611706,0.157650173611706,0.156989351621659,0.0438178539532436,-0.000776773581068352,-0.110817402541668
"miR200c",0.0191976138057362,0.11362480414821,0.010299736189801,0.00945862816055129,0.0988685250348264,-0.0122402614601236,-0.178121728205281,0.0846062098465545,0.0180293341179514,-0.0582898188944621,-0.0589864600887041,-0.0314253015184773,-0.12383089284386,-0.123518421250368,-0.0244244149214927,0.00969243594573748,-0.0624531839897582,0.0305674882313997,0.0305674882313997,0.0296035139522601,-0.099251564802932,-0.159435165437177,-0.14572360429063
"miR200b",0.0194071514434385,-0.0624585171213907,-0.034846632741373,-0.0321450009557745,0.0947598317603235,0.139083735353692,0.200610255044296,0.0380254074756618,0.0619266737571659,0.062816994585137,0.0641249739702445,0.0472217415888734,-0.0654889744784102,-0.0648958465809464,0.0187735200025404,-0.0355237899053935,0.0265747558669956,-0.0484049924549746,-0.0484049924549746,-0.0458804467102771,-0.0973257545312243,-0.0711447386274653,-0.0385724827491402
"miR141",0.0194071514434385,-0.0624585171213907,-0.034846632741373,-0.0321450009557745,0.0947598317603235,0.139083735353692,0.200610255044296,0.0380254074756618,0.0619266737571659,0.062816994585137,0.0641249739702445,0.0472217415888734,-0.0654889744784102,-0.0648958465809464,0.0187735200025404,-0.0355237899053935,0.0265747558669956,-0.0484049924549746,-0.0484049924549746,-0.0458804467102771,-0.0973257545312243,-0.0711447386274653,-0.0385724827491402
"GRHL2",0.0229888543109268,-0.0936580877429376,-0.0275627783406505,-0.0264245240160764,-0.0364471468982167,0.120469527340531,0.306048827999213,0.013515617985476,0.031342193742544,0.0779383968497723,0.0788565286511504,0.0906253464403994,0.156584178077536,0.156987178127426,0.130339015633639,-0.138420136408346,0.142705331226809,-0.151625265944837,-0.151625265944837,-0.15068873558348,0.0355916061155125,0.126224225171349,0.0673119546513244
"miR200a",0.0320549979861896,-0.081628034160393,-0.0481736419325674,-0.0463941671297866,0.0737025556816651,0.121297972411521,0.185302621207063,-0.0407231441347132,0.0542417059043553,0.0593495582576244,0.0604584973015199,0.0388437413770747,-0.0448760713900265,-0.0444726989693375,0.00728300663142708,-0.0363592625717984,-0.0104756275508009,-0.0387423767572083,-0.0387423767572083,-0.0367976886594672,-0.0751977418034984,-0.0475664943938166,-0.00439012531895123
"CDH1",0.0345768487772224,0.113760645903566,0.0555837285459697,0.0498220255923287,-0.113913437880331,-0.0655236436947555,-0.147357653086611,0.108740391472152,-0.0425157188447568,-0.0282443243696071,-0.0308894193875835,-0.0831750021486106,0.00190431096546613,0.00116981416738114,-0.0612762618694332,0.0280771850844496,-0.067229823510228,0.0844883304301867,0.0844883304301867,0.0795854731039766,0.120272003617382,0.0165593357429074,-0.0746935050244182
"TWIST2",0.0690787739188371,0.113705099732918,0.0207358674760366,0.0186267715108666,-0.0808860284731422,-0.0356456131908969,-0.156497056365912,0.13709970007033,-0.0540756607122729,-0.0310523768545439,-0.0319355906573271,-0.0975681719931951,0.0119088216633984,0.0111646607478103,-0.0857117763828646,0.0167240715956354,-0.086278360048293,0.0976736723434465,0.0976736723434465,0.095739670128669,0.0835590404561011,-0.0334020937600494,-0.0949701132272935
"TWIST1",0.105518518789294,0.010977989548012,-0.0430906120189747,-0.0436383389522019,0.0240441702571926,0.0652090244206613,0.151145168192844,-0.096817768662562,0.0774934816580833,0.0306217878305644,0.0306885644823045,0.0940948131791971,0.0553656519310162,0.0548508131040842,-0.00667729968508447,-0.0979607937472668,0.00103091503625392,-0.0934917197160415,-0.0934917197160415,-0.0939736001479939,-0.122239534901371,0.0146127731201241,-0.00194179354038517
