"","CDH1","miR200b","miR200c","KLF8","miR101","GRHL2","SNAI1","TCF3","OVOL2","miR34a","NP63","miR205","TWIST1","miR141","CLDN7","ZEB1","FOXC2","ZEB2","TGFbeta","GSC","TWIST2","miR200a","SNAI2"
"FOXC2",0.169724713986528,0.193386851409373,-0.205615847667075,0.0787406772929913,0.0780645737036515,0.224363375219346,-0.097363062591506,0.130954380285891,0.151189883332289,0.236486765954717,0,0,-0.13024460110608,-0.230930869721015,-0.230930869721015,-0.230785059325541,0.0842974667518032,-0.0505124282232484,0.0260671767215287,0.0260335253282524,-0.238669195757367,0.205615847667075,-0.138229995300046
"GRHL2",0.123433954288283,0.0272106924017968,-0.101516121895293,0.157020440140316,0.156244877835637,0.0690085212271398,0.00813589237994765,0.078825029274366,0.121950243706852,0.100108626882337,-0.0255409753580788,-0.0256364332958402,-0.0780735407490178,-0.0971635162285931,-0.0971635162285931,-0.0973427867873888,-0.0522698390151584,-0.0138993577099461,-0.0959789253330142,-0.0960559776121541,-0.153849013989002,0.101516121895293,-0.166281818716949
"NP63",-0.136657876092902,0.12828069468085,0.0305015163931675,-0.268920598319621,-0.267917253838016,-0.131554968492375,-0.0247699687437258,-0.161957342682742,-0.10864696313666,-0.0445309882275017,0.0215802590359401,0.12148890048048,0.160801727289496,0.0332228520918181,0.0332228520918181,0.0336520453780815,0.0767390582391345,0.00989662792495013,0.10453147140584,0.104735158309971,0.274027411862139,-0.0305015163931675,0.282698537354365
"ZEB1",-0.169626259343658,-0.19353886113526,0.205515467905217,-0.0780645737036515,-0.0776516268650461,-0.224233818544911,0.097407443245318,-0.13024460110608,-0.151098275222701,-0.236368133287928,0,0,0.129807720446012,0.230785059325541,0.230785059325541,0.130857134312612,-0.0844346224268727,0.0506749769058216,-0.0261190881838997,-0.0260671767215287,0.238034653772634,-0.205515467905217,0.137991676686391
"ZEB2",-0.221070960187184,-0.168836413788308,-0.166845517346299,-0.165022499068921,-0.164387101771597,-0.0458713390290673,-0.0382726174440787,-0.0353147402790129,-0.035259126812809,-0.026299235590556,0,0,0.0346538865274095,0.0434353714930255,0.0434353714930255,0.0436074640252897,0.0492792888541388,0.0652777553233252,0.0687696236332944,0.0688663050587604,0.162255523329586,0.166845517346299,0.179342155721664
"OVOL2",0.0239563727653599,-0.145813273418033,0.117471599079089,0.100990672320048,0.101155176668446,-0.135808324670447,0.109315542624582,0.00457450693834945,-0.173310657487994,-0.190843142785731,0.0240834337367673,0.0241428552949085,-0.00467701754909688,0.175398219008493,0.175398219008493,0.175001620597332,-0.104058372818618,0.0766811099493117,-0.0373211952714131,-0.0373838881726477,-0.0389351208691866,-0.117471599079089,-0.0687385343939452
"miR34a",0.0224026795016681,-0.0438837047794646,-0.151175078955411,0.0517518765553539,0.0516596823328585,0.102260251521842,-0.00596649542226036,0.086124972564179,0.0977019047091558,0.0577242427989878,0,0,-0.0860360052931123,-0.0990172332437544,-0.0990172332437544,-0.0992887557449026,0.00874114903392596,0.126891083458606,0.00667370703852143,0.00662784904142979,-0.242701597815675,0.151175078955411,-0.124948710620831
"miR200c",-0.00646551966870936,-0.0490222476539546,-0.176294297323507,0.10507091361539,0.104842175457543,0.167975346833941,0.0666079647483997,0.056574960823467,0.111373819928065,0.0810201624530663,0,0,-0.0563279815135301,-0.164105905769464,-0.164105905769464,-0.164325751721063,-0.0827254038976975,0.193680684218182,-0.0719292761801218,-0.071958818948961,-0.113036156847487,0.176294297323507,-0.124069976446008
"CDH1",-0.0106033248608378,-0.33342271104509,0.0158181360526751,0.190016091249334,0.189255844088129,-0.222593977490379,0.0505957842726897,0.0925832955324228,-0.180504441357996,-0.160119703908564,0,0,-0.0916324323186113,0.226737033313586,0.226737033313586,0.225184034003451,-0.0788400581923841,0.202928249509122,-0.200500243232226,-0.200862376751059,-0.131194086059299,-0.0158181360526751,-0.15862815503459
"CLDN7",0.0880919441866233,-0.335267194604485,0.0159561315094401,0.193547606671775,0.190016091249334,-0.224506128904202,0.0511749110644916,0.0963587069554625,-0.181876793929118,-0.1619475184781,0,0,-0.0925832955324228,0.228891149540774,0.228891149540774,0.226737033313586,-0.0804948762818757,0.204451261688766,-0.200862376751059,-0.201514905299183,-0.131271289877379,-0.0159561315094401,-0.157887538447712
"miR205",-0.182276765665074,-0.186099076940603,0.015195003212194,-0.0973408224662413,-0.0965335128723994,-0.228454416098975,0.0876478030025615,-0.132226647676545,-0.154379605667534,-0.233747030299769,0,0,0.131386484586062,0.233832321011627,0.233832321011627,0.233690707863964,-0.0746994249370325,0.211159746520236,0.00633952121748046,0.0064045902541413,0.244000161754365,-0.015195003212194,0.146918452596307
"miR101",-0.0821810210933004,-0.153808701928984,-0.0437770896730344,0.0598475714323575,-0.0398387406074118,-0.117704121398757,0.0100250061639296,-0.0155328934316817,-0.111785547654332,-0.0492800349951182,0,0,0.0151695268897746,0.11964181288046,0.11964181288046,0.119506682199203,0.0107938480189419,0.21294975893556,0.00932285139681892,0.0093404586543628,0.0271104497859872,0.0437770896730344,-0.0356179308751646
