"","miR101","CDH1","GSC","SNAI2","miR200c","miR200a","miR200b","TWIST1","TCF3","NP63","CLDN7","ZEB1","ZEB2","miR141","GRHL2","miR205","OVOL2","miR34a","TWIST2","TGFbeta","SNAI1","FOXC2","KLF8"
"TGFbeta",-0.159078595950029,-0.0907785887299943,-0.00958143002077538,-0.0468885314078547,0.0128724317443965,0.0128724317443965,0.0530144998729049,-0.177002106586297,-0.176861430889158,0.0420876218146491,0.046764075574547,0.046666467068712,0.0313302691060295,-0.046764075574547,-0.0511107968078954,-0.0423192925696232,-0.0356132281913764,0.148843423140494,0.113521559622558,-0.0903512381025766,0.278885525011479,0.276495911277049,0.158929715324591
"SNAI2",-0.00810649731163872,-0.0250147632362354,-0.0181219739652634,-0.0886407212582445,-0.0332444999752958,-0.0332444999752958,-0.00662202693723562,-0.0987264848810845,-0.0984249796217447,-0.0460774157906045,-0.0257777364822769,-0.0258039598539855,0.0396682083489544,0.0257777364822769,0.0293161035097705,0.0455484013851353,0.0550060122927413,0.0310729506228933,-0.00586075996566852,0.0182792507076958,0.0385793849405962,0.0662029338135947,0.0078921447050694
"CDH1",-0.0078921447050694,-0.0249570707311282,-0.0182345013298725,0.0112961761287645,-0.0333675860796206,-0.0333675860796206,-0.0066546133638597,-0.0984249796217447,-0.099152735265835,-0.0455484013851353,-0.0259221269140043,-0.0257777364822769,0.0397072190007653,0.0259221269140043,0.0295756622598953,0.0467297059562704,0.0551007779996532,0.0311121762626174,-0.00611224069924157,0.0181219739652634,0.0386448384174225,0.0661660160637952,0.00816065753221831
"TCF3",-0.00816065753221831,0.0748619535158326,-0.0177451049187795,0.0115025431268056,-0.0328856634844568,-0.0328856634844568,-0.00675963207493992,-0.099152735265835,-0.0977490566598331,-0.0467297059562704,-0.0252894238455772,-0.0259221269140043,0.0398007372924978,0.0252894238455772,0.0289296212898599,0.0459782608695652,0.0546557536514624,0.0307466133487101,-0.00576131425342462,0.0182345013298725,0.0384148306135863,0.0662317308615728,0.00689408027100538
"CLDN7",-0.00816065753221831,0.0748619535158326,-0.0177451049187795,0.0115025431268056,-0.0328856634844568,-0.0328856634844568,-0.00675963207493992,-0.099152735265835,-0.0977490566598331,-0.0467297059562704,-0.0252894238455772,-0.0259221269140043,0.0398007372924978,0.0252894238455772,0.0289296212898599,0.0459782608695652,0.0546557536514624,0.0307466133487101,-0.00576131425342462,0.0182345013298725,0.0384148306135863,0.0662317308615728,0.00689408027100538
"GRHL2",0.0618244021272423,0.00873710710436465,-0.134216896638627,0.0953395041565582,0.0789409116109095,0.0789409116109095,-0.153511881538645,-0.125972896830495,-0.125597152567821,0.0854096205346958,0.0887306584451953,0.0886461545398921,0.0407669854758377,-0.0887306584451953,-0.0431516267553324,-0.0854668952973527,-0.230093217864856,-0.0636498067686861,-0.0861310285153355,0.134216342305683,0.151249117650792,0.162609961740116,-0.0621756499814613
"miR101",0.133562521358106,0.0672045998110124,-0.0271580113086403,-0.0767418025621504,-0.0429853256592164,-0.0429853256592164,-0.00300155600665766,0.228280406222641,0.228187655003236,-0.0517017783555037,-0.0208270311824932,-0.0207416681423825,0.0533912241870148,0.0208270311824932,0.024753577331835,0.0518618665352223,0.0629005470859529,-0.0958792555953685,-0.00700109523494609,0.0270012228724163,-0.253779948852708,-0.260494812692244,-0.233470807505327
"SNAI1",-0.179951233943268,-0.19986316204849,-0.0503191321172745,0.0212167557838022,-0.0763227037445137,-0.0763227037445137,-0.0471091775297218,-0.22798160953877,-0.228201823212456,-0.0414565870635809,-0.0310628093777436,-0.0310321566759435,0.144293900366092,0.0310628093777436,0.0322262633334737,0.0416048350420176,0.0485326906326978,0.188307247548491,0.0800265444093163,0.0502818576424835,0.185515020810668,0.299488923447586,0.180035779037625
"miR200a",0.0957784273660356,-0.0251050280133763,0.0373988041653257,0.0430389484120252,-0.0851271942242044,-0.0851271942242044,-0.0692096281562783,0.150282436424335,0.150396313112151,-0.0597913125050672,-0.0122246670323414,-0.0122561373665296,0.147411872787344,0.0122246670323414,0.0210711183955146,0.0594749805342124,0.0678032141832982,-0.0129686664259168,0.0131658037259394,-0.0372942682140485,-0.200634919128709,-0.194841394961642,-0.0959063046038873
"miR200c",0.0925566123663012,-0.0425242567022146,0.0383381785098559,0.0716435049027223,-0.0991085706771669,-0.0991085706771669,-0.10475481246297,0.0782704024527869,0.0784256888452621,0.0311606196080361,-0.0270025999373753,-0.0270389805364723,0.161749018371626,0.0270025999373753,0.0173073434975225,-0.0314343000772027,-0.0453536543439941,-0.0862408703880294,-0.0740251255485829,-0.0382256887361989,-0.134476689890827,-0.148367724431205,-0.0926862906920099
"miR200b",0.0925566123663012,-0.0425242567022146,0.0383381785098559,0.0716435049027223,-0.0991085706771669,-0.0991085706771669,-0.10475481246297,0.0782704024527869,0.0784256888452621,0.0311606196080361,-0.0270025999373753,-0.0270389805364723,0.161749018371626,0.0270025999373753,0.0173073434975225,-0.0314343000772027,-0.0453536543439941,-0.0862408703880294,-0.0740251255485829,-0.0382256887361989,-0.134476689890827,-0.148367724431205,-0.0926862906920099
"miR205",-0.0426509841458251,-0.0538165640186383,-0.0546893790799523,-0.0122112639206552,-0.0889527692689764,-0.0889527692689764,-0.0782692547588239,-0.122072937566865,-0.122068819120343,0.0428701866672331,-0.00854511080884413,-0.00850287530866401,0.161870948119554,0.00854511080884413,-0.000396602318602069,-0.0429593750529233,-0.0532804792662214,0.0327487685060122,-0.0606241949339487,0.0546750956328804,0.144961526696485,0.15296126736031,0.042592156935111
"miR141",-0.145673208041079,-0.0952446396606589,-0.146047876562706,-0.0890463972284306,-0.0881189385829897,-0.0881189385829897,-0.0611203500587992,-0.188963037125774,-0.189112407846155,0.0543548391012679,0.00649956169297887,0.00659665102185725,0.182466899734727,-0.00649956169297887,-0.0155598193915548,-0.0542091131371662,-0.0624845980433031,0.035378893430004,0.0268261079301733,0.14591493410293,0.25764332753199,0.26026916183466,0.145718235237506
