"","CDH1","miR141","GRHL2","miR200b","NP63","miR205","miR34a","miR200c","miR200a","OVOL2","TWIST1","FOXC2","ZEB2","TCF3","TGFbeta","GSC","KLF8","miR101","SNAI1","CLDN7","ZEB1","TWIST2","SNAI2"
"GSC",-0.000700696039068299,-0.0534273699444539,-0.0544572854282376,0.133237279342289,-0.0531984340424536,-0.0531083940033724,-0.116612212263586,0.0710414713566548,0.0710414713566548,-0.053052307849583,0.354743667681355,-0.375645575294798,-0.0954833089729683,-0.354845891039392,-0.0833533191637618,-0.0831302290292354,0.0498231122951126,0.0496116772651025,-0.277058635545282,0.0534273699444539,0.0533233578780889,-0.0714348698984643,-0.213756654446646
"miR101",-0.0198122364164692,-0.0594338883642465,-0.0592386312101264,0.118395323487401,-0.0439159204934323,-0.0440103987634302,-0.118434915372439,0.0611655735184824,0.0611655735184824,-0.0406137123814409,0.227040609164243,-0.246306736730649,-0.0637251542062886,-0.227314498059194,-0.0719695348942634,-0.0718856908107211,0.156673593811972,0.0564821909887802,-0.259706615901135,0.0594338883642465,0.0593277613414061,-0.0339790323065072,-0.194653205839527
"TWIST1",-0.0834909030376211,-0.031026844988692,-0.0322697000371626,0.097115444058288,-0.0328794704940249,-0.0331701453310113,-0.0880690405054441,0.0383019393061005,0.0383019393061005,-0.0358345743525522,0.233640537628911,-0.353340017665721,-0.0498722741620071,-0.333896241959546,-0.0541113587060837,-0.054272108747603,-0.0431306257583854,-0.0433437413287684,-0.252434459904872,0.031026844988692,0.0309655147518981,-0.152453803829061,-0.224890560621367
"OVOL2",-0.0793701915843845,-0.107915726302047,-0.0659413646959387,-0.00748838730918579,-0.0233962687621696,-0.0234924236471619,-0.0708424763116535,0.123238654463755,0.123238654463755,-0.0803677187905484,-0.0705470305504191,0.0400272805142107,-0.0474384577666888,0.0704966744609292,-0.0413209528761924,-0.0413436876645522,0.112881773471257,0.112977185993328,0.106921838959417,0.107915726302047,0.107877003949467,0.145865452569115,0.142659830538269
"GRHL2",0.0922994441360368,0.163002247700869,0.0579248608796791,-0.0685051799342261,0.0545399912026046,0.0544723028467374,0.155056941758837,-0.164192108984921,-0.164192108984921,-0.0210658127763646,0.0921088310463967,-0.0741356707099163,-0.0389851484191246,-0.0915105305666001,0.00655094576310677,0.0062344216523954,-0.100714068344524,-0.100545927141126,-0.0973219259339338,-0.163002247700869,-0.162929098325477,-0.125876322744339,-0.125032386776655
"NP63",-0.147192389586193,-0.104306926117501,-0.143371616338728,0.174399793678944,-0.0516484767400638,0.0498401303106671,-0.104197013514656,0.0604306193660143,0.0604306193660143,0.0282930598495247,0.114813553069933,-0.0256115878056981,0.00487272977908059,-0.114936968306105,-0.0711166221734354,-0.0693844276610003,-0.204346574181215,-0.20399567775049,-0.00453363042509407,0.104306926117501,0.103917089685946,-0.177351359569972,-0.208384092880142
"ZEB2",-0.239023258043575,-0.196122489690902,-0.183545515386101,-0.171786259347825,-0.122493099751079,-0.121509213788885,-0.12017665374367,-0.0963313076353961,-0.0963313076353961,-0.0933875332623284,-0.0855547358796069,0.0496596043499031,0.0640146815917491,0.0855953288618922,0.115683494791147,0.116498205147144,0.141779449572503,0.141997214843417,0.147512009536355,0.196122489690902,0.196268068680393,0.242105733283917,0.251634718570277
"miR34a",0.0737421753849303,0.110459136434672,0.105194099914391,-0.0850665254542039,0.0829784804070964,0.0831241840421183,-0.0562550558245869,-0.136372706081001,-0.136372706081001,0.070601064711879,0.205698582272992,-0.286432127841015,0.075246334535636,-0.205211230584583,0.105253751925139,0.105080577646648,0.095683752013567,0.0956347738328663,-0.266856863452275,-0.110459136434672,-0.110268523355426,-0.0603382860623696,-0.00994597808318486
"FOXC2",-0.150859822846612,-0.160532854203532,-0.152176705007874,0.165034231547457,-0.0753024678651338,-0.075316021673754,-0.159928599007937,0.145933871512567,0.145933871512567,-0.0571268305663872,-0.120320542812341,0.144996367158316,0.0804393153709647,0.119323472059749,-0.106004270442521,-0.1055081837739,-0.0414782769283738,-0.0415142216761615,0.0879095065649089,0.160532854203532,0.160245909547716,0.0941425145187496,-0.0249844749119289
"ZEB1",-0.150703056945643,-0.160245909547716,-0.151923257402784,0.164955405356643,-0.0748656360453844,-0.0753024678651338,-0.159827088581716,0.145830030379611,0.145830030379611,-0.0571089362709283,-0.120605987535219,0.145476749842919,0.0805455777861251,0.120320542812341,-0.105799140126455,-0.106004270442521,-0.0415142216761615,-0.0413731437526522,0.08793311329566,0.160245909547716,0.0600553152880847,0.094042323679055,-0.0249335521312336
"CDH1",-0.130700652596023,0.0232494969092446,0.0238875219958485,0.166431630667692,0.0189502928381192,0.0188732512356538,-0.00446993176696701,-0.0954222677607954,-0.0954222677607954,0.0177251161281119,0.177822594119987,-0.0776863019441134,0.172850220394239,-0.178422859724236,-0.144433257116856,-0.144271626902235,-0.237433919180381,-0.237463035029108,-0.0434358197178571,-0.0232494969092446,-0.0234885432906599,-0.269230557362599,-0.286379026778931
"miR200b",-0.00592107485703932,0.151150344116679,0.147387990268142,-0.114157786501838,0.0675462512755164,0.0674573939803325,0.0658821234856668,-0.170797121466409,-0.170797121466409,0.0482644235469276,0.0632208302337627,-0.0398024245804304,0.197366785483718,-0.0628348326296099,0.0192137026581381,0.0187955588530294,0.0057403977111528,0.00585746842186207,-0.106979723185317,-0.151150344116679,-0.150943443408931,-0.0851847561581174,-0.0935869959452294
"miR200a",-0.00592107485703932,0.151150344116679,0.147387990268142,-0.114157786501838,0.0675462512755164,0.0674573939803325,0.0658821234856668,-0.170797121466409,-0.170797121466409,0.0482644235469276,0.0632208302337627,-0.0398024245804304,0.197366785483718,-0.0628348326296099,0.0192137026581381,0.0187955588530294,0.0057403977111528,0.00585746842186207,-0.106979723185317,-0.151150344116679,-0.150943443408931,-0.0851847561581174,-0.0935869959452294
