"","miR101","KLF8","ZEB2","OVOL2","ZEB1","miR141","SNAI1","CDH1","miR205","GSC","TGFbeta","miR200c","miR200a","FOXC2","NP63","TCF3","TWIST1","miR200b","GRHL2","CLDN7","miR34a","TWIST2","SNAI2"
"GSC",-0.0388159871249299,-0.0387351156618385,-0.0163443821567941,-0.0808496008242618,-0.0406754133257997,-0.0407012353469159,-0.108299276105703,0.00768267178848634,-0.0134134268174239,0.0011361719477955,0.00109216512673823,0.0296363614692988,0.0296363614692988,0.0788593926631343,0.0133003978321943,0.16385801301082,0.164020931487692,-0.0248467951809831,0.0400360277528916,0.0407012353469159,0.0614481221218296,-0.100740720764683,-0.120968468540479
"OVOL2",-0.113246388471634,-0.113291352993529,-0.0056041447488754,0.343800177340325,0.256899798041687,0.256672491038647,0.103260427016072,0.0757015944103059,0.313418875818413,-0.223135471648309,-0.223196097750602,-0.232281772529065,-0.232281772529065,-0.109339117007769,-0.313942865922023,-0.01566270631674,-0.0155637925695276,-0.0310372284304895,-0.0643578248369879,-0.256672491038647,-0.242037552087858,0.178223760922484,0.140117094374702
"miR205",0.0539226626923101,0.0540615950410178,0.00549098940243145,-0.28577543911678,-0.257266051985373,-0.256908292454435,0.113477658924663,0.0341830453843426,-0.0835211983806455,-0.000392444505447712,-0.000303569723667043,0.131356809040503,0.131356809040503,-0.0976052617276363,0.084224795645535,-0.12330548808605,-0.12332608031866,0.1206264910284,0.238037943192173,0.256908292454435,0.230086089530238,-0.157065988805902,-0.0346552563138835
"miR141",0.00250157621495175,0.00260964148637569,0.00873413963871796,-0.274588837291799,-0.248438568999512,-0.248169620398826,0.15233207174922,0.0234714693214112,-0.0777868825229701,-0.115109571589981,-0.115077756300462,0.124403514321685,0.124403514321685,-0.0898929109177759,0.0783200262940737,-0.131269852392412,-0.131212174589493,0.129492122581481,0.23500895670801,0.248169620398826,0.12173110675938,0.0104609949177499,0.123728710299485
"miR200b",-0.0182722696362182,-0.0182326457033628,0.0354103555373235,-0.296143947238268,-0.266475158041424,-0.266192371421449,0.145304834861236,-0.0516330154868,-0.0827074395250851,-0.107342182631427,-0.107334228809047,0.122688870022581,0.122688870022581,-0.084684358060758,0.0834111893029419,-0.120674906826714,-0.120812446202906,0.186054453747766,0.250125968519472,0.266192371421449,0.138920001987614,0.0258803836938333,0.150705379652515
"miR200a",-0.0182722696362182,-0.0182326457033628,0.0354103555373235,-0.296143947238268,-0.266475158041424,-0.266192371421449,0.145304834861236,-0.0516330154868,-0.0827074395250851,-0.107342182631427,-0.107334228809047,0.122688870022581,0.122688870022581,-0.084684358060758,0.0834111893029419,-0.120674906826714,-0.120812446202906,0.186054453747766,0.250125968519472,0.266192371421449,0.138920001987614,0.0258803836938333,0.150705379652515
"TWIST2",0.109206033336684,0.109173879834125,0.0424579214892086,0.179750005643886,0.138466449305339,0.138394883367282,0.0131614001821275,0.0770356166718976,0.0357789162798896,0.0295788116436835,0.0295441550847251,-0.0926241980251094,-0.0926241980251094,-0.0142800475918061,-0.0359090020337879,0.0268842562260215,0.026915602848423,-0.0848452212601307,-0.134562195022581,-0.138394883367282,-0.0863119821489302,-0.108227595332234,-0.15751326109846
"TWIST1",0.0270242024359962,0.0269973140229105,0.0772640679610041,0.192546603320022,0.148632936514269,0.148507931423982,-0.0430248945074229,-0.116251160642747,0.0391784758235125,0.0281694668808284,0.0281096164755064,-0.119335260354197,-0.119335260354197,-0.0458302350954777,-0.0394337983154601,0.127723145674217,0.0278105589757443,-0.0676304404303824,-0.142917378128601,-0.148507931423982,-0.0504152714610306,-0.098990297254035,-0.120416711495483
"SNAI2",-0.226318010196863,-0.22627985682029,0.118240423067004,0.0888115723440286,0.0775298479299409,0.0774302676752828,-0.00461437755887556,-0.131388255078416,0.017097082487373,-0.187792484438191,-0.187808427560027,-0.0981677748660376,-0.0981677748660376,-0.0535081725938751,-0.0173955008699454,0.141163897185543,0.141315783293631,0.226274000126348,-0.0747516290072054,-0.0774302676752828,-0.0463886646001245,0.25223569891743,0.140576172371734
"TCF3",-0.226360734177864,-0.226584247812196,0.11849680872364,0.0877729031899781,0.0772104733514311,0.0767825759005296,-0.00446408923755638,-0.231530438531149,0.0156521739130435,-0.187982789503813,-0.187855908952789,-0.0978615870371384,-0.0978615870371384,-0.0534180538623151,-0.016634832872581,0.141042873696408,0.14138169267027,0.226611172748653,-0.0743381338884216,-0.0767825759005296,-0.0459353759191282,0.252000967584278,0.240612419861342
"KLF8",-0.226360734177864,-0.226584247812196,0.11849680872364,0.0877729031899781,0.0772104733514311,0.0767825759005296,-0.00446408923755638,-0.231530438531149,0.0156521739130435,-0.187982789503813,-0.187855908952789,-0.0978615870371384,-0.0978615870371384,-0.0534180538623151,-0.016634832872581,0.141042873696408,0.14138169267027,0.226611172748653,-0.0743381338884216,-0.0767825759005296,-0.0459353759191282,0.252000967584278,0.240612419861342
"CLDN7",-0.226360734177864,-0.226584247812196,0.11849680872364,0.0877729031899781,0.0772104733514311,0.0767825759005296,-0.00446408923755638,-0.231530438531149,0.0156521739130435,-0.187982789503813,-0.187855908952789,-0.0978615870371384,-0.0978615870371384,-0.0534180538623151,-0.016634832872581,0.141042873696408,0.14138169267027,0.226611172748653,-0.0743381338884216,-0.0767825759005296,-0.0459353759191282,0.252000967584278,0.240612419861342
"NP63",-0.255873676253338,-0.255884641766798,0.173801961742473,0.203900702954028,0.0596978747432832,0.0594858227243784,0.00844190174240738,-0.12279289210801,-0.0713269515339436,-0.109443363382267,-0.109436516763641,-0.0985098481789978,-0.0985098481789978,-0.0641007417905445,-0.0291835815700977,0.142430855939002,0.142513880734245,0.172845466592944,-0.166648020373623,-0.0594858227243784,-0.0463173383041435,0.2711119982431,0.281720235113889
