"","ZEB1","CLDN7","ZEB2","miR101","KLF8","miR200c","miR200a","CDH1","SNAI1","TCF3","NP63","miR205","FOXC2","TWIST1","TGFbeta","GSC","miR200b","TWIST2","SNAI2","GRHL2","OVOL2","miR141","miR34a"
"miR200a",-0.210837852824533,-0.210933156602536,0.00219158017211885,0.00942592174782506,0.00938269563925549,-0.107778951237992,-0.104103512882404,0.0260960043729848,0.0514656716802473,0.0202700443016414,0,0,0.0232070838531197,-0.0203425112847966,-0.0431206715213562,-0.0430297706941587,0.0386170466393487,-0.0995983208907261,-0.0894243335157092,0.209005961851479,0.144412875077425,0.210933156602536,0.121259918496329
"TWIST2",-0.135285452950918,-0.135365413089229,0.0159258008142417,0.123137672550307,0.123068151463693,-0.0746655499601631,-0.0610523167901762,-0.0934697385522026,-0.0644150642210287,-0.113871495411014,0,0,-0.039404616624279,0.113743259228463,0.0237065426179975,0.0236975373703941,-0.0179348806027315,-0.171812977065355,-0.152532671182658,0.135260436202018,0.122990048835484,0.135365413089229,0.112299489681983
"OVOL2",0.0754658698605518,0.075392908796217,0.0188776540484982,-0.130506866472193,-0.130501382993913,0.0784795540527258,0.0910909607063818,-0.148851248568088,0.0576248213361847,-0.0674445325368838,-0.00906664885944927,-0.00906556846748307,0.000906423049717726,0.0675254619664213,-0.0279118582500405,-0.0278023179061252,0.0247968747814125,0.142585523404632,0.133060369974182,-0.0118497383793956,-0.087149897543769,-0.075392908796217,-0.104248240275735
"miR205",0.207421192949185,0.207449142912539,0.0318423682996186,-0.0248229086993225,-0.0248191537709791,0.0916284864748448,0.116521317654683,0.00868113524270642,0.142436344882562,0.00211887269280767,0,0,-0.107625941890886,-0.00204474065541218,-0.0718523518778302,-0.0720110568452957,-0.115567033621512,0.121740082531116,-0.0127584093085597,-0.205839059670484,-0.142872707628433,-0.207449142912539,-0.23151652764167
"miR200c",0.208361607411648,0.208306478528354,0.0338765661528994,-0.0193910020286387,-0.0194288248736371,0.0903157312183098,0.118552128324825,0.038252099147313,0.170975711166025,0.0233465201581152,0,0,-0.0271077489304521,-0.023312505043573,-0.17739019610256,-0.177526547343356,-0.116417378777137,0.0280080642125023,-0.107623992159703,-0.206827030502035,-0.142029185910335,-0.208306478528354,-0.226244605049278
"FOXC2",0.169983134367845,0.169837323972371,0.079607660742284,-0.0524883152641249,-0.0525276833212257,0.153588439319551,0.208552488665982,-0.0647570161482583,0.150720571658751,-0.00499560000628427,0,0,-0.104294466987557,0.00510826336815899,-0.0979184913154628,-0.0979629979968926,-0.2082859176357,0.13915669871194,0.0154915005614947,-0.17464104953779,-0.116767126087882,-0.169837323972371,-0.204269237006897
"ZEB1",0.0700043115078039,0.169983134367845,0.0796490551272871,-0.0524714153045378,-0.0524883152641249,0.153776342322043,0.208534192847318,-0.064774748862941,0.15068846650493,-0.00510826336815899,0,0,-0.104288386194081,0.0051749672928737,-0.0979365574191073,-0.0979184913154628,-0.208259072273535,0.139171011689039,0.0154849105545812,-0.174770606212225,-0.11685873419747,-0.169983134367845,-0.204334668426208
"SNAI1",-0.147464457379004,-0.147433032568846,0.0823515997371984,-0.2103990458681,-0.210359425104324,-0.120788026277971,-0.0355622265393754,0.089232792540282,0.0200380474093871,0.11274544817541,0,0,-0.0596519091473088,-0.112668296749131,0.0589362428719614,0.0590621174072502,0.0798498246047894,0.131976834768067,0.16780176858545,0.146692951649611,0.134657771054489,0.147433032568846,-0.047562147162651
"CDH1",0.0296943898104929,0.0294970562204655,0.0895228285035056,0.143491649204659,0.143300778640782,-0.0297470884027219,0.0571626884329281,0.242676354896875,0.179994436783142,0.23052300353308,0,0,-0.0275438504034567,-0.230836416547688,-0.22140323191036,-0.221753089716691,-0.245972150620343,-0.199099153667571,-0.222801042097594,-0.0308805664524886,-0.0301460241242932,-0.0294970562204655,-0.0862743058036158
"TCF3",0.0294970562204655,0.0295592293543572,0.089816743134665,0.143300778640782,0.142540832284054,-0.0298383777048895,0.0573261599740189,0.342682987516096,0.180158728071597,0.230668211664735,0,0,-0.0276334614913353,-0.23052300353308,-0.221753089716691,-0.222786259917887,-0.246083085878526,-0.198804375453085,-0.222936175817124,-0.0309357558820896,-0.0301856336212526,-0.0295592293543572,-0.086470332293682
"KLF8",0.0294970562204655,0.0295592293543572,0.089816743134665,0.143300778640782,0.142540832284054,-0.0298383777048895,0.0573261599740189,0.342682987516096,0.180158728071597,0.230668211664735,0,0,-0.0276334614913353,-0.23052300353308,-0.221753089716691,-0.222786259917887,-0.246083085878526,-0.198804375453085,-0.222936175817124,-0.0309357558820896,-0.0301856336212526,-0.0295592293543572,-0.086470332293682
"CLDN7",0.0294970562204655,0.0295592293543572,0.089816743134665,0.143300778640782,0.142540832284054,-0.0298383777048895,0.0573261599740189,0.342682987516096,0.180158728071597,0.230668211664735,0,0,-0.0276334614913353,-0.23052300353308,-0.221753089716691,-0.222786259917887,-0.246083085878526,-0.198804375453085,-0.222936175817124,-0.0309357558820896,-0.0301856336212526,-0.0295592293543572,-0.086470332293682
"miR101",0.0503605859394666,0.0502518222204066,0.136027371191371,-0.221406177253863,-0.121350351430432,-0.044119913416598,0.0858219810995667,0.0187358619524241,0.199158622014208,0.151055100856023,0,0,-0.0907507206937962,-0.15099290297948,-0.0276674360196563,-0.027486332799205,-0.0627430032914174,0.121896150068361,0.132639952210407,-0.0555177452181229,-0.0661743807126788,-0.0502518222204066,-0.0949294600278271
