"","TWIST2","KLF8","ZEB2","FOXC2","OVOL2","NP63","CLDN7","ZEB1","TCF3","miR200c","GSC","miR200b","TGFbeta","miR200a","TWIST1","miR141","GRHL2","miR205","miR34a","CDH1","SNAI1","miR101","SNAI2"
"miR205",-0.132563484544478,-0.0190914972423107,-0.000459010737867736,-0.135746032458697,-0.026545232551044,-0.0262693565185215,-0.0195617765277622,-0.0201151858021811,-0.0171689451065902,-0.0104637088217253,-6.84659184382003e-05,-0.00439219611381845,0.00189039894494193,0.0104637088217253,0.0172554324835516,0.0195617765277622,0.022060976731486,0.0222063300593004,0.0060458120611662,0.041432862215364,0.128541486609334,0.0194632351483123,0.0622329084923344
"miR200c",0.128487728764932,0.0271230343157457,0.00469964483680502,0.18536047889919,0.0254676291515249,0.0259370414266343,0.0204210071305497,0.0203739132261972,0.0939666578194309,0.00901445342446549,0.115512847566832,0.0108215724680516,-0.116802503052697,-0.00901445342446549,-0.094618860667827,-0.0204210071305497,-0.0245421516826584,-0.0223507609930107,-0.00193473836111387,-0.0744500412244112,-0.15575217197379,-0.0273823909671631,-0.17040292842574
"TWIST2",-0.12660008851234,-0.107265684604121,0.0055032879359337,-0.00182334886206386,0.036041192974331,0.034535016968583,0.0291251451429579,0.0299922229819464,0.00382518410051678,0.0145041885970998,-0.0074676694562649,-0.0678311287768574,0.00655595635799582,-0.0145041885970998,-0.00304294338695367,-0.0291251451429579,-0.0301267124870104,-0.0335131591386188,0.00704056671667555,-0.0742321498421653,-0.041268451318993,0.107104917091325,0.140173526131855
"ZEB1",0.10563526910396,1.9552037810224e-05,0.014808480289701,0.130719163403954,0.0286493471610164,0.0243481529975576,0.0182464022622682,-0.0815622763659985,0.0198925310926365,0.00735288291882103,0.000258409879163232,0.00695795396269551,0.000334569953119295,-0.00735288291882103,-0.0192789751725129,-0.0182464022622682,-0.0218534773832699,-0.0263368873348377,0.000972968160811545,-0.105885661073114,-0.120794570856155,8.2582500563706e-05,-0.0418807659960444
"FOXC2",0.105985141877497,-0.000286834145713388,0.0151994553041512,0.13101306842196,0.0278131226971108,0.0263368873348377,0.0180920898029187,0.0182464022622682,0.0193855459642003,0.00752150113947849,-0.00129932397088182,0.00689725266608161,-0.000258409879163232,-0.00752150113947849,-0.0198925310926365,-0.0180920898029187,-0.0212736829364542,-0.0223656214091126,0.00109893893070086,-0.105588121351289,-0.120612326894756,-1.9552037810224e-05,-0.0417730493375853
"TWIST1",-0.124724310195757,-0.0361081688370808,0.0156438901965851,-0.228974044366475,-0.060558046249139,-0.0737597975436826,-0.0875844802483776,-0.0883102008169595,-0.125997068219365,-0.0588208058868542,-0.0420109774634391,-0.00337325267249106,0.0427620843825847,0.0588208058868542,0.0253557650259198,0.0875844802483776,0.0925236948385724,0.0729349094927753,0.005170705075558,0.153679539296521,0.0474778869208306,0.0362187100908776,0.136320475649637
"miR34a",-0.156075291337944,0.000103429314887651,0.0167016547238278,-0.0794525389028212,0.0511595598057728,0.0595619579201383,0.0679315052317884,0.0678077614100557,0.0293774176758968,0.0739983624094819,0.0145079953322485,-0.0828845388805583,-0.0148344318641772,-0.0739983624094819,-0.0296411702051655,-0.0679315052317884,-0.0733523545114167,-0.0584776958049756,-0.075834494813573,0.0518238966882295,0.0842402458022374,-0.000217711736522562,0.0922993919287601
"GRHL2",0.0446917813881223,0.0104494522984956,0.0366392413953121,0.111413290338614,0.0831839266455868,-0.019592580233213,0.0167308673947895,0.0170804559022584,0.0330721249972789,0.00372959508425236,0.105608007445946,-0.0399264630897505,-0.106430083201086,-0.00372959508425236,-0.0329218272922093,-0.0167308673947895,0.0256241717099079,0.0211910667909998,-0.00221619272107789,-0.0131645728295717,-0.100105992379326,-0.0106105509384005,-0.0351844601322887
"GSC",-0.00263281043445036,-0.0616488526348358,0.0578516118066789,0.223732207989593,-0.0486907275610235,-0.0516327355201413,-0.0508780322783865,-0.050928469684118,0.194223228631093,-0.0543479620124115,-0.0200343338815892,0.0812927574824309,0.0207378318126574,0.0543479620124115,-0.193996420555447,0.0508780322783865,0.0543910408220269,0.049768715136609,0.0658476931754754,-0.0597767739571023,-0.0939883396617211,0.0618193647558117,-0.0794193134577365
"KLF8",-0.135567450288231,-0.156628661089428,0.0776213023655444,0.0218234390530406,0.0226705260825065,0.0283314484376309,0.0366171652498032,0.0368622005421998,0.0995586356478593,-0.0217575621185093,-0.1905839811891,-0.160799582987236,0.191272761323231,0.0217575621185093,-0.0993166220951003,-0.0366171652498032,-0.0397528827320881,-0.0301811594202899,-0.0211588268711846,0.0663216858271614,0.000815607790479945,0.156673363816295,0.12935446070744
"CLDN7",-0.135567450288231,-0.156628661089428,0.0776213023655444,0.0218234390530406,0.0226705260825065,0.0283314484376309,0.0366171652498032,0.0368622005421998,0.0995586356478593,-0.0217575621185093,-0.1905839811891,-0.160799582987236,0.191272761323231,0.0217575621185093,-0.0993166220951003,-0.0366171652498032,-0.0397528827320881,-0.0301811594202899,-0.0211588268711846,0.0663216858271614,0.000815607790479945,0.156673363816295,0.12935446070744
"SNAI2",-0.135179703791769,-0.156501903818236,0.0776549360289729,0.0221094207864147,0.0223817017366229,0.0290340421026087,0.0365589806355723,0.0367377451891151,0.0997681493195359,-0.0217159791570694,-0.191188877287795,-0.160699390329438,0.191090202290488,0.0217159791570694,-0.0994711779738703,-0.0365589806355723,-0.0395786490829408,-0.0291018644622842,-0.0210663964722459,0.16630954257152,0.000885058326798232,0.156452651277568,0.0293627577701599
"miR101",0.0265413233250979,-0.115617041436258,0.092630890408021,0.132795174090681,0.0267426022102773,0.0220483098786231,0.0128876803038074,0.013417326656927,0.0226684000261631,-0.0394519689250306,-0.00439250543596977,0.0516582477581258,0.00382320410871793,0.0394519689250306,-0.0221915496393359,-0.0128876803038074,-0.014718973229669,-0.0214551962947474,0.0315397186176905,-0.0464749090477522,-0.0460283852550585,0.0155678615441878,-0.0996950778245776
