"","SNAI2","miR101","TWIST2","ZEB2","SNAI1","OVOL2","GSC","NP63","CLDN7","GRHL2","miR34a","miR200a","miR141","ZEB1","miR205","TGFbeta","miR200c","CDH1","FOXC2","TCF3","TWIST1","miR200b","KLF8"
"miR200b",-0.120980078504449,-0.11707204876109,-0.0123389076159702,-0.00496491561781161,-0.112840609609012,0.143572960346903,-0.084003912949332,0.0507657043621595,-0.00793357593645497,-0.0117624248308137,-0.105118793283907,-0.00656647111851636,0.00793357593645497,0.00794183410925612,-0.0507799215293889,0.0839766427011728,0.00242122203481299,0.000416878172976401,0.102715169323495,-0.00976796481269127,-0.00969549782953615,0.0427384614781911,0.117009010686093
"TWIST1",-0.164815662418736,-0.0655585735454457,-0.139260518893139,-0.00363211430264555,0.0159617774289831,0.145208868746376,0.0053813618369589,0.029603871137679,-0.0873276704529157,-0.088470777911865,-0.011526965578619,-0.0535819919611884,0.0873276704529157,0.0873756733947926,-0.0295999430993414,-0.0054155173038704,0.0305618662700523,0.134576172622726,-0.218667107556279,0.22236082922526,0.122387788467787,0.0754817691226162,0.0654550033617082
"FOXC2",-0.00352980756706741,0.00888837949343697,-0.0790902509774115,-0.00141620548227533,0.0594714617412367,-0.129566789572942,-0.031069575421787,-0.0465919568264572,-0.00570797681654034,0.00374844372063875,-0.00608332225752929,-0.00419475605340024,0.00570797681654034,0.00575261265188937,0.0465919568264572,0.0311271084490012,0.00331746526256081,-0.00926200517569434,-0.0794928680654578,0.0807568792092545,0.0806780148559422,-0.0064250863681655,-0.00883531819908371
"ZEB1",0.00348942879743369,-0.00894054893390135,0.0790306135728313,0.00134982302339837,-0.0593817561643826,0.129534473009501,0.0311271084490012,0.046635065229722,0.00575261265188937,-0.00370878351417904,0.00607476113724555,0.004303047520626,-0.00575261265188937,-0.105712712375314,-0.0465919568264572,-0.0311410582252331,-0.00326109436181316,0.00931955490616796,0.0795611080811327,-0.0806780148559422,-0.080754333760796,0.00646561089576408,0.00888837949343697
"miR200c",0.120980078504449,0.11707204876109,0.0123389076159702,0.00496491561781161,0.112840609609012,-0.143572960346903,0.084003912949332,-0.0507657043621595,0.00793357593645497,0.0117624248308137,0.105118793283907,0.00656647111851636,-0.00793357593645497,-0.00794183410925612,0.0507799215293889,-0.0839766427011728,-0.00242122203481299,-0.000416878172976401,-0.102715169323495,0.00976796481269127,0.00969549782953615,-0.0427384614781911,-0.117009010686093
"SNAI1",0.083280949699171,0.104965206664994,-0.0120294810616823,0.0202542569444682,-0.0732702691976134,-0.104031285470563,-0.00712116718054224,-0.0124251008036905,0.0757323741148128,0.0765422212776127,0.100285852861774,0.053750660194072,-0.0757323741148128,-0.0757742995986352,0.0124385778926393,0.00717093153170292,-0.0167373719493685,-0.0616390218667446,-0.11399090493242,0.0243267015181668,0.0244181591691869,-0.0387246645498536,-0.10492683379929
"OVOL2",-0.20292856451494,-0.156209975413505,-0.205047281864848,0.0268940028902595,0.126709139799949,0.123141729370792,0.167876643237552,0.195621473949435,0.0809034575176498,-0.0491813337045064,0.126437917586978,0.0986942770701503,-0.0809034575176498,-0.0808742459183351,-0.19557717787882,-0.167830484727852,-0.0782840857900639,0.203194543764486,-0.144948057388033,0.0834512811797979,0.0835879619941278,0.0718754205279696,0.15611017610881
"TCF3",-0.26980862038227,-0.246247226165541,-0.236047761178586,0.0289753531895988,-0.00908897409530295,0.157260472388918,-0.189295299121625,0.0302890173410405,-0.110475245498191,-0.113247289144751,-0.0683821805949657,-0.0411022926293867,0.110475245498191,0.110508160686722,-0.03,0.189784695532718,0.0693198873171868,0.208321199264234,-0.0296056385736189,0.147734200909172,0.14904107409407,0.269562747338559,0.245785297987922
"CDH1",-0.26986414043758,-0.246502798615478,-0.236167076170164,0.0291200838791848,-0.00926969451260282,0.157565698512546,-0.189784695532718,0.0302119757385751,-0.110508160686722,-0.113308971448423,-0.0683927766214558,-0.0411298917207397,0.110508160686722,0.110612442665192,-0.0302890173410405,0.189782649580634,0.0693305023523226,0.108462379301945,-0.0299581088526081,0.14904107409407,0.149407607958612,0.269694390511603,0.246247226165541
"GRHL2",0.0281122656208017,0.00903769133447696,0.05597005629327,0.0294925980341288,-0.0876555465116019,-0.0779872650449779,-0.088466255667618,-0.01517122364905,-0.0845649134802673,-0.0488579930046034,-0.097408043137567,-0.0824844090965962,0.0845649134802673,0.0844908906794978,0.0152250272139701,0.0884679186664483,0.0957989187298854,-0.074414795068908,0.0993887157586746,-0.0360586056807988,-0.0360412636379062,0.0876825638464986,-0.00899279499220837
"miR34a",-0.0815293697029448,-0.0172797158443491,-0.214894998159724,0.0664541166406821,0.0288439403311016,-0.0949580078141297,-0.0351672810130369,-0.0191277375342489,0.0453906445947148,0.0490370108942333,0.0346515284800102,0.0937837731101691,-0.0453906445947148,-0.0453059276706054,0.0191466600842517,0.0351292671470267,-0.0411281728816102,-0.00104823877470929,-0.120992919874645,0.096213388386268,0.0960771818562278,0.0285852765031364,0.0172192133858365
"NP63",-0.251493658787931,-0.232565605606008,-0.25225316336167,0.0899829072973237,0.0170545158678325,0.0884405072994893,-0.0195187185881318,0.0152254670473007,0.0249629269597555,-0.0814664123698885,0.0463347034639294,0.0509249170471598,-0.0249629269597555,-0.0248933738975547,-0.115375939962176,0.0195426817533236,0.00747340256875022,0.144082735027356,-0.055154337035895,0.163901453839436,0.164199894319633,0.143022441530684,0.232409347039201
"GSC",0.0963056734685858,0.106974886057614,0.0451230800380626,0.109449891950164,0.0283421262166109,0.0898144090538636,0.00272285453040433,0.0143630522210474,-0.0469346550557731,-0.0488086956042278,0.00812851623000252,0.0351505891175567,0.0469346550557731,0.0469650622955921,-0.014361136475535,-0.00276686135146159,0.0743933884834216,-0.0243981038646524,-0.063585013641896,-0.101328395023029,-0.101441799060852,0.0594931616194087,-0.107001193641993
