"","CDH1","miR200a","GRHL2","KLF8","miR141","CLDN7","TWIST2","GSC","miR34a","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","OVOL2","TGFbeta","ZEB1","miR101","SNAI2","ZEB2","miR200b","miR200c"
"TCF3",-0.197507245207648,0.00200181862791289,0.0550219351212164,-0.035425779715522,0.0523298491797491,0.0523298491797491,-0.0837376794990688,-0.0135354704879385,0.0329487041527665,0.0395480438971266,0.0386231884057971,-0.00196071282078974,-0.0965607451644532,-0.0241901440866838,0.0985452562970766,-0.029698915993976,0.0142242506220694,-0.0525529410131251,0.0330565351916061,0.0587958211367721,-0.0598557212430438,-0.0532851093119735,-0.0553700031416347
"CLDN7",-0.197507245207648,0.00200181862791289,0.0550219351212164,-0.035425779715522,0.0523298491797491,0.0523298491797491,-0.0837376794990688,-0.0135354704879385,0.0329487041527665,0.0395480438971266,0.0386231884057971,-0.00196071282078974,-0.0965607451644532,-0.0241901440866838,0.0985452562970766,-0.029698915993976,0.0142242506220694,-0.0525529410131251,0.0330565351916061,0.0587958211367721,-0.0598557212430438,-0.0532851093119735,-0.0553700031416347
"FOXC2",0.153869495056163,-0.216282780535952,0.264403264142974,0.0685657977079086,0.248339280768781,0.248339280768781,-0.118349663412041,-0.0839831012010386,0.267886381063859,0.133252669599125,0.133184900556024,-0.161747437565561,0.00275506430452779,-0.109743485955934,-0.00243397372318485,-0.078412622797141,0.0840623448045601,-0.248434928987387,-0.0689166869125027,-0.0336551211651232,-0.0407059494294143,-0.226434583876713,-0.246710325640621
"GRHL2",-0.161540558769443,0.218790090373569,-0.13315904242564,-0.133510865481456,-0.2286707568545,-0.2286707568545,-0.0067376702745649,0.162044416092409,-0.24733008902547,-0.0635299523753417,-0.0632435785620574,0.136827496654931,-0.0339403740750494,0.0370077346373581,0.0342958859543488,0.123025192857799,-0.161972907142703,0.228717266755869,0.133018766357375,0.107278012294353,-0.00343029082319733,0.109663137827723,0.219786014975217
"OVOL2",-0.157297566377986,0.0944912666598604,-0.0862261397768583,-0.119471627146618,-0.106138706370306,-0.106138706370306,-0.0785016837498106,0.0272807152734927,-0.141473705136865,-0.0616391576493399,-0.0618325478112906,0.110629594509078,-0.0308828611951933,0.00242675384604326,0.0304116720721086,-0.0509289253949721,-0.0273909445503887,0.106149439934706,0.120064939496508,0.10155705035801,0.0246940715522855,0.0154777776087995,0.113183785779923
"ZEB1",-0.153872867535642,0.216267451606802,-0.264495804624713,-0.0689166869125027,-0.248434928987387,-0.248434928987387,0.118573900053262,0.0840623448045601,-0.267965877180779,-0.133465337721898,-0.133252669599125,0.161763018007857,-0.00243397372318485,0.109841454295269,0.00254995442111222,0.0783936601855353,-0.0840644029682664,0.148477374156317,0.0687660568379225,0.0337925527638469,0.040766778982986,0.226598220893218,0.246836912926511
"KLF8",0.197507245207648,-0.00200181862791289,-0.0550219351212164,0.035425779715522,-0.0523298491797491,-0.0523298491797491,0.0837376794990688,0.0135354704879385,-0.0329487041527665,-0.0395480438971266,-0.0386231884057971,0.00196071282078974,0.0965607451644532,0.0241901440866838,-0.0985452562970766,0.029698915993976,-0.0142242506220694,0.0525529410131251,-0.0330565351916061,-0.0587958211367721,0.0598557212430438,0.0532851093119735,0.0553700031416347
"CDH1",0.0977223315738255,-0.0021015999581891,-0.0553238537655043,0.0330565351916061,-0.0525529410131251,-0.0525529410131251,0.0849589035305118,0.0142242506220694,-0.0331129425633625,-0.0395737244312817,-0.0395480438971266,0.00201821477174879,0.0985452562970766,0.0248532661369855,-0.0976475139331988,0.0298317243073104,-0.0139316794740856,0.0526090928476858,-0.0341014706514747,-0.0580133026213574,0.0598868940069547,0.0540143237424319,0.0557287913292236
"SNAI1",-0.220208336570099,0.0048710340366618,-0.121131990990479,-0.239317063717651,-0.115678964893843,-0.115678964893843,0.0403089025754969,0.0117187313444834,-0.24178039604919,-0.100193686604905,-0.100191236225097,0.187739763132268,-0.238987715224688,0.129877294761231,0.23875626094585,0.0848147983816992,-0.0117848886583793,0.115699580186993,0.239601896452513,0.103435882271748,0.11014206755486,0.0427794882845586,0.113329941995342
"GSC",0.0649694630542713,-0.123881122969008,0.114071844957194,0.191820858065058,0.106986580115748,0.106986580115748,-0.0598645247324399,-0.0500497308858048,0.161655324579476,0.0899384605621582,0.0899863541999673,-0.297381236371848,0.326132669573638,-0.163479825266952,-0.325969751096766,-0.0737521832941727,0.0500845696191418,-0.107000094444557,-0.19199916502585,-0.0143309971111472,0.146936022725762,0.0156927665348863,0.0155478731586664
"TWIST2",0.125683181956665,-0.00321382025000138,-0.16372166248133,0.148738638501223,-0.155680383228788,-0.155680383228788,0.104847054283394,0.0374006281739025,0.0110969741197424,-0.117773786088199,-0.117727571412472,-0.228198375767255,0.322559620039814,-0.0264117417618172,-0.322529698263886,0.0885809683366121,-0.037389985608553,0.15571772665812,-0.14875688778646,-0.108899236572237,0.171180141947992,0.142704827082661,0.162239354143281
"ZEB2",-0.272237059074973,-0.218631883870589,-0.0870704679719411,-0.0865803500234241,-0.0828390047324212,-0.0828390047324212,-0.0780527298990711,-0.0610125763832177,-0.0586859130754485,-0.0551366836557618,-0.0549584995838684,-0.0254518207153006,-0.0141982362071263,0.00376375244112973,0.0143492421012273,0.0369396431186878,0.0610365927882698,0.0828947322713998,0.0864321900902452,0.0934417977362872,0.205917926282783,0.26629343716804,0.296024635686309
"miR200c",-0.115147002014494,0.0133964040673294,-0.257538505899232,0.0611903635294551,-0.245595625711083,-0.245595625711083,0.0926524699345158,-0.0563434781558733,-0.148423171638036,-0.133396934492676,-0.133258317112189,-0.0408038867054419,0.0141876096059928,0.0282728350009275,-0.0144730407845426,0.0827788265301686,0.0562559861096957,0.245676198694359,-0.0608427535730414,-0.0722124440606318,0.230864942454402,0.223235821171781,0.238980320321426
