"","CDH1","OVOL2","miR205","GRHL2","CLDN7","miR34a","TGFbeta","miR200c","miR200a","SNAI2","FOXC2","KLF8","miR101","TWIST2","TWIST1","TCF3","SNAI1","ZEB2","GSC","miR141","ZEB1","NP63","miR200b"
"OVOL2",0.247283501057898,0.353542979368449,0.445717486892128,0.236332204229933,0.200710293003917,0.199765419710058,0.329870353144508,-0.194798056602115,-0.194798056602115,-0.0762557083451324,0.125210085414134,-0.0957499882016814,-0.0956578657665784,-0.113227348029838,-0.0137295101737156,-0.0138985627598605,-0.0902033027111226,-0.0141210452475327,-0.329793192650681,-0.200710293003917,-0.200719396153471,-0.445906555486214,-0.117293988068769
"FOXC2",-0.165844148361209,-0.268821887883586,-0.263100888550095,-0.259110243719845,-0.216221019668168,-0.229596771280362,-0.150740371946472,0.204449063443677,0.204449063443677,-0.0238111175114033,-0.153363213605974,0.0137175214815453,0.0135275278146675,0.113847870100849,0.0895422130038715,0.0894295496419968,0.123320405020276,0.0152919331327876,0.150476588444339,0.216221019668168,0.216236748486339,0.263656594703524,0.208521513384269
"ZEB1",-0.165876023731774,-0.268858477711614,-0.263656594703524,-0.259186164686497,-0.216236748486339,-0.229647526493472,-0.15072459269139,0.204469831670268,0.204469831670268,-0.0238603628357934,-0.153512530867995,0.0135275278146675,0.0136708100807317,0.113928181805684,0.0895259877248868,0.0895422130038715,0.123362425001013,0.0153545295198655,0.150740371946472,0.216236748486339,0.116275739872787,0.263728442042299,0.208564431765818
"GSC",0.0248895891916819,0.234375935869286,0.224478950518153,0.212441812793624,0.189343210540354,0.137839208742189,0.0703296645003204,-0.130695301725916,-0.130695301725916,0.0837571048226816,-0.00309094359275354,-0.0290260673966736,-0.0288467860809046,-0.0230654260798327,-0.129380874786,-0.129671572460418,-0.0544182907770331,0.0527648667403981,-0.0701988664488446,-0.189343210540354,-0.189308700736433,-0.224802711509743,-0.0365215434013697
"ZEB2",-0.264298306817105,-0.248656731409047,-0.240698145516913,-0.232373420697027,-0.208025444357476,-0.192724527552712,-0.145045165877491,-0.106485433923767,-0.106485433923767,-0.0928284438240337,-0.0721804707159888,-0.0704368380759878,-0.0703284526215147,-0.0351638206871326,0.0114234392391602,0.0117270747466537,0.0703246113585353,0.103244355552972,0.145010064977799,0.208025444357476,0.208045820506089,0.241077755061381,0.264728123645125
"TCF3",-0.0224316718961858,0.0211224654143536,0.0178260869565217,0.00677404187687261,0.00410525961801086,-0.0179587660204197,-0.00484285149340277,-0.0543446949446773,-0.0543446949446773,-0.0402894472591491,-0.0199133426719784,-0.0034179403650746,-0.0028070030979013,-0.0314223641349404,-0.0308252224242393,-0.0289375167127195,0.0524741229479277,0.106825267037288,0.00495160625142344,-0.00410525961801086,-0.00391142572999564,-0.0167856245287761,0.0224569540624066
"KLF8",-0.0224316718961858,0.0211224654143536,0.0178260869565217,0.00677404187687261,0.00410525961801086,-0.0179587660204197,-0.00484285149340277,-0.0543446949446773,-0.0543446949446773,-0.0402894472591491,-0.0199133426719784,-0.0034179403650746,-0.0028070030979013,-0.0314223641349404,-0.0308252224242393,-0.0289375167127195,0.0524741229479277,0.106825267037288,0.00495160625142344,-0.00410525961801086,-0.00391142572999564,-0.0167856245287761,0.0224569540624066
"CLDN7",-0.0224316718961858,0.0211224654143536,0.0178260869565217,0.00677404187687261,0.00410525961801086,-0.0179587660204197,-0.00484285149340277,-0.0543446949446773,-0.0543446949446773,-0.0402894472591491,-0.0199133426719784,-0.0034179403650746,-0.0028070030979013,-0.0314223641349404,-0.0308252224242393,-0.0289375167127195,0.0524741229479277,0.106825267037288,0.00495160625142344,-0.00410525961801086,-0.00391142572999564,-0.0167856245287761,0.0224569540624066
"SNAI1",-0.0972592555574074,-0.142484229886146,-0.132040008364605,-0.118630679003688,-0.109691408346878,-0.114900539398884,-0.0429469135641438,0.000253119012839695,0.000253119012839695,-0.107258359567558,-0.106401655606842,0.0071494933764535,0.00721968764298581,-0.0018201105582277,0.0115736045399965,0.0116497340930803,-0.0713142306479075,0.112873577547087,0.0429205677311764,0.109691408346878,0.109699515484634,0.132194382292564,0.0379175431817963
"TWIST1",0.0485871605856195,-0.140311485434186,-0.123442997371028,-0.09462602920838,-0.0850624893489536,-0.0192725865020567,-0.0484673059917898,-0.015811987482957,-0.015811987482957,-0.0260100333197531,-0.0387802996673159,-0.00824042661192669,-0.00823146380756479,-0.0548445639817733,-0.0689281378154463,0.0307279276056489,0.0277541969259546,0.115587491337778,0.0483460384166086,0.0850624893489536,0.0850734720271722,0.123682607709625,0.0633601268549221
"miR200a",0.0337413889940261,0.193724742522897,0.190258271386926,0.186946816773539,0.160522647978129,0.164717935580597,0.160156761851565,-0.171550896251417,-0.171550896251417,-0.0777974377291712,0.0907744417528832,-0.0746122331443298,-0.0743366667021987,-0.0967514027547462,-0.011717194506756,-0.0117423361131568,-0.0681216032979216,0.187065991257988,-0.160090858751847,-0.160522647978129,-0.160465733543959,-0.190197848426201,-0.0187382653019218
"miR141",-0.0243851184986428,0.205488608697136,0.202651088761352,0.201368028420455,0.174924553966328,0.0973805748325655,-0.0514206224793826,-0.18536288961817,-0.18536288961817,0.0688537071757827,-0.0279830672806,0.0479495282420872,0.0479675391206579,-0.0226118930112953,-0.0539060043124816,-0.0539755134595896,0.00647467465619515,0.19807514032368,0.0514638003723014,-0.174924553966328,-0.174935936853162,-0.202725728889306,0.0390212265040407
"NP63",0.0833722013311569,-0.0393833178035262,-0.247498520684973,-0.0625626790078123,0.112375764844484,0.0943705528790685,0.023080694847138,-0.150773076994684,-0.150773076994684,-0.0230910239741748,-0.0114362516354668,-0.0011320575060839,-0.00108271269551315,-0.0436218953720723,-0.0374411735062644,-0.0379550296714164,0.0513914237287951,0.207776853311068,-0.0233083449164601,-0.112375764844484,-0.11235642570036,0.148057420083081,-0.0838131672672927
