"","ZEB2","miR101","KLF8","SNAI2","TWIST2","miR34a","SNAI1","TCF3","miR200c","miR200b","NP63","TGFbeta","ZEB1","miR141","FOXC2","GRHL2","CLDN7","GSC","CDH1","miR205","OVOL2","miR200a","TWIST1"
"TCF3",0.0172950467682034,-0.0342898442901719,-0.03773195425888,-0.0471824127582672,-0.0698903712088453,0.0129382518546646,0.0214717611417537,-0.0863587069554625,-0.0103205903307078,-0.00271170718507708,0.00737957610789981,-0.00196089946830304,0.00302921255978828,0.00161385945296021,-0.025179926927704,-0.00115155126900349,-0.00161385945296021,-0.000395453622144665,-0.116060792881589,-0.00333333333333333,-0.00793525582549641,0.0103205903307078,0.0913925888528487
"KLF8",0.0172950467682034,-0.0342898442901719,-0.03773195425888,-0.0471824127582672,-0.0698903712088453,0.0129382518546646,0.0214717611417537,-0.0863587069554625,-0.0103205903307078,-0.00271170718507708,0.00737957610789981,-0.00196089946830304,0.00302921255978828,0.00161385945296021,-0.025179926927704,-0.00115155126900349,-0.00161385945296021,-0.000395453622144665,-0.116060792881589,-0.00333333333333333,-0.00793525582549641,0.0103205903307078,0.0913925888528487
"CLDN7",0.0172950467682034,-0.0342898442901719,-0.03773195425888,-0.0471824127582672,-0.0698903712088453,0.0129382518546646,0.0214717611417537,-0.0863587069554625,-0.0103205903307078,-0.00271170718507708,0.00737957610789981,-0.00196089946830304,0.00302921255978828,0.00161385945296021,-0.025179926927704,-0.00115155126900349,-0.00161385945296021,-0.000395453622144665,-0.116060792881589,-0.00333333333333333,-0.00793525582549641,0.0103205903307078,0.0913925888528487
"miR200c",0.0238409458728186,0.00425812240486909,0.0028730858427856,-0.0838846089637736,0.0178029355625684,-0.106405237114865,-0.0738481307610611,-0.0166609254120657,-0.00667178631192454,-0.028256617122143,-0.0120736962379132,0.0847628796019186,-0.00751030402277638,-0.00813814834952326,0.0184934872265248,0.000517794499454608,0.00813814834952326,-0.0857991490319704,-0.0318114276613728,0.0138472878497845,0.02647150067548,0.00667178631192454,0.0183720335653407
"miR200b",0.026095882763156,0.0198747567726653,0.0185977854820057,-0.0573874042092313,0.0350453147472818,-0.0981511197145361,-0.068594931746139,-0.0125975549935192,-0.011231288757518,-0.0505897917686342,-0.00859549384112675,0.0798371979902489,-0.00183228782414996,-0.0024257602965353,0.0184310037370257,-0.00342745991477273,0.0024257602965353,-0.0808882388047203,0.0319426466552418,0.00985726743273862,0.0227463912466386,0.011231288757518,0.0142140123932855
"miR200a",0.026095882763156,0.0198747567726653,0.0185977854820057,-0.0573874042092313,0.0350453147472818,-0.0981511197145361,-0.068594931746139,-0.0125975549935192,-0.011231288757518,-0.0505897917686342,-0.00859549384112675,0.0798371979902489,-0.00183228782414996,-0.0024257602965353,0.0184310037370257,-0.00342745991477273,0.0024257602965353,-0.0808882388047203,0.0319426466552418,0.00985726743273862,0.0227463912466386,0.011231288757518,0.0142140123932855
"TWIST1",0.0279073399872655,0.00557784505128808,0.00644225773863558,0.0848220165610638,0.108134409137514,-0.0565079309376264,0.0184291022532849,-0.115998773104177,0.0558220821984762,-0.00945704622946456,-0.105307838470095,0.022813284786378,-0.14654927892108,-0.146261137868939,-0.0559487839981374,0.135839019638991,0.146261137868939,-0.0227716088496879,-0.0870832652864963,0.104977883249732,0.0872151640142958,-0.0558220821984762,0.0172642236094582
"OVOL2",0.0344167351726246,0.0663375333190378,0.0642560049639716,0.049767959622754,0.0772353445320385,-0.074097279234603,-0.0766397240612997,0.0105236927638708,-0.00206321651628491,-0.0242595087512946,-0.00861799907926654,0.00638449496758632,-0.0145028642293124,-0.0154059781857993,0.0134368700680374,-0.0269456617967354,0.0154059781857993,-0.00794906176652812,-0.0648800972322829,0.0110974986417078,-0.0427029720570758,0.00206321651628491,-0.00776130156899271
"GRHL2",0.0524992391981487,-0.0455632584090084,-0.0502474434523642,-0.0432337937952043,0.0106529103950486,-0.0291544030793403,-0.00265829932237906,0.0113750465025565,0.00895669427030552,-0.0877620646828405,-0.0148366276612616,-0.091864284855295,-0.028005193799829,-0.0299348088157581,-0.0264323236428075,-0.0187497355274366,0.0299348088157581,0.0891807590760415,0.0275296315238031,0.0196355585323587,-0.0353208672255449,-0.00895669427030552,-0.00849626738237614
"miR101",0.0628436563216024,0.0045888713592945,0.103689012253039,-0.114151535039173,-0.0518552980709975,0.0338969173980684,-0.0397692607044265,0.00979951958754484,-0.0909921808625038,0.0692399569738801,0.0744006394700922,-0.00130066919369974,0.111065495657227,0.110783698748754,-0.0555769374613115,-0.101622655595799,-0.110783698748754,0.00127719285030791,-0.0340472965822304,-0.0737287939945516,-0.0628203008221388,0.0909921808625038,-0.010791412039778
"TGFbeta",0.0678927842813863,-0.0396140131554696,-0.0445478478356533,-0.0958969008565699,-0.0823858812775343,-0.0160128269110634,-0.00558803920218236,-0.085990798946361,-0.0773789763912321,-0.0464106099228153,0.0777380800094389,-0.0990133070547373,0.0858772425351913,0.0839948908049133,0.0185879106715256,-0.0799482984882286,-0.0839948908049133,-0.00288110787469455,-0.0301225179227133,-0.0736170661091936,-0.0709892455523304,0.0773789763912321,0.0856209580006573
