"","ZEB2","OVOL2","SNAI1","NP63","ZEB1","miR141","FOXC2","CDH1","GRHL2","miR200b","miR200c","GSC","TGFbeta","miR200a","TCF3","TWIST1","CLDN7","miR34a","miR205","SNAI2","miR101","KLF8","TWIST2"
"TCF3",0.0175134598972084,-0.00978922257604801,0.0267048611284102,-0.00538786964899053,0.00818376338845314,0.0111936745174441,0.0165551204775104,0.0790404230341099,0.0122272631390406,7.7719068608708e-05,0.014026926406121,0.000465151207381555,0.000640522165828523,-0.014026926406121,0.0410183617078171,0.042664053866578,-0.0111936745174441,0.00224065094574802,-0.000797101449275366,0.0148799835002999,-0.00380602362165275,-0.00298647362910321,0.0285864358417139
"KLF8",0.0175134598972084,-0.00978922257604801,0.0267048611284102,-0.00538786964899053,0.00818376338845314,0.0111936745174441,0.0165551204775104,0.0790404230341099,0.0122272631390406,7.7719068608708e-05,0.014026926406121,0.000465151207381555,0.000640522165828523,-0.014026926406121,0.0410183617078171,0.042664053866578,-0.0111936745174441,0.00224065094574802,-0.000797101449275366,0.0148799835002999,-0.00380602362165275,-0.00298647362910321,0.0285864358417139
"FOXC2",0.0221104408330989,0.085699284432226,0.106061237092633,0.0608119868155864,0.0210113729032756,0.0216324486694178,0.10023841038303,0.0731735858060521,0.0027801377502609,0.00642081284598408,0.0220628263017563,0.00602511685625454,-0.00573093854729133,-0.0220628263017563,-0.00662804503398344,-0.00643088415070268,-0.0216324486694178,-0.0130116189036331,-0.0624519976586333,-0.0287044627788927,-0.0487411039813152,-0.0485237238399325,-0.103097475157963
"ZEB1",0.0221195274054167,0.0852150701386901,0.106104673477215,0.0616540376260244,-0.0786664255467032,0.0210113729032756,0.100055310935031,0.0730163847464408,0.00241110897205966,0.00621545437490441,0.021692954075798,0.00573093854729133,-0.00588347134641684,-0.021692954075798,-0.00643088415070268,-0.00653364425093885,-0.0210113729032756,-0.0125921240097299,-0.0608119868155864,-0.0287735979423309,-0.0486257433876122,-0.0487411039813152,-0.1032342436058
"miR200b",0.0274540606195402,0.0643483325751944,0.0780545629879904,0.0415673289779512,-0.00617677283255795,-0.0055623201373805,0.0233747180108494,-0.0292240037567998,-0.0133493652771693,-0.036766663669224,0.00833023171150445,0.0895205942368123,-0.0892762982637189,-0.00833023171150445,-0.0561986159193273,-0.0559634679535791,0.0055623201373805,0.00112117509150827,-0.0430281429107751,-0.0672120786257981,-0.0717507851462236,-0.0715328535155186,-0.0508552687796708
"OVOL2",0.0306981917490296,-0.0474005000536078,0.0971944488174511,0.00700546048783024,0.0139999899635459,0.0143984905253596,0.0170305537857186,-0.0812219716365083,-0.0274177981142017,-0.0128882770153952,0.020590214114904,0.00051767523832306,-0.000351642389998545,-0.020590214114904,-0.0304733254607791,-0.0302934822840292,-0.0143984905253596,-0.0126002159540701,-0.00801778776016465,-0.0739582968466572,-0.0948062475020616,-0.0946823208929349,-0.0816464086320543
"GRHL2",0.0412183482897373,0.102188070907339,0.106872153446563,0.193165853692675,0.1088653049806,0.109079512554508,0.0406133320933634,-0.0110826097535432,-0.0258794369816814,0.0539301559503653,0.120318510906867,0.0877719042052248,-0.0876771132718945,-0.120318510906867,-0.00807526654766089,-0.00802613075946504,-0.109079512554508,-0.0926555595283432,-0.193660499370166,-0.0787985126971571,-0.103737640891027,-0.103638164681687,-0.0817043772797549
"GSC",0.0627950924523786,-0.138329643836566,-0.0681113538820765,-0.1417870076051,-0.161032164477001,-0.160767187101436,-0.0948782116376641,-0.0246275279462932,-0.14662202000381,-0.10971609089949,-0.0509195647671727,-0.0272494791857957,0.027364385885223,0.0509195647671727,-0.065724574540219,-0.0657181855803417,0.160767187101436,0.0595931161092549,0.141105002202697,0.0186422415544883,0.0850636855540779,0.0852127618655596,0.0323645613629491
"NP63",0.0856502987727414,-0.0782903538758142,0.031252256347346,-0.17830242666464,-0.0268606167725164,-0.0274730230031136,0.0168256710621496,-0.0794541404015043,-0.0798882624532625,-0.0916213389966238,0.0109420624862821,-0.090888653036953,0.0906575796583179,-0.0109420624862821,0.029070599769338,0.0288664036513082,0.0274730230031136,0.030408718494546,0.0796835530618885,0.0436495085768719,0.0217522638258803,0.0215740742321525,0.0380930151614302
"SNAI1",0.0921580802905114,0.0841575915581367,-0.0786793349214649,0.0796070276796957,0.0800864414377281,0.0806279210289739,0.117768943803266,-0.0644608692516408,0.0752110054668417,0.0206678476216641,0.0847715088276749,0.00711560366817946,-0.00687692993692647,-0.0847715088276749,-0.0346945422335639,-0.0345836689918245,-0.0806279210289739,0.0220495852102411,-0.0809584121442877,0.0764240316158849,-0.0254413237095084,-0.0252070308465494,0.0633895287781449
