"","KLF8","miR101","ZEB2","ZEB1","NP63","CDH1","miR34a","TWIST1","FOXC2","miR200a","GSC","TGFbeta","miR200b","SNAI1","miR200c","TCF3","GRHL2","miR205","OVOL2","miR141","CLDN7","SNAI2","TWIST2"
"miR200c",-0.030073798419946,-0.0295442785899687,-0.0240932847776382,-0.26071502974422,-0.183215265212816,-0.16146992827161,-0.158148230817515,-0.0528191332793103,-0.0318583968624912,-0.14478860785191,0.069892443453888,-0.0696117871499156,0.120023074996567,0.0472089624310728,0.12485002448953,0.0529685039996913,0.231590931241385,0.182486635392307,0.16964554665983,0.260410370126016,0.260410370126016,0.0203538307916565,0.0598242369061576
"TCF3",0.140582611533561,0.141312756072378,0.0273988512901946,-0.029711781259428,-0.0291226857669431,0.0996797052068887,0.00233737668299008,0.161479416473017,0.0968666631658575,-0.000442950314152954,-0.192400168657938,0.192599552380976,0.178641461956789,0.0453490246502188,0.02998161647809,-0.161092194788603,0.0263237545412494,0.0289492753623188,0.0313000491300088,0.0294813749397118,0.0294813749397118,-0.136385553359633,-0.148720379224734
"KLF8",0.140582611533561,0.141312756072378,0.0273988512901946,-0.029711781259428,-0.0291226857669431,0.0996797052068887,0.00233737668299008,0.161479416473017,0.0968666631658575,-0.000442950314152954,-0.192400168657938,0.192599552380976,0.178641461956789,0.0453490246502188,0.02998161647809,-0.161092194788603,0.0263237545412494,0.0289492753623188,0.0313000491300088,0.0294813749397118,0.0294813749397118,-0.136385553359633,-0.148720379224734
"CLDN7",0.140582611533561,0.141312756072378,0.0273988512901946,-0.029711781259428,-0.0291226857669431,0.0996797052068887,0.00233737668299008,0.161479416473017,0.0968666631658575,-0.000442950314152954,-0.192400168657938,0.192599552380976,0.178641461956789,0.0453490246502188,0.02998161647809,-0.161092194788603,0.0263237545412494,0.0289492753623188,0.0313000491300088,0.0294813749397118,0.0294813749397118,-0.136385553359633,-0.148720379224734
"miR205",-0.11553263057524,-0.116585262154188,0.0433639435935611,0.310577224842353,0.212249852097966,0.151708147613998,0.300577097308714,0.0906728972921721,0.110132224664286,0.182439629773309,0.0444686808672023,-0.0449670144650439,-0.194351810053106,0.115637985752321,-0.14641002783023,-0.0910106099069738,-0.264469310221779,-0.211080493263361,-0.197196332767248,-0.310036237773869,-0.310036237773869,0.126901162959098,-0.0558851920705455
"miR34a",-0.132820653242137,-0.13275246793175,0.0591322840584803,-0.0705709821302713,-0.0742055434070274,-0.0165985901377781,0.00307123923633447,0.0179104582288528,0.0922839082934885,-0.0590738918864045,0.0178873217416762,-0.0179108541349206,-0.056923635712141,0.0555040654980382,0.105468507472669,-0.0180624111785508,0.0634901237826192,0.0742036511520271,0.0813554688527018,0.0705514686814596,0.0705514686814596,0.184319268652692,0.048921532371784
"NP63",0.20813990068472,0.208943124545677,0.0615016933628709,-0.214255216002473,-0.296343303587565,0.0517559176105427,-0.176889499264979,0.165214672562153,0.0858617271862103,-0.116752669711894,-0.123893361627676,0.124360643348916,0.214317370098508,0.0279301422866521,0.152059296510621,-0.164772621625319,0.204081646344696,0.195230878824023,0.192581438785108,0.2137866658615,0.2137866658615,-0.226307324633805,-0.169776059356487
"SNAI1",-0.133968892706723,-0.134152021748743,0.0658262102761992,0.120578355414777,0.11178237997633,0.123315307107165,0.117518113135175,-0.00843834180633679,0.0799612960162585,0.0985242498653764,0.0373433892331365,-0.0374235976579484,-0.115226379012993,-0.0901125258655358,-0.025266848648145,0.00839797781510446,-0.111054342957057,-0.111590025161333,-0.112482109603954,-0.120486860574391,-0.120486860574391,0.150191637983571,0.0298355735492572
"ZEB1",-0.174159511572545,-0.174848001230505,0.0846577025113397,0.233922626311421,0.220658458037003,0.257296941835007,0.323303175427139,0.0767798181354606,0.107770466482127,0.315317238748558,0.0696017548378114,-0.0699450108070578,-0.336017325245563,0.125180446131117,-0.256383896743656,-0.0770207935751957,-0.272684492908993,-0.219899750139543,-0.205481672395758,-0.333580429178606,-0.333580429178606,0.197943008886635,-0.0158353088677984
"GSC",-0.125850555707236,-0.125639120677226,0.101473285249218,-0.125731156537861,-0.114039859098836,-0.0370827692068685,-0.0278086550077039,-0.0408330293490549,-0.102867374191886,-0.0137214921636942,0.00217256839264819,-0.00209250042655789,-0.00740392496973676,0.0629003109065584,0.116768010501141,0.0408362238289935,0.11279683689519,0.113821464110426,0.115273908272971,0.125624248543894,0.125624248543894,0.0818758721960468,0.0455177852023047
