"","TWIST2","ZEB2","FOXC2","OVOL2","miR200b","miR205","TWIST1","miR141","CLDN7","TGFbeta","GRHL2","miR200c","miR200a","GSC","miR34a","ZEB1","CDH1","TCF3","NP63","SNAI1","KLF8","miR101","SNAI2"
"GRHL2",-0.108286894551963,-0.0284011956246619,0.0700393453715625,0.0604816973533582,-0.0175016144828046,0.140613373846914,-0.03577414066103,-0.0101848266117514,-0.0101848266117514,0.0692835585930388,-0.100985283283424,-0.0165829463290459,-0.0165829463290459,-0.0693705888651609,0.00893298589227721,0.00991821351517453,0.0347595404010181,0.0360458326663482,-0.140986527603618,-0.0709886912617532,0.163497657531215,0.163656995530246,0.168350167897274
"ZEB1",0.015644341329325,-0.0203245090685928,-0.0979971024719246,-0.0779382113290163,0.0242033037865943,-0.0538906607922297,-0.0610363654715248,-0.0106123699218004,-0.0106123699218004,0.00195819222907338,0.00537622588312372,-0.0135925991574432,-0.0135925991574432,-0.00206041435982166,0.0117106404877955,-0.0894191685656064,-0.103802674479487,0.0606631840548777,0.0534883156950921,0.0827766185170138,-0.113923735520413,-0.114305086782399,-0.128091514527148
"miR205",0.0112077741689123,-0.0144579704397869,-0.0880901178856525,-0.0714392156012184,0.0269218916809302,-0.0484919981941799,-0.0676692917855484,-0.00274317720623842,-0.00274317720623842,0.00797712818942489,0.00674986127509692,-0.00773126880098045,-0.00773126880098045,-0.00787396996057233,0.00678922609515103,0.00288479035390118,-0.0812301670662152,0.0684147306060253,0.0493937918717143,0.0786430367636317,-0.106295327916071,-0.105735843592897,-0.119089185597228
"miR200c",-0.0901033945877985,7.72925106053625e-05,0.097244624952215,0.0592162139553357,-0.0599613049795228,0.0366895683986188,-0.013357940415673,-0.0124752196630652,-0.0124752196630652,0.0831038209370686,-0.0185624532348423,-0.00669794429730657,-0.00669794429730657,-0.0831594976937271,0.00535054027217118,0.0123821478236576,0.117862038425995,0.0128240510091628,-0.0373755467174388,-0.109403877648737,0.159695856367351,0.159324832268796,0.185958177096398
"miR200b",-0.0901033945877985,7.72925106053625e-05,0.097244624952215,0.0592162139553357,-0.0599613049795228,0.0366895683986188,-0.013357940415673,-0.0124752196630652,-0.0124752196630652,0.0831038209370686,-0.0185624532348423,-0.00669794429730657,-0.00669794429730657,-0.0831594976937271,0.00535054027217118,0.0123821478236576,0.117862038425995,0.0128240510091628,-0.0373755467174388,-0.109403877648737,0.159695856367351,0.159324832268796,0.185958177096398
"TWIST1",0.215439587996994,0.00732677948724807,0.218393774735993,-0.0687133336911201,0.0951923440446171,-0.0593177868217778,0.13988479261728,-0.0485222488210452,-0.0485222488210452,0.0297299932629348,-0.0459263478394874,-0.0262351655620945,-0.0262351655620945,-0.0296845570913553,0.0412376430361146,0.0485956723439675,-0.205376832408655,-0.239452627790105,0.059769511230608,-0.0109734054283438,-0.168717521377713,-0.168507393408784,-0.308887552302539
"miR141",0.074119072399435,0.0153323213410591,-0.060293352887769,0.0952731469723895,0.069165214501635,0.0733331711011748,0.0554687120946666,0.0342773503617258,0.0342773503617258,-0.0842508061382106,0.0172367181075153,0.0251681687626303,0.0251681687626303,0.0841326350628538,-0.121894149641135,-0.0344293453800388,-0.0118824135337501,-0.0554849801929259,-0.0735286571505794,0.0558531646069562,-0.0549241942590072,-0.0550196519154317,-0.0545207147768268
"miR200a",0.0654675297291209,0.0182273004361305,-0.110878334293325,-0.0680461410666876,0.00864922989824469,-0.0449741640133566,0.00682492815009251,0.00364858846012973,0.00364858846012973,-0.0946540970578537,0.0124276461549683,0.0103187650501948,0.0103187650501948,0.0947359078023315,-0.000284694813106521,-0.00351400256285694,-0.0441950632830694,-0.00681161788788034,0.0452478444825231,0.120034316834411,-0.143378842820657,-0.14334642323923,-0.156311892059773
"FOXC2",-0.0152618667746176,0.0204252185784479,0.0978640006591725,0.0777755601956665,-0.0240307753125565,0.0530503246577759,0.0606631840548777,0.0103789882684041,0.0103789882684041,-0.00206041435982166,-0.00548991847497487,0.0132454730844181,0.0132454730844181,0.00189432845107121,-0.011645209068484,-0.0106123699218004,0.103554307684268,-0.0611870686875951,-0.0538906607922297,-0.0830032431322241,0.114367054076461,0.113923735520413,0.12824931523815
"GSC",0.0284899306929594,0.0447600515942022,-0.0481127262091704,0.0754241615091171,0.00267106290739912,0.0673941081138979,0.106789493857561,0.0629081706819061,0.0629081706819061,0.000529338156943245,0.0566639100374757,0.0539946591972242,0.0539946591972242,-0.000566010507824298,-0.0470454897628634,-0.0631149881781354,-0.00991873860022388,-0.107108941851428,-0.0681680693008938,0.0115912831986663,-0.0497676186035583,-0.0500764891312689,0.00604688519390484
"TWIST2",0.182993963739641,0.0650259301971993,0.0730104376273037,0.10027213289453,0.0756086770340916,0.0938297408853553,0.132749000833138,0.0951012905659433,0.0951012905659433,0.0248512625953702,0.0847565339135151,0.0771273945489401,0.0771273945489401,-0.0248679086591219,-0.0609118187704728,-0.0952985542718966,-0.142170267342195,-0.133032545281224,-0.0945435008771393,-0.00267219571184331,-0.121114711262937,-0.12143016319345,-0.183402194254175
"KLF8",0.371425426164795,0.127643301216652,0.109982644501814,0.106959741766007,0.256306068780723,0.102717391304348,0.205553485433785,0.109447288353977,0.109447288353977,0.218054302459869,0.0987334576323062,0.117946624940753,0.117946624940753,-0.218289937768914,-0.0503099771599198,-0.108653666586066,-0.301083322058028,-0.206811955908132,-0.102775194772556,-0.0519248946001044,-0.2894498414505,-0.291312455069931,-0.379384386164469
"NP63",0.23199476833166,0.169493048111035,0.0932187650959094,0.137621719004054,0.138019590139187,0.131779211397279,0.159733051353586,0.110101179738224,0.110101179738224,0.102815324338445,0.122171201126773,0.134049092211629,0.134049092211629,-0.102698931821799,-0.097783891452281,-0.110045198005233,-0.0867769692588659,-0.159892369203917,-0.231784585429953,-0.0500263200421675,-0.190481589053275,-0.190602209701337,-0.206319537743568
