"","CDH1","SNAI2","miR200b","miR200c","miR200a","FOXC2","GSC","miR34a","GRHL2","TWIST1","OVOL2","ZEB1","ZEB2","miR141","CLDN7","TCF3","NP63","miR205","TGFbeta","SNAI1","TWIST2","KLF8","miR101"
"TGFbeta",-0.113395661129351,-0.123576010728607,0.117731709304972,0.0131387728860035,0.0131387728860035,-0.151585414063086,-0.199677705083875,-0.114030882635446,0.00110638481089484,-0.0578651406123641,0.000253373596675014,0.0016317457454448,-0.0327746970684989,-0.00161716450995099,-0.00161716450995099,0.0578401820209362,-0.000582060301299996,-0.000393998159026897,0.0997372177748473,0.1482123023266,0.0785864869653581,0.132499249641349,0.132534565510638
"ZEB1",-0.079029895518806,-0.0417223366262718,0.0156272744073033,0.00704487843183034,0.00704487843183034,-0.160026940402489,-0.0197002569345007,-0.0278169880510226,0.0162076902082516,-0.110960989154192,0.0600018960657925,-0.0949517082267596,-0.0273185217115536,-0.00501875284411296,-0.00501875284411296,0.110931543277516,-0.0531805816210379,-0.0531920771952418,0.0196597797149426,0.15368751196006,0.0958514213325168,0.0720159697158757,0.0721181042542497
"OVOL2",-0.177656365123149,-0.192256611371297,0.0596547415970155,0.106889109656225,0.106889109656225,0.0643983575838712,0.223844318829979,-0.0774417566528326,0.0341425835084536,-0.0913001776527444,0.0955060125086188,-0.0998663290584902,-0.0171026192964199,0.099878693037735,0.099878693037735,0.0914044866952593,-0.208905960942266,-0.208719053132113,-0.223847074561901,-0.0608901420842857,0.162920939458012,0.169476606274792,0.169524860883655
"ZEB2",-0.17829389021291,-0.151472608097302,-0.132841487945684,-0.123947850215318,-0.123947850215318,-0.0539031045997309,-0.0505330075811592,-0.0457153564445768,-0.0322948072295927,-0.0300352701702227,-0.0289473282345804,-0.0283563877338419,-0.0155550221607959,0.0283649800856668,0.0283649800856668,0.0299849348721891,0.0303797783790109,0.0303875255125714,0.0505089911761071,0.0540826255729397,0.115859862958359,0.151693776528889,0.151730567921692
"GRHL2",0.0130192643026818,0.0178712190325442,0.0961750906718181,-0.104500070893992,-0.104500070893992,-0.147720462894716,-0.181710491234444,0.078995892573791,0.0793755173413909,-0.0336213180141952,-0.137818673289728,0.106578364634099,0.00590851084176377,-0.1066078427406,-0.1066078427406,0.0335606208640709,-0.0196730944808643,-0.0198032643959935,0.181747631541655,0.142164390937853,0.0137991729659765,0.0167082090563636,0.0167566266803788
"FOXC2",0.0790093342729468,0.0417049629716816,-0.0156038488364974,-0.00702163779731157,-0.00702163779731157,0.159885730865103,0.0195037762189201,0.0277625637863617,-0.0161974918694477,0.110931543277516,-0.0600288710484992,-0.00501875284411296,0.0273192789259134,0.00504298372615958,0.00504298372615958,-0.110897744268953,0.0531920771952418,0.0529074472142172,-0.0197002569345007,-0.153650213325473,-0.0957941694241198,-0.0721374971964912,-0.0720159697158757
"TCF3",0.298014853876423,0.206367509981735,-0.229781063839388,-0.0751659813734088,-0.0751659813734088,0.243349706712612,0.175146141488006,0.110415954276187,0.0455842731950866,0.264497821842072,0.0591608737897854,0.0390742346362461,0.118063284469084,-0.0390413194477152,-0.0390413194477152,-0.264933446237038,-0.0550163357627545,-0.0556521739130435,-0.175146141488006,-0.238178439295074,-0.177858991779407,-0.292801020004272,-0.293113939092336
"CDH1",0.198066967313162,0.206615778908312,-0.2297559185142,-0.0750662000431326,-0.0750662000431326,0.242889703128169,0.175146141488006,0.110320590037777,0.045542069513627,0.264322523037291,0.0593076619255761,0.0392282510967553,0.118098910484982,-0.0390742346362461,-0.0390742346362461,-0.264497821842072,-0.0541945586697909,-0.0550163357627545,-0.175708778311052,-0.238227726681611,-0.17821693675414,-0.293113939092336,-0.293123644375245
"SNAI2",0.198099201203916,0.106729544551088,-0.229780761631527,-0.0751706367377112,-0.0751706367377112,0.242878245895472,0.175708778311052,0.110445189128665,0.0455877062169457,0.264465341318031,0.0594427534652164,0.0392321931722409,0.118152669066136,-0.0392282510967553,-0.0392282510967553,-0.264322523037291,-0.0542623810294665,-0.0541945586697909,-0.175765225580254,-0.238408948212688,-0.178421874784784,-0.293123644375245,-0.293304699489532
"miR200c",-0.0647062880598796,0.0615910153660352,-0.0833109101465373,-0.0805991189467335,-0.0805991189467335,0.0576965418519444,0.080507682847767,0.0810233378934444,0.00271398481822103,-0.0242372121385614,0.0554813320390402,-0.00662235484441418,0.162496106376132,0.0066007050400436,0.0066007050400436,0.0242682694170565,-0.0450573215699283,-0.0448831612713678,-0.0804201908015894,-0.0517638027638953,0.0217821880115848,-0.0581827753378142,-0.0582512166763827
"miR200a",-0.0647062880598796,0.0615910153660352,-0.0833109101465373,-0.0805991189467335,-0.0805991189467335,0.0576965418519444,0.080507682847767,0.0810233378934444,0.00271398481822103,-0.0242372121385614,0.0554813320390402,-0.00662235484441418,0.162496106376132,0.0066007050400436,0.0066007050400436,0.0242682694170565,-0.0450573215699283,-0.0448831612713678,-0.0804201908015894,-0.0517638027638953,0.0217821880115848,-0.0581827753378142,-0.0582512166763827
"miR200b",-0.0598864008634861,-0.109388253163559,-0.0541554832557088,-0.0800598393975433,-0.0800598393975433,-0.0783178172196763,-0.115405415962244,-0.0974865505373456,-0.0156230374377332,0.01266669576952,-0.0655258511541393,-0.00669690028190261,0.1627442771656,0.00668417823191165,0.00668417823191165,-0.0126326806549778,0.0563961433447107,0.0564636748890505,0.115384963276124,0.0700737512760692,0.00785803776349718,0.0960172032496445,0.0960496228310716
"TWIST1",-0.16237361011969,-0.228803592649861,-0.0302613557347818,-0.00193075885635131,-0.00193075885635131,0.292930535626714,0.0104407104699108,-0.0176612523912444,-0.166445016772758,0.0656843568904699,-0.131512888337087,-0.154883929339112,0.186930473693209,0.15485172170973,0.15485172170973,-0.165528320062511,0.14568090633733,0.145790891410785,-0.0104278630007055,-0.194986969012154,0.177105421930823,0.0709735067587939,0.0709386514084977
