"","CDH1","TGFbeta","TWIST1","KLF8","FOXC2","GRHL2","miR141","CLDN7","ZEB1","SNAI2","NP63","miR205","OVOL2","miR34a","TWIST2","ZEB2","SNAI1","miR101","TCF3","miR200b","GSC","miR200c","miR200a"
"OVOL2",-0.150942732610321,-0.0617183819180479,-0.0208628741989097,0.0876528895780539,-0.051289432691083,-0.0349416375234774,-0.109670324117198,-0.109670324117198,-0.109659862288606,0.0869719315779492,-0.0240834337367673,-0.0241428552949085,-0.0190287096118901,0.125903358179101,-0.0675884720718021,0.00246817321885158,0.0337423191106663,-0.0878031368829243,0.0208161149729547,-0.0148683426183889,0.0617307827116987,0.106282465342807,0.106282465342807
"SNAI1",-0.0738201953644264,0.0355450012630343,-0.0433015545183375,-0.110192180426698,-0.0395467865317594,0.146235607284136,0.147509232416324,0.147509232416324,0.147502823916955,-0.0708994957981777,0,0,-0.134184784433567,-0.00920705509547216,0.0466250047238069,0.0560856178811168,-0.0461226706585737,0.110255511253836,0.0434522808147114,0.0519684767503245,-0.0355112395659724,-0.0457027890380018,-0.0457027890380018
"NP63",0.0339595808946067,-0.0111394970547742,-0.124065999928727,-0.0234269504203113,-0.0143844998551899,-0.11579577081465,0.00824137904151802,0.00824137904151802,0.00827700378069404,-0.000982098896063693,0.0215802590359401,0.12148890048048,0.0739662270280531,0.0140707340985183,0.00505377459700075,0.0589861173856826,0.0765253403465118,0.0235640193385633,0.124759369164674,-0.0566979923879752,0.0111292271268349,0.0121337175599455,0.0121337175599455
"TWIST1",0.0638709905358283,-0.0802297096829721,0.014988875825027,0.049809337865976,-0.0832566833008552,-0.15191059977525,-0.153770044042177,-0.153770044042177,-0.153782013927426,-0.00630682258502364,0,0,0.134033875805145,0.0621139798476115,0.0602317202425848,0.0795447321003656,-0.012231632431617,-0.0498561436220881,-0.114860615186338,-0.0244075069990543,0.0801949275102457,0.123382307972467,0.123382307972467
"KLF8",0.0712220278755765,-0.0546448457764728,0.0910794860031073,0.0294849456391046,-0.0048143847304164,-0.0725889538165803,-0.0731385311331886,-0.0731385311331886,-0.0732445911851215,0.0131094843467882,0,0,0.0578665663085683,0.0266166686698115,0.0096915377697757,0.0842225350613,-0.0509346864840695,-0.0297084592734363,-0.0904018480553822,0.0107625828700154,0.0546448457764728,0.079497810257841,0.079497810257841
"CLDN7",0.0712220278755765,-0.0546448457764728,0.0910794860031073,0.0294849456391046,-0.0048143847304164,-0.0725889538165803,-0.0731385311331886,-0.0731385311331886,-0.0732445911851215,0.0131094843467882,0,0,0.0578665663085683,0.0266166686698115,0.0096915377697757,0.0842225350613,-0.0509346864840695,-0.0297084592734363,-0.0904018480553822,0.0107625828700154,0.0546448457764728,0.079497810257841,0.079497810257841
"CDH1",-0.0288357706633522,-0.0544300208076736,0.0903623545290037,0.0297084592734363,-0.00554919565102098,-0.0726831004906056,-0.0732445911851215,-0.0732445911851215,-0.0732141087606457,0.0128214085881014,0,0,0.0579341354504402,0.0268762713188181,0.00898266634922545,0.0843449994909497,-0.0509429010484922,-0.0298346279512533,-0.0910794860031073,0.0108113943836161,0.0546448457764728,0.0794617191383794,0.0794617191383794
"SNAI2",-0.0287825950091788,-0.0544545818332041,0.0905958510832293,0.0298346279512533,-0.00537224505715442,-0.0726560036980101,-0.0732141087606457,-0.0732141087606457,-0.0731635473576782,-0.0871394632683593,0,0,0.0579149806798941,0.0268520437178121,0.00926267325556201,0.0844182633980092,-0.0510787058813632,-0.0296466358594077,-0.0903623545290037,0.0107704193719205,0.0544300208076736,0.0794952880759225,0.0794952880759225
"ZEB2",-0.235597818884543,-0.210546920905188,-0.101185119707682,-0.0949457399223673,-0.0783218048412013,-0.0501787529090961,-0.0482538552741861,-0.0482538552741861,-0.048219731362653,-0.0383826709816405,0,0,0.0379010461483565,0.0731301352450729,0.0835062219241213,0.08582657444275,0.0891117105068954,0.0952052683959222,0.101274424268709,0.183018646024861,0.210614043678283,0.211635931144959,0.211635931144959
"ZEB1",0.228413874841279,0.104433980359437,0.0360955885825304,-0.0508549886697514,-0.06882779825228,0.241792323529032,0.25140821977699,0.25140821977699,0.151413582228739,-0.0482106883876859,0,0,-0.162338886439356,-0.240606925185039,-0.100613461458478,0.110681176838873,0.0667600640953307,0.0507565280356355,-0.0361755131049363,0.237006548256228,-0.104429177977455,-0.196292325355489,-0.196292325355489
