"","miR200c","miR200a","CDH1","miR200b","TGFbeta","miR101","SNAI1","TWIST2","SNAI2","ZEB1","miR141","NP63","TCF3","TWIST1","miR34a","OVOL2","miR205","CLDN7","GRHL2","FOXC2","KLF8","GSC","ZEB2"
"GSC",0.00749196982042133,0.00749196982042133,0.0401489896107746,0.000941886993023947,0.0031045620101375,-0.122586907966743,-0.132486890647482,0.0390982770534678,-0.0176186567501815,0.0970390493126139,0.0970585968239261,0.100205239080277,0.0364011216059694,0.0363947326460921,0.104829764851478,-0.0959480573876944,-0.100193744607202,-0.0970585968239261,-0.106017136813404,0.164748376414826,0.122474857144387,-0.00328486773530268,-0.112106211828728
"OVOL2",0.118564308173139,0.118564308173139,0.120027238442417,0.0356941156854941,-0.164929064046091,-0.0824391948104492,-0.100815918990844,-0.0732434224673753,-0.0544236719850888,-0.0975176347845702,-0.0975014665040193,-0.313038833196104,-0.0279102226708744,-0.0278508744225469,-0.0647442313501882,0.18915332208678,0.312998858693354,0.0975014665040193,0.151355245316688,0.0977189544995375,0.082553251158672,0.165135743940271,-0.0502811723941635
"TWIST2",0.00618718453960891,0.00618718453960891,0.105654186413206,-0.0532518812496082,-0.015232068293238,-0.115365377242502,-0.0436239228136699,-0.117920332019502,-0.151513664391868,0.0148091292568931,0.0147735077147924,0.0389913803019242,0.117341830157341,0.117115279568167,0.0219841236317027,-0.0508172168564727,-0.0386884174277137,-0.0147735077147924,-0.0168723656165821,0.0780995684399665,0.115343651902935,0.0149523598449513,-0.0224261665857514
"TGFbeta",0.00615085522534071,0.00615085522534071,0.082209308385839,-0.078331189241404,-0.0909995490536666,0.0428413658821794,0.11886794425279,-0.0983090079525152,-0.0416417482352402,-0.0148202677997497,-0.014780641147996,-0.0140631335841038,-0.0455225016401657,-0.0454045155715976,-0.116028560264298,0.0118869335225331,0.0140004462033461,0.014780641147996,0.0165981620477488,-0.126396006469108,-0.0427672718034735,-0.00880801209888133,0.00416862113960366
"miR34a",0.06414319654145,0.06414319654145,-0.00369544942638649,-0.0694317488020343,-0.00137036449735153,-0.17615892422099,-0.0977755702486854,-0.0787586591852326,-0.228129025415827,-0.0764080252959762,-0.0763709021494564,-0.0853607504261324,0.0364029347036661,0.0364430880737935,0.0123105978659424,0.0852528914940233,0.0852150467911106,0.0763709021494564,0.0833922229691464,0.131169332830181,0.17599470326217,0.0011863291142864,0.0521161228258616
"FOXC2",-0.0471842031267207,-0.0471842031267207,0.0367153593659718,-0.0359455828727428,-0.0468800297689306,-0.0227481870728646,-0.127796519349331,0.0904893255552303,0.0124437754797956,0.00178165675460092,0.00182459217717475,0.0537262423525777,0.0929075763121134,0.092637184243614,0.0207222884509867,-0.0616200865413676,-0.0533467357112115,-0.00182459217717475,-0.0134547482060795,0.145992605761135,0.0224828806010983,0.0461125608964694,0.131389314489431
"ZEB1",-0.0474492452565518,-0.0474492452565518,0.0365940588943686,-0.0361820614451851,-0.0470266167617933,-0.0229634778623866,-0.127976874772269,0.0903446054534491,0.0124000417975513,-0.0982104359012942,0.00178165675460092,0.0535279436975599,0.092637184243614,0.0927435499614024,0.0207754896984643,-0.0616155461977437,-0.0537262423525777,-0.00178165675460092,-0.0134589030848515,0.146191920658403,0.0227481870728646,0.0468800297689306,0.131619760059601
"TWIST1",-0.0620409906864188,-0.0620409906864188,-0.0760221440194557,-0.074111194348338,-0.0470951023834034,-0.0219534915569415,0.0182763852669939,-0.120220430875701,-0.100193918025298,-0.0205437098675024,-0.0204920048992596,-0.0430778494177126,-0.0296091194983419,-0.129330540658896,-0.0189982949987481,0.0540102522778743,0.0427400381206743,0.0204920048992596,0.0222224419678343,-0.019163873949852,0.0218887601921056,0.0471092032642385,0.133315071415613
"KLF8",-0.0770555074091893,-0.0770555074091893,-0.0690977376399684,-0.229961030510301,-0.241203290102047,-0.18093170680146,-0.0448657176216297,-0.15278573033103,-0.141667642774102,-0.0271253121040087,-0.027136283833519,-0.0297662729328977,-0.109228243753157,-0.10903463291095,-0.000490454366468148,0.02967283968361,0.0291304347826087,0.027136283833519,0.0292521870749958,0.00789035560179147,0.180380373170109,0.240260748865868,0.18731673057292
"CLDN7",-0.0770555074091893,-0.0770555074091893,-0.0690977376399684,-0.229961030510301,-0.241203290102047,-0.18093170680146,-0.0448657176216297,-0.15278573033103,-0.141667642774102,-0.0271253121040087,-0.027136283833519,-0.0297662729328977,-0.109228243753157,-0.10903463291095,-0.000490454366468148,0.02967283968361,0.0291304347826087,0.027136283833519,0.0292521870749958,0.00789035560179147,0.180380373170109,0.240260748865868,0.18731673057292
"miR141",-0.109802711952648,-0.109802711952648,-0.134407734317585,-0.0481461365253571,-0.152543569681054,-0.0223142580645863,-0.0882966596160831,-0.00545609049341665,0.0609953726508443,-0.00438820157269412,-0.00432771603677219,-0.0571537862918991,-0.014755769769342,-0.0146773871140926,-0.00359152913575006,0.0678568798587839,0.0569014315735767,0.00432771603677219,0.013084327693782,0.0965318335165537,0.0221197405760233,0.152354950464619,0.229505546752527
"NP63",-0.0825612222090175,-0.0825612222090175,0.0581540403793807,-0.187465173061615,-0.167138330015511,-0.221815917039893,-0.0496307071297507,-0.21120744614332,-0.21047048784827,-0.03802810144978,-0.0379490484571323,-0.0432002926370441,-0.132808552899326,-0.132752455064702,-0.0165549170365135,0.170955389899791,-0.0568319515590006,0.0379490484571323,-0.0810778047585767,0.0156793467941848,0.221459537852438,0.166571772324191,0.278532026111696
"ZEB2",-0.337052397174629,-0.337052397174629,-0.319733103618457,-0.317763194066624,-0.293861738218188,-0.154826138182992,-0.149956204280431,-0.103449077451946,-0.0994394840432693,-0.0415378055340223,-0.0415125194700805,-0.0412829471877418,-0.0137910475423727,-0.0137179801742593,0.00716011516106578,0.0384295461564552,0.0410505331809243,0.0415125194700805,0.0451529850848529,0.152910066599845,0.154164887474509,0.292886918495177,0.403342434129169
