"","GRHL2","ZEB2","CDH1","miR200c","TCF3","TWIST1","miR205","KLF8","miR200b","SNAI2","FOXC2","TGFbeta","GSC","miR101","SNAI1","NP63","miR200a","TWIST2","miR141","CLDN7","ZEB1","miR34a","OVOL2"
"NP63",-0.123898750021703,-0.0196911909548883,-0.115160996519992,-0.0244710331780984,0.0970037887937328,0.0969835935732683,-0.134927641506808,0.0361819671871352,0.0806355589572567,0.055787417129888,-0.0106270738905012,-0.104251429997569,-0.104193233739246,-0.0364012774563385,-0.0107017228617624,0.0352715795979514,0.0272266167962031,-0.0318548644430779,0.0433265271674325,0.0433265271674325,0.0435657218447572,0.0295157088188342,0.172632309737854
"TGFbeta",-0.0165142557023551,0.00665042795232701,-0.00845762116500763,-0.0126853655807825,-0.064001136365711,-0.0639217226657133,-0.00326734510002719,0.080395719168205,0.0854590674466726,0.0811284371042192,-0.0434939458982288,-0.0966711205196592,0.00333452666999511,-0.0804573488224557,0.0805472350856591,0.00334093463396014,0.00660696358906812,-0.0524215518860734,0.0168907519023074,0.0168907519023074,0.0169708629255499,0.103430709598229,0.0179714344009897
"miR34a",0.249281953967037,0.0125820135198755,0.0920861076790021,0.183123364565687,-0.0550546265585845,-0.0550349435340122,0.0532665396445532,-0.0624695566228646,0.0478801823084017,-0.127761982009068,-0.00257699057479243,0.00259745029782032,0.00233557699863913,0.0628604217119857,-0.0127345690409467,-0.0539099063446497,-0.193765327515671,0.190210254791235,-0.248637624506486,-0.248637624506486,-0.248856079945622,-0.138319699996239,-0.286980025817489
"miR101",0.269492712702555,0.0408351075846895,0.102129180452655,0.124025074264175,0.0308628349275201,0.0308268256305743,0.0660026498044809,-0.0490723011395356,0.121210421798628,0.0392466492076921,0.00089115473393876,-0.00856795612980319,-0.00877253569364626,-0.05051963867491,-0.027630644606339,-0.0666351293341891,-0.157778224457162,-0.0288784242572697,-0.269892845307812,-0.269892845307812,-0.270213533485526,-0.159303156652793,-0.311098570408289
"miR200c",0.242591107288662,0.0416531586125261,0.181287608670725,0.104863561272922,0.109595333270455,0.109410468517509,0.0717911971151916,-0.135120738941032,0.0247148116037365,-0.145129205660673,0.0678578942170478,-0.0807543659151676,-0.080996389367581,0.135324261868881,-0.117292644984,-0.072281689384607,-0.141000169610587,-4.32493104571534e-05,-0.239528865251407,-0.239528865251407,-0.239728177367933,-0.229029115294098,-0.269277407452933
"miR200b",0.242591107288662,0.0416531586125261,0.181287608670725,0.104863561272922,0.109595333270455,0.109410468517509,0.0717911971151916,-0.135120738941032,0.0247148116037365,-0.145129205660673,0.0678578942170478,-0.0807543659151676,-0.080996389367581,0.135324261868881,-0.117292644984,-0.072281689384607,-0.141000169610587,-4.32493104571534e-05,-0.239528865251407,-0.239528865251407,-0.239728177367933,-0.229029115294098,-0.269277407452933
"TCF3",-0.0414196114129839,0.048639917623106,-0.110715898902821,-0.0469012929500257,0.0867973972724842,0.0876686460624164,-0.0118115942028986,0.036049820987682,-0.0158706573542589,0.0593979902270511,-0.0258590621521367,0.00155098023627836,0.00153285444327492,-0.0360647218966374,0.00366915900170954,0.0119850046075228,-0.00236217286798977,-0.0645015628291168,0.0420979019796362,0.0420979019796362,0.0427379195344035,0.0290101288702738,0.0626633150002752
"CLDN7",-0.0414196114129839,0.048639917623106,-0.110715898902821,-0.0469012929500257,0.0867973972724842,0.0876686460624164,-0.0118115942028986,0.036049820987682,-0.0158706573542589,0.0593979902270511,-0.0258590621521367,0.00155098023627836,0.00153285444327492,-0.0360647218966374,0.00366915900170954,0.0119850046075228,-0.00236217286798977,-0.0645015628291168,0.0420979019796362,0.0420979019796362,0.0427379195344035,0.0290101288702738,0.0626633150002752
"SNAI2",-0.0422696275604651,0.0488074766235829,-0.0113276421063308,-0.0470754411920818,0.0875039714276223,0.0877578705933822,-0.0126270179614006,0.0364432279300883,-0.0158098717787926,-0.0403580147768371,-0.0258007110396703,0.00123553964175338,0.00134024717164674,-0.0364661199560326,0.00353028437374731,0.0127735142582998,-0.00154336655994339,-0.0648768825499242,0.0429529008438642,0.0429529008438642,0.0430404834774792,0.0296333795129432,0.0637086822555047
"miR200a",0.285344490199996,0.0574617237316596,0.141755083511261,0.125354225751549,-0.0302036041156002,-0.0304210050650656,0.084934869346661,0.0552616899209611,0.137320213169564,0.0556739206881748,-0.039355403660923,0.0955373473705772,0.0954032686504608,-0.0549194832281186,0.0514244530040216,-0.0855106646194529,-0.174545560601387,-0.0932765876541134,-0.287311377341743,-0.287311377341743,-0.28775084605108,-0.178402343737857,-0.329017229216206
"SNAI1",0.105154324835424,0.069506556803592,0.110351366257293,0.0140989862679015,-0.00876804262971122,-0.00894533762917473,0.0178751847768104,0.0567765755542205,0.0149174484027979,0.0219995870182224,-0.0152445515809737,-2.0464884678534e-05,-2.18309649064742e-05,-0.0568218118593191,-0.104787404927939,-0.0178715092070971,-0.0904189915658092,0.0278102554229051,-0.103873476867785,-0.103873476867785,-0.103949683962689,-0.00401033806632867,-0.134907230022728
"GRHL2",0.203980329402956,0.0968242504220585,0.266731013625038,0.237861223361294,-0.00460519779189195,-0.00486532843528174,0.101845910179969,-0.0530319265694493,0.151039972023798,-0.0705378518615911,-0.0324286137266369,0.117942879005096,0.117618594233177,0.0535504353066296,-0.00332953534118125,-0.102819581145136,-0.300845436618051,-0.0192410726794392,-0.305435163229774,-0.305435163229774,-0.305988259850273,-0.283913566580273,-0.41373292810729
"TWIST1",0.230525669647201,0.14151619453499,0.200414575594683,0.0590367707576475,0.101699635311234,0.00164326598595044,0.0485584789379137,0.0235936622115538,0.0475813261972037,0.0337231912117994,-0.111329173082569,7.92367435274553e-05,-9.4674120104493e-05,-0.0233646127667498,-0.0144353519825651,-0.0489552108100167,-0.193667137789317,-0.0846502683380184,-0.228211617596724,-0.228211617596724,-0.228358094439933,-0.123903134237697,-0.263453876307972
