"","miR200c","miR200b","SNAI2","TWIST2","SNAI1","TWIST1","miR141","NP63","OVOL2","miR205","miR34a","ZEB1","CLDN7","GRHL2","FOXC2","ZEB2","TCF3","KLF8","miR101","GSC","TGFbeta","miR200a","CDH1"
"KLF8",0.00664279559559781,0.0288605200914596,-0.0277415186339113,-0.00944807409456832,-0.164039591656002,-0.173853904434984,0.0256687301279726,0.0125862863366005,0.00352405280338826,-0.0123550724637681,0.0776096398100745,-0.0260307972018123,-0.0256687301279726,-0.0243126672147771,-0.0479784151458253,-0.0385227536738437,0.171240158065187,-0.0449772967272934,-0.0462140721705954,-0.0235228826965573,-0.0235410084895607,-0.0328415290133386,-0.0746739347313611
"CLDN7",0.00664279559559781,0.0288605200914596,-0.0277415186339113,-0.00944807409456832,-0.164039591656002,-0.173853904434984,0.0256687301279726,0.0125862863366005,0.00352405280338826,-0.0123550724637681,0.0776096398100745,-0.0260307972018123,-0.0256687301279726,-0.0243126672147771,-0.0479784151458253,-0.0385227536738437,0.171240158065187,-0.0449772967272934,-0.0462140721705954,-0.0235228826965573,-0.0235410084895607,-0.0328415290133386,-0.0746739347313611
"SNAI2",0.00645105055871924,0.0292716768975786,-0.127965062769528,-0.00950204286273793,-0.165183354417607,-0.174884316338332,0.0260516535975063,0.0126617185949379,0.00373778422683288,-0.0123551615292045,0.0783955165627172,-0.0261999099146823,-0.0260516535975063,-0.0246523035413342,-0.0482108795993009,-0.0384812708198451,0.17449666671918,-0.0461655457560504,-0.0463188529601016,-0.0231502316415545,-0.0233609393868955,-0.0330943836005064,0.0253677444470257
"GSC",-0.0294842562458484,0.057382699830871,0.100691915427237,0.0482620536467126,0.144029531706553,0.013447939771752,0.101814805476516,0.0822582134974107,0.0741146262532983,-0.0820953751288595,-0.00828685134501221,-0.101872965355853,-0.101814805476516,-0.0950544738590073,0.186484777483064,-0.0316309075492143,-0.0133840501729787,0.064340874539635,0.0641411317693489,-0.046767879982668,-0.0470044166458508,-0.0728625010204992,-0.0415520484987611
"OVOL2",-0.0167886604739221,-0.013857607969619,0.0811075540154835,0.0918497578326748,0.0384875724804533,0.00302078887241252,0.0141370842594634,0.00935584018899979,-0.0443686259174561,-0.00888803046763288,0.0256358803210438,-0.0142282516229059,-0.0141370842594634,0.0268020972400285,-0.0327674588788216,0.0227412529841636,-0.00277979901556769,-0.0849101604332319,-0.0848103611285369,-0.00882817428199164,-0.00897560593983997,-0.00125158593462908,-0.074753207898222
"CDH1",-0.00645384797018117,-0.0292081172337673,0.0278996984141357,0.00954633349939707,0.164803546147315,0.17449666671918,-0.0260307972018123,-0.0123551615292045,-0.00383859880865399,0.0125862863366005,-0.078165931200803,0.0260516535975063,0.0260307972018123,0.0246080929849942,0.0478888040579466,0.03854501993378,-0.173853904434984,0.0462140721705954,0.0461655457560504,0.0235410084895607,0.0231502316415545,0.0330729367792983,-0.0253137475472279
"ZEB2",-0.179491857456696,-0.164176671749558,-0.160536297940424,-0.137755237914085,-0.104873592884221,-0.0723048395870027,-0.0154508988105369,-0.0117421360538653,-0.0116388642645311,0.0119280672593193,0.0148628356872388,0.015386333423967,0.0154508988105369,0.015920286347875,0.0293457886715463,0.0676581171153391,0.0722090401488096,0.0985988771129811,0.0988226085557009,0.183707650804586,0.183854828261187,0.188295893864829,0.193772407471418
"SNAI1",0.0338373935911761,-0.120829512580147,0.143772111406384,-0.0286631421470844,0.323842796610291,0.340803880953603,-0.137731832604312,-0.109494952204727,-0.09627364084199,0.10916415093053,-0.30149460913979,0.137903317870555,0.137731832604312,0.127352585281061,0.208001317903871,0.0713763792370814,-0.340193311719139,0.16037325896267,0.160679305964751,0.0829834982638055,0.0832291975505164,0.109943520467089,-0.10407645864368
"FOXC2",-0.0367423346261514,-0.0113058452896138,0.00817001248773256,0.0928402594790128,-0.110086974555884,-0.0938208395322096,0.0132266917098315,0.0183125915006916,0.0334861026479418,-0.0174722553662378,0.0260492494552197,-0.0133997087097083,-0.0132266917098315,-0.00483866502674252,-0.108723521941547,0.0844114259900186,0.0938715380450532,-0.0357526401135212,-0.03582281795444,0.0182352773433673,0.0178173487494528,0.0193184440254188,-0.0484856962182067
"GRHL2",-0.119127213991499,0.0357069511896819,0.0702785006080153,0.0771580580605335,-0.04107810059471,-0.0445488825513665,0.0867440016131193,0.0146112185988674,0.0751171507495157,-0.0144150959267394,0.0993993462809159,-0.0867306818761076,-0.0867440016131193,-0.0509828523748296,-0.0494378964202717,0.0996116639399462,0.0442858615674946,-0.0902026306833766,-0.0902193567716727,-0.0942395046866773,-0.0942234290313172,-0.061374497877052,-0.0440965664265293
