"","miR101","NP63","miR205","miR34a","ZEB2","TWIST2","miR200a","SNAI1","TCF3","FOXC2","TGFbeta","GSC","CDH1","miR200b","TWIST1","miR200c","SNAI2","OVOL2","miR141","CLDN7","ZEB1","KLF8","GRHL2"
"OVOL2",0.0490277191344565,-0.183502743565177,-0.18411964737788,0.200598101863289,0.00214372058844271,0.050663378072585,0.183512405643554,-0.171256950721783,-0.0963152335750816,0.00515077965213014,0.219802066805501,-0.219793110676753,0.113957169085971,-0.017957041971827,0.0960706468547018,-0.183512405643554,-0.0781250989117335,0.0791828311217031,-0.172366718649141,-0.172366718649141,-0.172366311045429,-0.0489542405255052,-0.011383295967172
"miR200c",0.0870111946828093,0.131718980530938,0.131381322809239,0.0726050049332046,0.0234326879104541,-0.0160865796641918,0.0935097892065405,0.127540439528323,0.108951367158779,0.0176342264105173,-0.0827079235463327,0.0827476926582316,-0.0683127869979218,-0.0689567588548582,-0.109032707650076,-0.0935097892065405,-0.0665984838380813,-0.108293692067171,-0.170813206766393,-0.170813206766393,-0.170733972946274,-0.0870472164399506,-0.190399897298436
"miR141",0.0870111946828093,0.131718980530938,0.131381322809239,0.0726050049332046,0.0234326879104541,-0.0160865796641918,0.0935097892065405,0.127540439528323,0.108951367158779,0.0176342264105173,-0.0827079235463327,0.0827476926582316,-0.0683127869979218,-0.0689567588548582,-0.109032707650076,-0.0935097892065405,-0.0665984838380813,-0.108293692067171,-0.170813206766393,-0.170813206766393,-0.170733972946274,-0.0870472164399506,-0.190399897298436
"TWIST1",0.221463844235801,0.204601841598264,0.204582201406575,0.0557578615873075,0.0263668651819866,0.148534149852031,0.128278473163827,0.262265441996258,0.1562155232734,-0.209244500553058,0.00321891026307605,-0.00324554526020887,0.0886866762591031,-0.011866298121164,-0.256456522562656,-0.128278473163827,-0.200961612907986,-0.177571805753941,-0.229511340597203,-0.229511340597203,-0.229606482674805,-0.221295542687227,-0.246496291421879
"GRHL2",-0.0403944685196242,-0.0639236489935796,-0.0636719871576632,-0.235836237473697,0.0274896604804027,0.0185670732690939,-0.195217337885353,0.157936535482695,0.088827725875589,-0.0377774076301991,-0.150184933619394,0.150225399924266,-0.00857311792932329,0.107615262703491,-0.0888248355351069,0.195217337885353,0.0682483591426516,-0.107611062802878,0.204821227629314,0.204821227629314,0.204897870706217,0.0404129552487936,0.150905087760741
"FOXC2",0.140290583866751,-0.113068275588134,-0.111889094238174,-0.183580790889726,0.0398152998013089,0.20885816177798,-0.142039777701975,0.184906803082496,0.176063858176014,-0.10723860013433,-0.0324062861042606,0.0322944766362783,0.126481267556937,0.189191247693725,-0.176024425999358,0.142039777701975,-0.120495064156668,0.090400698288624,0.13453519134885,0.13453519134885,0.13433496774457,-0.140076627034681,0.170544848932343
"ZEB1",0.140523509396711,-0.113312556539967,-0.113068275588134,-0.18347744593773,0.0398743625213743,0.209074446765257,-0.141925552455723,0.185074410870828,0.176024425999358,-0.107340622335983,-0.0324623138940444,0.0324062861042606,0.126462664524969,0.189197916286874,-0.176279823909302,0.141925552455723,-0.120558927314576,0.0902546060555494,0.13433496774457,0.13433496774457,0.0342005428947872,-0.140290583866751,0.170498389833347
"miR200a",0.217468916475309,-0.124117390877662,-0.1232181550504,-0.210438794036123,0.0579377083220453,0.194091228238551,-0.0508634065888752,0.272325363552012,0.265369879538242,-0.0291698636901181,-0.124124665050027,0.124047399346909,0.058205523762857,0.0869137590095789,-0.265409810324878,0.0508634065888752,-0.189753364461196,0.104264317575467,0.157598668055654,0.157598668055654,0.157467653260133,-0.217279802250317,0.177216615848625
"TCF3",0.295375076726888,0.154184468459412,0.157826086956522,0.0247798656501505,0.0860683213239093,0.228284614230831,0.123362918817306,0.189214007720387,0.272354636479781,-0.0292227342549923,-0.177440940054174,0.177241556331136,0.173131726170948,0.132563286817627,-0.271676998532056,-0.123362918817306,-0.23892996975956,-0.13600399189132,-0.164894797522139,-0.164894797522139,-0.165359267404741,-0.295091959456735,-0.179590681170023
"CDH1",0.295967098984337,0.153054524956587,0.154184468459412,0.0250924484316075,0.0861774259975973,0.228986467122465,0.123560358470831,0.189587770401621,0.271676998532056,-0.0295154638087291,-0.177651673118805,0.177440940054174,0.0731250935517265,0.132683096896465,-0.272139149926479,-0.123560358470831,-0.239190809264698,-0.136323197837405,-0.165359267404741,-0.165359267404741,-0.165805273404966,-0.295375076726888,-0.179593927607059
"TWIST2",-0.0843914731746604,0.0742893963799165,0.0736064461719505,-0.011431865422139,0.124699584222341,-0.16319293999385,0.0915954895625435,0.0392771015446306,0.103725457888251,0.0434181051178469,0.0422219676214089,-0.0421332795768302,-0.166668954219391,-0.12433737962739,-0.103776752361271,-0.0915954895625435,0.196190590685673,-0.073271639118326,-0.0669931675436111,-0.0669931675436111,-0.0668146293612999,0.0842541690285966,-0.0769057652512528
"miR101",0.202490991425296,0.147881449652069,0.147500912175688,0.00584548228926248,0.135543464240018,0.0299189850380207,0.146946653132129,0.220750948911335,0.219055240618658,-0.102654968873991,0.031002567989688,-0.0309564537437398,-0.0083854094362306,-0.120458057366524,-0.219182909944193,-0.146946653132129,-0.0933617971526862,-0.126321361010979,-0.169692430907911,-0.169692430907911,-0.169615307543487,-0.302490991425296,-0.187828267537105
"SNAI1",0.276584315303043,0.131244588223958,0.131201706577303,-0.118331186807893,0.189976412652932,0.146098126825117,0.156509619494003,0.215265553619441,0.321310617939074,-0.128167733843698,0.0171295511606426,-0.0171316978581437,0.0754164693987156,-0.0525692660009816,-0.321507328529257,-0.156509619494003,-0.157158288278048,-0.123055021618143,-0.132931867505455,-0.132931867505455,-0.132947695726788,-0.276479179890503,-0.142603708589336
