"","KLF8","ZEB2","SNAI1","miR34a","SNAI2","NP63","miR205","ZEB1","FOXC2","miR200b","TCF3","GSC","TGFbeta","miR200c","miR200a","TWIST1","CDH1","miR141","CLDN7","OVOL2","GRHL2","TWIST2","miR101"
"CLDN7",0.0177329587293337,-0.00316560917314018,0.0225062243083042,0.0525798230075635,0.0104914341283528,0.0830080841082349,0.0832971014492754,0.0755144674131819,-0.0498584982380049,-0.0282055447418003,-0.0916100662566479,0.0428730510467256,0.0423655288426292,-0.0334699333583965,-0.0334699333583965,0.0926749258887873,0.0781786011717098,-0.0748451919130539,-0.0748451919130539,-0.0815350339184676,-0.0828604544766161,0.0243175572248871,-0.0185823105397941
"TWIST1",0.0121419514938601,-0.000916674006280472,-0.027755203750329,0.0258407913353541,0.0989387271742148,0.11016745366032,0.109978907820113,0.110431997081681,0.0127819302705066,-0.057047649771312,0.00668093412889616,0.0596140200073451,0.059868149215283,-0.0462721779188212,-0.0462721779188212,-0.106662144353802,-0.17807823506878,-0.110431626879045,-0.110431626879045,-0.102415262751892,-0.12197303242955,-0.102206104266979,-0.0123789678758747
"KLF8",-0.0177329587293337,0.00316560917314018,-0.0225062243083042,-0.0525798230075635,-0.0104914341283528,-0.0830080841082349,-0.0832971014492754,-0.0755144674131819,0.0498584982380049,0.0282055447418003,0.0916100662566479,-0.0428730510467256,-0.0423655288426292,0.0334699333583965,0.0334699333583965,-0.0926749258887873,-0.0781786011717098,0.0748451919130539,0.0748451919130539,0.0815350339184676,0.0828604544766161,-0.0243175572248871,0.0185823105397941
"SNAI2",-0.0186373071429451,0.00356174720697723,-0.0219890432700411,-0.053672613267747,-0.110860897957959,-0.0829193172842664,-0.0824174318226674,-0.0754948827295168,0.0512684044509526,0.028380603219464,0.0934451782128245,-0.0419215572404441,-0.042494216940972,0.0340317769868369,0.0340317769868369,-0.0932660886226903,0.0215223207757072,0.0755577845427002,0.0755577845427002,0.0820333557760248,0.0833949912911368,-0.0248713429236307,0.0188072630931376
"miR200c",0.0451717599374326,0.00475281457504727,0.0468700440326891,0.175505265011472,-0.00553663552712976,0.141922262812615,0.141677016677908,0.182662976275684,0.0214233936221808,-0.045556235054981,-0.00658550834498126,-0.0168666193680624,-0.0165496027332111,-0.0918630282192671,-0.0918630282192671,0.00674079473745652,-0.118122574884476,-0.182627042064306,-0.182627042064306,-0.117419785766363,-0.201862655110059,0.0461160802952306,-0.0455265742452745
"miR141",0.0451717599374326,0.00475281457504727,0.0468700440326891,0.175505265011472,-0.00553663552712976,0.141922262812615,0.141677016677908,0.182662976275684,0.0214233936221808,-0.045556235054981,-0.00658550834498126,-0.0168666193680624,-0.0165496027332111,-0.0918630282192671,-0.0918630282192671,0.00674079473745652,-0.118122574884476,-0.182627042064306,-0.182627042064306,-0.117419785766363,-0.201862655110059,0.0461160802952306,-0.0455265742452745
"TGFbeta",-0.0412934859017807,0.00524078346087571,-0.0914189074410611,-0.0993455200418685,0.0116330209124603,-0.00337906027147083,-0.00339813903952752,-0.0034279964095572,-0.00171975813260566,-0.0706223820340871,0.0208230513293135,0.189379403144175,0.0893963447131381,-0.000282843557012933,-0.000282843557012933,-0.0207617893321724,-0.0709140388178901,0.00347002467656879,0.00347002467656879,0.00300227677836423,0.00400278953922029,-0.0755363579764884,0.0411639943810516
"miR205",0.0498172788138243,0.0107041282661111,-0.126363312228115,0.165061575460409,0.0973650599770963,0.137710591436564,0.137294378970009,0.174436671069384,0.101450793268421,-0.107783645310688,0.0135153658019527,0.0946607827463454,0.0951099178042727,-0.0891228158691054,-0.0891228158691054,-0.0134494706576011,-0.163302224121554,-0.17443170218701,-0.17443170218701,-0.112428650107,-0.198962287606699,0.0311636180849928,-0.0501514674363914
"miR101",-0.0159983243586664,0.0212782798556658,-0.0599245599601748,0.0321936537499751,0.105613925513086,0.0809648263951984,0.0808467285577011,0.0734529305514215,-0.0471796483523202,-0.0777281046405401,0.0174088160449057,0.0634551791021303,0.0633185132459564,-0.0433017363383796,-0.0433017363383796,-0.0176499692153606,-0.0178615523917397,-0.0734911626466062,-0.0734911626466062,-0.0781179740792219,-0.0844478536581556,0.0118641851709799,-0.0837411551319894
"miR200b",0.0246916175880954,0.0254723540048231,0.0283496099296191,0.157757504114166,-0.0246121444178563,0.131208838981642,0.131119981686458,0.17006201576446,0.0171002383862573,-0.0810638452276438,-0.00938208315575164,0.00298743071090467,0.00290107492506702,-0.0943356804923536,-0.0943356804923536,0.00943680312262388,-0.0391748228841064,-0.170046169000437,-0.170046169000437,-0.107902289589435,-0.189675887209781,0.0572961200759118,-0.0247258382573797
"ZEB1",0.0387808334844631,0.0422213905682279,-0.160650260720354,0.135697174861269,0.10912144658923,0.126372376690566,0.126386746158321,0.0555375894247649,0.0975564754768084,-0.215208494203538,0.0154549972968275,0.156444636241897,0.156484656091743,-0.184369416014314,-0.184369416014314,-0.015426753292669,-0.207845136176385,-0.155547678105175,-0.155547678105175,-0.100020500194134,-0.189462366720001,0.026611331591126,-0.0388851723653918
"FOXC2",0.0386284962200295,0.0422741431686282,-0.16057566345118,0.135738757445504,0.109147686798576,0.126386746158321,0.125966578091094,0.155547678105175,0.0976247154924833,-0.215143347178158,0.0154493641287338,0.156215589661856,0.156444636241897,-0.184371888422241,-0.184371888422241,-0.0154549972968275,-0.207809344378038,-0.155560006097795,-0.155560006097795,-0.100034655383079,-0.189426483676062,0.0268228455860369,-0.0387808334844631
"GRHL2",0.100681462224764,0.0524348753053123,-0.170311827301327,0.149903197958446,0.150193570141913,0.123508187361355,0.123225284745807,0.177076678442451,0.0530107646719441,-0.219060879145594,0.0519192378245918,0.287401446187866,0.287590473721583,-0.200561154102303,-0.200561154102303,-0.051899005441217,-0.218340186363876,-0.177141093564064,-0.177141093564064,-0.254765522404231,-0.106966092224487,-0.0675993215970549,-0.100689385108694
