"","SNAI2","miR101","TWIST2","ZEB2","CDH1","miR205","TCF3","CLDN7","ZEB1","GRHL2","miR34a","SNAI1","TGFbeta","GSC","miR200c","miR200a","FOXC2","miR200b","miR141","TWIST1","NP63","OVOL2","KLF8"
"miR200a",0.125316684513156,0.0252650766672016,0.0196716668123735,-0.00968020937843634,0.0945013337202402,0.199333472091297,0.0882413569066653,0.197244758165795,0.1973918429192,0.175058234810015,0.0996923568705309,0.074671760182732,-0.0950230101445322,0.0951093659303698,-0.0940670980642322,-0.0940670980642322,-0.0441901523089278,-0.0984411756209141,-0.197244758165795,-0.0875359130094205,-0.199664021229381,-0.219990144749724,-0.024782385121508
"miR141",0.125316684513156,0.0252650766672016,0.0196716668123735,-0.00968020937843634,0.0945013337202402,0.199333472091297,0.0882413569066653,0.197244758165795,0.1973918429192,0.175058234810015,0.0996923568705309,0.074671760182732,-0.0950230101445322,0.0951093659303698,-0.0940670980642322,-0.0940670980642322,-0.0441901523089278,-0.0984411756209141,-0.197244758165795,-0.0875359130094205,-0.199664021229381,-0.219990144749724,-0.024782385121508
"miR205",0.000686525935489858,0.022925275310652,0.113599011179997,-0.0037834288933086,-0.0760528999807972,-0.191536893307974,-0.00252106714355274,-0.185084201032182,-0.185169293142839,-0.159104241728986,-0.177034599307426,-0.107941412097325,0.00568342240006796,-0.00561994041308177,0.0927014153497473,0.0927014153497473,0.104390359309243,0.0942886527894158,0.185084201032182,0.0024098690874595,0.1912990576128,0.215635848299953,-0.0229290302389954
"OVOL2",0.134359669962285,0.158818391134133,0.152590615978073,0.00416261269379041,0.164360132614137,-0.339100374237447,-0.0475220085145142,-0.233229403077545,-0.233281712220504,-0.0414572970496108,-0.142867156736797,-0.151507281012826,0.223467033793779,-0.223452566201187,0.218600429880057,0.218600429880057,0.130460701232473,0.021514086164882,0.233229403077545,0.0475094194921417,0.339319693806587,0.319984822107179,-0.158773426612238
"miR200b",0.0849198430599583,-0.000743454380419776,-0.00737237056409596,0.0109887430725635,0.0102684188313786,0.186608186279109,0.076512208771345,0.185151126417736,0.185189738955428,0.166134824916338,0.0911169479624541,0.072683533464313,-0.0888742147451966,0.0888867136089362,-0.0967027957214426,-0.0967027957214426,-0.0428316280280185,-0.125725791073191,-0.185151126417736,-0.0763687537230583,-0.186753912243211,-0.204823462485148,0.000833508773273059
"ZEB1",-0.0405758936219497,-0.0571482024148885,-0.143696939739572,0.0297201110092793,0.084061739974316,0.179797505582797,-0.00882530961155665,0.170788942053618,0.0708421121260479,0.142193453244096,0.162675575473761,0.107001085690923,-0.00332451626252108,0.00337505561575457,-0.18955691974021,-0.18955691974021,-0.103503434002654,-0.185043004974795,-0.170788942053618,0.00897975023004025,-0.179843487879612,-0.20842597816644,0.0572914846809527
"CLDN7",0.218251606223272,0.258017299360781,0.235405270903309,0.0424094108955677,0.298616612978842,-0.162210144927536,0.0495094631131711,-0.143779429254052,-0.144404817836139,-0.128742867020596,-0.0420190745881661,-0.123733622832395,0.200538037982267,-0.200664918533291,0.0510681198591886,0.0510681198591886,0.114273585401058,-0.171038221154816,0.143779429254052,-0.0512519606930356,0.16301939348245,0.186274878337333,-0.25883684935333
"SNAI2",0.118245951286794,0.258623201969253,0.235773680999864,0.0425223101838355,0.198757930858965,-0.16301939348245,0.0500673657395163,-0.144278075123845,-0.144415704976669,-0.129094441905333,-0.042087657998578,-0.123515331464059,0.200608979161286,-0.200662841059379,0.0513911061331277,0.0513911061331277,0.115227948069067,-0.170923341479403,0.144278075123845,-0.0506137023372675,0.163445317901212,0.186751938651157,-0.258945771425741
"CDH1",0.218112282310889,0.258945771425741,0.23588253086962,0.0426231669909563,0.198812749004387,-0.16301939348245,0.0512519606930356,-0.144404817836139,-0.144278075123845,-0.129207107516651,-0.0419872865086959,-0.123051813985309,0.200662841059379,-0.200538037982267,0.0515542884684067,0.0515542884684067,0.11595229978065,-0.170853329057844,0.144404817836139,-0.0500673657395163,0.16301939348245,0.186673303277337,-0.258017299360781
"TWIST2",-0.152150667657654,-0.066099745024191,-0.131703234195163,0.0582088722290448,0.0249903915032955,-0.0892031313089247,0.017520495496452,-0.0583768611625437,-0.0582452444072895,-0.0522577989673332,-0.0137655515719706,-0.00585679185629404,-0.0118260832834367,0.011906038966703,-0.00108994874483707,-0.00108994874483707,0.0108452745736644,0.0535092122232898,0.0583768611625437,-0.0169306090567159,0.0889857511675421,0.111737992346457,0.066507312394469
"TGFbeta",-0.174222874177476,-0.0815401688823924,-0.164411904776738,0.0780732483796023,-0.0408297845939356,-0.0223641998621181,-0.0821361446926022,-0.0198974777078914,-0.0196262667277064,-0.019035750496681,0.0429968376930065,-0.00287490088838378,-0.100751510837131,0.000946556079807727,-0.0292853882132974,-0.0292853882132974,0.00331868160110632,0.106489342430787,0.0198974777078914,0.0833114674525686,0.0222279229474275,0.0243903660375074,0.0824479944635462
"miR101",-0.0774667157114337,0.0309309808095619,-0.00809445104356705,0.099698467614028,4.81035527737665e-05,-0.145035568768313,-0.0366390734698298,-0.111243057802158,-0.111091777356557,-0.0946132023783043,-0.0332931776682961,-0.0465417645341175,0.00802267955324229,-0.00788685213790385,0.00675387973277884,0.00675387973277884,0.0542879104527144,0.0196523402882119,0.111243057802158,0.0374847463526468,0.144846612228317,0.174083223637737,-0.13028499628129
"TWIST1",0.160245587910664,0.141387846353917,0.143423177777729,0.113028414806907,0.151920953991052,-0.127263915733853,-0.128574111391937,-0.0997567384744501,-0.0996292653665866,-0.0848678349413371,-0.00764702429163853,-0.0696598669310722,0.0278112096447766,-0.027709369949857,-0.00613856015348511,-0.00613856015348511,-0.0247030924321527,-0.055720347305063,0.0997567384744501,0.0294033123363275,0.127106794200346,0.153795122857287,-0.1407724004544
