"","SNAI2","TWIST2","miR101","ZEB2","TCF3","miR34a","FOXC2","miR200c","miR200a","CLDN7","GRHL2","miR200b","NP63","TGFbeta","CDH1","GSC","miR205","OVOL2","miR141","ZEB1","TWIST1","KLF8","SNAI1"
"OVOL2",-0.13570789785906,-0.130239084767446,-0.0907067606513942,-0.00390430632863402,-0.0857158477961189,-0.010446593858091,-0.0311692036441013,0.00717679154025986,0.00717679154025986,0.00828031123856113,0.0162331575631057,-0.0957007973979576,0.0564208708150161,0.0148511284075972,0.064650274623728,-0.0149806478079499,-0.0562534100602542,-0.0574011863151265,-0.00828031123856113,-0.00822990424625534,0.0857500179997013,0.0904885182158525,0.167734416156495
"SNAI2",0.111559637470119,0.22857885522449,0.142636335083582,-0.000307335802489863,0.263072138423991,0.0948258076241391,0.0395317270738582,0.0221627369229294,0.0221627369229294,0.0442317440800227,0.0449847521244019,0.186828164531671,0.00874401713435533,-0.186957499657429,-0.0779852004558422,0.186846759594949,-0.0088037008108698,-0.0265781489401056,-0.0442317440800227,-0.0443045867792132,-0.263403114122213,-0.142327639582212,-0.172354458478217
"CDH1",0.211646714552562,0.228237291840085,0.142327639582212,-0.00019506124361946,0.262758725409382,0.0949365623715952,0.0397697829087723,0.0222457267962999,0.0222457267962999,0.0444034082599653,0.0450917131478049,0.186620063094319,0.0088037008108698,-0.186846759594949,-0.0780281105397119,0.186365960855256,-0.00839281226438804,-0.0267192893546552,-0.0444034082599653,-0.0442317440800227,-0.263072138423991,-0.141153300350224,-0.172002256436247
"KLF8",0.211157509536901,0.226763400767653,0.141153300350224,-0.000154981975734086,0.260919422408414,0.0949683504510654,0.0402297864932158,0.0222181277049469,0.0222181277049469,0.0442973482080325,0.045056002340416,0.186163009830604,0.00839281226438804,-0.186365960855256,0.0222154013374141,0.187725395330514,-0.00891304347826087,-0.0265911409821395,-0.0442973482080325,-0.0444034082599653,-0.262758725409382,-0.142419877611436,-0.171957076331922
"TCF3",-0.211157509536901,-0.226763400767653,-0.141153300350224,0.000154981975734086,-0.260919422408414,-0.0949683504510654,-0.0402297864932158,-0.0222181277049469,-0.0222181277049469,-0.0442973482080325,-0.045056002340416,-0.186163009830604,-0.00839281226438804,0.186365960855256,-0.0222154013374141,-0.187725395330514,0.00891304347826087,0.0265911409821395,0.0442973482080325,0.0444034082599653,0.262758725409382,0.142419877611436,0.171957076331922
"CLDN7",-0.211157509536901,-0.226763400767653,-0.141153300350224,0.000154981975734086,-0.260919422408414,-0.0949683504510654,-0.0402297864932158,-0.0222181277049469,-0.0222181277049469,-0.0442973482080325,-0.045056002340416,-0.186163009830604,-0.00839281226438804,0.186365960855256,-0.0222154013374141,-0.187725395330514,0.00891304347826087,0.0265911409821395,0.0442973482080325,0.0444034082599653,0.262758725409382,0.142419877611436,0.171957076331922
"TWIST2",0.0284456563250053,0.00691832145811683,-0.0545600915137646,0.00224969771150626,0.283475449898526,0.0627023802723351,0.0265955371631063,-0.0363978994155163,-0.0363978994155163,-0.0704652073929677,-0.0718176684883571,0.031908886707338,-0.0205578481370103,-0.0191713054759589,0.176015438381486,0.0190744308426499,0.0205955045394546,0.0521858766275291,0.0704652073929677,0.0704506789694523,-0.283969871624585,0.0542515916919124,-0.220023439037014
"miR205",0.0239489871214032,-0.0635067439844561,-0.00237792564973537,0.00363853064074311,0.00792635896675064,0.0017453930089652,0.0956995640893678,-0.00413510567293315,-0.00413510567293315,-0.00474726051083556,-0.00973500149438406,0.0122972884948309,-0.043620960596242,0.0123194843023639,0.0888695045966753,-0.0124781892698294,0.0437398784438289,0.0220561244402244,0.00474726051083556,0.00472924831222934,-0.00807462304154163,0.00246178571607244,-0.0963300927154375
"ZEB1",-0.0292032611496843,-0.104898510239463,-0.0280372847376061,0.0333128769115035,-0.0168389179950374,-0.0240235359540497,0.0857266278545912,-0.0220993919203591,-0.0220993919203591,-0.0171590600456644,-0.0211581459429119,0.0166178639009784,-0.0450292023658478,-0.00540220064733324,0.119441259733892,0.00510056532192613,0.045161401469193,0.0318286027336041,0.0171590600456644,-0.082752686723004,0.0168106739908789,0.0279116372119806,-0.0381272293720836
"NP63",-0.25355065005118,-0.226982795144116,-0.18438724891609,0.0812685883763227,-0.253983506812726,0.0348073085121784,-0.0585060045680338,0.0236017570414291,0.0236017570414291,0.0711746934382008,0.193396384232253,-0.161151744668314,0.231254171144237,0.0242550434608216,0.0521760817321903,-0.0238630745444702,-0.331410018091787,0.0510447875973554,-0.0711746934382008,-0.0712890318867943,0.254344776867702,0.183847197378177,0.184128636958567
"miR101",0.14026367535005,0.139864074203659,-0.074022510097103,0.0923631000111867,0.250176281698978,0.137724555589121,0.0704437133143666,0.00512359362601044,0.00512359362601044,0.10334697553326,0.106081076457307,0.0266281256056628,0.0318173980362831,-0.0148203705738868,-0.0553867054498996,0.0148891227223914,-0.0318672615676709,-0.058363888761453,-0.10334697553326,-0.103360488601386,-0.250539648240885,-0.026228706108336,-0.202494631451932
"GSC",-0.0444457836428846,-0.0835316294433414,0.0717919976521685,0.095734919665093,-0.0204803299609913,-0.112533829953671,0.051516369811095,-0.104955280710359,-0.104955280710359,-0.112566865986045,-0.113530478092632,0.0914151027632912,-0.0200607737147925,-0.0685844326351517,0.0056954132050739,0.0689071493229049,0.0197714961424253,0.0772703471674581,0.112566865986045,0.11251015407051,0.0211543652280498,-0.0716526648904567,0.104546629384958
