"","miR200b","GSC","miR200a","TWIST2","ZEB1","miR141","GRHL2","SNAI2","KLF8","miR101","TWIST1","FOXC2","NP63","miR205","TCF3","miR34a","OVOL2","CLDN7","SNAI1","ZEB2","TGFbeta","CDH1","miR200c"
"miR34a",0.00494148545566658,0.00355865934769774,-0.0775574380245177,0.0125285863827215,0.0710081557327544,0.0709741261817779,0.0705499311381465,0.067031899989565,0.0681403023081162,0.0680836412755409,0.0171622032156027,0.0797992001513548,0,0,-0.01710157949992,-0.072735957775648,-0.0826972124107279,-0.0709741261817779,0.0669589588772185,-0.0120606320443443,-0.00350194024603177,-0.0163718078558778,-0.0874637062557947
"FOXC2",-0.195830285103317,-0.0332642650385314,0.207538675761541,-0.151128083158426,-0.211894412080768,-0.211871031405109,-0.209984080741606,-0.0391478201979423,0.0024027067694715,0.00235649209374447,-0.00910107615722608,0.101093111169293,0,0,0.00907854348485113,0.190942319707747,0.140036362528781,0.211871031405109,0.121855204604122,-0.000334250721578717,0.0332566663368239,0.208311610705392,0.207276211583008
"ZEB1",0.195839005571281,0.0332566663368239,-0.207557960543376,0.15114875745868,0.111885777624561,0.211894412080768,0.210004855135465,0.0391455436500994,-0.00235649209374447,-0.00233738779160258,0.00912331079879764,-0.101049194327522,0,0,-0.00910107615722608,-0.190980844749024,-0.140051051875799,-0.211894412080768,-0.121869840777187,0.000332483888072486,-0.0332591818702428,-0.20833717627564,-0.207284123288376
"KLF8",-0.0341987447331642,-0.0170078604447891,0.0334198277765145,-0.00969614904292099,-0.0885295123880444,-0.0885624275765753,-0.0885582942255539,-0.00536474406532899,0.00161561417580399,0.00142190235938319,-0.0576462816142383,-0.00436503505303489,0,0,0.0571622545087203,0.0483610227726467,0.0922846244037204,0.0885624275765753,0.0173001211000473,0.0219817118677984,0.0169897346517857,0.124563019755464,0.0552628472164017
"CLDN7",-0.0341987447331642,-0.0170078604447891,0.0334198277765145,-0.00969614904292099,-0.0885295123880444,-0.0885624275765753,-0.0885582942255539,-0.00536474406532899,0.00161561417580399,0.00142190235938319,-0.0576462816142383,-0.00436503505303489,0,0,0.0571622545087203,0.0483610227726467,0.0922846244037204,0.0885624275765753,0.0173001211000473,0.0219817118677984,0.0169897346517857,0.124563019755464,0.0552628472164017
"CDH1",-0.0343155965384506,-0.0169897346517857,0.0333327844884012,-0.009303111423606,-0.0886578594384688,-0.0885295123880444,-0.0885290762922357,-0.0054307396027736,0.00142190235938319,0.00188452084471203,-0.0576834662091918,-0.0042037350948534,0,0,0.0576462816142383,0.0481067181368851,0.0922636546700361,0.0885295123880444,0.0172344045846655,0.0219861651197857,0.0167626339704837,0.024495746046219,0.0553116763780262
"OVOL2",-0.0488511118341087,0.207810252466857,0.231658266863411,-0.166439586957279,-0.271912252165058,-0.271824345631306,-0.0783432996502677,-0.126824921092711,-0.129836690236473,-0.12978843562761,-0.0384535527547739,0.0139987922034968,-0.300276143134155,0.300216721576014,0.0383618327346315,0.244766546770044,0.330350555532154,0.271824345631306,-0.0769930815234399,0.0320151326698947,-0.207783384080613,0.22560271825434,0.256300945581565
"GRHL2",-0.174016875542896,0.0940056284989338,0.234573980041212,-0.0981988672304244,-0.270945067381073,-0.270861436901148,-0.0686237072955711,-0.0419085794810112,-0.0263035563910396,-0.0263484527333081,-0.0111452021254583,0.0428261140619536,-0.306281053357567,0.306185595419806,0.0110816146348519,0.249759355166187,0.331557509184617,0.270861436901148,0.0221543502105437,0.0360287218261027,-0.0938820122525439,0.217838264292545,0.258638479905702
"ZEB2",-0.2769519424971,-0.249880308368409,-0.223392572013684,-0.0864851528765457,-0.0799110060669751,-0.079867062324785,-0.0783891756624243,-0.0587104138885412,-0.0248341665583511,-0.0247357247235544,-0.00911041254815596,-0.0033406313254825,0,0,0.00899837591704874,0.0239746803274141,0.059580075594224,0.079867062324785,0.13545946767187,0.212179898267099,0.24983904941614,0.259893496681618,0.297189748528078
"TWIST1",-0.114743229848993,-0.0806535662963028,-0.0349264867402852,-0.10379788186199,-0.136626281780999,-0.136574823614514,-0.136208967086566,-0.0238010024572632,-0.0411352419166485,-0.0410665270832073,-0.167821624994015,-0.0742480135701446,0,0,0.0678159063668124,0.132823753005006,0.122910977488947,0.136574823614514,-0.126144514579906,0.240323241302794,0.0806181574177615,0.0430618208307645,0.178745269651419
"miR205",-0.220382033912813,-0.103960965450553,-0.00275003361455582,-0.158068703846008,-0.229584053447937,-0.229591506771498,-0.225367242524555,-0.0465007733458012,-0.000859966621960558,-0.00096385297279603,-0.00950688911490205,0.0998276436402434,0,0,0.00951100756142402,0.199148876107626,0.15133174113437,0.229591506771498,0.152566790237007,0.248521896809737,0.104027621536889,0.221919157120296,0.237486050501874
