"","SNAI2","miR34a","ZEB2","GRHL2","KLF8","ZEB1","miR200b","TGFbeta","GSC","TCF3","NP63","miR205","TWIST1","miR200c","miR200a","CDH1","TWIST2","FOXC2","miR141","CLDN7","miR101","OVOL2","SNAI1"
"miR34a",-0.0161897433656042,-0.0145086549300843,0.00122751179038377,-0.120252671116314,-0.0640150132383942,-0.119048569739954,-0.0489750011482458,-0.0229741725236948,-0.0226453224129718,-0.0820083787845519,0,0,0.082043808228782,0.11116825857253,0.111997017531125,0.081626300363052,0.0676271187531517,-0.0384493052320188,0.118908644033841,0.118908644033841,0.0643588208597833,0.111149373050062,-0.0852737128334322
"TGFbeta",0.0223351386906697,0.103298584063016,0.0121273594713519,-0.00179586867413574,-0.0433462894769501,-0.001597732590509,0.0766856923070784,-0.0947590742190117,0.00552458846131828,0.0021786435704032,0,0,-0.00243503637325301,-0.0043972160675452,0.00596402722980629,0.0121045514843698,-0.0161242412208192,-0.105220912723184,0.00144420075795648,0.00144420075795648,0.0437998560335143,0.00176798408917706,-0.112222652892925
"miR141",-0.00699351306873314,0.123049984232161,0.0145901812623188,0.210998696947709,0.0462286465686567,0.212725793159536,0.0627423743390615,-0.0670519837934959,-0.0669690367886781,-0.0454741769563793,0,0,0.0448692994847376,-0.113404324698777,-0.100758253342112,-0.105718011717249,0.0368788742217538,0.0675922859565878,-0.212805919755093,-0.212805919755093,-0.0457729713408191,-0.144000532827241,0.0535245122668063
"TWIST1",-0.0645448101935695,0.0426051048930318,0.0165309896792183,0.122378585248106,-0.00147594958638696,0.121428362393626,0.033821612551627,0.0061339521895944,0.00602333861326633,-0.0990953829495545,0,0,-0.000668519441648646,-0.0799954708033619,-0.0460155190427399,0.0659913946963421,0.0874649608488064,0.114374348508081,-0.121369500174409,-0.121369500174409,0.00129569763199768,-0.111074969513541,-0.00849580519431832
"CDH1",-0.0767622432420053,0.0923134964127011,0.0209740740174427,0.102010410361427,-0.0814320378622543,0.103971931747323,0.0165342470057997,0.0153851739257042,0.0138854910482772,-0.154787010097107,0,0,0.15472857716218,-0.0631820610538992,-0.0415613257515276,0.108723132243068,0.116891854989129,-0.0299823683568293,-0.103205058121038,-0.103205058121038,0.0799147786341478,-0.104835720564345,-0.0913811615570266
"TCF3",-0.0764678821940381,0.0937174699226349,0.0216977274653731,0.10291616629429,-0.0778111169860808,0.103205058121038,0.0160742354685329,0.0138854910482772,0.0158068251066423,-0.156723118519179,0,0,0.154787010097107,-0.0629846214003739,-0.0429434033262044,0.208447404786867,0.117404207600022,-0.0310756236289483,-0.104225428965495,-0.104225428965495,0.0814320378622543,-0.105485782308561,-0.0900462948383343
"KLF8",-0.0764678821940381,0.0937174699226349,0.0216977274653731,0.10291616629429,-0.0778111169860808,0.103205058121038,0.0160742354685329,0.0138854910482772,0.0158068251066423,-0.156723118519179,0,0,0.154787010097107,-0.0629846214003739,-0.0429434033262044,0.208447404786867,0.117404207600022,-0.0310756236289483,-0.104225428965495,-0.104225428965495,0.0814320378622543,-0.105485782308561,-0.0900462948383343
"CLDN7",-0.0764678821940381,0.0937174699226349,0.0216977274653731,0.10291616629429,-0.0778111169860808,0.103205058121038,0.0160742354685329,0.0138854910482772,0.0158068251066423,-0.156723118519179,0,0,0.154787010097107,-0.0629846214003739,-0.0429434033262044,0.208447404786867,0.117404207600022,-0.0310756236289483,-0.104225428965495,-0.104225428965495,0.0814320378622543,-0.105485782308561,-0.0900462948383343
"miR200c",0.0970756617356007,0.180677081757596,0.0256063763361929,0.174055375935946,-0.0109030743287206,0.170367412813513,0.12825805572534,0.0919032353918478,0.0918464223748493,-0.0251987864340476,0,0,0.0255611213498233,-0.0941563247970496,-0.0720518690546109,-0.0148994321708561,0.0214564422206361,-0.105667558328629,-0.170331478602135,-0.170331478602135,0.0107013524887293,-0.112016801667019,-0.126695658876273
"ZEB1",0.0909794890342907,0.203174338443659,0.0502257673095346,0.186408172333598,0.0406442935187911,0.083896438548669,0.223473486458225,0.0180772246185802,0.0179361260622677,-0.0905350556951868,0,0,0.0905512809741715,-0.206745567361875,-0.173288753165295,-0.120977067147827,0.0573968615828147,-0.0988531500195248,-0.183844177366367,-0.183844177366367,-0.0408147626763649,-0.123738564416937,-0.111022753956126
"GRHL2",0.0313417927884712,0.207814122205784,0.0605673695423584,0.0885789660508267,0.00589052928616097,0.188371586997823,0.167983069949094,0.0990294929884076,0.0989978960106308,-0.0351156443879812,0.00853631481530386,-0.00853457921643547,0.0351272057499096,-0.210693728161837,-0.175036652115096,-0.0299880575935402,0.0276446666179527,-0.0958263964302882,-0.188355646984678,-0.188355646984678,-0.00586852127524499,-0.13002374141385,-0.107340542226769
"NP63",-0.0568311095504027,0.0412327984454247,0.0667478969324902,-0.0535103890910788,-0.0606914144156984,0.0312597834470441,-0.0652696791653899,-0.00404229285320452,-0.00461569716315095,-0.136986053877236,-0.00418403674447556,-0.0958159632555245,0.136903029081993,-0.0388571744952315,0.00168727093302252,0.108151064877578,0.0510288295670963,-0.00036085596122831,-0.0309819104814712,-0.0309819104814712,0.0600718629051989,0.0533842951654345,-0.0659289183270777
"miR101",-0.0858895635727385,0.0687680153936321,0.108804616490388,0.0910101281282645,-0.205983644024765,0.0899215040484371,0.0801576689706565,-0.0238546007898051,-0.0239493446042078,-0.0675834962170971,0,0,0.0669167786281923,-0.0976625025673701,0.00946858834699266,0.0196564476479328,0.0799120419863178,-0.0385539257886044,-0.0899274366149313,-0.0899274366149313,0.106116562651981,-0.0930693717688391,-0.0455041328193997
