"","miR101","SNAI1","TCF3","TWIST2","ZEB2","miR200b","NP63","miR200c","miR200a","miR141","CLDN7","ZEB1","GRHL2","miR205","OVOL2","TGFbeta","GSC","miR34a","CDH1","SNAI2","TWIST1","FOXC2","KLF8"
"miR200b",0.118893972123892,0.195941806413468,0.174254414201147,0.00067297387179652,-0.00478655941415569,-0.0144140077036915,0.122962616794079,0.0734614287151278,0.0734614287151278,0.151038601145148,-0.151038601145148,-0.151251751280962,-0.171594963279678,-0.123790766785193,-0.105538691508839,-0.168033663748843,-0.167973441950825,0.0396390454333622,-0.0572989767729608,-0.0796503748998804,-0.1740695494482,-0.232854800983043,-0.11939827672387
"miR141",0.118893972123892,0.195941806413468,0.174254414201147,0.00067297387179652,-0.00478655941415569,-0.0144140077036915,0.122962616794079,0.0734614287151278,0.0734614287151278,0.151038601145148,-0.151038601145148,-0.151251751280962,-0.171594963279678,-0.123790766785193,-0.105538691508839,-0.168033663748843,-0.167973441950825,0.0396390454333622,-0.0572989767729608,-0.0796503748998804,-0.1740695494482,-0.232854800983043,-0.11939827672387
"miR205",0.0234619069287275,-0.0229146336448658,-0.0326839382618945,-0.0999030000540164,-0.00331728845564401,-0.0865146242463118,0.161831513594915,0.100252221844995,0.100252221844995,0.197700803144656,-0.197700803144656,-0.197659809865069,-0.221726063903231,-0.162981052788256,-0.136373245399081,-0.080308296154951,-0.0804384342282727,0.186268008579614,-0.0239741485603355,-0.0270264400634051,0.0323997654518784,0.0188984404324745,-0.0237985988368569
"miR34a",-0.00308265733154037,-0.097537269099018,-0.0689238828783822,-0.00850069015828343,0.00065260069238561,0.0722544124602604,-0.057872384246372,-0.0653594639304013,-0.0653594639304013,-0.0415398825524241,0.0415398825524241,0.0416043721210579,0.0487464160467674,0.0576774819813428,0.0633489492161984,0.014710037853714,0.0140613885527468,0.0365105408893436,-0.011828587440379,-0.0927087889754221,0.069483668097218,0.14070872360179,0.00352730238378377
"FOXC2",-0.00895779364572498,-0.0433047786044474,-0.0528595580600382,-0.126328510990717,0.0104872361204367,-0.194578200893551,0.163042762451369,0.193695602415408,0.193695602415408,0.195832465314475,-0.195832465314475,-0.195764023700273,-0.226692441822537,-0.163977975246165,-0.135208714021332,-0.102385630281715,-0.102575597824403,0.192579515180793,0.0494432219272806,0.000258298363629692,0.0524089046125394,0.0441733418650981,0.00870960372052429
"miR200c",0.0808022764752049,0.152435888896363,0.128858824766016,-0.0269749250230652,0.0168231930980272,-0.0622119644639936,0.118905404714046,0.0621933040217571,0.0621933040217571,0.147900817107105,-0.147900817107105,-0.148101021999068,-0.168450864966087,-0.119065347845377,-0.101502009856153,-0.136881372457023,-0.136833649522744,0.0498983896196472,0.0254616501569479,-0.0454630368349438,-0.128739032406107,-0.177570285213169,-0.0810832461809071
"NP63",0.0398013484821843,0.0126880962091572,0.0982797925341128,0.0456453633325627,0.0213987380214812,0.105855100694361,0.184620042396968,-0.0287752276782434,-0.0287752276782434,-0.0448094048523735,0.0448094048523735,0.0447310304261862,-0.107359709446961,-0.284684530789058,-0.0577283261349278,-0.0768457886751976,-0.0769981259396311,-0.0365630301054106,-0.0943331914928439,-0.0506520502360987,-0.0977659363689608,-0.0505825671765075,-0.0397026588610428
"CDH1",-0.0434423079711879,-0.0141690760684661,-0.110383330426898,-0.089989291989106,0.0619949260098432,-0.0567744576064629,0.0482057106305278,-0.00468465698867098,-0.00468465698867098,0.0504257115979332,-0.0504257115979332,-0.0504289202741938,-0.0540486248414462,-0.0476407388791154,-0.0444781027276913,0.0105089929866028,0.0120577787140411,0.034973761212893,0.0355235811610337,0.0636337788816954,0.10874189616395,0.0552449892042372,0.0424297234543492
"SNAI2",-0.0428256106662037,-0.0140501911819856,-0.10874189616395,-0.089347453101927,0.0623398372606104,-0.05630179310147,0.048354919821814,-0.00440211843101633,-0.00440211843101633,0.0504289202741938,-0.0504289202741938,-0.050416065680219,-0.0541142276024668,-0.0482057106305278,-0.044500281935692,0.0110316688457001,0.0105089929866028,0.0349633779553189,0.0350647101684557,-0.0359986879781241,0.109431051042441,0.0551469662133902,0.0434423079711879
"TCF3",-0.0424297234543492,-0.0142142561727911,-0.106753127135514,-0.0886698085528342,0.0626651404339264,-0.055776040282813,0.0476407388791154,-0.00404987788755215,-0.00404987788755215,0.0503342805186807,-0.0503342805186807,-0.0504257115979332,-0.0538051420637947,-0.046195652173913,-0.0443965537633632,0.0120577787140411,0.00975580300260373,0.0349419731334228,0.134696398792431,0.0645420031827188,0.110383330426898,0.0553584965822167,0.0446201570707999
"CLDN7",-0.0424297234543492,-0.0142142561727911,-0.106753127135514,-0.0886698085528342,0.0626651404339264,-0.055776040282813,0.0476407388791154,-0.00404987788755215,-0.00404987788755215,0.0503342805186807,-0.0503342805186807,-0.0504257115979332,-0.0538051420637947,-0.046195652173913,-0.0443965537633632,0.0120577787140411,0.00975580300260373,0.0349419731334228,0.134696398792431,0.0645420031827188,0.110383330426898,0.0553584965822167,0.0446201570707999
"SNAI1",0.101050500850093,0.164047519575918,0.24101868403156,0.0273427059358402,0.0646834344180628,0.004554036933678,-0.195543509964746,-0.148563576381485,-0.148563576381485,-0.205322208259248,0.205322208259248,0.205157671968224,0.21884821153826,0.196250444539605,0.177867478017934,0.112378972891292,0.112618817548455,-0.291799007400192,-0.126783133021071,0.143352552555551,-0.240656429983664,-0.269033216154449,-0.101048940977503
"TWIST1",0.0623972644709758,0.223675313473826,0.0943839074630362,0.056347153121012,0.0953974621939805,-0.0648655004340419,0.100023290150215,-2.11011495736483e-05,-2.11011495736483e-05,0.0956488301429808,-0.0956488301429808,-0.0957661843787777,-0.107422337504074,-0.10003114622689,-0.0956801312073616,0.000579498521358659,0.000282753318008289,-0.0338915032622666,0.0734661785997318,-0.00638349943363711,-0.193821031156943,-0.138487885669247,-0.0622588389369421
