"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"NP63",-0.123418459114463,-0.0896507307274656,-0.103847361393748,0.255767622086166,0.172748480973201,-0.107098151697658,-0.173181556256495,-0.299659101638152,0.0129575817368287,0.109086384005991,-0.0273747242854236,0,-0.0642395971839908,0,-0.0690031776922204,0.0112356010756897,0.225503960166799,-0.0970339135263872,-0.0906919909610961,0.266750863547122,-0.265868139713579,0.107394267953242,-0.0382104265876779,-0.0420453404158763,-0.0906919909610961,-0.14663179235605
"miR9",-0.0130264355643955,0.0276388148196894,0.1339167033922,-0.214060477077553,-0.118077068794571,0.0204520905474665,0.116995044361761,0.224996948874832,0.0083657055636405,-0.00118073812866359,0.0146562018438587,0,0.00856313074807136,0,-0.00867520687460217,-0.0235354280204711,-0.0288721905795263,0.00514419101150069,0.0258826146619469,-0.219013788632427,0.219570862045477,-0.0201427410715801,-0.0261510722887118,0.0149516693993425,0.0258826146619469,0.255363522830057
"miR34a",0.0130551561324825,0.0929859224542399,-0.0217666396793637,-0.0257858168435269,-0.035515511024978,-0.00108712535561781,0.0358863392079199,0.14266073206164,-0.0902600057224559,-0.0638618073240847,0.0754309689763792,0,0.00196126600885661,0,-0.0782750282418058,-0.0905850012390886,-0.117818382820386,0.101334704609235,0.0938085808998747,-0.0299030776447742,0.0294632343749524,0.000901883183155535,-0.0988814429933424,0.101849823768448,0.0938085808998747,0.0170459606050028
"miR30c",0.00557993964871996,-0.116234022436386,0.00137866859923992,0.132465838414381,0.102151293669437,-0.00586156987733373,-0.101915129515107,-0.130912116196918,-0.010947289655539,0.0940132286340776,-0.106178438271227,0,-0.0151342067137567,0,0.104583816466154,0.0781080238438535,0.0729405453642558,-0.00585697721949993,-0.1157757444851,0.057767269703525,-0.057897278754788,0.0057869947999103,0.119798843140886,-0.0884332887891842,-0.1157757444851,-0.0481505090931423
"miR205",0.0108214476278923,-0.00691037559823442,-0.0347578768461909,-0.0124764196698472,-0.000927918174982305,0.0248151493220274,0.000252492945378911,-0.0848731550343216,0.0816705558925774,0.0249476406529459,-0.0158273018881462,0,-0.0109676390968992,0,0.0211587853882948,0.00928223508569527,0.0123842322592274,0.000390705636901933,-0.00843644359738971,0.0558295828657744,-0.0550623258409292,-0.0244818688903499,0.0119456183257243,-0.100750200426349,-0.00843644359738971,-0.0759008555847372
"miR200c",0.0316419227003716,0.00723252779758087,-0.0273149126672592,-0.0599739158352042,-0.0843044228941577,0.1329973215059,0.0838888469295334,0.057117992389122,-0.00985234990810401,0.0163105925868257,-0.00702167215783321,0,-0.0813668942484722,0,0.00995396289890305,0.0100179779344243,-0.0410439408622334,0.0178401703447906,0.00639532763063187,-0.000428919819391742,0.000816153708660861,-0.132831427496265,-0.000895440383732035,-0.023460213623104,0.00639532763063187,-0.0790202854433601
"miR200b",-0.0310571435064653,-0.0358310532402801,0.0620917413825433,0.0426550529522278,0.0845698277764726,-0.0902858117450725,-0.0854556996725934,-0.140653158938246,0.062860700497971,0.0377825841783332,-0.0341321330598823,0,-0.0433039527563358,0,0.0408675160348245,0.00725298919134859,0.105529235712952,-0.0346560173177699,-0.0377815443783679,0.0407682527831844,-0.0397668479346558,0.0907278170173205,0.0408963175975482,-0.0175398992347631,-0.0377815443783679,-0.0166597307130557
"miR200a",-0.0316419227003716,-0.00723252779758087,0.0273149126672592,0.0599739158352042,0.0843044228941577,-0.1329973215059,-0.0838888469295334,-0.057117992389122,0.00985234990810401,-0.0163105925868257,0.00702167215783321,0,0.0813668942484722,0,-0.00995396289890305,-0.0100179779344243,0.0410439408622334,-0.0178401703447906,-0.00639532763063187,0.000428919819391742,-0.000816153708660861,0.132831427496265,0.000895440383732035,0.023460213623104,-0.00639532763063187,0.0790202854433601
"miR141",-0.00863796242255338,-0.028847690205502,-0.0136095645952626,0.0664232405957224,0.0830841150842525,-0.0843908222768271,-0.0836387093430927,-0.169510114945581,0.0573792806291613,0.0330940771505716,-0.0297007766729521,0,-0.0378754030880704,0,0.0344173219013154,0.0132809625570885,0.0641611638748989,-0.0204068952792312,-0.030204039289626,0.0620476969869182,-0.061330864019806,0.0847021576099786,0.0338273395670373,-0.0180604692332377,-0.030204039289626,-0.0932329828214743
"miR101",0.0176644837396956,-0.101365888737494,0.0478619482688024,-0.0151870172632363,-0.018745298976242,0.0292681050893264,0.0185325167670171,0.0657766461015159,-0.0080671869105081,0.0570499155114467,-0.0739611341814812,0,-0.0364006855557336,0,0.0755725135642232,0.0583692120787199,0.0239988541395988,-0.0437318061281727,-0.101831595207288,-0.074321858761732,-0.0254561671308165,-0.0291624615440632,0.109877642423793,-0.0759058385066364,-0.101831595207288,-0.0301063217286054
