"","miR200b","miR200a","CDH1","KLF8","TWIST2","GSC","miR141","CLDN7","GRHL2","TCF3","OVOL2","NP63","miR205","FOXC2","SNAI1","TWIST1","ZEB1","miR34a","TGFbeta","ZEB2","SNAI2","miR101","miR200c"
"ZEB1",-0.0239100543198151,-0.0212849916547637,-0.021651753253255,-0.0292937885554206,0.0307312193717246,-0.0154313882561185,-0.0404794289164945,-0.0404794289164945,-0.0246698720445941,0.0886794538617343,-0.0407941420055183,-0.0442594136727007,0.0451043383766897,-0.087556954532629,-0.0901496287208458,-0.0885526563111505,-0.0590649444628409,0.0284020671503192,0.0147848961674711,-0.0163448417321071,0.066984778099695,0.0286699596124029,-0.0322199996046514
"OVOL2",0.00572556591232012,-0.0128361037127983,-0.0967135803852515,0.083268448924163,0.0908105377385628,-0.0148491047026637,-0.027512652212214,-0.027512652212214,0.0122845823140247,0.00299624969884012,-0.0876618903024267,-0.00982234396609315,0.00961598910054793,0.0457822807398959,0.0258779725420223,-0.00260958686882789,0.0270494785281965,0.0694097420029842,0.0150364944733868,-0.0112446336772317,-0.0774638995251238,-0.0835338492729122,-0.0219531143394683
"GRHL2",-0.119860097121191,-0.0358892951219341,0.0392880609857559,-0.0886800711819348,-0.0402409611771268,0.0926484914526308,-0.0400239514977071,-0.0400239514977071,-0.0796673819079927,0.0147115770229164,-0.0680620026076857,0.128626509844448,-0.128985778810205,-0.0758337071540938,-0.0617880212218686,-0.0137288612589994,0.0391529280396851,0.0318413764546689,-0.0922432740709671,0.0234653614346783,0.0935048509630496,0.088716164319837,-0.0216189025252303
"SNAI2",-0.0250202204891286,-0.0140214340118499,0.0171320637513188,-0.0390735905895857,-0.0289384593799023,-0.000722373336300006,0.00700541255510414,0.00700541255510414,0.00878571814464047,-0.0927350874341699,-0.00564471964425725,-0.00506899122926818,0.0057146600933793,-0.0108520999578809,0.0317085204834435,0.0918305716561503,-0.00639233411979959,0.00649867114839726,8.42175676907197e-05,0.0318473237011971,-0.0591213459570017,0.0373705625988812,0.0194543221849804
"TCF3",-0.0240097106085053,-0.013713136538503,-0.0831781512218984,-0.040415327995077,-0.0270075700882473,-0.00199066225940083,0.00710307891975942,0.00710307891975942,0.00910694618842818,-0.0904513177050836,-0.00473919817982625,-0.00391702270252157,0.00778985507246377,-0.0105984860419425,0.032855302967167,0.0925810369693624,-0.00634602958354905,0.00642135736665899,-0.000728206691115752,0.0320310876479341,0.0419281428944553,0.0356023344024678,0.0192584588803069
"CLDN7",-0.0240097106085053,-0.013713136538503,-0.0831781512218984,-0.040415327995077,-0.0270075700882473,-0.00199066225940083,0.00710307891975942,0.00710307891975942,0.00910694618842818,-0.0904513177050836,-0.00473919817982625,-0.00391702270252157,0.00778985507246377,-0.0105984860419425,0.032855302967167,0.0925810369693624,-0.00634602958354905,0.00642135736665899,-0.000728206691115752,0.0320310876479341,0.0419281428944553,0.0356023344024678,0.0192584588803069
"SNAI1",-0.0206789777844368,-0.00786832890324495,0.104145710896151,-0.0769295017889647,0.0184138681896445,-0.00471033695205642,0.051859630222314,0.051859630222314,0.0504258752871733,-0.00213362649247874,0.0528993921261175,0.00548766102845931,-0.00536636722792022,0.0278762107233328,-0.0876290940024439,0.0016426164219184,-0.0514750430493501,0.0298105716618502,0.00456924037994202,0.0465624706435724,0.0490139390542329,0.0770190384756081,0.0493419496894854
"TGFbeta",0.0525258546553965,-0.0437204536868072,0.000439848677003544,0.0277896971871693,0.0900391713304374,-0.199420478737014,-0.0203758122480331,-0.0203758122480331,-0.0202149081301508,0.0011860633182875,-0.0107745695843794,-0.00257417695561861,0.00312746122926265,0.0280428304911754,-0.0014817138943632,-0.000446381426880063,0.020315257234747,0.059443677690864,0.0990447234253975,0.059368954781777,-0.0474818686805179,-0.0283582134359315,0.0207411724066619
"ZEB2",-0.220396531171648,-0.212784329098647,-0.193536880204717,-0.10351103638701,-0.0780431912357443,-0.0616735774057737,-0.042697272107549,-0.042697272107549,-0.0405822403577644,-0.0333394281835629,-0.0233021402997734,-0.0107891276005918,0.011137748610818,0.0209086535785757,0.024995448630276,0.0332696082540323,0.0429420313866753,0.0488717591323757,0.0614007756765926,0.0878420879594502,0.0899067569188332,0.103217699606555,0.173931178352042
"NP63",-0.119090179512605,-0.0651185626833691,0.037146284629254,-0.0116041737780765,0.00996700389604208,-0.00734052013152633,-0.0272367480640785,-0.0272367480640785,-0.0816670801763427,-0.105468472739299,0.0579027713904246,-0.165781487522281,0.0652225881241722,0.00194515868893895,0.0497530556855969,0.106049646306,0.0268652329269572,0.0340836719563339,0.00784032329124083,0.13897960762797,-0.00324099543088171,0.0131886904730707,0.0323807608256827
"miR200a",-0.0849020609903177,-0.0848268560534335,-0.0532473614586321,-0.00986319122102828,-0.0697778073159419,0.0979510641657742,0.024203350471306,0.024203350471306,0.0170944105221711,-0.0020157036243175,0.0306600065410463,0.0440656810382454,-0.043276628257012,-0.0111737113473336,0.00179449404270286,0.00213549598422699,-0.0237170110514761,-0.0985580371900198,-0.0985294206788185,0.197395061582022,0.0650717556718216,0.00956961390032657,0.112201639252525
"miR141",-0.0849020609903177,-0.0848268560534335,-0.0532473614586321,-0.00986319122102828,-0.0697778073159419,0.0979510641657742,0.024203350471306,0.024203350471306,0.0170944105221711,-0.0020157036243175,0.0306600065410463,0.0440656810382454,-0.043276628257012,-0.0111737113473336,0.00179449404270286,0.00213549598422699,-0.0237170110514761,-0.0985580371900198,-0.0985294206788185,0.197395061582022,0.0650717556718216,0.00956961390032657,0.112201639252525
