"","SNAI2","ZEB2","miR34a","GRHL2","miR205","OVOL2","CDH1","TWIST1","TCF3","miR200c","FOXC2","miR200b","GSC","TGFbeta","SNAI1","miR200a","miR141","CLDN7","ZEB1","NP63","miR101","KLF8","TWIST2"
"miR200b",-0.106066715890394,0.0173654961205289,0.111252287736734,0.275532400809431,0.205002886858478,0.174873491088597,0.0967686849880705,-0.189309237074316,-0.189186486878359,0.125021147491951,0.0208683499748844,0.0966344251215459,0.124915402599889,-0.12488813235173,0.241635810708982,-0.125021147491951,-0.257743340609035,-0.257743340609035,-0.25793818884837,-0.205852362600436,0.151753325633816,0.15151738312454,0.00111038232271296
"TWIST1",0.0753181653511801,0.0226656934357721,0.0744380459752293,0.0588372495090696,0.0665009341215129,0.0705144670445752,-0.156780075604238,0.171740582681451,0.271628660977627,0.00206004587036725,0.0527257340832925,0.0531741659276551,0.0191023521213305,-0.0190249539531916,-0.143359019362012,-0.00206004587036725,-0.052306640722725,-0.052306640722725,-0.0523097257446966,-0.0664970060831752,-0.0868420759662612,-0.0868749395822549,-0.119206760658648
"GRHL2",-0.0197759465606683,0.025943299924247,-0.215099171567142,-0.0801806711633888,0.104535342424436,-0.0266261545656689,-0.135758017375429,-0.0162010268361723,-0.0163657762436525,-0.230860894109705,-0.0550286313849601,-0.166952556457547,0.0604234985895957,-0.0603752716235153,-0.0453406129436015,0.230860894109705,0.234861573762376,0.234861573762376,0.23497752098128,-0.103971272792209,0.00138726974506921,0.00148146403178957,0.0709718231150755
"FOXC2",-0.0395803553777756,0.0344425530735374,-0.211212587000585,-0.283867568054711,-0.207610840778677,-0.173846168722174,-0.174066800642572,0.0347968199622708,0.0343236338423969,-0.248597131448019,-0.129303352880579,-0.224873942916274,-0.0424573798262658,0.0426560315994771,-0.183574811373603,0.248597131448019,0.25748938756377,0.25748938756377,0.257680258897787,0.208546053573473,-0.0210142953563189,-0.0208859212570772,0.158136882673956
"ZEB1",-0.0396204945107943,0.034650787022486,-0.211273737859755,-0.284141412337409,-0.208546053573473,-0.173994931745616,-0.174121086683226,0.034877946357194,0.0347968199622708,-0.248586252853138,-0.129345918434911,-0.225026294621297,-0.0426560315994771,0.0426608339814586,-0.183754222527311,0.248586252853138,0.257680258897787,0.257680258897787,0.157783236149176,0.209000128754528,-0.0211245124840606,-0.0210142953563189,0.158150400485661
"miR200a",-0.146427177574536,0.0470600248308417,-0.201734274905274,-0.22549309905301,-0.16623455968969,-0.142126023021798,-0.0789841652779495,-0.153760188679916,-0.15413435493988,-0.125123758096865,-0.0475317548633319,-0.0950227326332791,0.0733541451846684,-0.0731189392942948,0.0981149907509485,0.125123758096865,0.206447373445782,0.206447373445782,0.206452953292269,0.166366068486563,0.12975583658891,0.129654975668914,0.16015749433121
"miR141",-0.146427177574536,0.0470600248308417,-0.201734274905274,-0.22549309905301,-0.16623455968969,-0.142126023021798,-0.0789841652779495,-0.153760188679916,-0.15413435493988,-0.125123758096865,-0.0475317548633319,-0.0950227326332791,0.0733541451846684,-0.0731189392942948,0.0981149907509485,0.125123758096865,0.206447373445782,0.206447373445782,0.206452953292269,0.166366068486563,0.12975583658891,0.129654975668914,0.16015749433121
"CDH1",0.00737675104661417,0.0478622203681959,-0.0377152257101958,0.00126081023868236,-0.00781833794085616,-0.012411668118632,-0.00253658338643265,-0.00870196705398838,-0.00877102415890206,-0.0228501083815261,0.058210511060771,0.0187781103957457,0.00612215436923842,-0.00601781081296451,0.0971784092982535,0.0228501083815261,-0.00204039222317332,-0.00204039222317332,-0.00213504817286127,0.0074331299285295,0.0354240652058906,0.0352267244534077,-0.00102533946171385
"SNAI2",-0.0926872562633373,0.048165742268871,-0.0376979202809058,0.00138773731978734,-0.0074331299285295,-0.0123723504317217,-0.00242592053855814,-0.00887198881677401,-0.00870196705398838,-0.0225554477075364,0.0583059879999076,0.0186880944251703,0.00601781081296451,-0.00610011179325105,0.0971459051907138,0.0225554477075364,-0.00213504817286127,-0.00213504817286127,-0.00214310371841881,0.0074195654565944,0.0354039479709699,0.0354240652058906,-0.00109365213859489
"NP63",-0.0113432551170058,0.0583871248070927,0.0414734929942021,-0.130183454911674,-0.303067912337631,-0.0732263897910303,0.0711791053362639,0.0121433678977075,0.012361027496047,-0.00403476029908147,-0.0694646920878981,-0.0568482477706525,-0.085502460807351,0.085336430305665,-0.107737319047775,0.00403476029908147,-0.0205375774621893,-0.0205375774621893,-0.020476845763975,0.203293621709944,-0.0224083906118266,-0.0222713216935745,-0.0026881401091181
"GSC",-0.0964564045736474,0.0755356064413213,0.0251923651928289,0.211197022854,0.184063898562562,0.166542226570715,0.125946557592827,-0.347745350890074,-0.347649516491914,0.0677269421339299,-0.07388989321584,0.113463430560913,0.0292532350680943,-0.0292489566271582,0.246033211086927,-0.0677269421339299,-0.197763402948939,-0.197763402948939,-0.197899994200825,-0.184665442653445,0.212972086785525,0.212819113054135,0.040213979564449
"SNAI1",-0.114571126527672,0.0845379403364704,-0.0581752216257341,0.16705819737316,0.15230585057317,0.142204480140256,0.174776525949123,-0.223909006529568,-0.223843095708442,0.0402150892865267,0.0572561740674764,0.046871294310561,0.015374094973148,-0.0153969280283864,0.0830311904346824,-0.0402150892865267,-0.157039397283292,-0.157039397283292,-0.157090124802392,-0.152561915263197,0.201292077360488,0.201260567934178,0.0974919347185694
"miR34a",0.0494817872756563,0.132123304280572,-0.155370101580221,-0.145547631612052,-0.131230913955333,-0.121843661987771,-0.000984572590395298,-0.0548167860256567,-0.054850640827921,-0.173383954541651,0.125974166870522,0.00361825038397105,0.000794209089704539,-0.000777314038144462,0.182182039688495,0.173383954541651,0.133569407967188,0.133569407967188,0.133586065789344,0.131323634450347,0.0655968578754231,0.0656016596578448,-0.113873894970095
