"","GRHL2","TWIST2","miR141","CLDN7","miR34a","miR205","miR101","ZEB2","miR200a","OVOL2","miR200b","CDH1","GSC","TGFbeta","SNAI1","TCF3","TWIST1","FOXC2","miR200c","SNAI2","KLF8","NP63","ZEB1"
"miR101",0.233753531791814,0.0190546584858844,0.220474395404661,0.220474395404661,0.160054798670801,0.146904365436888,-0.00801576332581176,-0.0180706666458155,0.119454527563296,0.0989082996812403,0.0635080625822591,0.0926052463758441,-0.0210358300627012,-0.0210618217285993,-0.0538762626003616,0.0216290269777982,0.0216104767339171,-0.0539392786268357,-0.104536913883191,0.139047654165059,-0.0919603113212893,-0.147224541796325,-0.220549211659893
"miR200a",0.301419780466678,0.141277668542512,0.291697292574648,0.291697292574648,0.270898051550411,0.162705723939983,0.0919825756815618,-0.0142597036842598,0.158885345177261,0.102561907076601,0.175772225455551,0.113824565296829,-0.0955293781150602,-0.0953952993949439,-0.088577402248159,-0.0591369928066034,-0.0592153754618528,-0.00220948251873168,-0.146126405028404,-0.0928705471893716,-0.091960962627277,-0.162424934887201,-0.291796167454402
"TWIST1",-0.257641231485203,-0.120991509227656,-0.245227187462193,-0.245227187462193,-0.194223401900354,-0.1772507690521,-0.0450040564542416,0.00333603071483987,-0.127773442154839,-0.125649767350877,-0.0941126132380025,0.0319388156088975,0.0143621910286459,0.0143787987327405,0.0449866216477845,0.08486052790074,-0.0150863705609493,0.151062036138916,0.144795242211278,0.0366847661440105,0.0449821473769125,0.177647500924203,0.245342320482171
"miR141",-0.251545786218322,-0.108699824073551,-0.239152047390088,-0.239152047390088,-0.229217933324964,-0.128945171604614,-0.0746528499457922,0.0034495785328408,-0.124563080251418,-0.0794415197457114,-0.111817158957732,-0.0287764248035964,0.101286472943148,0.101248976351929,0.0863447463830589,0.0559042377269499,0.0559707890380107,-0.00502427698673926,0.120840840120973,0.0676511008202739,0.0746384412429357,0.128863422893045,0.23919958768216
"GRHL2",-0.148028403508743,-0.0489453482902027,-0.245062285518194,-0.245062285518194,-0.248093180891248,-0.0722525604589602,-0.0024655624192841,0.038536970042215,-0.24209390252139,-0.128795070351851,-0.170321090431088,-0.0665327051221541,0.111082561371214,0.111161830982128,0.0966912785047826,0.007463900511313,0.00741765506359926,0.032584669490125,0.216733832985341,-0.0194802785518822,0.00238369261867668,0.0731776346558118,0.245226271132878
"FOXC2",-0.271843552424231,-0.113409497067399,-0.25635874133271,-0.25635874133271,-0.257224814479638,-0.13808543321587,0.00218089566424142,0.0570909740529985,-0.255824406233925,-0.0816608364847846,-0.232685446694569,-0.178939072231139,0.0066538666627636,0.00658547834739577,0.104617952451118,0.00692281408664891,0.00697914576758627,0.0993550432908542,0.216747944210644,-0.0384995135917302,-0.00220314717477665,0.138004110364149,0.256439936042726
"ZEB1",-0.271906631038315,-0.113504916914728,-0.256439936042726,-0.256439936042726,-0.257309202665292,-0.138004110364149,0.00215150443017698,0.0571495319634907,-0.255865942687108,-0.0815451912618938,-0.232713317994141,-0.178953758835324,0.00658547834739577,0.00662046713040357,0.104623145931883,0.00697914576758627,0.00699296730153617,0.0993989601326252,0.216800853740293,-0.0385027486860332,-0.00218089566424142,0.138452437758102,0.156534915060998
"SNAI1",-0.146860439087926,0.0337763158246364,-0.138800027606737,-0.138800027606737,-0.139616139919555,-0.118709775343254,0.0208008662934763,0.0883134004345155,-0.119261257672043,-0.0977124034186496,-0.0253451283975684,-0.0117754431963942,0.0180871204645966,0.0180541393848078,-0.0664055695535379,-0.034791669516277,-0.034754371144632,0.0353446693843461,0.0270618417295266,-0.165792701303147,-0.0207712287142738,0.118459836602749,0.138782037482003
"CDH1",0.209368497640348,0.277883006494482,0.198598912187407,0.198598912187407,0.127866364067077,0.145804222166373,0.234532699423525,0.0937740746685467,0.0527405029118245,0.106687599866219,0.250861386059888,-0.0718441963777672,0.182161637178338,0.182229153597104,-0.0224814113302593,-0.135866265857651,-0.136052188832419,-0.0690332371565897,-0.148738843171612,-0.244523649656528,-0.234471232631768,-0.146523277122717,-0.19892619716599
"CLDN7",0.208560134818544,0.277553135635414,0.198010096037022,0.198010096037022,0.127363052808799,0.143260869565217,0.234471232631768,0.0938097006844448,0.052220366190172,0.10657343131616,0.250513788917581,0.0277985897013125,0.182306643522366,0.182161637178338,-0.0223828365571867,-0.135914668568203,-0.135866265857651,-0.0689316779236606,-0.148575371630521,-0.244541457976156,-0.234128511725792,-0.145804222166373,-0.198598912187407
"TWIST2",0.183689079957853,0.198736484038582,0.176206342450651,0.176206342450651,0.0899413881196544,0.130601369956796,0.106020996024646,0.132421381045858,0.0249421020255426,0.0968508142645322,0.0944784166436377,0.0729265728027287,0.000461357984827256,0.000484553319563225,0.00703086832277926,-0.210005752397998,-0.210045648099236,-0.0934048531894529,-0.15767113546412,-0.212284146502633,-0.105994925617166,-0.130678394416341,-0.176271451311591
"NP63",-0.0379972714413527,0.233529803271522,0.0914604516372783,0.0914604516372783,0.07346810429838,-0.0700252468623564,0.220307689589647,0.147995079089028,0.0021804992415716,0.108832416064628,0.13045985278331,-0.112398950005637,-0.00505760992503208,-0.00492923582579035,-0.0199314246907608,-0.135032898033122,-0.135160801096063,-0.0530155902032723,-0.107058116573651,-0.219840139633165,-0.220329620616568,-0.0295448305237141,-0.0915211833354927
