"","KLF8","SNAI2","ZEB2","FOXC2","OVOL2","miR200a","miR34a","TCF3","GSC","TGFbeta","miR141","GRHL2","ZEB1","CDH1","NP63","miR205","miR200b","CLDN7","TWIST1","miR200c","SNAI1","TWIST2","miR101"
"KLF8",-0.02944501700505,-0.0229066579687588,-0.0105388013228415,0.00305023613904268,0.0303077544187525,-0.00947279125267795,-0.031549305521653,-0.0429167780847966,0.00277903347921629,0.00125646686692701,0.0330612514906155,0.0340261879680398,0.0330356507884248,0.0855995038420687,0,0,0.0213980091271347,-0.0330612514906155,0.0456757325862487,-0.0224403551439998,0.0338331757524865,0.0121949132420239,0.0277910161109954
"CLDN7",-0.02944501700505,-0.0229066579687588,-0.0105388013228415,0.00305023613904268,0.0303077544187525,-0.00947279125267795,-0.031549305521653,-0.0429167780847966,0.00277903347921629,0.00125646686692701,0.0330612514906155,0.0340261879680398,0.0330356507884248,0.0855995038420687,0,0,0.0213980091271347,-0.0330612514906155,0.0456757325862487,-0.0224403551439998,0.0338331757524865,0.0121949132420239,0.0277910161109954
"miR101",-0.00815909576021284,0.0877423240296214,-0.00641265240829026,-0.0663253636159401,-0.0821413616066146,0.0415086037983148,0.051457216520792,0.0191638978649348,0.0133478443573874,0.0133176604873121,-0.0808531127969986,-0.0829507849357456,-0.0806441546215924,0.0133439617847506,0,0,-0.045812176054854,0.0808531127969986,-0.0197782382946458,0.0360738034577094,0.00163002243578992,0.029723439285438,-0.0911244728390907
"TGFbeta",0.0341360760968079,0.0760925821962951,0.00146840909327347,0.0691527448920263,-0.0722686233313661,0.0306681860232158,0.0768686456013905,0.051309201053016,0.00900378015463608,-0.0910270621888607,-0.0664069745665736,-0.0651012651092361,-0.0661590935631787,0.0095195199655355,0,0,-0.113306239894669,0.0664069745665736,-0.0512887803873023,0.0316850813295551,0.00664133083273762,-0.0574927204566499,-0.0336991287728506
"miR200a",0.0530339215333726,0.0583552513689792,0.00268106319216179,0.0232401794943374,0.0603994812155371,-0.000449589917776431,-0.0103455254198068,-0.00389234397512836,0.0800438910916872,0.079866634478652,-0.00174658539152001,-0.000661247043794516,-0.00175662911519708,-0.0865688736321873,0,0,-0.0259784440503866,0.00174658539152001,0.00507399947596395,0.00159591609169085,-0.0467656278105383,-0.0471600007123677,-0.0539704872190467
"miR200c",-0.0890567357652562,-0.126959051048115,0.0027030046579031,-0.0712876542916046,0.071090864532356,-0.00248411422939321,-0.0899020770413056,-0.0568689880633315,-0.1040964632388,-0.10444188638215,0.00300615246450907,0.00220020686674435,0.00282692779533817,-0.0920349256476964,0,0,0.0394753466864386,-0.00300615246450907,0.0574797812070676,-0.000660706133061478,0.00960393085157989,0.0239638504293653,0.0887199323359849
"miR141",-0.0890567357652562,-0.126959051048115,0.0027030046579031,-0.0712876542916046,0.071090864532356,-0.00248411422939321,-0.0899020770413056,-0.0568689880633315,-0.1040964632388,-0.10444188638215,0.00300615246450907,0.00220020686674435,0.00282692779533817,-0.0920349256476964,0,0,0.0394753466864386,-0.00300615246450907,0.0574797812070676,-0.000660706133061478,0.00960393085157989,0.0239638504293653,0.0887199323359849
"miR34a",-0.0378214518299905,-0.0561476815639972,0.00584193454729001,0.0942693606685032,0.0630123828979602,-0.0698845041901964,-0.0288868890443002,0.0552804789326855,0.000319892272709144,0.000232400041415888,0.0453976180303644,0.0473514884284355,0.0452833929641495,-0.0386466149123983,0,0,0.0613409814677569,-0.0453976180303644,-0.0548781579104279,-0.064941129796396,0.011696314230412,0.15049901442749,0.0372586829301749
"TCF3",0.02944501700505,0.0229066579687588,0.0105388013228415,-0.00305023613904268,-0.0303077544187525,0.00947279125267795,0.031549305521653,0.0429167780847966,-0.00277903347921629,-0.00125646686692701,-0.0330612514906155,-0.0340261879680398,-0.0330356507884248,-0.0855995038420687,0,0,-0.0213980091271347,0.0330612514906155,-0.0456757325862487,0.0224403551439998,-0.0338331757524865,-0.0121949132420239,-0.0277910161109954
"FOXC2",0.00846923307386822,0.0329215289155238,0.0175130432110698,0.0975208293728199,-0.0705648794573994,-0.00168159114270608,0.00362191691411483,0.0781460753293139,-0.000344040185113469,9.99411003697542e-05,-0.00665465884496011,-0.00532926742277313,-0.00661937527987469,0.112801587062138,0,0,-0.0171167362354586,0.00665465884496011,-0.078996683711468,0.010315169074345,0.0715797181037152,0.0507871701222203,-0.00779655279384151
"GRHL2",0.114773152780533,0.123729300360395,0.0601192284618552,0.0502527597175749,-0.19421819582016,0.0824476160058316,0.0947414998080281,0.00570349982844049,0.107579896627809,0.107550516981806,-0.100259830518196,-0.131238425480926,-0.10034389771081,0.103902857493881,0.186385612021517,-0.186387347620385,-0.170038126456995,0.100259830518196,-0.00595784979086606,0.11785554548605,0.0200764531005211,-0.0547365678417385,-0.114583883886656
"NP63",-0.0636375219499394,-0.065796790065629,0.0841101770414479,0.00720325591425559,0.143867068314058,-0.0430487429236017,-0.0357135233694238,-0.0192140350716942,-0.112845346503946,-0.112535537011109,0.0268168265261331,-0.0302769327069515,0.02701802148167,-0.107146252985459,-0.193682862375492,0.0936828623754921,-0.0631751074210531,-0.0268168265261331,0.0191534494103008,0.0107792372655038,0.0586115525319094,0.0382289321324635,0.0638595735975079
"TWIST2",0.0488003970526481,0.0795800673927943,0.139876142668129,0.0517538710112441,-0.106595155518683,-0.011633930014907,0.0646637871266332,0.0516647525728921,-0.0420118907812126,-0.0420105263497575,-0.117891992661002,-0.119060238281595,-0.117782760439757,-0.0876454606936093,0,0,-0.109561456686053,0.117891992661002,-0.0517374197430045,0.127120003373564,0.0138868314997888,-0.0605657638956259,-0.0484962422987093
