"","TWIST2","miR101","ZEB2","miR34a","GRHL2","ZEB1","miR200a","miR200b","CDH1","NP63","miR205","TWIST1","TCF3","OVOL2","miR200c","FOXC2","TGFbeta","GSC","miR141","CLDN7","SNAI1","KLF8","SNAI2"
"miR200b",0.0233268779258962,-0.0557930377373444,0.0042276452602272,0.0754250259879631,0.17020143531446,0.1542162036576,0.072150006241306,-0.0710183832233642,0.0868831826484558,0.075976572200491,0.0762502526696576,-0.021572196715512,-0.0215855069777242,0.0449897714718004,0.0756396609176156,0.0309933570857929,-0.0907134968976473,-0.0906475937979291,-0.154114650451532,-0.154114650451532,0.0526390498553567,0.0559353236780525,0.0576115512733789
"NP63",0.228144183182004,0.238321294004881,0.00921259564313367,-0.0878284413390068,0.0760424003062445,-0.0689159846245908,-0.0452900857769324,0.185625892028406,-0.119040473628792,-0.0121127911425537,0.0876507514197851,0.166665780131635,0.166367339651437,-0.105762268862089,-0.0511946236374652,-0.0769389944929878,-0.0127286227810542,-0.012555745660742,0.0689054668444531,0.0689054668444531,0.0492645408396701,-0.238384345707277,-0.274561726458343
"miR101",-0.0397525046960351,-0.12425278422012,0.0193934331805302,-0.179220454376308,-0.155536244956461,-0.140063356515811,-0.0727337554891515,0.0920777415325561,-0.0595893703026144,-0.0962576434551869,-0.0965673222290689,0.244993624399642,0.2449248793782,-0.0664582387649713,-0.0567716618488463,-0.301639810066278,0.00127643148875367,0.00129068498295585,0.139955251970806,0.139955251970806,0.297967896960147,0.0239351087010724,-0.112447871551411
"miR200c",-0.140683463248394,-0.13217945849636,0.0268606010996824,-0.186966050992821,-0.187424454886304,-0.172266513337344,-0.0952540584405629,0.038272092266242,-0.0406522168178391,-0.0874447520745855,-0.0875122836189253,-0.0221683264034798,-0.0220574075517117,-0.0525383146694309,-0.0730840310188848,-0.0261737274823646,-0.0858105127454765,-0.0858116490058165,0.172178351762846,0.172178351762846,0.14079486551427,0.131862467033516,0.128458899041036
"FOXC2",-0.162778241144275,-0.0810175956133867,0.027865196222653,-0.165468644797555,-0.165831564351888,-0.137303228251268,-0.167478298232082,0.1429652275408,-0.127548985208203,-0.0738820839505358,-0.0742073753574211,1.24628482731275e-06,0.000119542814795767,-0.0434375603878642,-0.147442162021329,-0.118571941970357,0.00437996683301165,0.00431592063290527,0.137122559393903,0.137122559393903,0.125482701220195,0.0805811236759648,0.0669469778760743
"miR205",-0.179291325838378,-0.0926119548332787,0.0317353532170257,-0.18523353335298,-0.181654745510834,-0.162835161915007,-0.0914867633019774,0.0519453045515612,-0.102856840965054,-0.0845951206750436,-0.0848428661908498,-0.00632620278897066,-0.00616146492809179,-0.0510712246653792,-0.064779541355604,-0.113058900420869,1.06286268611202e-06,-7.03543726733547e-05,0.162701002090905,0.162701002090905,0.127929524055532,0.092247726783964,0.085045110289116
"OVOL2",-0.161081055120247,-0.152365300908271,0.0576152617193167,-0.138519125317318,-0.0402604462285845,-0.10650835992101,-0.125345237689871,-0.0347207708564183,-0.0975223466470319,-0.0137194915952066,-0.0137421798264969,-0.0475238907438738,-0.0473980005201489,-0.099373354933588,-0.082728998166561,0.000590265354514534,0.0179920958648031,0.0179604049476955,0.106482137415579,0.106482137415579,0.101201408119288,0.152177765951097,0.147698126388837
"TCF3",-0.283744212725207,-0.243017039702081,0.0968489086967664,-0.0258712961857433,-0.0725619671996677,-0.0687404945628847,-0.082162760288496,-0.239316021461372,-0.0422326517660426,-0.0504021110831867,-0.0491304347826087,-0.172617798696439,-0.171407730932644,-0.036769806592506,0.0132742906411429,0.0662469253196972,0.202882428049333,0.202664918533292,0.0686124910519312,0.0686124910519312,-0.0422767138563357,0.242495507888641,0.293755858558897
"KLF8",-0.283744212725207,-0.243017039702081,0.0968489086967664,-0.0258712961857433,-0.0725619671996677,-0.0687404945628847,-0.082162760288496,-0.239316021461372,-0.0422326517660426,-0.0504021110831867,-0.0491304347826087,-0.172617798696439,-0.171407730932644,-0.036769806592506,0.0132742906411429,0.0662469253196972,0.202882428049333,0.202664918533292,0.0686124910519312,0.0686124910519312,-0.0422767138563357,0.242495507888641,0.293755858558897
"CLDN7",-0.283744212725207,-0.243017039702081,0.0968489086967664,-0.0258712961857433,-0.0725619671996677,-0.0687404945628847,-0.082162760288496,-0.239316021461372,-0.0422326517660426,-0.0504021110831867,-0.0491304347826087,-0.172617798696439,-0.171407730932644,-0.036769806592506,0.0132742906411429,0.0662469253196972,0.202882428049333,0.202664918533292,0.0686124910519312,0.0686124910519312,-0.0422767138563357,0.242495507888641,0.293755858558897
"SNAI2",-0.284651871460126,-0.243602987307236,0.0969027412590333,-0.0258154932741832,-0.0728369756361839,-0.0687549932728545,-0.0823892889510826,-0.239732917544386,0.0577019878704545,-0.0508403124985819,-0.0507616385613583,-0.173331006799825,-0.173122446770808,-0.0366765187979078,0.0133801829264481,0.0668116082254104,0.203038035331892,0.203019506838948,0.0687164294909301,0.0687164294909301,-0.0423841850494593,0.243356724603896,0.194338520793466
"TWIST1",0.182885056359572,0.0599480925712726,0.0995721472093382,-0.00877397267964125,0.145237272168874,0.136422107332778,0.0219548023940442,0.000959474970785848,0.0332810984131377,0.104891805615327,0.104773964465198,0.247949606063339,0.347813175957218,0.0795922588693429,0.121558513832355,-0.352792013791045,-0.044071268092169,-0.0440440063892212,-0.136408409835224,-0.136408409835224,0.239482951775587,-0.0598773860035287,-0.23492570435074
"SNAI1",-0.0163191901789425,-0.136534417937718,0.168598130580498,-0.199983808384228,-0.043785568808717,-0.0411049758766561,-0.0929060828147404,-0.00365827082506011,-0.178721985837942,-0.047474700156379,-0.0474771505361878,0.264169832479898,0.264213262090718,-0.0499039719324795,0.0626027846170412,-0.318997835325763,-0.0266999703068593,-0.0267399769421061,0.0410571823693153,0.0410571823693153,0.217035243432697,0.136432402270358,-0.117057960062937
