"","KLF8","miR101","ZEB2","ZEB1","miR141","miR34a","miR200c","TWIST1","CDH1","GSC","SNAI1","miR205","NP63","FOXC2","miR200b","miR200a","TGFbeta","TCF3","OVOL2","GRHL2","CLDN7","TWIST2","SNAI2"
"miR200a",-0.0505992172047371,-0.0506082226440224,-0.00303107883157607,0.214150258310566,0.214116109650064,0.138086013166253,0.109460691948459,-0.0214267765470223,0.0125503211335647,-0.0224118383322372,-0.0188472630392473,0.0512200283657608,0.0513479828708256,-0.000781411231245694,-0.0425064533568066,-0.106168886029814,0.0222402630209019,0.0212803636626885,-0.0742805945913442,-0.207095914964849,-0.214116109650064,0.102188526131819,0.0860888729428837
"miR34a",0.0963074836907896,0.0963987175568007,0.00668838087781134,-0.214279769181822,-0.214249547133052,-0.088637145852386,-0.171114668721689,-0.00427784753039497,-0.0231059118756044,-0.0788050199014825,-0.038200331979131,-0.0321621162138357,-0.0322756515138528,-0.0197956879629617,0.0289242038237409,0.165715941994619,0.0789751772064804,0.00424399272813064,0.11550629046017,0.209960673837706,0.214249547133052,-0.043426843407675,-0.132778834843622
"miR101",0.0755281852249601,-0.0244957401279388,0.00812383143181365,-0.0983994845352981,-0.0984340911731808,-0.0753277304841206,-0.0524476277595911,0.0580400452270506,0.0253992544503541,-0.0402592190187015,0.0361322734506038,-0.028599315029021,-0.0287436568304067,0.0363291329681586,0.0230059563300496,0.0457047020086826,0.040377439176496,-0.0577181439361719,0.0571103806832078,0.0958085642694519,0.0984340911731808,-0.0822107975474763,-0.0811107026497487
"OVOL2",0.0978015448728326,0.0977467100900331,0.013162111850411,-0.0946025614846718,-0.0946233492739516,-0.0855804783690405,-0.101617210233062,0.0269891800986937,-0.0842499808358127,-0.0260342739195307,-0.0129154987108675,-0.0230965303810912,-0.0232099715375428,-0.0402156045899293,-0.0133418450048713,0.0924524741279584,0.0261162569442221,-0.0266888419935214,-0.0527521810716583,0.0587639964474999,0.0946233492739516,-0.120008905380744,-0.103358869274569
"GRHL2",-0.0839842561146519,-0.0841928920581353,0.0148754130292377,0.20587029425175,0.205853917525916,0.223460445211649,0.200610401011194,-0.0873612535737369,0.00241684114994222,0.0102601489449798,-0.0625247150521961,-0.118835468773817,-0.118677529276793,-0.000377246764484863,-0.10785955509642,-0.209614557197525,-0.0105290004225543,0.0871849428043282,-0.0929895512493648,-0.185209258833507,-0.205853917525916,0.124333541570545,0.096790615050013
"miR200c",0.11323306585977,0.113157420169773,0.0219920749616695,0.226882791431383,0.226907119562067,0.218588548126641,0.106632743479068,-0.0999621382001354,-0.0372424434864823,0.204214877865172,-0.0789556254719839,0.0527196691389597,0.05296136098186,-0.0596872345100791,-0.126119445655779,-0.123899911850846,-0.204447811234865,0.0998837555448859,-0.0793953132777612,-0.218312152735372,-0.226907119562067,0.00911981160306693,-0.13091410102082
"miR141",0.0944365389459794,0.0942780432145576,0.0598719446742158,0.207179704744818,0.207162518817637,0.204461170734736,0.077950320142452,-0.108557939212472,-0.110568785625532,0.205372696767287,-0.0826527875335273,0.0492624921731146,0.0493620123437206,-0.0624440785725683,-0.161658994817627,-0.130132184219719,-0.205547680859642,0.108515050589788,-0.0703996280571186,-0.201535393556002,-0.207162518817637,0.0276394074598586,-0.100643160566963
"FOXC2",0.0424502626406623,0.0422910787576025,0.066942393593872,0.215793168166619,0.215744281299332,0.239193400303158,0.187307618052426,-0.151492166687496,-0.096767071331867,0.147062968191967,-0.143171788252755,0.0502971926324205,0.050514053570344,-0.125694431753301,-0.236639640556025,-0.234307714182868,-0.147394054480653,0.151311905308496,-0.0730734519099894,-0.203541998311211,-0.215744281299332,0.131472817842199,-0.00979918721651568
"ZEB1",0.0422910787576025,0.0423579438150991,0.0670009515043642,0.115761993235263,0.215793168166619,0.239317536547272,0.187339759355484,-0.151800446988204,-0.0967987291231105,0.147394054480653,-0.143240719906548,0.050514053570344,0.0505859009091186,-0.125904556950082,-0.236638101649913,-0.234332438262143,-0.147520974575877,0.151492166687496,-0.073034725449668,-0.203561261840063,-0.215793168166619,0.131593682982148,-0.00980913213603972
"CDH1",0.153601181905773,0.153365020021654,0.0811306100677537,0.0653137360787805,0.0651324458700561,0.0165374499581311,-0.00731727780374841,0.141859647121143,-0.109853314421298,0.228383046998321,0.0504277158004273,0.00996460584736534,0.00973348103996934,-0.0288128962760098,-0.235347287052471,-0.0721757580291933,-0.228282795346214,-0.140951280587279,-0.0358851055043584,-0.06441047431532,-0.0651324458700561,-0.158288931487825,-0.159288454516116
"TCF3",0.15331806463562,0.153601181905773,0.0812909271392952,0.0651324458700561,0.0650775872225046,0.0167917545938926,-0.00718777437509207,0.140951280587279,-0.00990921792616339,0.228709311272383,0.050481110469175,0.0102536231884058,0.00996460584736534,-0.0292490035703523,-0.235156478408396,-0.0719825643897223,-0.228383046998321,-0.139741212823484,-0.0358641357706741,-0.0643293133894362,-0.0650775872225046,-0.158001171802255,-0.159314643221451
"KLF8",0.15331806463562,0.153601181905773,0.0812909271392952,0.0651324458700561,0.0650775872225046,0.0167917545938926,-0.00718777437509207,0.140951280587279,-0.00990921792616339,0.228709311272383,0.050481110469175,0.0102536231884058,0.00996460584736534,-0.0292490035703523,-0.235156478408396,-0.0719825643897223,-0.228383046998321,-0.139741212823484,-0.0358641357706741,-0.0643293133894362,-0.0650775872225046,-0.158001171802255,-0.159314643221451
"NP63",0.131249575576808,0.130986403253764,0.148745508299628,0.0362343871924495,0.0361404057376708,0.0107116935407151,-0.0311533312614849,0.158972187266225,-0.0999444980811963,0.0309071677358701,0.0677914321976011,-0.0596301524169518,-0.159619404351604,-0.00354036455520916,-0.154584316351078,-0.0745470964808832,-0.0309259959370922,-0.158399989353065,-0.0773320276852064,0.0277308216383293,-0.0361404057376708,-0.146671848393684,-0.129805847904136
