"","KLF8","miR101","SNAI2","ZEB2","OVOL2","miR205","NP63","miR141","ZEB1","miR200c","TGFbeta","TWIST1","miR200a","TCF3","GSC","miR200b","GRHL2","CLDN7","FOXC2","miR34a","CDH1","SNAI1","TWIST2"
"miR200a",0.0106440104242327,0.0106350049849474,0.0888407439704631,0.00483684834211082,-0.0191259507684464,-0.0415694902547013,-0.0416832275925367,-0.00480529935648644,-0.00510951258697205,-0.00537244379141248,-0.0914195023832866,-0.066180365554907,-0.000559654827883641,0.0660605731949975,0.0916308468065208,0.0376475804853714,0.00838465702506858,0.00480529935648644,0.0292063780844106,0.0161281505529671,-0.0556895038411871,0.0476179474686976,-0.0110807203002872
"FOXC2",-0.118548493955798,-0.119121898265745,-0.129698968500743,0.00731510406770503,-0.0331985384527621,-0.0451097150523492,-0.0456789750143985,-0.023467726614153,-0.0238881536728215,-0.0171302667796443,-0.00761546741397779,0.0312906880785844,-0.0138264373650385,-0.0320398994350513,0.0073147759321224,-0.0125750332847944,0.026193896842519,0.023467726614153,0.0989015450824174,0.0146791906879234,0.0518817374132603,0.0952802318985115,0.175463109263227
"SNAI1",-0.0520556113857972,-0.0520621628506735,-0.0180242527725967,0.0210784886491913,0.065685087504214,0.00946554576711491,0.00934915272619356,0.0767947417752467,0.0769708596916351,0.0171652888970045,-0.0301961977192467,-0.0224861565368586,0.0546097033627629,0.0220217151693879,0.0301979541081112,-0.0181180620709947,-0.0768330517795529,-0.0767947417752467,0.0173121857445069,-0.0868949857299338,-0.0980374382215925,-0.101452993334784,-0.0534570327853554
"miR141",-0.0257080909232453,-0.0265131771953537,0.0416410830653039,0.0278367795662198,-0.0335340391155372,-0.0488808446352045,-0.0499471321774118,-0.0299551680063435,-0.0300902002913353,-0.0292396010963704,-0.0962925758937051,-0.06712861058656,-0.0042000007281443,0.0657901897752256,0.0955505978917052,0.0830324785109795,0.0297746301478508,0.0299551680063435,0.042895342161026,0.0359709803337193,0.0327483573999693,0.0634144433450429,0.031557705862131
"miR101",0.206547284878238,0.106046181653632,0.102057973267444,0.0298922692755696,0.0237454334560198,0.0245527875754247,0.024193245270155,0.00830320592207121,0.00868981150527545,-0.00740891456657026,-0.000594880609578849,-0.0057446832985075,0.0172030574561878,0.00500812949734429,0.000431384646671472,0.0267441890247893,-0.00978118501303857,-0.00830320592207121,-0.0269398377402301,0.0295616053472017,0.0046283402152053,-0.0143247104009424,-0.0276698805301727
"GSC",0.115714862649719,0.11518091612232,0.0597033378044795,0.0471772357521586,-0.0758977556108709,-0.0191401422710376,-0.0196937927241114,-0.109047403080396,-0.108995759038164,-0.0811363720705065,0.0309974511425416,-0.00205697211833963,-0.0296757613414034,0.000996404778702524,-0.0312315429823323,0.0966240087330329,0.110284349426948,0.109047403080396,0.0480814008821569,0.102275805722166,0.023219696766639,-0.0760912810461815,0.0279087701122832
"OVOL2",0.135573533164582,0.135127178032594,0.142382898013301,0.052758908455318,-0.0611962516170838,-0.0570167865110404,-0.0578324824455254,-0.0180337641109928,-0.0181102577408261,-0.0299502930651143,0.0140835481051341,-0.0637852609481644,0.00731163425018247,0.0630586945140949,-0.0146994541897902,0.113269725090352,0.0248903385942124,0.0180337641109928,0.0236938116049731,0.0328949650999127,0.0300606233196598,0.0278559789617652,-0.123312083418033
"TWIST1",-0.232738800706278,-0.232947932808055,-0.289146552951364,0.0700868832569272,-0.0634648258115744,-0.0249615678269621,-0.0250283444787022,-0.0938426568666447,-0.0940187499207795,-0.0833580138075463,-0.0145197238663259,0.00535975877059016,-0.00841570295907769,-0.105262542108144,0.0141903899606012,-0.0402474702442146,0.0938861640521988,0.0938426568666447,0.175342507598113,0.00214327995126947,0.195511030122601,0.0716138399479291,0.227065219847679
"GRHL2",0.0969686982587426,0.0971174724125346,0.104103343357832,0.0791090083830115,0.0537984393543675,-0.254693591802153,-0.254612018655338,-0.108448383672151,-0.108768275716774,-0.129564626568611,-0.0445152634019861,-0.0339614682296125,-0.0809107788366247,0.0336493114575448,0.045046868694757,0.170428724486764,0.149900446625507,0.108448383672151,0.054997384066457,0.105267154804432,0.042313702415546,0.0523249289476555,-0.0345191298625894
"SNAI2",0.406864676006654,0.407726942317222,0.332563979529695,0.100891997316029,0.0165025766075882,0.00590437786308267,0.00637099569765037,0.0216773854321104,0.0213896139216613,-0.0374758945873881,0.208171951238229,-0.072449371959792,0.0591427379173819,0.0734150955724144,-0.207953487379562,0.303443713845257,-0.0222539815844742,-0.0216773854321104,-0.145846708858247,0.0493809191892204,-0.244356659982572,-0.164587839894477,-0.377110059780304
"TCF3",0.403727350871612,0.407139659022409,0.431850897335243,0.100926909208685,0.0171193318156673,0.00583333333333333,0.00693159922928709,0.0220266904399965,0.0213501004535283,-0.0364925946493975,0.208233782815043,-0.072272997298842,0.058564502620616,0.0721277891671866,-0.206439329307702,0.302587098309341,-0.0225543656033114,-0.0220266904399965,-0.145086879203632,0.0489397608424795,-0.344664723527097,-0.16360871968195,-0.376659202688265
"KLF8",0.403727350871612,0.407139659022409,0.431850897335243,0.100926909208685,0.0171193318156673,0.00583333333333333,0.00693159922928709,0.0220266904399965,0.0213501004535283,-0.0364925946493975,0.208233782815043,-0.072272997298842,0.058564502620616,0.0721277891671866,-0.206439329307702,0.302587098309341,-0.0225543656033114,-0.0220266904399965,-0.145086879203632,0.0489397608424795,-0.344664723527097,-0.16360871968195,-0.376659202688265
"CLDN7",0.403727350871612,0.407139659022409,0.431850897335243,0.100926909208685,0.0171193318156673,0.00583333333333333,0.00693159922928709,0.0220266904399965,0.0213501004535283,-0.0364925946493975,0.208233782815043,-0.072272997298842,0.058564502620616,0.0721277891671866,-0.206439329307702,0.302587098309341,-0.0225543656033114,-0.0220266904399965,-0.145086879203632,0.0489397608424795,-0.344664723527097,-0.16360871968195,-0.376659202688265
