"","KLF8","TWIST2","SNAI2","ZEB2","NP63","miR200a","miR200b","GRHL2","FOXC2","SNAI1","TGFbeta","GSC","miR200c","TWIST1","TCF3","miR34a","miR141","CLDN7","ZEB1","CDH1","miR205","OVOL2","miR101"
"KLF8",-0.0136550775421317,-0.0187193799150631,0.00294357177884798,-0.0369732294777778,0.019458197201977,0.0225673739515999,0.0132012451949728,0.00417517006417777,-0.047227512386478,-0.0347057673220442,0.00657736238774141,0.0067404945247724,0.0153906107997601,0.0410376733208062,0.0394403838725971,-0.0185406501979453,-0.00643663495953087,-0.00643663495953087,-0.00663046884754609,-0.0132867553845178,-0.020036231884058,-0.0280370951203031,0.0122990948271861
"CLDN7",-0.0136550775421317,-0.0187193799150631,0.00294357177884798,-0.0369732294777778,0.019458197201977,0.0225673739515999,0.0132012451949728,0.00417517006417777,-0.047227512386478,-0.0347057673220442,0.00657736238774141,0.0067404945247724,0.0153906107997601,0.0410376733208062,0.0394403838725971,-0.0185406501979453,-0.00643663495953087,-0.00643663495953087,-0.00663046884754609,-0.0132867553845178,-0.020036231884058,-0.0280370951203031,0.0122990948271861
"TGFbeta",-0.0118582225201098,-0.0606055112334539,-0.0528329358617568,-0.019311427784302,0.120880352496172,0.0639932671765126,0.128934268024439,0.0999743392835121,0.0919980647384873,0.0253421476151734,0.114707128245542,0.214672810708411,-0.0472591414835222,-0.0745251224461239,-0.0744071363775558,0.0018593438708396,-0.109694252966333,-0.109694252966333,-0.109692365982916,-0.11549792558644,-0.120869450342997,-0.136463028747115,0.0118796890288937
"miR200b",-0.0539011047926254,-0.00984067026255863,-0.136181664047805,-0.0074633959580983,-0.191708519010745,-0.0899232348137,-0.0165663809021845,-0.16824809871917,0.0518920678930436,0.00969053930610145,0.074097470197537,0.0741611007765753,0.0970399739679598,-0.0566038530773728,-0.0563598316034831,0.174732550076648,0.188542616101209,0.188542616101209,0.18866916701954,-0.000792155683845431,0.191577010213873,0.21136721385328,0.0538668841233412
"miR205",0.077127685831623,-0.0637772971755704,0.0735238049573314,-0.00703784789603928,0.210486731061007,0.10641716244615,0.0853397942661403,0.175150997418764,0.104421551868226,0.103202041816758,0.0421516628571737,0.0420707233237663,-0.101787210031284,0.00701856757645605,0.00678793457122563,-0.197118453518157,-0.207021338559686,-0.207021338559686,-0.207179100575064,-0.0552505463139618,-0.210328173930891,-0.237128977221789,-0.076936184486107
"TWIST1",-0.0595934039467868,-0.0861544607795274,-0.15155864590108,-0.0060301713448355,-0.177023632494528,-0.0719203758967909,0.00615790183558986,-0.139324347573,-0.073998074622571,0.00781168310600856,-0.00938153836030352,-0.00932419477824109,0.0969754056453969,0.0113029467516272,0.111591328951992,0.120249195595993,0.158113908863812,0.158113908863812,0.158241875575191,0.108800808102347,0.177011848379515,0.20229347773425,0.0595037759031678
"OVOL2",-0.0819037323433442,-0.114668308589012,-0.0769347767326658,0.00343742982989022,-0.041668822656255,0.214299173335925,0.136969430338094,0.198542760084442,-0.0587682723913932,-0.0274173674489899,-0.153827120457863,-0.15380025207162,-0.216790178039612,-0.0053912506808662,-0.00519522161820883,-0.198344064949583,-0.225070355665187,-0.225070355665187,-0.225082447908625,0.0396218953111145,0.041479754062169,-0.0214806339719408,0.0820090151263191
"SNAI1",0.0204271428074896,-0.00278405261251985,-0.075408790635833,0.0244069579605321,0.0767924749401678,0.00766697548211901,0.0299431648932189,0.0593979885895214,0.0313069067846038,-0.0819582885513012,0.012944685249361,0.0128476935531772,-0.048364327702715,0.00847058179643081,0.00828715555779276,0.0274193354362979,-0.0632430940760683,-0.0632430940760683,-0.0633081828106213,-0.0835590634816476,-0.0765964445554581,-0.0898407958473431,-0.0204592761828355
"TCF3",0.0136550775421317,0.0187193799150631,-0.00294357177884798,0.0369732294777778,-0.019458197201977,-0.0225673739515999,-0.0132012451949728,-0.00417517006417777,0.047227512386478,0.0347057673220442,-0.00657736238774141,-0.0067404945247724,-0.0153906107997601,-0.0410376733208062,-0.0394403838725971,0.0185406501979453,0.00643663495953087,0.00643663495953087,0.00663046884754609,0.0132867553845178,0.020036231884058,0.0280370951203031,-0.0122990948271861
"CDH1",0.0122990948271861,0.018943972840386,-0.00291738307351282,0.0372671441089372,-0.0192784334628913,-0.0225737429726813,-0.0133772624712903,-0.00441215996775859,0.0478189455664768,0.0349357751258804,-0.00641573217312103,-0.00657736238774141,-0.0151719410759633,-0.0407880053261183,-0.0410376733208062,0.0188532329794022,0.00663046884754609,0.00663046884754609,0.00659196473241878,-0.0867577779159683,0.019458197201977,0.0280953443805375,-0.0128846468960289
"ZEB1",-0.119524231101415,0.0367141611383155,-0.123412916842297,0.0519874114315279,-0.230274762980135,-0.237118295124807,-0.201285283438926,-0.180139008027013,-0.115377534069812,-0.111749208879041,-0.0735696912847385,-0.0734898802699037,0.200035460989791,-0.00959459963088649,-0.00938367100408593,0.208793630052008,0.227655443402176,0.227655443402176,0.127750422420448,0.159342567289859,0.230041977602505,0.266598175134045,0.119583013569544
"miR141",-0.0550317610708139,0.0451221638331373,0.0101331701754309,0.0543825752733668,-0.24927925673563,-0.149515280936299,-0.152171557993877,-0.210162048993187,-0.105703455089875,-0.0838673422175819,-0.165374797313195,-0.165503194731611,0.101409155691729,0.0483634295151635,0.0476284072574472,0.13589855609671,0.244882295997835,0.244882295997835,0.244733872081274,0.161498119472467,0.249567154372026,0.278744714818183,0.0549849327865302
"miR101",-0.0647244598316322,-0.0253083357612661,-0.0631821665830378,0.0844732713104486,0.198154029015119,0.0509571141211612,0.0501461856592674,0.17128312988712,0.0416488789641068,0.0317602343126746,0.0277928606474709,0.0278230445175461,-0.138062980737366,0.00604924512488737,0.00612890205449465,-0.0848832433664075,-0.190608873904513,-0.190608873904513,-0.190634581692654,-0.0168425475728038,-0.198096292294564,-0.219172013651751,-0.0350921124628091
