"","miR101","ZEB2","SNAI2","miR34a","GRHL2","CLDN7","miR200b","TWIST1","FOXC2","GSC","miR200a","NP63","miR205","miR200c","TGFbeta","CDH1","TCF3","SNAI1","miR141","ZEB1","OVOL2","KLF8","TWIST2"
"miR200a",0.0305969688906381,-0.0362495944824896,0.146979341336734,0.134930472102535,0.245709772369352,0.251792365232643,0.177290382882248,0.039409664437412,-0.121619161059275,0.188249373113803,0.114344798572537,0,0,-0.114344798572537,-0.188559572186614,-0.0489596348262765,-0.0390236668332592,0.101056422276033,-0.251792365232643,-0.252025156428092,-0.167897388124823,-0.0304510807742158,-0.145505155483796
"SNAI2",0.0078143341960371,-0.0249466722921793,0.0232964157849165,0.0249840541249886,0.141059014101306,0.14411014079121,0.0964774921799717,0.20126379782493,-0.191960734159756,0.0573750063828625,0.0634588085099997,0,0,-0.0634588085099997,-0.0580571134603159,0.0181418782424726,-0.200545172507556,0.1776830232238,-0.14411014079121,-0.144579933352342,-0.129576325814057,-0.00827841799472601,-0.127219307781509
"TCF3",0.00716231046019137,-0.0248311230415499,0.122894790940769,0.0242013595542786,0.139245350722736,0.142067418836344,0.0945168770536569,0.199806792693479,-0.189019652312876,0.0539654374334447,0.0629212510430341,0,0,-0.0629212510430341,-0.0568655643139958,0.118024181750974,-0.196999435481475,0.176346290198733,-0.142067418836344,-0.143797294855801,-0.128277661375871,-0.00920373498708752,-0.125305574056729
"CDH1",0.00827841799472601,-0.0245951006862249,0.122633951435631,0.0250013595542786,0.140780915440458,0.143797294855801,0.0965003994699748,0.200545172507556,-0.190841744433074,0.0568655643139958,0.0631781348933196,0,0,-0.0631781348933196,-0.0573750063828625,0.0185576338397748,-0.199806792693479,0.177208819463119,-0.143797294855801,-0.14411014079121,-0.129379737379506,-0.00716231046019137,-0.127179521277392
"OVOL2",-0.069891756727933,-0.00664786523305922,-0.0617976217175975,0.0727158815061278,0.0275213762615669,0.0931645863685178,0.0337200703161253,-0.0285622652632172,-0.0578597644845383,0.0524480921365768,0.0927333036305127,-0.00906664885944927,-0.00906556846748307,-0.0927333036305127,-0.0526210143147073,0.021208474642341,0.0287205272587571,0.050466422023117,-0.0931645863685178,-0.0933062965921699,-0.0977754511099352,0.0695232669875209,0.0568302877689053
"TWIST1",-0.013009510272527,-0.00302290536982945,0.164272935708057,-0.0856372848022558,-0.0169531671167001,-0.0118390813028537,0.0655592458301662,0.257672854595876,-0.408914815594042,0.0113405227642425,-0.00944381820879236,0,0,0.00944381820879236,-0.0117375408979752,0.161227089119751,-0.357309313295134,0.300411648001514,0.0118390813028537,0.0116649626627807,0.0428425645575246,0.0130921672460867,-0.106987422449869
"miR34a",0.0705914120252805,0.0175780596474007,0.0745801381053377,-0.0231815394751899,-0.12182030582659,-0.120662580892188,-0.0224265192092425,0.0547310041773906,0.0621691615177798,-0.0420913007077598,-0.105312076249028,0,0,0.105312076249028,0.0420007915029736,0.0124538079291623,-0.0546940000911947,-0.0609248023539057,0.120662580892188,0.120682570278775,0.111196129045025,-0.0705155438630187,-0.179961050656076
"KLF8",-0.00716231046019137,0.0248311230415499,-0.122894790940769,-0.0242013595542786,-0.139245350722736,-0.142067418836344,-0.0945168770536569,-0.199806792693479,0.189019652312876,-0.0539654374334447,-0.0629212510430341,0,0,0.0629212510430341,0.0568655643139958,-0.118024181750974,0.196999435481475,-0.176346290198733,0.142067418836344,0.143797294855801,0.128277661375871,0.00920373498708752,0.125305574056729
"CLDN7",-0.00716231046019137,0.0248311230415499,-0.122894790940769,-0.0242013595542786,-0.139245350722736,-0.142067418836344,-0.0945168770536569,-0.199806792693479,0.189019652312876,-0.0539654374334447,-0.0629212510430341,0,0,0.0629212510430341,0.0568655643139958,-0.118024181750974,0.196999435481475,-0.176346290198733,0.142067418836344,0.143797294855801,0.128277661375871,0.00920373498708752,0.125305574056729
"GSC",0.116292184272434,0.0319680959510528,-0.125181237550579,0.164018092822578,0.118641153307905,0.115142377257126,-0.000103233252448521,-0.362168554510486,0.201529350783305,0.0421647938900235,0.0797524780451021,0,0,-0.0797524780451021,-0.0417785117940764,-0.145878970044634,0.36189382923576,-0.299325394989802,-0.115142377257126,-0.115041019791063,-0.111065127083789,-0.11629023556248,-0.00454251505888093
"SNAI1",-0.108616781731114,0.0719302845494833,0.157033557431791,-0.0905912182576034,0.167099154143387,0.170276427905883,0.0876717222136399,0.275580460066735,-0.33170419542373,0.0832977523213181,0.129683753891598,0,0,-0.129683753891598,-0.0835512577807601,0.112440323427831,-0.275229446623994,0.212544655790997,-0.170276427905883,-0.170497791372032,-0.149141004302304,0.108695087335112,-0.0423218102769855
"FOXC2",-0.0480411368060055,0.0927554528934248,-0.0493701847592854,-0.207812167555531,-0.210092208513297,-0.211453958249191,-0.241408091533989,-0.0162658384197482,-0.0470758885288642,-0.10381120723001,-0.175957178052333,0,0,0.175957178052333,0.103794924297779,0.196213246344819,0.0159391146703115,0.0570164296310612,0.211453958249191,0.211749404968882,0.141459489635701,0.0478614130670671,0.164796765665505
"ZEB1",-0.0479448805144445,0.0928985664074295,-0.0494898832484964,-0.207940584359787,-0.210354721308435,-0.211749404968882,-0.241491705432705,-0.0165068138594833,-0.0467630654867108,-0.103794924297779,-0.176183156136909,0,0,0.176183156136909,0.104023837838896,0.196347819155019,0.0162658384197482,0.0568965074388457,0.211749404968882,0.111894918278214,0.141645109566207,0.0480411368060055,0.164841294927592
