"","ZEB2","SNAI2","miR101","OVOL2","miR141","miR200b","miR34a","GSC","FOXC2","miR200c","NP63","miR205","TWIST1","TCF3","miR200a","CDH1","TGFbeta","SNAI1","CLDN7","ZEB1","GRHL2","KLF8","TWIST2"
"miR205",-0.0410441197559274,0.0736635351857164,0.0470152525497043,0.138465753384906,0.20349561865162,0.132204098120132,0.206404256072022,0.114296316316058,0.0930865544377087,0.0847130523664458,0,0,0.0585336464364526,0.0583071318777442,-0.0847130523664458,-0.0921244716536948,-0.113929707841212,-0.0653498803231841,-0.20349561865162,-0.203560214122484,-0.202913138620953,-0.0465308667933992,-0.178254615854499
"OVOL2",-0.0159234035223658,0.0959562129458712,0.111431905253745,-0.105970728939326,-0.0703637029517291,0.021305755214843,-0.0504079605733963,-0.0323786031720516,-0.0277224830704763,-0.0870695481804371,-0.0240834337367673,0.0241428552949085,0.0762452029774071,0.0765473395143469,0.0870695481804371,0.147725741689553,0.0322125703237271,0.0834551876501571,0.0703637029517291,0.0704600332955156,0.049156460934693,-0.111924321603284,-0.0916532031664031
"miR101",-0.012471834818199,0.095883363026696,0.0982882584570916,0.13517423051827,0.178723708468516,0.0941938255530942,0.119136412587795,0.108630564680359,-0.073833115650489,0.0823462360620212,0,0,0.0535298757471463,0.0532450749440299,-0.0823462360620212,-0.0273885323232249,-0.108329564420443,0.00349615176842875,-0.178723708468516,-0.178814015314039,-0.180887192546022,-0.197760571507042,-0.0984255941014961
"miR200a",-0.00111992607099646,-0.094429426478228,-0.0945292685236243,0.115186519527263,0.174389279051215,0.0282768689161621,0.0862352863750575,-0.0112739610415255,0.0487641545567668,0.0849696559580046,0,0,-0.0804134239840745,-0.0808112529324159,-0.0849696559580046,-0.0566562138969466,0.011658017036435,-0.0952210637330491,-0.174389279051215,-0.174516722744984,-0.177525943656695,0.0953217471807332,0.00292076326757532
"TWIST1",0.0236646143310255,-0.176376458320842,-0.135078021280938,-0.156145876726559,-0.194443523694914,-0.13128402781452,-0.147068323304815,-0.13228351469662,-0.00664052055632255,-0.106820921253245,0,0,-0.157141102614291,-0.0569899674667913,0.106820921253245,0.0511625937001375,0.132063227602686,-0.0027121799100076,0.194443523694914,0.194490786231518,0.194912773851654,0.134791211541358,0.191409873095226
"TWIST2",0.0339768304655833,0.197117071474346,0.161432172437046,0.16232613366608,0.202791673282589,0.123258403494398,0.159944593066095,0.136580888133304,-0.0288269195728622,0.121036735132094,0,0,0.0902088080464332,0.0901176178721745,-0.121036735132094,-0.0651654899271504,-0.136383591344903,0.0899236336761125,-0.202791673282589,-0.202822129162996,-0.202528894028986,-0.161240120435273,-0.212220552428107
"miR34a",0.0348825031924503,-0.209106878465222,-0.165297599709408,-0.166462286391433,-0.208886963985631,-0.191291880668616,-0.165789863802728,-0.172759699170431,0.102959832314362,-0.150758543490807,0,0,-0.0933564306651342,-0.0932706126779991,0.150758543490807,-0.00684531294134954,0.172566612866887,-0.100215928194195,0.208886963985631,0.208908857123323,0.208054081500711,0.165134339107072,0.123448527363101
"CDH1",0.0457851698149285,-0.131803761829194,-0.159041936060298,-0.0380567092706333,-0.0415454523004333,-0.204949227385815,-0.0251504605098458,-0.209684996642195,0.0300957094071011,0.00223582522882175,0,0,-0.132402420930686,-0.132683961435334,-0.00223582522882175,-0.170068759834337,0.209830259240145,-0.00189660287446189,0.0415454523004333,0.0414748614226999,0.0417799211942382,0.159504554545627,0.151425906137799
"KLF8",0.0458052094488712,-0.13183623582381,-0.159504554545627,-0.0380450594185864,-0.0415271660845828,-0.205104536747271,-0.0251981426290511,-0.209376858161136,0.0301614242048787,0.00222521019368598,0,0,-0.132683961435334,-0.132635558724782,-0.00222521019368598,-0.0702724759961351,0.209684996642195,-0.00185963733455964,0.0415271660845828,0.0415454523004333,0.0417636890090614,0.160026086359067,0.151804906699282
"CLDN7",0.0458052094488712,-0.13183623582381,-0.159504554545627,-0.0380450594185864,-0.0415271660845828,-0.205104536747271,-0.0251981426290511,-0.209376858161136,0.0301614242048787,0.00222521019368598,0,0,-0.132683961435334,-0.132635558724782,-0.00222521019368598,-0.0702724759961351,0.209684996642195,-0.00185963733455964,0.0415271660845828,0.0415454523004333,0.0417636890090614,0.160026086359067,0.151804906699282
"ZEB1",0.0645495517459621,-0.0684180757728438,-0.0417387145726943,-0.132493209865586,-0.19440492301125,-0.234961142475842,-0.201595472587506,-0.169211680114847,-0.0884208452221124,-0.173249006697324,0,0,-0.0834456541051041,-0.0833561146025592,0.173249006697324,0.120727144250439,0.169253986813256,0.0430077511445827,0.19440492301125,0.0944415512833683,0.195693779514159,0.0416167409513269,0.17481923734738
"TGFbeta",0.108258705792855,-0.144327796800378,-0.107605189008876,-0.100934230843257,-0.100205583706028,-0.185875296754582,-0.140717597332784,-0.250229651633289,0.0375487967773873,0.00350141016362265,0,0,-0.141742190094271,-0.141798914165698,-0.00350141016362265,-0.0922773682477825,0.150095422279197,-0.0784481469222767,0.100205583706028,0.100189630118959,0.100745792190179,0.107633580197913,0.172625023938337
"NP63",0.134235982742287,-0.191959982317239,-0.190113982224075,-0.0273153598776518,-0.176650559212138,-0.237770154032179,-0.15583406066567,-0.110633885259645,0.0182371287508031,-0.0652278230702748,0.0215802590359401,-0.12148890048048,-0.155592273211347,-0.15569773714044,0.0652278230702748,-0.0476717926978889,0.110722891301786,0.0142929667438414,0.176650559212138,0.176560649156122,0.00935084663958649,0.190549861384117,0.237320529726062
